label_locus_order	physical_page	source_page	locus	register	namespace	role_family	role_detail	concrete_owner_or_name_de	groups	surfaces	recipes	creative_label_reading_de
15	f82r	f82r	f82r.39	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.39	1	okairady	OK+AIR+A_ADDR+D_ADDR+Y	lokaler Stationswert f82r.39: PLATZ AKTIVIEREN; AIR; LOKALE ADRESSE; UNTER- ODER TEILADRESSE; AKTUELL GEMEINTER BESITZER
16	f82r	f82r	f82r.40	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.40	1	sororl	S+OR+OR+L	lokaler Stationswert f82r.40: KLASSEN- ODER KONTEXTMARKER; LOKALER EINTRAG ODER ANSATZKLASSE; LOKALER EINTRAG ODER ANSATZKLASSE; L
17	f82r	f82r	f82r.41	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.41	1	olkoky	OL+K+OK+Y	lokaler Stationswert f82r.41: GLEICHE REIHE FORTSETZEN; WERT ZUORDNEN; PLATZ AKTIVIEREN; AKTUELL GEMEINTER BESITZER
18	f82r	f82r	f82r.42	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.42	1	sokoly	S+OK+OL+Y	lokaler Stationswert f82r.42: KLASSEN- ODER KONTEXTMARKER; PLATZ AKTIVIEREN; GLEICHE REIHE FORTSETZEN; AKTUELL GEMEINTER BESITZER
19	f82r	f82r	f82r.43	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.43	1	dolol	D_ADDR+OL+OL	lokaler Stationswert f82r.43: UNTER- ODER TEILADRESSE; GLEICHE REIHE FORTSETZEN; GLEICHE REIHE FORTSETZEN
20	f82r	f82r	f82r.44	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.44	1	olaiin	OL+AIIN	lokaler Stationswert f82r.44: GLEICHE REIHE FORTSETZEN; SOLLZAHL ODER MASSINDEX
21	f82r	f82r	f82r.45	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.45	1	okeear	OK+EE+AR	lokaler Stationswert f82r.45: PLATZ AKTIVIEREN; LÄNGERER / ZWEITER GRAD; QUELL- ODER BEZUGSPLATZ
22	f83r	f83r	f83r.45	BIOLOGICAL	F83_LOCAL_ASSEMBLY_LABELS	CHANNEL_OR_FIGURE_ASSEMBLY_LABEL	lokale Figuren-, Becken- oder Kanalbaugruppe; keine seitenweite Verbindung	lokaler Baugruppenwert f83r.45	1	chtorol	CH+T+OR+OL	lokaler Baugruppenwert f83r.45: KENNUNG ABLESEN; PLATZ MARKIEREN; LOKALER EINTRAG ODER ANSATZKLASSE; GLEICHE REIHE FORTSETZEN
23	f83r	f83r	f83r.46	BIOLOGICAL	F83_LOCAL_ASSEMBLY_LABELS	CHANNEL_OR_FIGURE_ASSEMBLY_LABEL	lokale Figuren-, Becken- oder Kanalbaugruppe; keine seitenweite Verbindung	lokaler Baugruppenwert f83r.46	1	olsaiin	OL+S+AIIN	lokaler Baugruppenwert f83r.46: GLEICHE REIHE FORTSETZEN; KLASSEN- ODER KONTEXTMARKER; SOLLZAHL ODER MASSINDEX
24	f83r	f83r	f83r.50	BIOLOGICAL	F83_LOCAL_ASSEMBLY_LABELS	CHANNEL_OR_FIGURE_ASSEMBLY_LABEL	lokale Figuren-, Becken- oder Kanalbaugruppe; keine seitenweite Verbindung	lokaler Baugruppenwert f83r.50	1	sasoldal	S+A_ADDR+S+OL+DA+L	lokaler Baugruppenwert f83r.50: KLASSEN- ODER KONTEXTMARKER; LOKALE ADRESSE; KLASSEN- ODER KONTEXTMARKER; GLEICHE REIHE FORTSETZEN; ZWEITER ODER MARKIERTER UNTERPLATZ; L
25	f83r	f83r	f83r.51	BIOLOGICAL	F83_LOCAL_ASSEMBLY_LABELS	CHANNEL_OR_FIGURE_ASSEMBLY_LABEL	lokale Figuren-, Becken- oder Kanalbaugruppe; keine seitenweite Verbindung	lokaler Baugruppenwert f83r.51	1	darolsy	DA+R+OL+S+Y	lokaler Baugruppenwert f83r.51: ZWEITER ODER MARKIERTER UNTERPLATZ; MARKIERTER ZUSTAND; GLEICHE REIHE FORTSETZEN; KLASSEN- ODER KONTEXTMARKER; AKTUELL GEMEINTER BESITZER
26	f67r2	f67r2	f67r2.1	ZODIAC	A1_RIGHT_WHEEL_ONLY	CELESTIAL_SECTOR	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dieser lokale Sektorplatz 01 des rechten f67r2-Rades	3	ykshy · s · aram	Y+K+Y | S | AR+AM_ADDR	dieser lokale Sektorplatz 01 des rechten f67r2-Rades: AKTUELL GEMEINTER BESITZER; WERT ZUORDNEN; AKTUELL GEMEINTER BESITZER / dieser lokale Sektorplatz 01 des rechten f67r2-Rades: KLASSEN- ODER KONTEXTMARKER / dieser lokale Sektorplatz 01 des rechten f67r2-Rades: QUELL- ODER BEZUGSPLATZ; GEGEN- ODER INNENFELD
27	f67r2	f67r2	f67r2.2	ZODIAC	A1_RIGHT_WHEEL_ONLY	CELESTIAL_SECTOR	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dieser lokale Sektorplatz 02 des rechten f67r2-Rades	3	ykecho · ols · eesydy	Y+K+E+CH+O | OL+S | EE+S+Y+D_ADDR+Y	dieser lokale Sektorplatz 02 des rechten f67r2-Rades: AKTUELL GEMEINTER BESITZER; WERT ZUORDNEN; KURZER / ERSTER GRAD; KENNUNG ABLESEN; LOKALEN GANG / KREISLESUNG AUFRUFEN / dieser lokale Sektorplatz 02 des rechten f67r2-Rades: GLEICHE REIHE FORTSETZEN; KLASSEN- ODER KONTEXTMARKER / dieser lokale Sektorplatz 02 des rechten f67r2-Rades: LÄNGERER / ZWEITER GRAD; KLASSEN- ODER KONTEXTMARKER; AKTUELL GEMEINTER BESITZER; UNTER- ODER TEILADRESSE; AKTUELL GEMEINTER BESITZER
28	f67r2	f67r2	f67r2.3	ZODIAC	A1_RIGHT_WHEEL_ONLY	CELESTIAL_SECTOR	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dieser lokale Sektorplatz 03 des rechten f67r2-Rades	3	ey · shs · okar	E+Y | SH+S | OK+AR	dieser lokale Sektorplatz 03 des rechten f67r2-Rades: KURZER / ERSTER GRAD; AKTUELL GEMEINTER BESITZER / dieser lokale Sektorplatz 03 des rechten f67r2-Rades: SH; KLASSEN- ODER KONTEXTMARKER / dieser lokale Sektorplatz 03 des rechten f67r2-Rades: PLATZ AKTIVIEREN; QUELL- ODER BEZUGSPLATZ
29	f67r2	f67r2	f67r2.4	ZODIAC	A1_RIGHT_WHEEL_ONLY	CELESTIAL_SECTOR	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dieser lokale Sektorplatz 04 des rechten f67r2-Rades	2	shekchy · sykos	SH+E+K+CH+Y | S+Y+K+O+S_ADDR	dieser lokale Sektorplatz 04 des rechten f67r2-Rades: SH; KURZER / ERSTER GRAD; WERT ZUORDNEN; KENNUNG ABLESEN; AKTUELL GEMEINTER BESITZER / dieser lokale Sektorplatz 04 des rechten f67r2-Rades: KLASSEN- ODER KONTEXTMARKER; AKTUELL GEMEINTER BESITZER; WERT ZUORDNEN; LOKALEN GANG / KREISLESUNG AUFRUFEN; S-ADRESSE / STERNBEZUG
30	f67r2	f67r2	f67r2.5	ZODIAC	A1_RIGHT_WHEEL_ONLY	CELESTIAL_SECTOR	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dieser lokale Sektorplatz 05 des rechten f67r2-Rades	2	ykeody · okchy	Y+K+E+O+DY | OK+Y	dieser lokale Sektorplatz 05 des rechten f67r2-Rades: AKTUELL GEMEINTER BESITZER; WERT ZUORDNEN; KURZER / ERSTER GRAD; LOKALEN GANG / KREISLESUNG AUFRUFEN; GEBUNDENER ODER ABGESCHLOSSENER EINTRAG / dieser lokale Sektorplatz 05 des rechten f67r2-Rades: PLATZ AKTIVIEREN; AKTUELL GEMEINTER BESITZER
31	f67r2	f67r2	f67r2.6	ZODIAC	A1_RIGHT_WHEEL_ONLY	CELESTIAL_SECTOR	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dieser lokale Sektorplatz 06 des rechten f67r2-Rades	1	dchetay	D_ADDR+CH+E+T+A_ADDR+Y	dieser lokale Sektorplatz 06 des rechten f67r2-Rades: UNTER- ODER TEILADRESSE; KENNUNG ABLESEN; KURZER / ERSTER GRAD; PLATZ MARKIEREN; LOKALE ADRESSE; AKTUELL GEMEINTER BESITZER
32	f67r2	f67r2	f67r2.7	ZODIAC	A1_RIGHT_WHEEL_ONLY	CELESTIAL_SECTOR	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dieser lokale Sektorplatz 07 des rechten f67r2-Rades	3	ykchy · kchey · ykchys	Y+K+Y | K+CH+E+Y | Y+K+CH+Y+S	dieser lokale Sektorplatz 07 des rechten f67r2-Rades: AKTUELL GEMEINTER BESITZER; WERT ZUORDNEN; AKTUELL GEMEINTER BESITZER / dieser lokale Sektorplatz 07 des rechten f67r2-Rades: WERT ZUORDNEN; KENNUNG ABLESEN; KURZER / ERSTER GRAD; AKTUELL GEMEINTER BESITZER / dieser lokale Sektorplatz 07 des rechten f67r2-Rades: AKTUELL GEMEINTER BESITZER; WERT ZUORDNEN; KENNUNG ABLESEN; AKTUELL GEMEINTER BESITZER; KLASSEN- ODER KONTEXTMARKER
33	f67r2	f67r2	f67r2.8	ZODIAC	A1_RIGHT_WHEEL_ONLY	CELESTIAL_SECTOR	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dieser lokale Sektorplatz 08 des rechten f67r2-Rades	1	chkchdar	CHK+CHD+AR	dieser lokale Sektorplatz 08 des rechten f67r2-Rades: CHK; CHD; QUELL- ODER BEZUGSPLATZ
34	f67r2	f67r2	f67r2.9	ZODIAC	A1_RIGHT_WHEEL_ONLY	CELESTIAL_SECTOR	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dieser lokale Sektorplatz 09 des rechten f67r2-Rades	2	ykar · ykaly	Y+K+AR | Y+K+AL+Y	dieser lokale Sektorplatz 09 des rechten f67r2-Rades: AKTUELL GEMEINTER BESITZER; WERT ZUORDNEN; QUELL- ODER BEZUGSPLATZ / dieser lokale Sektorplatz 09 des rechten f67r2-Rades: AKTUELL GEMEINTER BESITZER; WERT ZUORDNEN; ZIEL- ODER ZUGEWIESENER PLATZ; AKTUELL GEMEINTER BESITZER
35	f67r2	f67r2	f67r2.10	ZODIAC	A1_RIGHT_WHEEL_ONLY	CELESTIAL_SECTOR	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dieser lokale Sektorplatz 10 des rechten f67r2-Rades	3	lkshy · kchy · okar	L+K+SH+Y | K+Y | OK+AR	dieser lokale Sektorplatz 10 des rechten f67r2-Rades: L; WERT ZUORDNEN; SH; AKTUELL GEMEINTER BESITZER / dieser lokale Sektorplatz 10 des rechten f67r2-Rades: WERT ZUORDNEN; AKTUELL GEMEINTER BESITZER / dieser lokale Sektorplatz 10 des rechten f67r2-Rades: PLATZ AKTIVIEREN; QUELL- ODER BEZUGSPLATZ
36	f67r2	f67r2	f67r2.11	ZODIAC	A1_RIGHT_WHEEL_ONLY	CELESTIAL_SECTOR	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dieser lokale Sektorplatz 11 des rechten f67r2-Rades	3	chky · chykchs · chy	CHK+Y | CH+Y+K+CH+S | Y	dieser lokale Sektorplatz 11 des rechten f67r2-Rades: CHK; AKTUELL GEMEINTER BESITZER / dieser lokale Sektorplatz 11 des rechten f67r2-Rades: KENNUNG ABLESEN; AKTUELL GEMEINTER BESITZER; WERT ZUORDNEN; KENNUNG ABLESEN; KLASSEN- ODER KONTEXTMARKER / dieser lokale Sektorplatz 11 des rechten f67r2-Rades: AKTUELL GEMEINTER BESITZER
37	f67r2	f67r2	f67r2.12	ZODIAC	A1_RIGHT_WHEEL_ONLY	CELESTIAL_SECTOR	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dieser lokale Sektorplatz 12 des rechten f67r2-Rades	2	ykees · ykchos	Y+K+EE+S | Y+K+CH+O+S	dieser lokale Sektorplatz 12 des rechten f67r2-Rades: AKTUELL GEMEINTER BESITZER; WERT ZUORDNEN; LÄNGERER / ZWEITER GRAD; KLASSEN- ODER KONTEXTMARKER / dieser lokale Sektorplatz 12 des rechten f67r2-Rades: AKTUELL GEMEINTER BESITZER; WERT ZUORDNEN; KENNUNG ABLESEN; LOKALEN GANG / KREISLESUNG AUFRUFEN; KLASSEN- ODER KONTEXTMARKER
38	f67r2	f67r2	f67r2.15	ZODIAC	A1_LEFT_WHEEL_ONLY	STAR_OR_RAY_STATION	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	gegenwärtiges lokales Radial-/Ringfeld 15 des linken f67r2-Rades	1	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	gegenwärtiges lokales Radial-/Ringfeld 15 des linken f67r2-Rades: UNTER- ODER TEILADRESSE; GLEICHE REIHE FORTSETZEN; KENNUNG ABLESEN; S-ADRESSE / STERNBEZUG; LOKALEN GANG / KREISLESUNG AUFRUFEN; GEBUNDENER ODER ABGESCHLOSSENER EINTRAG
39	f67r2	f67r2	f67r2.22	ZODIAC	A1_LEFT_WHEEL_ONLY	STAR_OR_RAY_STATION	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	gegenwärtiges lokales Radial-/Ringfeld 22 des linken f67r2-Rades	1	okal	OK+AL	gegenwärtiges lokales Radial-/Ringfeld 22 des linken f67r2-Rades: PLATZ AKTIVIEREN; ZIEL- ODER ZUGEWIESENER PLATZ
40	f67r2	f67r2	f67r2.28	ZODIAC	A1_LEFT_WHEEL_ONLY	STAR_OR_RAY_STATION	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	gegenwärtiges lokales Radial-/Ringfeld 28 des linken f67r2-Rades	2	okain · am	OK+AIN | AM_ADDR	gegenwärtiges lokales Radial-/Ringfeld 28 des linken f67r2-Rades: PLATZ AKTIVIEREN; EINHEIT ODER EINZELPLATZ / gegenwärtiges lokales Radial-/Ringfeld 28 des linken f67r2-Rades: GEGEN- ODER INNENFELD
41	f67r2	f67r2	f67r2.31	ZODIAC	A1_LEFT_WHEEL_ONLY	STAR_OR_RAY_STATION	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	gegenwärtiges lokales Radial-/Ringfeld 31 des linken f67r2-Rades	1	opcholdy	O+P+OL+D_ADDR+Y	gegenwärtiges lokales Radial-/Ringfeld 31 des linken f67r2-Rades: LOKALEN GANG / KREISLESUNG AUFRUFEN; P; GLEICHE REIHE FORTSETZEN; UNTER- ODER TEILADRESSE; AKTUELL GEMEINTER BESITZER
42	f67r2	f67r2	f67r2.34	ZODIAC	A1_LEFT_WHEEL_ONLY	STAR_OR_RAY_STATION	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	gegenwärtiges lokales Radial-/Ringfeld 34 des linken f67r2-Rades	2	ofar · oeoldan	O+LOCAL_CHAR_F+AR | O+E+OL+D_ADDR+AN	gegenwärtiges lokales Radial-/Ringfeld 34 des linken f67r2-Rades: LOKALEN GANG / KREISLESUNG AUFRUFEN; LOCAL_CHAR_F; QUELL- ODER BEZUGSPLATZ / gegenwärtiges lokales Radial-/Ringfeld 34 des linken f67r2-Rades: LOKALEN GANG / KREISLESUNG AUFRUFEN; KURZER / ERSTER GRAD; GLEICHE REIHE FORTSETZEN; UNTER- ODER TEILADRESSE; AN
43	f67r2	f67r2	f67r2.37	ZODIAC	A1_LEFT_WHEEL_ONLY	STAR_OR_RAY_STATION	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	gegenwärtiges lokales Radial-/Ringfeld 37 des linken f67r2-Rades	1	ytoaiin	Y+T+O+AIIN	gegenwärtiges lokales Radial-/Ringfeld 37 des linken f67r2-Rades: AKTUELL GEMEINTER BESITZER; PLATZ MARKIEREN; LOKALEN GANG / KREISLESUNG AUFRUFEN; SOLLZAHL ODER MASSINDEX
44	f67r2	f67r2	f67r2.47	ZODIAC	A1_LEFT_WHEEL_ONLY	STAR_OR_RAY_STATION	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	gegenwärtiges lokales Radial-/Ringfeld 47 des linken f67r2-Rades	1	yfain	Y+LOCAL_CHAR_F+AIN	gegenwärtiges lokales Radial-/Ringfeld 47 des linken f67r2-Rades: AKTUELL GEMEINTER BESITZER; LOCAL_CHAR_F; EINHEIT ODER EINZELPLATZ
45	f67r2	f67r2	f67r2.52	ZODIAC	A1_LEFT_WHEEL_ONLY	OUTER_STAR_POSITION	LEFT_WHEEL_OUTER_STAR_POSITION	äußerer Sternplatz 01 des linken f67r2-Rades	1	qotoear	OT+O+E+AR	äußerer Sternplatz 01 des linken f67r2-Rades: NÄCHSTER PLATZ / NÄCHSTER LISTENEINTRAG; LOKALEN GANG / KREISLESUNG AUFRUFEN; KURZER / ERSTER GRAD; QUELL- ODER BEZUGSPLATZ
46	f67r2	f67r2	f67r2.53	ZODIAC	A1_LEFT_WHEEL_ONLY	OUTER_STAR_POSITION	LEFT_WHEEL_OUTER_STAR_POSITION	äußerer Sternplatz 02 des linken f67r2-Rades	1	dchdar	D_ADDR+CHD+AR	äußerer Sternplatz 02 des linken f67r2-Rades: UNTER- ODER TEILADRESSE; CHD; QUELL- ODER BEZUGSPLATZ
47	f67r2	f67r2	f67r2.54	ZODIAC	A1_LEFT_WHEEL_ONLY	OUTER_STAR_POSITION	LEFT_WHEEL_OUTER_STAR_POSITION	äußerer Sternplatz 03 des linken f67r2-Rades	2	y · saldal	Y | S+AL+DA+L	äußerer Sternplatz 03 des linken f67r2-Rades: AKTUELL GEMEINTER BESITZER / äußerer Sternplatz 03 des linken f67r2-Rades: KLASSEN- ODER KONTEXTMARKER; ZIEL- ODER ZUGEWIESENER PLATZ; ZWEITER ODER MARKIERTER UNTERPLATZ; L
48	f67r2	f67r2	f67r2.55	ZODIAC	A1_LEFT_WHEEL_ONLY	OUTER_STAR_POSITION	LEFT_WHEEL_OUTER_STAR_POSITION	äußerer Sternplatz 04 des linken f67r2-Rades	1	ytodal	Y+T+O+DA+L	äußerer Sternplatz 04 des linken f67r2-Rades: AKTUELL GEMEINTER BESITZER; PLATZ MARKIEREN; LOKALEN GANG / KREISLESUNG AUFRUFEN; ZWEITER ODER MARKIERTER UNTERPLATZ; L
49	f67r2	f67r2	f67r2.56	ZODIAC	A1_LEFT_WHEEL_ONLY	OUTER_STAR_POSITION	LEFT_WHEEL_OUTER_STAR_POSITION	äußerer Sternplatz 05 des linken f67r2-Rades	2	tol · daiin	T+OL | AIIN	äußerer Sternplatz 05 des linken f67r2-Rades: PLATZ MARKIEREN; GLEICHE REIHE FORTSETZEN / äußerer Sternplatz 05 des linken f67r2-Rades: SOLLZAHL ODER MASSINDEX
50	f67r2	f67r2	f67r2.57	ZODIAC	A1_LEFT_WHEEL_ONLY	OUTER_STAR_POSITION	LEFT_WHEEL_OUTER_STAR_POSITION	äußerer Sternplatz 06 des linken f67r2-Rades	2	otar · dy	OT+AR | Y	äußerer Sternplatz 06 des linken f67r2-Rades: NÄCHSTER PLATZ / NÄCHSTER LISTENEINTRAG; QUELL- ODER BEZUGSPLATZ / äußerer Sternplatz 06 des linken f67r2-Rades: AKTUELL GEMEINTER BESITZER
51	f67r2	f67r2	f67r2.58	ZODIAC	A1_LEFT_WHEEL_ONLY	OUTER_STAR_POSITION	LEFT_WHEEL_OUTER_STAR_POSITION	äußerer Sternplatz 07 des linken f67r2-Rades	3	cho · dal · g	HO | AL | G_LABEL	äußerer Sternplatz 07 des linken f67r2-Rades: HO / äußerer Sternplatz 07 des linken f67r2-Rades: ZIEL- ODER ZUGEWIESENER PLATZ / äußerer Sternplatz 07 des linken f67r2-Rades: LOKALES G-KLASSENZEICHEN
52	f67r2	f67r2	f67r2.59	ZODIAC	A1_LEFT_WHEEL_ONLY	OUTER_STAR_POSITION	LEFT_WHEEL_OUTER_STAR_POSITION	äußerer Sternplatz 08 des linken f67r2-Rades	1	ytchodly	Y+T+CH+O+D_ADDR+L+Y	äußerer Sternplatz 08 des linken f67r2-Rades: AKTUELL GEMEINTER BESITZER; PLATZ MARKIEREN; KENNUNG ABLESEN; LOKALEN GANG / KREISLESUNG AUFRUFEN; UNTER- ODER TEILADRESSE; L; AKTUELL GEMEINTER BESITZER
