component	label_function_de	events	component_occurrences	registers	physical_pages	role_families	largest_role_family	largest_role_share	role_entropy_bits	creative_decision
E	KURZER / ERSTER GRAD	22	22	PHARMA|ZODIAC	f67r2|f68r1|f70v|f88r	CELESTIAL_SECTOR:6|STAR_OR_RAY_STATION:5|ZODIAC_INNER_FIGURE:5|PHASE_OR_CONDITION_SLOT:2|ZODIAC_OUTER_FIGURE:2|OUTER_STAR_POSITION:1|UPPER_INGREDIENT_SLOT:1	CELESTIAL_SECTOR	0.273	2.517	KEEP_LABEL_CLASSIFIER
CH	KENNUNG ABLESEN	19	20	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f70v|f75r|f83r|f88r	CELESTIAL_SECTOR:8|STAR_OR_RAY_STATION:5|ZODIAC_OUTER_FIGURE:2|LOWER_POOL_STATION_LABEL:1|CHANNEL_OR_FIGURE_ASSEMBLY_LABEL:1|OUTER_STAR_POSITION:1|PHASE_OR_CONDITION_SLOT:1|UPPER_INGREDIENT_SLOT:1	CELESTIAL_SECTOR	0.400	2.441	KEEP_LABEL_CLASSIFIER
DA	ZWEITER ODER MARKIERTER UNTERPLATZ	14	14	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f82r|f83r|f88r	OUTER_STAR_POSITION:3|BATH_OR_APPARATUS_STATION_LABEL:2|CHANNEL_OR_FIGURE_ASSEMBLY_LABEL:2|MIDDLE_INGREDIENT_SLOT:2|PHASE_OR_CONDITION_SLOT:1|CENTRE_OR_FACE_SLOT:1|STAR_OR_RAY_STATION:1|UPPER_INGREDIENT_SLOT:1|LOWER_INGREDIENT_SLOT:1	OUTER_STAR_POSITION	0.214	3.039	KEEP_LABEL_CLASSIFIER
DY	GEBUNDENER ODER ABGESCHLOSSENER EINTRAG	14	14	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f70v|f75r|f82r|f88r	ZODIAC_OUTER_FIGURE:5|STAR_OR_RAY_STATION:3|LOWER_POOL_STATION_LABEL:2|BATH_OR_APPARATUS_STATION_LABEL:1|CELESTIAL_SECTOR:1|ZODIAC_INNER_FIGURE:1|MIDDLE_INGREDIENT_SLOT:1	ZODIAC_OUTER_FIGURE	0.357	2.496	KEEP_LABEL_CLASSIFIER
OR	LOKALER EINTRAG ODER ANSATZKLASSE	14	16	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f82r|f83r|f88r	BATH_OR_APPARATUS_STATION_LABEL:4|STAR_OR_RAY_STATION:3|MIDDLE_INGREDIENT_SLOT:3|UPPER_INGREDIENT_SLOT:2|CHANNEL_OR_FIGURE_ASSEMBLY_LABEL:1|OUTER_STAR_POSITION:1|PHASE_OR_CONDITION_SLOT:1|LOWER_INGREDIENT_SLOT:1	BATH_OR_APPARATUS_STATION_LABEL	0.250	2.781	KEEP_LABEL_CLASSIFIER
T	PLATZ MARKIEREN	11	11	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f70v|f75r|f83r|f88r	OUTER_STAR_POSITION:4|STAR_OR_RAY_STATION:2|LOWER_POOL_STATION_LABEL:1|CHANNEL_OR_FIGURE_ASSEMBLY_LABEL:1|CELESTIAL_SECTOR:1|ZODIAC_OUTER_FIGURE:1|UPPER_INGREDIENT_SLOT:1	OUTER_STAR_POSITION	0.364	2.550	KEEP_LABEL_CLASSIFIER
AM_ADDR	GEGEN- ODER INNENFELD	10	10	PHARMA|ZODIAC	f67r2|f70v|f88r	ZODIAC_INNER_FIGURE:4|ZODIAC_OUTER_FIGURE:2|CELESTIAL_SECTOR:1|STAR_OR_RAY_STATION:1|MIDDLE_INGREDIENT_SLOT:1|LOWER_INGREDIENT_SLOT:1	ZODIAC_INNER_FIGURE	0.400	2.322	KEEP_LABEL_CLASSIFIER
A_ADDR	LOKALE ADRESSE	9	9	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f70v|f75r|f82r|f83r|f88r	ZODIAC_OUTER_FIGURE:2|LOWER_POOL_STATION_LABEL:1|BATH_OR_APPARATUS_STATION_LABEL:1|CHANNEL_OR_FIGURE_ASSEMBLY_LABEL:1|CELESTIAL_SECTOR:1|PHASE_OR_CONDITION_SLOT:1|ZODIAC_INNER_FIGURE:1|MIDDLE_INGREDIENT_SLOT:1	ZODIAC_OUTER_FIGURE	0.222	2.948	KEEP_LABEL_CLASSIFIER
EE	LÄNGERER / ZWEITER GRAD	9	9	BIOLOGICAL|ZODIAC	f67r2|f68r1|f70v|f75r|f82r	CELESTIAL_SECTOR:2|STAR_OR_RAY_STATION:2|LOWER_POOL_STATION_LABEL:1|BATH_OR_APPARATUS_STATION_LABEL:1|PHASE_OR_CONDITION_SLOT:1|ZODIAC_INNER_FIGURE:1|ZODIAC_OUTER_FIGURE:1	CELESTIAL_SECTOR	0.222	2.725	KEEP_LABEL_CLASSIFIER
L	REGISTERLOKALER KLASSIFIKATOR	9	9	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f82r|f83r|f88r	OUTER_STAR_POSITION:3|BATH_OR_APPARATUS_STATION_LABEL:1|CHANNEL_OR_FIGURE_ASSEMBLY_LABEL:1|CELESTIAL_SECTOR:1|CENTRE_OR_FACE_SLOT:1|STAR_OR_RAY_STATION:1|LOWER_INGREDIENT_SLOT:1	OUTER_STAR_POSITION	0.333	2.642	KEEP_REGISTER_LOCAL
R	MARKIERTER ZUSTAND	8	8	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f82r|f83r|f88r	BATH_OR_APPARATUS_STATION_LABEL:2|CHANNEL_OR_FIGURE_ASSEMBLY_LABEL:1|OUTER_STAR_POSITION:1|PHASE_OR_CONDITION_SLOT:1|STAR_OR_RAY_STATION:1|UPPER_INGREDIENT_SLOT:1|MIDDLE_INGREDIENT_SLOT:1	BATH_OR_APPARATUS_STATION_LABEL	0.250	2.750	KEEP_LABEL_CLASSIFIER
SH	REGISTERLOKALER KLASSIFIKATOR	8	9	ZODIAC	f67r2|f68r1|f70v	ZODIAC_OUTER_FIGURE:4|CELESTIAL_SECTOR:3|STAR_OR_RAY_STATION:2	ZODIAC_OUTER_FIGURE	0.444	1.530	KEEP_REGISTER_LOCAL
AIIN	SOLLZAHL ODER MASSINDEX	7	7	BIOLOGICAL|ZODIAC	f67r2|f68r1|f70v|f82r|f83r	STAR_OR_RAY_STATION:2|ZODIAC_INNER_FIGURE:2|BATH_OR_APPARATUS_STATION_LABEL:1|CHANNEL_OR_FIGURE_ASSEMBLY_LABEL:1|OUTER_STAR_POSITION:1	STAR_OR_RAY_STATION	0.286	2.236	KEEP_LABEL_CLASSIFIER
AIN	EINHEIT ODER EINZELPLATZ	6	6	BIOLOGICAL|ZODIAC	f67r2|f70v|f75r|f81v	LOWER_POOL_STATION_LABEL:2|STAR_OR_RAY_STATION:2|SHARED_POOL_LABEL:1|ZODIAC_OUTER_FIGURE:1	LOWER_POOL_STATION_LABEL	0.333	1.918	KEEP_LABEL_CLASSIFIER
CHD	REGISTERLOKALER KLASSIFIKATOR	6	6	ZODIAC	f67r2|f68r1	STAR_OR_RAY_STATION:4|CELESTIAL_SECTOR:1|OUTER_STAR_POSITION:1	STAR_OR_RAY_STATION	0.667	1.252	KEEP_REGISTER_LOCAL
S_ADDR	S-ADRESSE / STERNBEZUG	6	6	ZODIAC	f67r2|f70v	ZODIAC_OUTER_FIGURE:2|ZODIAC_INNER_FIGURE:2|CELESTIAL_SECTOR:1|STAR_OR_RAY_STATION:1	ZODIAC_OUTER_FIGURE	0.333	1.918	KEEP_LABEL_CLASSIFIER
LOCAL_CHAR_F	REGISTERLOKALER KLASSIFIKATOR	5	5	PHARMA|ZODIAC	f67r2|f68r1|f88r	STAR_OR_RAY_STATION:3|LOWER_INGREDIENT_SLOT:2	STAR_OR_RAY_STATION	0.600	0.971	KEEP_REGISTER_LOCAL
P	REGISTERLOKALER KLASSIFIKATOR	5	5	ZODIAC	f67r2|f70v	ZODIAC_OUTER_FIGURE:3|STAR_OR_RAY_STATION:1|PHASE_OR_CONDITION_SLOT:1	ZODIAC_OUTER_FIGURE	0.600	1.371	KEEP_REGISTER_LOCAL
CTH	REGISTERLOKALER KLASSIFIKATOR	4	4	ZODIAC	f67r2|f68r1	STAR_OR_RAY_STATION:3|OUTER_STAR_POSITION:1	STAR_OR_RAY_STATION	0.750	0.811	KEEP_REGISTER_LOCAL
AIR	REGISTERLOKALER KLASSIFIKATOR	3	3	BIOLOGICAL|ZODIAC	f67r2|f82r	BATH_OR_APPARATUS_STATION_LABEL:2|PHASE_OR_CONDITION_SLOT:1	BATH_OR_APPARATUS_STATION_LABEL	0.667	0.918	KEEP_REGISTER_LOCAL
AN	REGISTERLOKALER KLASSIFIKATOR	3	3	ZODIAC	f67r2|f70v	STAR_OR_RAY_STATION:1|PHASE_OR_CONDITION_SLOT:1|ZODIAC_OUTER_FIGURE:1	STAR_OR_RAY_STATION	0.333	1.585	KEEP_REGISTER_LOCAL
CPH	GEGEN- ODER EMPFANGSPLATZ	3	3	ZODIAC	f67r2|f68r1	STAR_OR_RAY_STATION:2|PHASE_OR_CONDITION_SLOT:1	STAR_OR_RAY_STATION	0.667	0.918	KEEP_LABEL_CLASSIFIER
G_LABEL	LOKALES G-KLASSENZEICHEN	3	3	ZODIAC	f67r2|f70v	ZODIAC_OUTER_FIGURE:2|OUTER_STAR_POSITION:1	ZODIAC_OUTER_FIGURE	0.667	0.918	KEEP_LABEL_CLASSIFIER
CHEO	REGISTERLOKALER KLASSIFIKATOR	2	2	ZODIAC	f68r1	STAR_OR_RAY_STATION:2	STAR_OR_RAY_STATION	1.000	-0.000	KEEP_REGISTER_LOCAL
CHK	REGISTERLOKALER KLASSIFIKATOR	2	2	ZODIAC	f67r2	CELESTIAL_SECTOR:2	CELESTIAL_SECTOR	1.000	-0.000	KEEP_REGISTER_LOCAL
S_LABEL	REGISTERLOKALER KLASSIFIKATOR	2	3	ZODIAC	f70v	ZODIAC_INNER_FIGURE:2|ZODIAC_OUTER_FIGURE:1	ZODIAC_INNER_FIGURE	0.667	0.918	KEEP_REGISTER_LOCAL
CFH	REGISTERLOKALER KLASSIFIKATOR	1	1	ZODIAC	f68r1	STAR_OR_RAY_STATION:1	STAR_OR_RAY_STATION	1.000	-0.000	KEEP_REGISTER_LOCAL
CKH	REGISTERLOKALER KLASSIFIKATOR	1	1	ZODIAC	f68r1	STAR_OR_RAY_STATION:1	STAR_OR_RAY_STATION	1.000	-0.000	KEEP_REGISTER_LOCAL
D_LABEL	REGISTERLOKALER KLASSIFIKATOR	1	1	ZODIAC	f70v	ZODIAC_OUTER_FIGURE:1	ZODIAC_OUTER_FIGURE	1.000	-0.000	KEEP_REGISTER_LOCAL
HO	REGISTERLOKALER KLASSIFIKATOR	1	1	ZODIAC	f67r2	OUTER_STAR_POSITION:1	OUTER_STAR_POSITION	1.000	-0.000	KEEP_REGISTER_LOCAL
IIN	STUFE ODER INDEX	1	1	ZODIAC	f68r1	STAR_OR_RAY_STATION:1	STAR_OR_RAY_STATION	1.000	-0.000	KEEP_LABEL_CLASSIFIER
Z_ADDR	LOKALER Z-BEZUG	1	1	ZODIAC	f70v	ZODIAC_OUTER_FIGURE:1	ZODIAC_OUTER_FIGURE	1.000	-0.000	KEEP_LABEL_CLASSIFIER
