root_id	recognition_form	atomic_meaning_de	content_occurrences	content_pages	material_expansion_de	station_expansion_de	celestial_expansion_de	sample_event_readings_de	revision_status
R-D_ADDR	D_ADDR	TEIL	195	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	Wurzel-, Blatt-, Blüten- oder Fruchtteil	Teilbecken oder Arbeitsanteil	Unterplatz	AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN|EINSETZEN · ENTNEHMEN · AUSFÜHREN · TEIL · FORTSETZEN|TEIL · AUSFÜHREN · STUFE · MARKIEREN|TEIL · POSTEN|TEIL · FLÜSSIGKEITSLAUF|ENTNEHMEN · AUSFÜHREN · TEIL · SOLLMASS	KEEP
R-SH	SH	HALTEN	176	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	halten, ziehen oder stehen lassen	an der Station halten	Posten festhalten	HALTEN · ANSATZ|DANACH · ENTNEHMEN · AUSFÜHREN · HALTEN · ANSATZ|Blütenkraut|Weinsud|vorgeschriebene Stehzeit|Blütenreserve	KEEP
R-AR	AR	QUELLE	138	f10r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	aus Wurzelstock oder Vorrat	von Ausgangs-/Entnahmestelle	Quellplatz	VORRAT|ZUGEBEN · VORRAT|ZUGEBEN · LÄNGER · POSTEN · NEBENWEG · VORRAT|EINSTELLEN · VORRAT|POSTEN · ZUGEBEN · VORRAT|ENTNEHMEN · KURZ · AUSFÜHREN · VORRAT	KEEP
R-K	K	GEBEN	191	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	dem Ansatz zugeben	in die Station geben	Wert zuordnen	ZUGEBEN · AUSFÜHREN · MITTE|ZUGEBEN · ENTNEHMEN · SOLLMASS|Topf|ZUGEBEN · ORT · UNTERSTUFE · STUFE|ZUGEBEN · HALTEN · POSTEN|ZUGEBEN · FORTSETZEN	KEEP
R-AIIN	AIIN	SOLLWERT	156	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	die vorgeschriebene Menge	die vorgeschriebene Stationsmenge	eingetragener Wert	SOLLMASS|ENTNEHMEN · SOLLMASS|BEREIT · SOLLMASS|EINSTELLEN · SOLLMASS|ZUGEBEN · ENTNEHMEN · SOLLMASS|ENTNEHMEN · AUSFÜHREN · TEIL · SOLLMASS	KEEP
R-S	S	AUSWÄHLEN	157	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	den bezeichneten Drogenposten wählen	sichtbare Station wählen	Ring-/Sternplatz wählen	AUSWÄHLEN · ANSATZ|AUSFÜHREN · AUSWÄHLEN · PORTION|AUSWÄHLEN · AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN|AUSWÄHLEN|AUSFÜHREN · VOLL · AUSWÄHLEN|AUSWÄHLEN · DANACH · POSTEN	KEEP
R-CHD	CHD	UMSETZEN	94	f55v|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v	in ein anderes Gefäß versetzen	zur nächsten Station versetzen	auf anderen Platz übertragen	ZUGEBEN · ENTNEHMEN · LÄNGER · TEIL · UMSETZEN · POSTEN|AUSFÜHREN · UMSETZEN · POSTEN|ANSETZEN · UMSETZEN|ZUGEBEN · UMSETZEN · POSTEN|IN STATION GEBEN · UMSETZEN · POSTEN · IN STATION GEBEN · QUELLSTATION · POSTEN|UMSETZEN · POSTEN · IN STATION GEBEN · QUELLSTATION	KEEP
R-OR	OR	ARBEITSSATZ	134	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	der laufende Ansatz	laufende Stationskonfiguration	Eintragsklasse	HALTEN · ANSATZ|ENTNEHMEN · ANSATZ · ENTNEHMEN · POSTEN|BEREIT · AUSFÜHREN · ANSATZ|ANSATZ|AUSWÄHLEN · ANSATZ|ENTNEHMEN · EINSTELLEN · ENTNEHMEN · ANSATZ	KEEP
R-L	L	LEITEN	97	f11r|f55v|f75r|f81v|f82r|f83r|f67r2|f68r1|f70v|f88r	gießen, abführen oder durchleiten	über den sichtbaren Weg leiten	zu verbundenem Platz führen	ENTNEHMEN · AUSFÜHREN · TEIL · LEITEN|AUSFÜHREN · TEIL · LEITEN|AUSWÄHLEN · LEITEN|LEITEN · POSTEN|LEITEN · EINSTELLEN · TEILMENGE|LEITEN · IN STATION GEBEN · INNEN · AUSFÜHREN	KEEP
R-T	T	EINSTELLEN	124	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	Menge, Dauer oder Stufe einstellen	Stufe oder Stellung einstellen	Stellung/Grad einstellen	ENTNEHMEN · EINSTELLEN · POSTEN|auffangen|Wurzelrest|EINSTELLEN · POSTEN|POSTEN · EINSTELLEN · POSTEN|ENTNEHMEN · EINSTELLEN · ENTNEHMEN · ANSATZ	KEEP
R-AIN	AIN	EINHEIT	70	f10r|f11r|f55v|f75r|f81v|f82r|f83r|f67r2|f70v|f88r	eine Portion	eine Stationsfüllung	eine Tabellen- oder Ringzelle	PORTION|AUSFÜHREN · AUSWÄHLEN · PORTION|AUSFÜHREN · KURZ · TEIL · PORTION|POSTEN · ZUGEBEN · PORTION|ANSATZ · PORTION|TEILMENGE	KEEP
R-R	R	MARKIEREN	71	f10r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	den Teilgang oder Zustand kennzeichnen	Stationszustand markieren	Platz kennzeichnen	TEIL · AUSFÜHREN · STUFE · MARKIEREN|POSTEN · AUSZUG · MARKIEREN|ZWEIT · MARKIEREN · POSTEN|MARKIEREN|MARKIEREN · ARBEITSSATZ|MARKIEREN · POSTEN	KEEP
R-P	P	EINSETZEN	60	f10r|f13r|f55v|f75r|f81v|f82r|f83r|f67r2|f68r1|f70v|f88r	den Pflanzenteil einbringen	in Becken oder Anschluss einsetzen	in Ring/Tabelle eintragen	EINSETZEN · ENTNEHMEN · AUSFÜHREN · BEREIT · POSTEN|EINSETZEN · ENTNEHMEN · AUSFÜHREN · TEIL · FORTSETZEN|ENTNEHMEN · AUSFÜHREN · EINSETZEN · ENTNEHMEN · ZIELSTELLE|POSTEN · EINSETZEN · ENTNEHMEN|AUSFÜHREN · EINSETZEN · POSTEN|AUSFÜHREN · EINSETZEN · ENTNEHMEN · ANSATZ	KEEP
R-CTH	CTH	BEREIT	49	f10r|f11r|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f70v|f88r	gebrauchsfertig	anwendungsbereit	gültiger/freigegebener Eintrag	EINSETZEN · ENTNEHMEN · AUSFÜHREN · BEREIT · POSTEN|AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN|BEREIT · AUSFÜHREN · ANSATZ|ENTNEHMEN · AUSFÜHREN · BEREIT · POSTEN|ENTNEHMEN · BEREIT · POSTEN|BEREIT · AUSFÜHREN	KEEP
R-SHED	SHED	ABSETZEN	13	f75r|f81v|f82r|f83r	stehen und absetzen lassen	im Becken absetzen lassen	Eintrag ablegen	MARKIEREN · ABSETZEN · SCHLUSS|AUSFÜHREN · ABSETZEN · POSTEN|ABSETZEN · STATIONSWERT|LEITEN · ABSETZEN|Waschgang|AUSWÄHLEN · FORTSETZEN · ABSETZEN	KEEP
R-CKH	CKH	DURCHLASS	42	f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f88r	durch Tuch, Sieb oder Auslass	durch sichtbaren Anschluss/Durchlass	formale Verbindung	ENTNEHMEN · DURCHLASS · TEIL · POSTEN|auftragen|ZWEIT · DURCHLASS · POSTEN|DURCHLASS · KURZ · POSTEN|TEIL · HALTEN · KURZ · DURCHLASS · POSTEN|AUS STATION NEHMEN · KURZ · DURCHLASS · POSTEN	KEEP
R-AM_ADDR	AM_ADDR	INNEN	45	f10r|f55v|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	im Gefäß oder inneren Anteil	im inneren Becken	Innenring/-platz	INNEN|verwahren|DANACH · INNEN|LEITEN · IN STATION GEBEN · INNEN · AUSFÜHREN|BEHANDELN · INNEN|AN STATION SETZEN · INNEN	KEEP
R-CHEO	CHEO	AUSZUG	32	f10r|f55v|f56r|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	der gewonnene Auszug	Arbeitsauszug oder laufende Flüssigkeit	lokale Eintragsklasse	POSTEN · AUSZUG · MARKIEREN|AUSZUG · POSTEN|ANSETZEN · AUSZUG|EINSTELLEN · AUSZUG · LEITEN|AUSZUG · IN STATION GEBEN · POSTEN|AUSZUG · MARKIEREN	KEEP
R-DA	DA	ZWEIT	34	f55v|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	zweiter Ansatz oder zweite Zugabe	zweite Station oder zweite Füllung	zweiter Ring/zweite Stufe	ZWEIT · MARKIEREN · POSTEN|ZWEIT · DURCHLASS · POSTEN|ZWEIT · STUFE · SCHLUSS|POSTEN · IN STATION GEBEN · KURZ · ZWEIT · POSTEN|ZWEIT · INNEN|mehrere lokale Bad- und Leitungsstationen: zweite Stufe, Zustandsmarke, gleiche Reihe weiter.	KEEP
R-CARRIER_Q	CARRIER_Q	START	36	f10r|f11r|f55v|f81v|f82r|f83r|f67r2|f68r1|f88r	einen neuen Ansatz beginnen	neue Stationszelle beginnen	neue Reihe beginnen	pressen|BEGINNEN · AUSFÜHREN · TEIL · ANSATZ|BEGINNEN · AUSFÜHREN · SOLLMASS|BEGINNEN · AUSFÜHREN · FORTSETZEN|BEGINNEN · AUSFÜHREN · EINSETZEN|BEGINNEN · AUSFÜHREN · NEBENWEG · UMSETZEN · POSTEN	KEEP
R-A_ADDR	A_ADDR	ORT	33	f10r|f55v|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	die bezeichnete Gefäß-/Gebrauchsstelle	sichtbare Station	lokale Adresse	ZUGEBEN · ORT · UNTERSTUFE · STUFE|POSTEN · ZUGEBEN · ORT · ZUGEBEN · POSTEN|DANACH · ORT · ZUGEBEN · POSTEN|ORT · POSTEN|Dieselbe Klasse an der unteren Quelladresse fortführen.|AUSFÜHREN · NEBENWEG · ORT · SPÜLEN · KURZ · IN STATION GEBEN · POSTEN	KEEP
R-AIR	AIR	LAUF	33	f10r|f11r|f55v|f75r|f81v|f82r|f83r|f67r2|f69v|f70v	der Flüssigkeitslauf	lokaler Wasser-/Arbeitslauf	Ringlauf	ENTNEHMEN · FLÜSSIGKEITSLAUF|TEIL · FLÜSSIGKEITSLAUF|POSTEN · ZUGEBEN · FLÜSSIGKEITSLAUF|AN STATION SETZEN · BECKENLAUF|FORTSETZEN · TEIL · BECKENLAUF|IN STATION GEBEN · BECKENLAUF	KEEP
R-CHK	CHK	BEHANDELN	30	f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f70v	zerkleinern, wärmen, mischen oder bearbeiten	baden, waschen oder technisch bearbeiten	eingetragene Regel anwenden	BEHANDELN · KURZ · POSTEN|BEHANDELN · LÄNGER · POSTEN|BEHANDELN · ANSATZ|BEHANDELN · LÄNGER · SCHLUSS|BEHANDELN · INNEN|BEHANDELN · ZIELSTATION	KEEP
R-IIN	IIN	STUFE	26	f10r|f13r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v	Ernte-, Reife- oder Arbeitsstufe	Stationsstufe	Grad/Stufe	TEIL · AUSFÜHREN · STUFE · MARKIEREN|ZUGEBEN · ORT · UNTERSTUFE · STUFE|POSTEN · EINSTELLEN · AUSFÜHREN · STUFE|AUSFÜHREN · STUFE|TEIL · AUSFÜHREN · STUFE|ZWEIT · STUFE · SCHLUSS	KEEP
R-S_ADDR	S_ADDR	SONDERORT	23	f83r|f67r2|f69v|f70v	besonders bezeichnete Materialstelle	besondere Stationsstelle	Sternstelle	IN STATION GEBEN · KURZ · SONDERSTELLE · TEIL|zwei lokale Himmelsraeder: Klasse wählen, dieser Platz, Wert zuordnen, Reihe aufrufen, Sternbezug.|zwei lokale Himmelsraeder: Unterplatz, gleiche Reihe weiter, Klassenkennung, Sternbezug, Reihe aufrufen, Eintrag schließen.|POSTEN · EINSTELLEN · KURZ · AUSFÜHREN · STERNSTELLE|drei getrennte heterogene Himmelsraeder: Bezug halten, zweiter Grad, Sternbezug.|drei getrennte heterogene Himmelsraeder: Klassenkennung, erster Grad, Platz einstellen, zweiter Grad, Sternbezug, erster Grad, Zustandsmarke.	STERNORT_TO_SONDERORT
R-SOLK	SOLK	AUFFANGEN	23	f10r|f75r|f81v|f82r|f83r|f88r	im Gefäß auffangen	im Empfangsbecken auffangen	Ergebnisplatz	auffangen|AUFFANGEN · QUELLSTATION|AUFFANGEN · POSTEN|AUFFANGEN · LÄNGER · FORTSETZEN · POSTEN|AUFFANGEN · LÄNGER · POSTEN|AUFFANGEN · QUELLSTATION · POSTEN	KEEP
R-EEE	EEE	VOLL	18	f13r|f55v|f82r|f83r|f68r1|f69v|f70v|f88r	bis zum vollen Grad	vollständig halten/füllen	voller Grad	AUSFÜHREN · VOLL · AUSWÄHLEN|AUSFÜHREN · VOLL · TEIL|ANSETZEN · VOLL · POSTEN|TEIL · VOLL · TEIL · POSTEN|AN STATION SETZEN · VOLL · POSTEN|IN STATION GEBEN · VOLL · TEIL · POSTEN	KEEP
R-LSH	LSH	SPÜLEN	17	f75r|f81v|f82r|f83r|f88r	mit Arbeitsflüssigkeit spülen	Becken oder Körperstelle spülen	Reihe durchlaufen	SPÜLEN · KURZ · SCHLUSS|AUSFÜHREN · NEBENWEG · ORT · SPÜLEN · KURZ · IN STATION GEBEN · POSTEN|AUSWÄHLEN · ORT · SPÜLEN · BEREIT · TEIL · POSTEN|SPÜLEN · KURZ · EINSTELLEN · POSTEN|SPÜLEN · AUSFÜHREN|AUSWÄHLEN · HALTEN · AUSFÜHREN · SPÜLEN · KURZ · BEREIT · POSTEN	KEEP
R-LOCAL_CHAR_F	LOCAL_CHAR_F	NEBENWEG	11	f55v|f81v|f67r2|f68r1|f88r	zweiter Auszug oder Nebenweg	Nebenrinne oder Nebenstation	Nebenring/-zweig	ZUGEBEN · LÄNGER · POSTEN · NEBENWEG · VORRAT|AUSFÜHREN · NEBENWEG · ORT · SPÜLEN · KURZ · IN STATION GEBEN · POSTEN|BEGINNEN · AUSFÜHREN · NEBENWEG · UMSETZEN · POSTEN|AUSFÜHREN · NEBENWEG · BEZUGSPLATZ|zwei lokale Himmelsraeder: Reihe aufrufen, f-Zeichen, Quell- oder Bezugsstelle.|AUSFÜHREN · NEBENWEG · POSTEN · SCHLUSS	KEEP
R-CPH	CPH	UMLEITEN	12	f11r|f56r|f81v|f82r|f83r|f67r2|f68r1|f88r	in einen anderen Empfänger leiten	zum anderen Becken umleiten	auf Alternativplatz führen	nachseihen|POSTEN · ENTNEHMEN · AUSFÜHREN · UMLEITEN · POSTEN|UMLEITEN · KURZ · SCHLUSS|UMLEITEN · ZIELSTATION|AUS STATION NEHMEN · KURZ · UMLEITEN · KURZ · SCHLUSS|LEITEN · AUS STATION NEHMEN · UMLEITEN · KURZ · SCHLUSS	KEEP
R-HO	HO	TEILSTOFF	11	f13r|f55v|f56r|f67r2|f69v|f70v	weiterer Pflanzenteil oder Hilfsstoff	Badezusatz oder Arbeitsstoff	Unterklasse	Einen Anteil aus der breiten Blattkrone nehmen.|TEILSTOFF|TEILSTOFF · ENTNEHMEN · ANSATZ|TEILSTOFF · ZIELSTELLE · POSTEN|waschen|zwei lokale Himmelsraeder: Teil.	KEEP
R-AN	AN	ZUSATZ	11	f55v|f56r|f75r|f81v|f67r2|f70v	ein Zusatz	Zusatz in der Station	Zusatzmarke	POSTEN · ZUGEBEN · LÄNGER · AUSWÄHLEN · ZUSATZ|POSTEN · ZUGEBEN · ZUSATZ|anwenden|AN STATION SETZEN · ZUSATZ|DANACH · ZUSATZ|Zusatz	KEEP
R-G_LABEL	G_LABEL	PRÜFEN	7	f82r|f67r2|f68r1|f70v	Farbe, Klarheit oder Zustand prüfen	sichtbaren Zustand prüfen	Platz/Regel prüfen	MARKIEREN · ORT · PRÜFEN|AUSFÜHREN · PRÜFEN|BEGINNEN · AUSWÄHLEN · PRÜFEN|zwei lokale Himmelsraeder: g-Zeichen.|mehrteiliger Sternatlas mit lokalen Zentren: Reihe aufrufen, dieser Platz, g-Zeichen, dieser Platz.|Widderrad mit Stern tragenden Figuren: Reihe aufrufen, Zielplatz, Klassenkennung, erster Grad, g-Zeichen.	KEEP
R-CFH	CFH	TRENNEN	5	f10r|f11r|f13r|f67r2|f68r1	Fraktion oder Pflanzenteil trennen	Lauf oder Fraktion trennen	Klasse oder Ring trennen	TRENNEN · POSTEN|auswringen|Den ersten Ansatz weiter auspressen und den Teilgang schließen.|WERT NEHMEN · AUSFÜHREN · TRENNEN · POSTEN|mehrteiliger Sternatlas mit lokalen Zentren: Klassenkennung, Reihe aufrufen, Trennklasse, dieser Platz.	KEEP
R-LOCAL_CHAR_G	LOCAL_CHAR_G	EINMAL	5	f13r|f56r|f83r|f67r2|f88r	einmal oder eine Portion	ein Durchgang	ein Platz/ein Umlauf	Einen der kleinen sichtbaren Rundkörper am Wurzelhals abnehmen.|ZUGEBEN · ENTNEHMEN · VORRAT · EINMAL|AUS STATION NEHMEN · KURZ · EINMAL|EINMAL · STUFE|HALTEN · KURZ · FORTSETZEN · TEIL · EINMAL	KEEP
R-LOCAL_CHAR_I	LOCAL_CHAR_I	UNTERSTUFE	5	f10r|f83r|f67r2|f68r1|f69v	untere/zweite Arbeitsstufe	untere Station/Stufe	Untergrad	ZUGEBEN · ORT · UNTERSTUFE · STUFE|AUSWÄHLEN · AUSFÜHREN · UNTERSTUFE · STUFE|AUSFÜHREN · ZWEIT · UNTERSTUFE · STUFE|STELLE AKTIVIEREN · ORT · UNTERSTUFE · STUFE|drei getrennte heterogene Himmelsraeder: Platz aktivieren, Reihe aufrufen, i-Zeichen, Zustandsmarke, Bezug halten.	KEEP
R-OS	OS	DAZU	4	f10r|f55v|f67r2	zum bisherigen Ansatz	zur aktuellen Station	zugeordnet	Gefäß|DAZU	KEEP
R-D_LABEL	D_LABEL	RAND	3	f55v|f69v|f70v	am Gefäßrand oder äußeren Anteil	am Beckenrand	Außenrand	TEIL · AUSFÜHREN · SCHLUSS · RAND|drei getrennte heterogene Himmelsraeder: dieser Platz, Platz einstellen, dieser Platz, d-Zeichen.|Fischrad mit Stern tragenden Figuren: nächster Platz, Zielplatz, d-Zeichen.	KEEP
R-LOCAL_CHAR_B	LOCAL_CHAR_B	PAAR	2	f83r|f88r	ein Paar oder zwei gleiche Portionen	Paarbecken oder Paarposten	Paarposten	AUS STATION NEHMEN · LÄNGER · PAAR|ENTNEHMEN · LÄNGER · PAAR	KEEP
R-M_LOCAL	M_LOCAL	MITTE	2	f10r|f70v	im Mittelgefäß oder mittleren Anteil	Mittelbecken/Mittelstelle	Mittelpunkt/Mittelplatz	ZUGEBEN · AUSFÜHREN · MITTE|Fischrad mit Stern tragenden Figuren: zweite Stufe, Indexstufe, m-Zeichen.	KEEP
R-LD	LD	BEFESTIGEN	1	f83r	Auflage oder Einsatz befestigen	Auflage oder Einsatz befestigen	Marke fixieren	befestigen	KEEP
R-LOCAL_CHAR_J	LOCAL_CHAR_J	VERBINDEN	1	f88r	Materialien oder Gefäßwege verbinden	zwei Stationen verbinden	Plätze verbinden	AUSZUG · VERBINDEN · ORT · INNEN	KEEP
R-RESUME_CARD	RESUME_CARD	WIEDER	1	f56r	den Gang wiederholen	Stationsgang wiederholen	Platzfolge wiederholen	Voriges	KEEP
