neighbor_id	occurrence_id	page	locus	part_surface	part_prefix	part_remainder	quality_surface	quality_source	quality_axes	order	prefix_axis_relation	both_triple_stable	working_part_de	working_quality_de	surface_line
G631-N011	G631-O0199	f24v	f24v.8	chcthy	CH	y	shol	GDT628_BARE_OL_QUALITY	MOIST	PART_BEFORE_QUALITY	OPPOSITE_PREFIX_AXIS	1	trockenes Blattgut/Blattdroge	feuchte Zustands-/Materialform; flüssig meist feucht	kochky chcthy shol sain
G631-N012	G631-O0238	f30r	f30r.10	chctho	CH	o	qotchy	GDT625_TERMINAL_QUALITY	COLD|DRY	QUALITY_BEFORE_PART	MATCHING_PREFIX_AXIS	1	trockenes cth-Pflanzenteilform (chctho)	kalt-trocken	chokchaiin dchor chkchean qotchy chctho rchody
G631-N013	G631-O0255	f34v	f34v.3	chcthy	CH	y	okchdy	GDT625_TERMINAL_QUALITY	DRY|HOT	PART_BEFORE_QUALITY	MATCHING_PREFIX_AXIS	0	trockenes Blattgut/Blattdroge	heiß-trocken	ytal shor chdal olchdy char or ol kedaiiin chcthy okchdy chckhy dasam
G631-N014	G631-O0301	f44v	f44v.3	shcthy	SH	y	otol	GDT628_BARE_OL_QUALITY	COLD	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	feuchtes Blattgut/Blattdroge	kalte Zustands-/Materialform; flüssig meist kalt	tol okchor shcthy otol daiin cthy cthy
G631-N015	G631-O0317	f45r	f45r.3	chcthy	CH	y	kchol	GDT628_BARE_OL_QUALITY	DRY|HOT	PART_BEFORE_QUALITY	MATCHING_PREFIX_AXIS	1	trockenes Blattgut/Blattdroge	heiß-trockene Zustands-/Materialform; flüssig meist heiß-trocken	qo chcthy kchol daiin qoaiin cthy chaiin ykeey cthom
G631-N016	G631-O0341	f49v	f49v.6	chcthy	CH	y	chotchy	GDT625_TERMINAL_QUALITY	COLD|DRY	QUALITY_BEFORE_PART	MATCHING_PREFIX_AXIS	1	trockenes Blattgut/Blattdroge	kalt-trocken	chotchy chcthy cthey koddy
G631-N017	G631-O0411	f75r	f75r.9	chcthy	CH	y	qokchdy	GDT625_TERMINAL_QUALITY	DRY|HOT	QUALITY_BEFORE_PART	MATCHING_PREFIX_AXIS	1	trockenes CTH-Pflanzen-/Drogengut	heiß-trocken	qokchdy chcthy lo qokedy qokan checkhy qokar olchedy sal
G631-N018	G631-O0433	f79r	f79r.8	chcthy	CH	y	ykchedy	GDT625_TERMINAL_QUALITY	DRY|HOT	QUALITY_BEFORE_PART	MATCHING_PREFIX_AXIS	1	trockenes CTH-Pflanzen-/Drogengut	heiß-trocken	qokol cheedy qokal shed ykchedy chcthy yoky qokal cholo
G631-N019	G631-O0443	f80r	f80r.18	shcthy	SH	y	qotol	GDT628_BARE_OL_QUALITY	COLD	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	feuchtes CTH-Pflanzen-/Drogengut	kalte Zustands-/Materialform; flüssig meist kalt	paiin sheol qokain chety qokeedy qokar shcthy qotol shecthy qokain olkam
G631-N020	G631-O0471	f85r2	f85r2.1	chcthy	CH	y	otchdy	GDT625_TERMINAL_QUALITY	COLD|DRY	PART_BEFORE_QUALITY	MATCHING_PREFIX_AXIS	1	trockenes CTH-Pflanzen-/Drogengut	kalt-trocken	odeedy otedy opaees ar chcthy otchdy otody otar chepaiin otodar otodaiin opaiin otaiin qopchas otchedy olkaiin odar aloees otchedy qotedaiin odar octhody shedaiin olaiin olfor daiin ol lkechch os aiin oteedy dar otees opaiin chcphdar
G631-N021	G631-O0475	f86v6	f86v6.29	chcthdy	CH	dy	shol	GDT628_BARE_OL_QUALITY	MOIST	PART_BEFORE_QUALITY	OPPOSITE_PREFIX_AXIS	1	trockenes cth-Pflanzenteilform (chcthdy)	feuchte Zustands-/Materialform; flüssig meist feucht	dchedy chcthdy shol oky ytaiin ykaiin chedy dy dal shdaiin
G631-N022	G631-O0477	f86v6	f86v6.40	shcthdy	SH	dy	qokol	GDT628_BARE_OL_QUALITY	HOT	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	feuchtes cth-Pflanzenteilform (shcthdy)	heiße Zustands-/Materialform; flüssig meist heiß	daiin ar qotal tshdy otar shcthdy qokol chotal kar ol kar alky
G631-N023	G631-O0533	f95r1	f95r1.6	chcthy	CH	y	qotchdy	GDT625_TERMINAL_QUALITY	COLD|DRY	PART_BEFORE_QUALITY	MATCHING_PREFIX_AXIS	1	trockenes Blattgut/Blattdroge	kalt-trocken	tchdor or chekchdy qokar chcthy qotchdy lshedy qoky qofain dy
G631-N024	G631-O0536	f95v1	f95v1.12	shcthy	SH	y	dolkchy	GDT625_TERMINAL_QUALITY	DRY|HOT	PART_BEFORE_QUALITY	OPPOSITE_PREFIX_AXIS	1	feuchtes Blattgut/Blattdroge	heiß-trocken	shotshey s aiin ody olkchdy qotaiin shcthy dolkchy tchdaiin dal
