remainder	bare_surface	bare_occurrences	bare_pages	bare_triple_exact	ch_surface	ch_occurrences	ch_pages	ch_triple_exact	sh_surface	sh_occurrences	sh_pages	sh_triple_exact	k_surface	k_occurrences	k_pages	k_triple_exact	t_surface	t_occurrences	t_pages	t_triple_exact	occupied_prefixes	prefixed_modes	total_occurrences
oly	ctholy	4	4	4	chctholy	0	0	0	shctholy	0	0	0	kctholy	0	0	0	tctholy	0	0	0	BARE	0	4
am	ctham	1	1	1	chctham	2	2	1	shctham	0	0	0	kctham	0	0	0	tctham	0	0	0	BARE|CH	1	3
ory	cthory	2	2	2	chcthory	1	1	0	shcthory	0	0	0	kcthory	0	0	0	tcthory	0	0	0	BARE|CH	1	3
an	cthan	2	2	2	chcthan	0	0	0	shcthan	0	0	0	kcthan	0	0	0	tcthan	0	0	0	BARE	0	2
d	cthd	1	1	1	chcthd	1	1	1	shcthd	0	0	0	kcthd	0	0	0	tcthd	0	0	0	BARE|CH	1	2
eo	ctheo	2	2	0	chctheo	0	0	0	shctheo	0	0	0	kctheo	0	0	0	tctheo	0	0	0	BARE	0	2
eod	ctheod	2	2	1	chctheod	0	0	0	shctheod	0	0	0	kctheod	0	0	0	tctheod	0	0	0	BARE	0	2
odal	cthodal	2	2	2	chcthodal	0	0	0	shcthodal	0	0	0	kcthodal	0	0	0	tcthodal	0	0	0	BARE	0	2
og	cthog	2	2	1	chcthog	0	0	0	shcthog	0	0	0	kcthog	0	0	0	tcthog	0	0	0	BARE	0	2
oiin	cthoiin	2	2	2	chcthoiin	0	0	0	shcthoiin	0	0	0	kcthoiin	0	0	0	tcthoiin	0	0	0	BARE	0	2
yd	cthyd	2	2	1	chcthyd	0	0	0	shcthyd	0	0	0	kcthyd	0	0	0	tcthyd	0	0	0	BARE	0	2
aiar	cthaiar	1	1	0	chcthaiar	0	0	0	shcthaiar	0	0	0	kcthaiar	0	0	0	tcthaiar	0	0	0	BARE	0	1
aildy	cthaildy	1	1	1	chcthaildy	0	0	0	shcthaildy	0	0	0	kcthaildy	0	0	0	tcthaildy	0	0	0	BARE	0	1
arad	ctharad	1	1	0	chctharad	0	0	0	shctharad	0	0	0	kctharad	0	0	0	tctharad	0	0	0	BARE	0	1
aral	ctharal	1	1	0	chctharal	0	0	0	shctharal	0	0	0	kctharal	0	0	0	tctharal	0	0	0	BARE	0	1
ay	cthay	1	1	0	chcthay	0	0	0	shcthay	0	0	0	kcthay	0	0	0	tcthay	0	0	0	BARE	0	1
daly	cthdaly	1	1	1	chcthdaly	0	0	0	shcthdaly	0	0	0	kcthdaly	0	0	0	tcthdaly	0	0	0	BARE	0	1
e	cthe	1	1	0	chcthe	0	0	0	shcthe	0	0	0	kcthe	0	0	0	tcthe	0	0	0	BARE	0	1
ed	cthed	0	0	0	chcthed	1	1	1	shcthed	0	0	0	kcthed	0	0	0	tcthed	0	0	0	CH	1	1
eeb	ctheeb	1	1	0	chctheeb	0	0	0	shctheeb	0	0	0	kctheeb	0	0	0	tctheeb	0	0	0	BARE	0	1
eees	ctheees	1	1	1	chctheees	0	0	0	shctheees	0	0	0	kctheees	0	0	0	tctheees	0	0	0	BARE	0	1
ees	cthees	1	1	1	chcthees	0	0	0	shcthees	0	0	0	kcthees	0	0	0	tcthees	0	0	0	BARE	0	1
eety	ctheety	1	1	1	chctheety	0	0	0	shctheety	0	0	0	kctheety	0	0	0	tctheety	0	0	0	BARE	0	1
eoly	ctheoly	1	1	1	chctheoly	0	0	0	shctheoly	0	0	0	kctheoly	0	0	0	tctheoly	0	0	0	BARE	0	1
eos	ctheos	1	1	1	chctheos	0	0	0	shctheos	0	0	0	kctheos	0	0	0	tctheos	0	0	0	BARE	0	1
er	cther	1	1	1	chcther	0	0	0	shcther	0	0	0	kcther	0	0	0	tcther	0	0	0	BARE	0	1
es	cthes	1	1	1	chcthes	0	0	0	shcthes	0	0	0	kcthes	0	0	0	tcthes	0	0	0	BARE	0	1
l	cthl	1	1	0	chcthl	0	0	0	shcthl	0	0	0	kcthl	0	0	0	tcthl	0	0	0	BARE	0	1
oaiin	cthoaiin	1	1	0	chcthoaiin	0	0	0	shcthoaiin	0	0	0	kcthoaiin	0	0	0	tcthoaiin	0	0	0	BARE	0	1
ochy	cthochy	1	1	1	chcthochy	0	0	0	shcthochy	0	0	0	kcthochy	0	0	0	tcthochy	0	0	0	BARE	0	1
octhol	cthocthol	1	1	0	chcthocthol	0	0	0	shcthocthol	0	0	0	kcthocthol	0	0	0	tcthocthol	0	0	0	BARE	0	1
odaiin	cthodaiin	1	1	1	chcthodaiin	0	0	0	shcthodaiin	0	0	0	kcthodaiin	0	0	0	tcthodaiin	0	0	0	BARE	0	1
odam	cthodam	1	1	1	chcthodam	0	0	0	shcthodam	0	0	0	kcthodam	0	0	0	tcthodam	0	0	0	BARE	0	1
odar	cthodar	1	1	1	chcthodar	0	0	0	shcthodar	0	0	0	kcthodar	0	0	0	tcthodar	0	0	0	BARE	0	1
odd	cthodd	1	1	1	chcthodd	0	0	0	shcthodd	0	0	0	kcthodd	0	0	0	tcthodd	0	0	0	BARE	0	1
odoaly	cthodoaly	1	1	1	chcthodoaly	0	0	0	shcthodoaly	0	0	0	kcthodoaly	0	0	0	tcthodoaly	0	0	0	BARE	0	1
odol	cthodol	1	1	1	chcthodol	0	0	0	shcthodol	0	0	0	kcthodol	0	0	0	tcthodol	0	0	0	BARE	0	1
oj	cthoj	1	1	0	chcthoj	0	0	0	shcthoj	0	0	0	kcthoj	0	0	0	tcthoj	0	0	0	BARE	0	1
old	cthold	1	1	1	chcthold	0	0	0	shcthold	0	0	0	kcthold	0	0	0	tcthold	0	0	0	BARE	0	1
oldg	ctholdg	1	1	1	chctholdg	0	0	0	shctholdg	0	0	0	kctholdg	0	0	0	tctholdg	0	0	0	BARE	0	1
oldy	ctholdy	1	1	0	chctholdy	0	0	0	shctholdy	0	0	0	kctholdy	0	0	0	tctholdy	0	0	0	BARE	0	1
olo	ctholo	1	1	1	chctholo	0	0	0	shctholo	0	0	0	kctholo	0	0	0	tctholo	0	0	0	BARE	0	1
ols	cthols	1	1	1	chcthols	0	0	0	shcthols	0	0	0	kcthols	0	0	0	tcthols	0	0	0	BARE	0	1
oor	cthoor	1	1	1	chcthoor	0	0	0	shcthoor	0	0	0	kcthoor	0	0	0	tcthoor	0	0	0	BARE	0	1
orchy	cthorchy	1	1	1	chcthorchy	0	0	0	shcthorchy	0	0	0	kcthorchy	0	0	0	tcthorchy	0	0	0	BARE	0	1
ororaiin	cthororaiin	1	1	0	chcthororaiin	0	0	0	shcthororaiin	0	0	0	kcthororaiin	0	0	0	tcthororaiin	0	0	0	BARE	0	1
os	cthos	1	1	1	chcthos	0	0	0	shcthos	0	0	0	kcthos	0	0	0	tcthos	0	0	0	BARE	0	1
osg	cthosg	1	1	0	chcthosg	0	0	0	shcthosg	0	0	0	kcthosg	0	0	0	tcthosg	0	0	0	BARE	0	1
oshol	cthoshol	1	1	1	chcthoshol	0	0	0	shcthoshol	0	0	0	kcthoshol	0	0	0	tcthoshol	0	0	0	BARE	0	1
osy	cthosy	1	1	1	chcthosy	0	0	0	shcthosy	0	0	0	kcthosy	0	0	0	tcthosy	0	0	0	BARE	0	1
s	cths	1	1	1	chcths	0	0	0	shcths	0	0	0	kcths	0	0	0	tcths	0	0	0	BARE	0	1
ydain	cthydain	0	0	0	chcthydain	1	1	0	shcthydain	0	0	0	kcthydain	0	0	0	tcthydain	0	0	0	CH	1	1
ykedy	cthykedy	0	0	0	chcthykedy	1	1	0	shcthykedy	0	0	0	kcthykedy	0	0	0	tcthykedy	0	0	0	CH	1	1
