mode	record	line	locus	word	identity	introduction	before	prior_axis_sources	after	axis_sources	row_status
CARRY	f21r	f21r.12	f21r.12:2	chor	C1	NEW_INSTANCE	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	recorded
CARRY	f21r	f21r.12	f21r.12:5	chor	C1	REUSED_INSTANCE	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	recorded
NEW	f29v	f29v.1	f29v.1:7	cthy	B1	NEW_INSTANCE	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	moisture=WET;temperature=UNKNOWN;texture=UNKNOWN	moisture=f29v.1:6;temperature=NA;texture=NA	recorded
NEW	f29v	f29v.2	f29v.2:5	cthy	B1	REUSED_INSTANCE	moisture=WET;temperature=UNKNOWN;texture=UNKNOWN	moisture=f29v.1:6;temperature=NA;texture=NA	moisture=WET;temperature=UNKNOWN;texture=UNKNOWN	moisture=f29v.1:6;temperature=NA;texture=NA	recorded
NEW	f29v	f29v.4	f29v.4:3	okaiin	A1	NEW_INSTANCE	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	moisture=UNKNOWN;temperature=COLD;texture=UNKNOWN	moisture=NA;temperature=f29v.4:2;texture=NA	recorded
NEW	f29v	f29v.4	f29v.4:4	cthy	B1	REUSED_INSTANCE	moisture=WET;temperature=UNKNOWN;texture=GROUND	moisture=f29v.1:6;temperature=NA;texture=f29v.3:6	moisture=WET;temperature=UNKNOWN;texture=GROUND	moisture=f29v.1:6;temperature=NA;texture=f29v.3:6	recorded
NEW	f29v	f29v.4	f29v.4:9	okaiin	A2	NEW_INSTANCE	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	recorded
NEW	f32v	f32v.10	f32v.10:3	chor	C1	NEW_INSTANCE	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	recorded
NEW	f17r	f17r.5	f17r.5:2	cthy	B1	NEW_INSTANCE	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	recorded
NEW	f17r	f17r.5	f17r.5:3	chor	C1	NEW_INSTANCE	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	recorded
NEW	f21r	f21r.9	f21r.9:1	okaiin	A1	NEW_INSTANCE	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	recorded
NEW	f21r	f21r.9	f21r.9:8	cthy	B1	NEW_INSTANCE	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	recorded
NEW	f21r	f21r.12	f21r.12:2	chor	C1	NEW_INSTANCE	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	recorded
NEW	f21r	f21r.12	f21r.12:5	chor	C1	REUSED_INSTANCE	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=NA;temperature=NA;texture=NA	recorded
