unit_serial	register	page	unit_id	visible_owner	group_count	template_id	source_slot_order	latin_like_workshop_formula	german_source_order	compressed_surface_sequence	recovered_atom_sequence	recovered_literal_de	fluent_owner_reading_de
11	PROSE	f55v	H4-S002	H4	3	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de H4; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	daiin chedy talam	AIIN | CHD+Y | AL+AM	Sollmaß; laufenden Posten umsetzen; am Ziel verwahren	Stelle auf Sollmaß, übertrage den Posten und verwahre ihn an der Zielstelle.
12	PROSE	f55v	H4-S003	H4	4	P_WARM	OWNER > CURRENT ITEM > WARM/HOLD GRADE > READY/CLOSE	Recipe de H4; calefac leniter, tene ad gradum et comple.	Aktuellen Posten des Besitzers nehmen; gelinde wärmen; bis zur Stufe halten; bereitstellen oder schließen.	ykaiin cheoar cheeky oldy	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	Postenmaß; Auszug entnehmen; länger erwärmen und offen halten; Fortsetzung abschließen	Nimm den abgemessenen Auszug aus der Quelle, wärme ihn länger und führe den Arbeitsgang zu Ende.
13	PROSE	f55v	H4-S004	H4	6	P_MEASURE	OWNER > PORTION/MEASURE/STAGE > SET > CURRENT	Recipe de H4 portionem ad mensuram; pone in gradu suo.	Vom Besitzer eine Portion nehmen; auf Sollmaß oder Arbeitsstufe stellen.	aiin okal oltchy or y orain	AIIN | OK+AL | OL+CTH+Y | OR | Y | OR+AIN	Sollmaß; dort ansetzen; bereiten Posten weiterführen; Ansatz; dieser Posten; Ansatzportion	Arbeite nach Sollmaß, setze den Ansatz an der Zielstelle an und nimm davon eine Portion.
14	PROSE	f56r	H5-S001	H5	9	P_MEASURE	OWNER > PORTION/MEASURE/STAGE > SET > CURRENT	Recipe de H5 portionem ad mensuram; pone in gradu suo.	Vom Besitzer eine Portion nehmen; auf Sollmaß oder Arbeitsstufe stellen.	chochor cho chodaly daiin sho kchol otchor choky dal	HO+OR | HO | HO+AL+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	Zutatenansatz; Eingangsposten oder Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat; weiter bearbeiten; Folgeansatz; aktuellen Posten ansetzen; dorthin	Nimm eine Zutat der abgebildeten Pflanze, bringe sie nach Sollmaß zur Arbeitsstelle und beginne damit den nächsten Ansatz.
15	PROSE	f56r	H5-S002	H5	4	P_FLOW	OWNER > SOURCE > COURSE/PASSAGE > TARGET > CURRENT/CLOSE	Ab H5 per cursum ad locum duc; ibi tene vel claude.	Von der sichtbaren Quelle durch den Lauf zum Ziel führen; dort halten oder schließen.	schol choy choky cheeckhody	PREV+OL | HO+Y | OK+Y | EE+CKH+HO+CLOSE	vorigen Posten fortsetzen; diese Zutat; aktuellen Posten ansetzen; länger auftragen; Schluss	Nimm den vorigen Posten wieder auf, setze diese Zutat an und lasse sie länger an der Zielstelle einwirken.
16	PROSE	f56r	H5-S003	H5	4	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de H5; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	sh cho kchey qokokchy	SH | HO | KCH+E+Y | OK+OK+Y	halten; Eingangsposten oder Zutat; diesen Posten kurz bearbeiten; erneut ansetzen	Halte die Zutat, bearbeite sie kurz und setze sie noch einmal an.: halten; Zutat; diesen Posten kurz bearbeiten; erneut ansetzen
17	PROSE	f56r	H5-S004	H5	3	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de H5; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	okchy chokcheo kchal	OK+Y | OK+CHEO | KCH+AL	Posten zur Weiterbearbeitung ansetzen; Auszug zugeben; an der Zielstelle bearbeiten	Nimm den Posten in Arbeit, gib den Auszug zu und bearbeite alles an der Zielstelle.
18	PROSE	f56r	H5-S005	H5	4	P_APPLICATION	OWNER > PREPARATION > TARGET > CONTACT GRADE > FASTEN/CLOSE	Recipe praeparatum de H5; pone ad locum, tene et liga.	Bereitung des Besitzers nehmen; an die Stelle bringen; anlegen oder halten; befestigen und schließen.	sho chokchy kchoar sotodan	HO | OK+Y | CHEO+AR | OT+DAN	Zutat; Posten zur Weiterbearbeitung ansetzen; Auszug daraus; danach anwenden	Setze die nächste Zutat an, nimm den Auszug daraus und wende ihn danach an.
19	PROSE	f56r	H5-S006	H5	3	P_MEASURE	OWNER > PORTION/MEASURE/STAGE > SET > CURRENT	Recipe de H5 portionem ad mensuram; pone in gradu suo.	Vom Besitzer eine Portion nehmen; auf Sollmaß oder Arbeitsstufe stellen.	otchey keol daiin	OT+Y | E+OL | AIIN	nächster Teilposten; kurz weiterbearbeiten; Sollmaß	Nimm den folgenden Posten, führe ihn kurz weiter und stelle ihn auf Sollmaß.
20	PROSE	f81v	B1-S001	B1	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B1; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	Bearbeite kurz und schließe.
21	PROSE	f81v	B1-S002	B1	19	P_FLOW	OWNER > SOURCE > COURSE/PASSAGE > TARGET > CURRENT/CLOSE	Ab B1 per cursum ad locum duc; ibi tene vel claude.	Von der sichtbaren Quelle durch den Lauf zum Ziel führen; dort halten oder schließen.	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | AIR | OK+AL | AR | OL | AIN | OL+AIN | AL | OL | OL | LOCAL_WHOLE | OL+OR | OL | CKH+E+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+CLOSE	auf Sollmaß einstellen; Beckenwasser; dort ansetzen; aus dem Ansatz; fortsetzen; eine Portion; weitere Portion; dorthin; fortsetzen; vom vorigen Gang weiterführen; Zusatz; Fortsetzungsansatz; fortsetzen; kurz zur Zielstelle durchleiten; Sollmaß; dort länger halten; Sollmaß; durchleiten; Posten überführen; Schluss	Arbeite nach Sollmaß, öffne den Wasserlauf am Ziel, nimm vom Ausgang, führe weiter, gib einen Anteil, einen weiteren Anteil und den Zusatz zum Ziel, halte dort länger, übertrage und schließe.
22	PROSE	f81v	B1-S003	B1	2	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B1; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	qol sshkchdy	OL | SH+KCH+CHD+CLOSE	fortsetzen; im Arbeitsgang schwenken; Schluss	Führe weiter, halte den Posten im Arbeitsgang, übertrage und schließe.
23	PROSE	f81v	B1-S004	B1	3	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B1; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	chedy ol shedy	CHD+Y | OL | SHED+E+CLOSE	laufenden Posten umsetzen; fortsetzen; kurz absetzen lassen; Schluss	Übertrage, führe weiter, lass absetzen und schließe.
24	PROSE	f81v	B1-S005	B1	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B1; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	qolchedy	OL+CHD+CLOSE	weiterüberführen; Schluss	Führe den Posten weiter und schließe.
25	PROSE	f81v	B1-S006	B1	4	P_FLOW	OWNER > SOURCE > COURSE/PASSAGE > TARGET > CURRENT/CLOSE	Ab B1 per cursum ad locum duc; ibi tene vel claude.	Von der sichtbaren Quelle durch den Lauf zum Ziel führen; dort halten oder schließen.	qokain shckhy dl ral	OK+AIN | CKH+Y | LOCAL_WHOLE | AL	eine Portion zugeben; durchleiten; Zusatz; zur Zielstelle	Gib einen gezählten Anteil und den Zusatz zu, leite den Posten durch und führe ihn zum Ziel.
26	PROSE	f81v	B1-S007	B1	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B1; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	Nimm den Posten in Arbeit, übertrage und schließe.
27	PROSE	f81v	B1-S008	B1	5	P_WARM	OWNER > CURRENT ITEM > WARM/HOLD GRADE > READY/CLOSE	Recipe de B1; calefac leniter, tene ad gradum et comple.	Aktuellen Posten des Besitzers nehmen; gelinde wärmen; bis zur Stufe halten; bereitstellen oder schließen.	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+E+CLOSE	dieser Posten; fortsetzen; kurz wärmen; fortsetzen; kurz absetzen lassen; Schluss	Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe.
28	PROSE	f81v	B1-S009	B1	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B1; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	Bearbeite kurz und schließe.
29	PROSE	f81v	B1-S010	B1	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B1; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	Bearbeite kurz und schließe.
30	PROSE	f81v	B1-S011	B1	2	P_FLOW	OWNER > SOURCE > COURSE/PASSAGE > TARGET > CURRENT/CLOSE	Ab B1 per cursum ad locum duc; ibi tene vel claude.	Von der sichtbaren Quelle durch den Lauf zum Ziel führen; dort halten oder schließen.	chckhy qoky	CKH+Y | OK+Y	durchleiten; aktuellen Posten ansetzen	Leite durch und nimm den Posten in Arbeit.
31	PROSE	f81v	B1-S012	B1	3	P_WASH	OWNER > WATER/LIQUID > WASH > OUTLET > CLOSE	Recipe liquorem de B1; lava, per conductum duc, effunde et claude.	Arbeitsflüssigkeit des Besitzers nehmen; waschen; durch den Lauf führen; abführen und schließen.	lsho qokey lshedy	WASH+START | OK+E+Y | WASH+CLOSE	Waschgang beginnen; kurz ansetzen; waschen; Schluss	Beginne mit dem durchgeleiteten Waschposten den Waschgang, bearbeite kurz, wasche und schließe.
32	PROSE	f81v	B1-S013	B1	1	P_WASH	OWNER > WATER/LIQUID > WASH > OUTLET > CLOSE	Recipe liquorem de B1; lava, per conductum duc, effunde et claude.	Arbeitsflüssigkeit des Besitzers nehmen; waschen; durch den Lauf führen; abführen und schließen.	lshedy	WASH+CLOSE	waschen; Schluss	Wasche und schließe.
33	PROSE	f81v	B1-S014	B1	5	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B1; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	chedy qolky lchedal qol otar	CHD+Y | OL | L+CHD+AL | OL | OT+AR	laufenden Posten umsetzen; auf dem Arbeitsweg weiterleiten; zur Ablaufstelle führen; fortsetzen; danach von dort	Übertrage, führe weiter, leite am Auslass ab und führe danach von dort weiter.
34	PROSE	f81v	B1-S015	B1	2	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B1; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	ytey okchedy	Y+E+TY | OK+CHD+CLOSE	kurzen Teil des aktuellen Postens nehmen; angesetzten Inhalt überführen; Schluss	Nimm einen kurzen Teil des aktuellen Postens, setze ihn an, übertrage und schließe.
35	PROSE	f81v	B1-S016	B1	4	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B1; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+E+CLOSE	dort ansetzen; länger ansetzen; fortsetzen; kurz absetzen lassen; Schluss	Setze dort länger an, führe weiter, lass absetzen und schließe.
36	PROSE	f81v	B1-S017	B1	3	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B1; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	sal teol dchdy	AL | E+OL | CHD+CLOSE	dorthin; kurz weiterleiten; weitergeführten Posten überführen; Schluss	Führe dorthin, führe kurz weiter, übertrage und schließe.
37	PROSE	f81v	B1-S018	B1	4	P_COLLECT	OWNER > FLOW/OUTPUT > RECEIVER > MEASURE > CLOSE	Recipe fluxum de B1; collige in vase, mensura et serva.	Ausgabe oder Lauf des Besitzers auffangen; im Empfänger sammeln; bemessen und verwahren.	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | IIN | SOLK+EE+CLOSE	aktuellen Posten abführen; kurz weiter ruhen lassen; Sollstufe; länger sammeln; Schluss	Führe den aktuellen Posten ab, halte kurz, führe fort, stelle die Stufe ein, sammle länger und schließe.
38	PROSE	f81v	B1-S019	B1	1	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B1; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	tedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	Lass absetzen und schließe.
39	PROSE	f81v	B1-S020	B1	2	P_FILTER	OWNER > MATERIAL > PRESS/STRAIN > STAND > CLEAR RESULT > STORE	Recipe de B1; exprime, cola, dimitte stare, clarum recipe et serva.	Vom sichtbaren Besitzer nehmen; auswringen oder seihen; stehen lassen; sichtbaren Auszug nehmen; verwahren.	cheky shckhedy	CHK+E+Y | CKHE+CLOSE	kurz wärmen; seihen; Schluss	Wärme kurz, seih und schließe.
40	PROSE	f81v	B1-S021	B1	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B1; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	chal	AL	dorthin	Führe den Posten dorthin.
41	PROSE	f82r	B2-S001	B2	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B2; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	dchedy	CHD+CLOSE	Posten überführen; Schluss	Übertrage und schließe.
42	PROSE	f82r	B2-S002	B2	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B2; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	qolchedy	OL+CHD+CLOSE	weiterüberführen; Schluss	Führe weiter und schließe.
43	PROSE	f82r	B2-S003	B2	3	P_MEASURE	OWNER > PORTION/MEASURE/STAGE > SET > CURRENT	Recipe de B2 portionem ad mensuram; pone in gradu suo.	Vom Besitzer eine Portion nehmen; auf Sollmaß oder Arbeitsstufe stellen.	qokain dy qokeedy	OK+AIN | Y | OK+EE+CLOSE	eine Portion zugeben; dieser Posten; länger ansetzen; Schluss	Gib einen Anteil zu, setze den Posten länger an und schließe.
44	PROSE	f82r	B2-S004	B2	5	P_FILTER	OWNER > MATERIAL > PRESS/STRAIN > STAND > CLEAR RESULT > STORE	Recipe de B2; exprime, cola, dimitte stare, clarum recipe et serva.	Vom sichtbaren Besitzer nehmen; auswringen oder seihen; stehen lassen; sichtbaren Auszug nehmen; verwahren.	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKHE+CLOSE	dort ansetzen; Ausgangsdurchlass; abführen; länger ansetzen; abseihen; Schluss	Setze dort an, leite durch den Ausgang, führe ab, bearbeite länger, seih ab und schließe.
45	PROSE	f82r	B2-S005	B2	8	P_WARM	OWNER > CURRENT ITEM > WARM/HOLD GRADE > READY/CLOSE	Recipe de B2; calefac leniter, tene ad gradum et comple.	Aktuellen Posten des Besitzers nehmen; gelinde wärmen; bis zur Stufe halten; bereitstellen oder schließen.	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | CTH+OL | CHK+EE+Y | L+CLOSE	dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende	Nimm den aktuellen Posten in Arbeit am Ziel, sammle bis zum Vorgabewert, leite durch, setze zweimal auf Vorgabewert, führe bereit fort, wärme länger, führe ab und schließe.
46	PROSE	f82r	B2-S006	B2	4	P_FLOW	OWNER > SOURCE > COURSE/PASSAGE > TARGET > CURRENT/CLOSE	Ab B2 per cursum ad locum duc; ibi tene vel claude.	Von der sichtbaren Quelle durch den Lauf zum Ziel führen; dort halten oder schließen.	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | CKH+E+Y | OK+Y	langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen	Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und nimm den Posten in Arbeit.
47	PROSE	f82r	B2-S007	B2	1	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B2; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	dshedy	SHED+E+CLOSE	kurz absetzen; Schluss	Lass kurz absetzen und schließe.
48	PROSE	f82r	B2-S008	B2	3	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B2; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+E+CLOSE	Folgemaß; daraus ansetzen; kurz absetzen lassen; Schluss	Stelle den Folgewert ein, setze daraus an, lass absetzen und schließe.
49	PROSE	f82r	B2-S009	B2	1	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B2; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	solshedy	OL+SHED+CLOSE	weiter absetzen; Schluss	Lass weiter absetzen und schließe.
50	PROSE	f82r	B2-S010	B2	4	P_FILTER	OWNER > MATERIAL > PRESS/STRAIN > STAND > CLEAR RESULT > STORE	Recipe de B2; exprime, cola, dimitte stare, clarum recipe et serva.	Vom sichtbaren Besitzer nehmen; auswringen oder seihen; stehen lassen; sichtbaren Auszug nehmen; verwahren.	qokeey qoky ls cheey	OK+EE+Y | OK+Y | L | CHEEY	länger ansetzen; aktuellen Posten ansetzen; Durchlassöffnung; klarer Auszug	Bearbeite länger, führe den Posten durch den Auslass und nimm den Klarauszug.
51	PROSE	f82r	B2-S011	B2	4	P_MEASURE	OWNER > PORTION/MEASURE/STAGE > SET > CURRENT	Recipe de B2 portionem ad mensuram; pone in gradu suo.	Vom Besitzer eine Portion nehmen; auf Sollmaß oder Arbeitsstufe stellen.	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+CLOSE	eine Portion zugeben; aus dem Ansatz; eine Portion zugeben; länger ansetzen; Schluss	Gib einen gezählten Anteil zu, nimm vom Ausgang einen weiteren Anteil, bearbeite länger und schließe.
52	PROSE	f82r	B2-S012	B2	8	P_FILTER	OWNER > MATERIAL > PRESS/STRAIN > STAND > CLEAR RESULT > STORE	Recipe de B2; exprime, cola, dimitte stare, clarum recipe et serva.	Vom sichtbaren Besitzer nehmen; auswringen oder seihen; stehen lassen; sichtbaren Auszug nehmen; verwahren.	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+Y | CHEEY | CTH+E+Y | OK+EE+Y | L+CHEEY | AIIN | Y | OK+EEE+CLOSE	abziehen; klarer Auszug; kurz bereithalten; länger ansetzen; Klarlauf abfuehren; Sollmaß; dieser Posten; vollständig ansetzen; Schluss	Ziehe den Posten ab, nimm den Klarauszug, halte ihn kurz bereit, setze ihn länger an, führe den Klarauszug ab, arbeite nach Sollmaß, führe den Posten vollständig aus und schließe.
53	PROSE	f82r	B2-S013	B2	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B2; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	lchedy	L+CHD+CLOSE	abführen; Schluss	Führe ab und schließe.
