feature	frozen_coefficient	classification	used_by_primary_class_definition	semantic_state
H4_CURRENT_RETURN_RIGHT	-0.143953363146	POST_OR_MIXED	1	UNASSIGNED
H4_PREVIOUS_CLASS_RESUME	-0.061615305252	POST_OR_MIXED	1	UNASSIGNED
H4_PERSISTENT_PRE_EXIT	0.044591442498	POST_OR_MIXED	1	UNASSIGNED
H4_POST_NOVELTY	-0.053056257269	POST_OR_MIXED	1	UNASSIGNED
H4_UNIQUE_CLASS_DELTA	-0.032303623529	POST_OR_MIXED	1	UNASSIGNED
H8_CLASS_SET_JACCARD	-0.065142469598	POST_OR_MIXED	1	UNASSIGNED
H8_CLASS_JS_DIVERGENCE	-0.036045984141	POST_OR_MIXED	1	UNASSIGNED
H8_RECONVERGENCE	-0.111020168271	POST_OR_MIXED	1	UNASSIGNED
H8_CURRENT_RETURN_LEFT	0.344986737331	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
H8_CURRENT_RETURN_RIGHT	0.340013770568	POST_OR_MIXED	1	UNASSIGNED
H8_PREVIOUS_CLASS_RESUME	-0.142350824548	POST_OR_MIXED	1	UNASSIGNED
H8_PERSISTENT_PRE_EXIT	-0.000537757354	POST_OR_MIXED	1	UNASSIGNED
H8_POST_NOVELTY	-0.084595858572	POST_OR_MIXED	1	UNASSIGNED
H8_UNIQUE_CLASS_DELTA	0.059999332559	POST_OR_MIXED	1	UNASSIGNED
