held_folio	n	positives	powered	auc_nuisance	auc_trivial	auc_full	gain_full_vs_nuisance_bits	gain_full_vs_trivial_bits	positive_both
f81	148	51	1	0.636345260	0.886597938	0.906003639	70.997851887	4.986299731	1
f82	161	59	1	0.598039216	0.846460618	0.868228647	82.517098846	5.715303066	1
f83	262	99	1	0.625952779	0.858399950	0.880770899	132.837994992	11.406994066	1
f85	92	33	1	0.755007704	0.908577298	0.923472008	28.293319901	2.971923489	1
f86	277	80	1	0.722081218	0.897335025	0.906916244	85.621585805	-0.187767878	0
f87	39	10	1	0.824137931	0.924137931	0.917241379	4.814950727	-1.769696089	0
f88	66	20	1	0.786956522	0.977173913	0.977173913	33.206097338	1.483160783	1
f89	60	21	1	0.832722833	0.958485958	0.957264957	19.041328243	0.928641412	1
f9	72	27	1	0.753086420	0.922633745	0.911934156	18.450340011	0.333974721	1
f90	16	4	0	0.812500000	0.854166667	0.979166667	4.143943123	1.067921992	1
f93	80	28	1	0.834478022	0.933379121	0.932005495	19.002870491	1.224333526	1
f94	44	22	1	0.867768595	0.944214876	0.966942149	14.021035882	3.801645602	1
f95	142	46	1	0.842164855	0.934329710	0.936141304	36.610414335	6.609495510	1
f96	56	23	1	0.816864295	0.898550725	0.938076416	12.217072368	4.264995824	1
f99	63	23	1	0.975000000	0.988043478	0.985869565	16.737610472	-1.428619260	0
