locus	group_index	raw_group	hypothesis_meaning	status
f21r.11	7	shey	fülle ein	ASSUMED_NOT_CONFIRMED
f21r.11	8	yteol	[unaufgelöst: yteol]	UNRESOLVED
f21r.11	9	shody	[unaufgelöst: shody]	UNRESOLVED
f21r.12	1	ykeey	[unaufgelöst: ykeey]	UNRESOLVED
f21r.12	2	chor	Blüten	ASSUMED_NOT_CONFIRMED
f21r.12	3	sheey	[unaufgelöst: sheey]	UNRESOLVED
f21r.12	4	ysheol	[unaufgelöst: ysheol]	UNRESOLVED
f21r.12	5	chor	Blüten	ASSUMED_NOT_CONFIRMED
f21r.12	6	chol	trocken	ASSUMED_NOT_CONFIRMED
f21r.12	7	daiin	festgelegte Dosis	ASSUMED_NOT_CONFIRMED
f21r.12	8	chkaiin	[unaufgelöst: chkaiin]	UNRESOLVED
f32v.7	1	ksho	[unaufgelöst: ksho]	UNRESOLVED
f32v.7	2	cphos	zerreibe	ASSUMED_NOT_CONFIRMED
f32v.7	3	she	lasse stehen	ASSUMED_NOT_CONFIRMED
f32v.7	4	sheaiin	Standzeit	ASSUMED_NOT_CONFIRMED
f32v.7	5	otshcho	kühles Inneres	ASSUMED_NOT_CONFIRMED
f32v.7	6	r	danach	ASSUMED_NOT_CONFIRMED
f32v.7	7	dain	kleine Dosis	ASSUMED_NOT_CONFIRMED
f32v.7	8	shckhy	vermische	ASSUMED_NOT_CONFIRMED
f32v.7	9	s	je	ASSUMED_NOT_CONFIRMED
f32v.7	10	odan	Rest	ASSUMED_NOT_CONFIRMED
f32v.8	1	otchol	getrocknetes Gut	ASSUMED_NOT_CONFIRMED
f32v.8	2	daiin	festgelegte Dosis	ASSUMED_NOT_CONFIRMED
f32v.8	3	daiin	festgelegte Dosis	ASSUMED_NOT_CONFIRMED
f32v.8	4	ctho	Pflanzenpulver	ASSUMED_NOT_CONFIRMED
f32v.8	5	daiin	festgelegte Dosis	ASSUMED_NOT_CONFIRMED
f32v.8	6	qotaiin	abgeteilte Portion	ASSUMED_NOT_CONFIRMED
f32v.8	7	otchy	entnimm	ASSUMED_NOT_CONFIRMED
f32v.8	8	d	[unaufgelöst: d]	UNRESOLVED
f32v.8	9	shan	Feinanteil	ASSUMED_NOT_CONFIRMED
f32v.9	1	qotchy	siebe	ASSUMED_NOT_CONFIRMED
f32v.9	2	cfhy	Filter	ASSUMED_NOT_CONFIRMED
f32v.9	3	skey	halte zurück	ASSUMED_NOT_CONFIRMED
f32v.9	4	chocthy	Pflanzenmark	ASSUMED_NOT_CONFIRMED
f32v.9	5	daiin	festgelegte Dosis	ASSUMED_NOT_CONFIRMED
f32v.9	6	cthaiin	Pflanzenportion	ASSUMED_NOT_CONFIRMED
f32v.9	7	daiin	festgelegte Dosis	ASSUMED_NOT_CONFIRMED
f32v.10	1	sho	Flüssigkeit	ASSUMED_NOT_CONFIRMED
f32v.10	2	keol	Öl	ASSUMED_NOT_CONFIRMED
f32v.10	3	chor	Blüten	ASSUMED_NOT_CONFIRMED
f32v.10	4	chol	trocken	ASSUMED_NOT_CONFIRMED
f32v.10	5	daiin	festgelegte Dosis	ASSUMED_NOT_CONFIRMED
f32v.10	6	cpho	zerstoße	ASSUMED_NOT_CONFIRMED
f32v.10	7	l	[unaufgelöst: l]	UNRESOLVED
f32v.10	8	cthol	trockenes Pflanzengut	ASSUMED_NOT_CONFIRMED
f32v.10	9	da	[unaufgelöst: da]	UNRESOLVED
f32v.10	10	ar	Anteil	ASSUMED_NOT_CONFIRMED
f32v.11	1	ol	mit	ASSUMED_NOT_CONFIRMED
f32v.11	2	sho	Flüssigkeit	ASSUMED_NOT_CONFIRMED
f32v.11	3	chy	verarbeite	ASSUMED_NOT_CONFIRMED
f29v.1	1	kooiin	Wurzelgut	ASSUMED_NOT_CONFIRMED
f29v.1	2	shor	Samen	ASSUMED_NOT_CONFIRMED
f29v.1	3	chetchy	zerkleinere	ASSUMED_NOT_CONFIRMED
f29v.1	4	ol	mit	ASSUMED_NOT_CONFIRMED
f29v.1	5	ls	[unaufgelöst: ls]	UNRESOLVED
f29v.1	6	shytchy	benetze	ASSUMED_NOT_CONFIRMED
f29v.1	7	cthy	Pflanzengut	ASSUMED_NOT_CONFIRMED
f29v.1	8	shy	feucht	ASSUMED_NOT_CONFIRMED
f29v.1	9	cho	Inneres	ASSUMED_NOT_CONFIRMED
f29v.1	10	shy	feucht	ASSUMED_NOT_CONFIRMED
f29v.1	11	daiin	festgelegte Dosis	ASSUMED_NOT_CONFIRMED
f29v.2	1	qotcheaiin	abgetrenntes Feinpulver	ASSUMED_NOT_CONFIRMED
f29v.2	2	s	je	ASSUMED_NOT_CONFIRMED
f29v.2	3	chol	trocken	ASSUMED_NOT_CONFIRMED
f29v.2	4	chol	trocken	ASSUMED_NOT_CONFIRMED
f29v.2	5	cthy	Pflanzengut	ASSUMED_NOT_CONFIRMED
f29v.2	6	chey	prüfe	ASSUMED_NOT_CONFIRMED
f29v.2	7	cthold	Pflanzenrückstand	ASSUMED_NOT_CONFIRMED
f29v.2	8	ytchor	zerkleinerte Blüten	ASSUMED_NOT_CONFIRMED
f29v.2	9	dary	Teilmenge	ASSUMED_NOT_CONFIRMED
f29v.3	1	chol	trocken	ASSUMED_NOT_CONFIRMED
f29v.3	2	chol	trocken	ASSUMED_NOT_CONFIRMED
f29v.3	3	kor	Mörser	ASSUMED_NOT_CONFIRMED
f29v.3	4	shey	fülle ein	ASSUMED_NOT_CONFIRMED
f29v.3	5	odaiin	Zusatzmenge	ASSUMED_NOT_CONFIRMED
f29v.3	6	qotchy	siebe	ASSUMED_NOT_CONFIRMED
f29v.3	7	taiin	Auffanggefäß	ASSUMED_NOT_CONFIRMED
f29v.3	8	s	je	ASSUMED_NOT_CONFIRMED
f29v.3	9	she	lasse stehen	ASSUMED_NOT_CONFIRMED
f29v.3	10	otey	bis	ASSUMED_NOT_CONFIRMED
f29v.3	11	sy	abgesetzt	ASSUMED_NOT_CONFIRMED
f29v.4	1	ysho	Flüssigkeitszugabe	ASSUMED_NOT_CONFIRMED
f29v.4	2	otshy	kühl	ASSUMED_NOT_CONFIRMED
f29v.4	3	okaiin	Ansatz	ASSUMED_NOT_CONFIRMED
f29v.4	4	cthy	Pflanzengut	ASSUMED_NOT_CONFIRMED
f29v.4	5	oltchy	abgekühlt	ASSUMED_NOT_CONFIRMED
f29v.4	6	s	je	ASSUMED_NOT_CONFIRMED
f29v.4	7	shot	erwärme	ASSUMED_NOT_CONFIRMED
f29v.4	8	sho	Flüssigkeit	ASSUMED_NOT_CONFIRMED
f29v.4	9	okaiin	Ansatz	ASSUMED_NOT_CONFIRMED
