carrier	component_id	component_size	seq_len	entry_flag	closure_flag	k_flag	train_n	held_n	train_folios	held_folios	train_sections	held_sections	train_line_initial_rate	held_line_initial_rate	train_logodds_H	held_logodds_H	train_logodds_PB	held_logodds_PB	train_logodds_B	held_logodds_B	train_logodds_P	held_logodds_P	train_logodds_T	held_logodds_T
CEy	X001	200	1	0	0	0	80	55	29	13	B:32;C:1;H:18;P:7;S:20;T:2	B:2;C:0;H:1;P:2;S:48;T:2	0.037500	0.000000	-0.916382	-1.824800	0.873975	-0.238120	0.762173	0.007902	0.747754	-0.230069	-1.021073	-0.190415
Cdy	X001	200	1	0	1	0	85	35	26	11	B:8;C:4;H:46;P:0;S:16;T:11	B:3;C:1;H:7;P:0;S:21;T:3	0.000000	0.000000	0.469394	0.440255	-1.294699	-0.027962	-1.054558	0.847369	-2.119619	-1.431085	0.562983	0.648676
Ce+Ky	X001	200	2	0	1	0	31	14	15	8	B:18;C:1;H:6;P:0;S:5;T:1	B:1;C:0;H:1;P:1;S:11;T:0	0.000000	0.000000	-1.064082	-0.424395	1.236738	0.592318	1.476946	0.876033	-1.118298	0.638578	-0.584558	-0.493930
Ce+Ty	X001	200	2	0	1	0	16	8	8	5	B:12;C:0;H:3;P:0;S:0;T:1	B:0;C:0;H:0;P:0;S:8;T:0	0.000000	0.000000	-1.046453	-1.060490	1.942890	-0.633047	2.182859	0.238278	-0.470897	0.001293	0.093132	0.040797
Ce+ar	X001	200	2	0	0	0	22	18	14	10	B:3;C:1;H:10;P:0;S:5;T:3	B:0;C:0;H:3;P:2;S:12;T:1	0.000000	0.000000	0.130018	0.285917	-0.798999	0.314234	-0.559269	-0.540491	-0.781361	0.950248	0.711857	0.418212
Ce+daN	X001	200	2	0	1	0	19	11	10	5	B:6;C:1;H:4;P:0;S:8;T:0	B:0;C:0;H:0;P:0;S:11;T:0	0.052632	0.000000	-0.933344	-1.363128	0.188696	-0.935667	0.428501	-0.064322	-0.638105	-0.301311	-1.235876	-0.261806
Ce+ky	X001	200	2	0	1	0	38	13	22	9	B:7;C:0;H:20;P:2;S:7;T:2	B:2;C:0;H:5;P:0;S:6;T:0	0.000000	0.000000	0.407672	1.340914	-0.214099	0.675813	-0.276654	1.549719	0.345686	-0.461869	-0.253032	-0.422364
Ce+o	X001	200	2	0	0	0	12	12	10	6	B:0;C:0;H:7;P:1;S:4;T:0	B:0;C:0;H:0;P:0;S:12;T:0	0.000000	0.083333	0.614777	-1.446628	-1.118024	-1.019161	-2.060659	-0.147810	0.990051	-0.384800	-0.790815	-0.345295
Ce+ody	X001	200	2	0	1	0	35	32	17	10	B:0;C:2;H:15;P:2;S:13;T:3	B:0;C:0;H:0;P:11;S:20;T:1	0.000000	0.031250	0.024682	-2.404524	-1.677740	1.584273	-3.105951	-1.105454	0.431608	2.227771	0.200335	-0.171082
Ce+or	X001	200	2	0	0	0	46	15	30	7	B:7;C:0;H:21;P:8;S:7;T:3	B:0;C:0;H:7;P:4;S:4;T:0	0.086957	0.000000	0.133909	1.652476	0.210751	1.265646	-0.503486	-0.363241	1.522426	1.903273	-0.091776	-0.560729
Ce+os	X001	200	2	0	0	0	16	10	13	6	B:0;C:1;H:9;P:1;S:5;T:0	B:0;C:0;H:0;P:3;S:7;T:0	0.000000	0.000000	0.541071	-1.272037	-1.416792	1.441204	-2.338549	0.026756	0.691352	2.077989	-1.068661	-0.170727
Ce+s	X001	200	2	0	0	0	16	9	13	7	B:7;C:0;H:4;P:1;S:3;T:1	B:1;C:0;H:1;P:0;S:6;T:1	0.000000	0.000000	-0.717976	0.038823	0.920273	0.466586	0.923464	1.339189	0.691352	-0.110040	0.093132	1.141314
Cedy	X001	200	1	0	1	0	263	150	27	12	B:127;C:3;H:53;P:0;S:50;T:30	B:14;C:2;H:1;P:1;S:128;T:4	0.019011	0.006667	-1.077515	-2.845328	0.863986	0.032998	1.108453	0.848273	-3.254416	-1.780791	0.399079	-0.616237
Ceol	X001	200	1	0	0	0	77	47	32	14	B:18;C:0;H:22;P:12;S:20;T:5	B:3;C:0;H:4;P:7;S:32;T:1	0.038961	0.085106	-0.600789	-0.497328	0.478390	0.934170	-0.009319	0.531839	1.379599	1.157571	-0.150956	-0.562164
Cey	X001	200	1	0	1	0	178	88	47	15	B:55;C:0;H:60;P:7;S:37;T:19	B:5;C:1;H:8;P:1;S:70;T:3	0.016854	0.011364	-0.371191	-0.478452	0.299459	-0.343088	0.362544	0.354926	-0.104628	-1.238377	0.330129	-0.324327
Co	X001	200	1	0	0	0	39	7	22	7	B:0;C:0;H:31;P:4;S:4;T:0	B:0;C:0;H:2;P:1;S:3;T:1	0.051282	0.142857	1.617073	0.986025	-1.147733	0.735076	-3.212978	0.363548	0.963437	1.370220	-1.942834	1.409793
Co+daN	X001	200	2	0	1	0	27	15	22	9	B:0;C:0;H:18;P:1;S:5;T:3	B:0;C:0;H:4;P:2;S:8;T:1	0.074074	0.133333	0.972035	0.836903	-1.953855	0.515244	-2.850086	-0.363241	0.154479	1.151242	0.483330	0.606587
Co+s	X001	200	2	0	0	0	18	10	14	6	B:0;C:0;H:10;P:4;S:4;T:0	B:0;C:0;H:3;P:0;S:7;T:0	0.055556	0.100000	0.516022	1.012806	-0.250902	-0.844582	-2.453089	0.026756	1.859905	-0.210231	-1.183179	-0.170727
Col	X001	200	1	0	0	0	223	74	52	21	B:6;C:2;H:158;P:17;S:33;T:7	B:2;C:1;H:31;P:9;S:23;T:8	0.035874	0.094595	1.200843	1.467732	-1.234248	0.496522	-2.364286	-0.298037	0.565900	0.914227	-0.941351	0.825963
Cor	X001	200	1	0	0	0	137	40	46	17	B:0;C:0;H:123;P:7;S:5;T:2	B:0;C:0;H:18;P:5;S:12;T:5	0.058394	0.050000	2.459483	1.588001	-1.944801	0.337439	-4.466668	-1.326370	0.170712	0.976018	-1.570013	1.015881
Cy	X001	200	1	0	1	0	96	36	44	18	B:8;C:1;H:77;P:1;S:7;T:2	B:1;C:1;H:19;P:2;S:10;T:3	0.010417	0.027778	1.691435	1.893265	-1.305353	-0.058380	-1.187997	-0.093155	-1.131071	0.210707	-1.207434	0.618263
K+ey	X001	200	2	0	1	0	16	7	10	5	B:1;C:0;H:7;P:7;S:1;T:0	B:0;C:0;H:4;P:1;S:0;T:2	0.000000	0.000000	0.067891	2.027439	0.920273	0.735076	-1.177146	0.363548	2.797054	1.370220	-1.068661	2.089689
S+Edy	X001	200	2	0	1	0	46	22	15	9	B:28;C:1;H:5;P:0;S:10;T:2	B:3;C:1;H:0;P:1;S:15;T:2	0.021739	0.090909	-1.719637	-2.035606	1.355178	0.789431	1.595743	1.359581	-1.508538	0.172353	-0.451638	0.772399
S+Ey	X001	200	2	0	1	0	75	37	31	14	B:21;C:2;H:18;P:5;S:18;T:11	B:1;C:0;H:4;P:2;S:30;T:0	0.026667	0.054054	-0.832571	-0.234918	0.295733	-0.087907	0.229683	-0.121042	0.477287	0.182026	0.707654	-1.446599
S+Ky	X001	200	2	0	1	0	27	21	13	6	B:14;C:0;H:4;P:0;S:1;T:8	B:1;C:0;H:0;P:0;S:20;T:0	0.000000	0.000000	-1.350189	-1.990025	0.992424	-0.415130	1.232498	0.457552	-0.982290	-0.928095	1.602205	-0.888587
S+Ty	X001	200	2	0	1	0	21	8	13	3	B:8;C:0;H:7;P:0;S:1;T:5	B:0;C:0;H:0;P:0;S:8;T:0	0.000000	0.000000	-0.355393	-1.060490	0.457305	-0.633047	0.697177	0.238278	-0.735847	0.001293	1.332274	0.040797
S+ar	X001	200	2	0	0	0	17	8	13	6	B:5;C:0;H:4;P:0;S:7;T:1	B:0;C:0;H:2;P:0;S:5;T:1	0.176471	0.000000	-0.795022	0.818852	0.098499	-0.633047	0.338266	0.238278	-0.529789	0.001293	0.030558	1.266585
S+dy	X001	200	2	0	1	0	29	10	16	5	B:1;C:2;H:15;P:0;S:3;T:8	B:0;C:0;H:1;P:0;S:9;T:0	0.103448	0.000000	0.371471	-0.072521	-2.026752	-0.844582	-1.787051	0.026756	-1.052597	-0.210231	1.504460	-0.170727
S+ody	X001	200	2	0	1	0	39	10	23	8	B:1;C:0;H:26;P:1;S:7;T:4	B:0;C:0;H:2;P:0;S:4;T:4	0.128205	0.000000	0.980598	0.550350	-1.790811	-0.844582	-2.088452	0.026756	-0.219654	-0.210231	0.363804	2.514142
S+or	X001	200	2	0	0	0	63	21	36	12	B:0;C:2;H:46;P:2;S:6;T:7	B:1;C:0;H:15;P:1;S:3;T:1	0.253968	0.047619	1.285378	2.652563	-2.287163	0.146841	-3.689273	0.457552	-0.177331	0.220088	0.410622	0.259665
Se+Ky	X001	200	2	0	1	0	20	11	7	6	B:18;C:0;H:2;P:0;S:0;T:0	B:1;C:0;H:0;P:0;S:10;T:0	0.000000	0.000000	-1.698550	-1.363128	2.923894	0.255051	3.164056	1.127667	-0.688167	-0.301311	-1.285940	-0.261806
Se+ar	X001	200	2	0	0	0	12	10	10	7	B:4;C:0;H:5;P:0;S:2;T:1	B:0;C:0;H:0;P:2;S:7;T:1	0.000000	0.000000	-0.005936	-1.272037	0.283593	0.978433	0.523311	0.026756	-0.193058	1.614404	0.391839	1.029981
Se+o	X001	200	2	0	0	0	12	10	11	7	B:0;C:0;H:11;P:0;S:1;T:0	B:0;C:1;H:0;P:2;S:7;T:0	0.000000	0.000000	2.342309	-1.272037	-2.300259	0.978433	-2.060659	0.026756	-0.193058	1.614404	-0.790815	-0.170727
Se+ody	X001	200	2	0	1	0	26	7	14	6	B:0;C:1;H:9;P:2;S:10;T:4	B:0;C:0;H:1;P:2;S:4;T:0	0.038462	0.000000	-0.307082	0.307325	-1.364247	1.414090	-2.812980	0.363548	0.744945	2.050045	0.820518	0.166068
Se+ol	X001	200	2	0	0	0	59	24	26	12	B:23;C:0;H:12;P:6;S:11;T:7	B:0;C:0;H:3;P:4;S:16;T:1	0.033898	0.083333	-1.033396	-0.042011	0.889055	0.686550	0.721099	-0.822033	0.922221	1.324226	0.484264	0.122767
Se+or	X001	200	2	0	0	0	26	10	20	7	B:8;C:0;H:10;P:3;S:4;T:1	B:1;C:0;H:1;P:4;S:4;T:0	0.153846	0.000000	-0.147956	-0.072521	0.621816	2.205618	0.381773	1.227857	1.124207	2.474357	-0.405242	-0.170727
Sedy	X001	200	1	0	1	0	241	102	25	12	B:142;C:4;H:32;P:0;S:29;T:34	B:14;C:4;H:1;P:1;S:80;T:2	0.020747	0.009804	-1.573552	-2.452298	1.296593	0.475818	1.541430	1.286761	-3.166083	-1.388318	0.644247	-0.825979
Sey	X001	200	1	0	1	0	122	75	40	13	B:61;C:0;H:30;P:6;S:9;T:16	B:3;C:0;H:5;P:0;S:60;T:7	0.024590	0.000000	-0.809655	-0.782037	1.123021	-0.834850	1.167682	0.040745	0.140749	-2.190015	0.567990	0.669021
So	X001	200	1	0	0	0	69	19	30	11	B:0;C:0;H:62;P:4;S:3;T:0	B:0;C:0;H:10;P:0;S:6;T:3	0.318841	0.210526	2.431110	1.879718	-1.762321	-1.464639	-3.779949	-0.593242	0.349369	-0.830240	-2.509470	1.328278
So+daN	X001	200	2	0	1	0	15	7	12	4	B:0;C:0;H:12;P:0;S:3;T:0	B:0;C:1;H:3;P:0;S:2;T:1	0.266667	0.142857	1.578338	1.523989	-2.515577	-0.507771	-2.275964	0.363548	-0.408325	0.126564	-1.006087	1.409793
Sol	X001	200	1	0	0	0	125	28	48	12	B:10;C:2;H:94;P:4;S:10;T:5	B:3;C:0;H:8;P:1;S:13;T:3	0.104000	0.071429	1.411145	0.896556	-1.125680	0.507849	-1.244299	1.090677	-0.271396	-0.074428	-0.661601	0.891992
Sy	X001	200	1	0	1	0	59	17	36	11	B:5;C:0;H:48;P:0;S:2;T:4	B:2;C:0;H:6;P:2;S:6;T:1	0.016949	0.058824	1.748090	1.206034	-1.376868	1.105077	-1.136925	1.250800	-1.755734	1.012876	-0.084119	0.477160
T+ey	X001	200	2	0	1	0	30	6	23	6	B:1;C:0;H:25;P:2;S:2;T:0	B:0;C:0;H:2;P:1;S:2;T:1	0.033333	0.166667	1.840641	1.186815	-1.143322	0.902243	-1.821602	0.506755	0.593507	1.537381	-1.683777	1.576955
T+ol	X001	200	2	0	0	0	35	15	19	8	B:1;C:0;H:34;P:0;S:0;T:0	B:0;C:0;H:9;P:3;S:2;T:1	0.028571	0.000000	3.443593	2.158776	-2.218221	0.929813	-1.978495	-0.363241	-1.238050	1.566625	-1.835851	0.606587
Ty	X001	200	1	0	1	0	75	16	29	8	B:0;C:0;H:74;P:0;S:0;T:1	B:0;C:0;H:12;P:0;S:1;T:3	0.000000	0.000000	4.218095	2.803293	-4.103009	-1.297245	-3.863144	-0.425868	-1.994718	-0.662863	-1.479991	1.529272
aI	X001	200	1	0	0	0	32	32	19	9	B:6;C:0;H:10;P:2;S:8;T:6	B:0;C:2;H:0;P:1;S:29;T:0	0.031250	0.000000	-0.458625	-2.404524	-0.139436	-0.845938	-0.246795	-1.105454	0.525581	-0.210661	1.025617	-1.302959
aN	X001	200	1	0	1	0	167	98	44	14	B:18;C:5;H:62;P:5;S:57;T:20	B:1;C:2;H:8;P:6;S:75;T:6	0.000000	0.000000	-0.221111	-0.596746	-0.902815	-0.303527	-0.936493	-1.110115	-0.362550	0.181073	0.459617	0.221020
ai+N	X001	200	2	0	0	0	22	10	11	4	B:3;C:1;H:4;P:0;S:7;T:7	B:0;C:0;H:0;P:0;S:10;T:0	0.000000	0.000000	-1.110531	-1.272037	-0.798999	-0.844582	-0.559269	0.026756	-0.781361	-0.210231	1.706221	-0.170727
air	X001	200	1	0	0	0	17	14	10	7	B:0;C:0;H:2;P:1;S:12;T:2	B:0;C:0;H:0;P:1;S:13;T:0	0.058824	0.000000	-1.521362	-1.595286	-1.479382	0.003397	-2.397454	-0.296443	0.628780	0.638578	0.604565	-0.493930
al	X001	200	1	0	0	0	67	60	24	11	B:10;C:0;H:11;P:3;S:34;T:9	B:1;C:0;H:1;P:0;S:56;T:2	0.000000	0.000000	-1.291177	-1.913174	-0.477545	-1.485103	-0.543045	-0.612164	0.112424	-1.966900	0.613338	-0.280300
am	X001	200	1	0	0	0	29	12	16	6	B:2;C:5;H:10;P:0;S:9;T:3	B:0;C:0;H:1;P:0;S:10;T:1	0.000000	0.000000	-0.315267	-0.263815	-1.479967	-1.019161	-1.240237	-0.147810	-1.052597	-0.384800	0.404752	0.838711
ar	X001	200	1	0	0	0	140	86	38	14	B:9;C:4;H:53;P:2;S:52;T:20	B:1;C:3;H:5;P:0;S:75;T:2	0.007143	0.000000	-0.189023	-0.928347	-1.508904	-1.850602	-1.475367	-0.977490	-0.993155	-2.327221	0.663250	-0.650838
d+Cedy	X001	200	2	0	1	0	15	10	11	5	B:7;C:1;H:4;P:0;S:2;T:1	B:2;C:0;H:0;P:0;S:8;T:0	0.666667	0.500000	-0.634509	-1.272037	0.794937	0.978433	1.034755	1.852319	-0.408325	-0.210231	0.159877	-0.170727
d+air	X001	200	2	0	0	0	31	32	25	14	B:2;C:1;H:16;P:2;S:7;T:3	B:0;C:1;H:8;P:1;S:19;T:3	0.258065	0.312500	0.367331	0.717831	-0.891835	-0.845938	-1.310570	-1.105454	0.558969	-0.210661	0.331885	0.745849
d+am	X001	200	2	0	0	0	36	21	27	12	B:2;C:0;H:25;P:2;S:5;T:2	B:0;C:0;H:10;P:4;S:5;T:2	0.027778	0.000000	1.102529	1.688425	-1.059234	0.845114	-1.467463	-0.691093	0.402142	1.482773	-0.196572	0.822517
d+ol	X001	200	2	0	0	0	48	14	28	10	B:13;C:0;H:28;P:3;S:1;T:3	B:1;C:0;H:5;P:1;S:6;T:1	0.166667	0.142857	0.635255	1.229570	0.242123	0.592318	0.192566	0.876033	0.462359	0.638578	-0.136835	0.678153
d+or	X001	200	2	0	0	0	41	11	25	10	B:8;C:0;H:28;P:3;S:0;T:2	B:0;C:0;H:7;P:1;S:3;T:0	0.243902	0.545455	1.053589	2.288941	-0.056104	0.255051	-0.212972	-0.064322	0.629775	0.890216	-0.332181	-0.261806
daI	X001	200	1	0	0	0	115	65	44	19	B:29;C:0;H:67;P:3;S:6;T:10	B:2;C:0;H:16;P:4;S:36;T:7	0.234783	0.323077	0.638483	0.680492	-0.024354	-0.013648	0.083655	-0.164526	-0.446350	0.221182	0.121822	0.827909
daN	X001	200	1	0	1	0	495	188	68	22	B:54;C:4;H:365;P:22;S:33;T:17	B:10;C:2;H:58;P:23;S:85;T:10	0.183838	0.239362	1.366158	0.997232	-0.798376	0.682553	-0.950709	0.243248	-0.021219	0.908561	-0.895289	0.041573
dal	X001	200	1	0	0	0	106	44	41	18	B:42;C:2;H:37;P:2;S:15;T:8	B:3;C:0;H:13;P:11;S:13;T:4	0.037736	0.000000	-0.314366	0.931834	0.583110	1.468481	0.746372	0.601955	-0.709707	1.782983	-0.021677	0.680982
dal+dy	X001	200	2	0	1	0	12	7	9	6	B:5;C:0;H:4;P:0;S:3;T:0	B:1;C:0;H:1;P:2;S:2;T:1	0.166667	0.000000	-0.331971	0.307325	0.609669	1.952368	0.849415	1.607666	-0.193058	2.050045	-0.790815	1.409793
dar	X001	200	1	0	0	0	147	69	48	23	B:34;C:2;H:74;P:7;S:11;T:19	B:3;C:2;H:27;P:4;S:26;T:7	0.108844	0.202899	0.320103	1.352447	-0.023229	0.080948	-0.032154	0.127773	0.096359	0.157736	0.547916	0.761337
dar+y	X001	200	2	0	1	0	12	7	8	6	B:4;C:0;H:6;P:0;S:0;T:2	B:0;C:0;H:2;P:1;S:4;T:0	0.166667	0.142857	0.304420	0.986025	0.283593	0.735076	0.523311	0.363548	-0.193058	1.370220	0.994298	0.166068
dy	X001	200	1	0	1	0	120	30	51	13	B:30;C:0;H:72;P:5;S:6;T:7	B:3;C:0;H:21;P:1;S:4;T:1	0.008333	0.000000	0.710526	2.604186	0.040651	0.429151	0.071734	1.014956	-0.018702	-0.144848	-0.290004	-0.105269
k+Edy	X001	200	2	0	1	1	17	17	11	7	B:6;C:0;H:6;P:0;S:4;T:1	B:1;C:0;H:1;P:0;S:15;T:0	0.000000	0.000000	-0.266552	-0.625423	0.349176	-0.197613	0.588973	0.675043	-0.529789	-0.721811	0.030558	-0.682305
k+Ey	X001	200	2	0	1	1	15	12	14	9	B:0;C:0;H:8;P:3;S:3;T:1	B:0;C:0;H:2;P:0;S:9;T:1	0.000000	0.000000	0.429730	0.338803	-0.353831	-1.019161	-2.275964	-0.147810	1.756047	-0.384800	0.159877	0.838711
k+aI	X001	200	2	0	0	1	17	7	11	5	B:7;C:0;H:3;P:0;S:3;T:4	B:1;C:0;H:0;P:0;S:6;T:0	0.000000	0.000000	-1.117997	-0.935208	0.583490	0.735076	0.823316	1.607666	-0.529789	0.126564	1.331826	0.166068
k+aN	X001	200	2	0	1	1	28	13	15	8	B:1;C:0;H:13;P:0;S:11;T:3	B:0;C:0;H:1;P:0;S:10;T:2	0.000000	0.076923	0.166312	-0.347315	-1.990965	-1.096235	-1.751268	-0.224878	-1.018060	-0.461869	0.443271	1.351445
k+ar	X001	200	2	0	0	1	30	8	15	7	B:4;C:0;H:14;P:0;S:11;T:1	B:1;C:0;H:1;P:0;S:5;T:1	0.033333	0.000000	0.175281	0.164105	-0.854725	0.591862	-0.614932	1.464459	-1.085985	0.001293	-0.551168	1.266585
l	X001	200	1	0	0	0	20	24	11	9	B:5;C:0;H:6;P:1;S:5;T:3	B:2;C:0;H:1;P:0;S:21;T:0	0.200000	0.083333	-0.498610	-0.979897	0.117168	0.003401	0.122961	0.877379	0.461571	-1.059038	0.820178	-1.019530
l+Cedy	X001	200	2	0	1	0	73	37	17	8	B:48;C:0;H:3;P:0;S:15;T:7	B:2;C:0;H:0;P:0;S:35;T:0	0.082192	0.000000	-2.704263	-2.548221	1.568921	-0.454089	1.810192	0.419975	-1.967767	-1.486110	0.247124	-1.446599
l+Cey	X001	200	2	0	1	0	25	15	13	8	B:16;C:0;H:3;P:0;S:3;T:3	B:1;C:0;H:0;P:0;S:13;T:1	0.120000	0.000000	-1.558048	-1.662097	1.473655	-0.068175	1.713779	0.804468	-0.906679	-0.600235	0.568595	0.606587
l+Sedy	X001	200	2	0	1	0	22	13	10	5	B:16;C:0;H:0;P:0;S:4;T:2	B:3;C:0;H:0;P:0;S:10;T:0	0.045455	0.000000	-3.504306	-1.523708	1.853351	1.104393	2.093462	1.979579	-0.781361	-0.461869	0.324713	-0.422364
l+dy	X001	200	2	0	1	0	14	6	10	5	B:8;C:0;H:5;P:0;S:0;T:1	B:0;C:0;H:0;P:0;S:6;T:0	0.000000	0.000000	-0.242496	-0.791988	1.188674	-0.364557	1.428517	0.506755	-0.341582	0.269773	0.231390	0.309276
l+ol	X001	200	2	0	0	0	24	6	12	6	B:15;C:0;H:1;P:0;S:4;T:4	B:0;C:0;H:0;P:0;S:6;T:0	0.250000	0.000000	-2.449149	-0.791988	1.410962	-0.364557	1.651052	0.506755	-0.866622	0.269773	0.913716	0.309276
l+or	X001	200	2	0	0	0	20	16	14	7	B:7;C:0;H:5;P:0;S:5;T:3	B:1;C:0;H:2;P:0;S:13;T:0	0.200000	0.125000	-0.732557	0.015553	0.331969	-0.134979	0.571808	0.737670	-0.688167	-0.662863	0.820178	-0.623357
lk+Edy	X001	200	2	0	1	1	14	25	10	5	B:3;C:0;H:2;P:0;S:6;T:3	B:0;C:0;H:0;P:0;S:25;T:0	0.000000	0.000000	-1.305994	-2.161127	-0.270381	-1.733582	-0.030684	-0.862145	-0.341582	-1.099152	1.240353	-1.059643
lk+aN	X001	200	2	0	1	1	26	17	8	5	B:4;C:0;H:0;P:0;S:18;T:4	B:0;C:0;H:0;P:0;S:17;T:0	0.000000	0.058824	-3.668278	-1.783696	-0.690820	-1.356199	-0.451044	-0.484815	-0.945197	-0.721811	0.820518	-0.682305
lk+ar	X001	200	2	0	0	1	17	13	8	7	B:2;C:0;H:0;P:0;S:8;T:7	B:0;C:0;H:0;P:0;S:13;T:0	0.000000	0.000000	-3.252564	-1.523708	-0.905794	-1.096235	-0.666114	-0.224878	-0.529789	-0.461869	2.095953	-0.422364
o	X001	200	1	0	0	0	35	16	23	10	B:5;C:0;H:18;P:2;S:4;T:6	B:0;C:0;H:6;P:0;S:9;T:1	0.428571	0.000000	0.360441	1.297125	-0.416278	-1.297245	-0.554896	-0.425868	0.431608	-0.662863	0.918210	0.539788
o+aN	X001	200	2	0	1	0	18	7	13	5	B:0;C:0;H:14;P:1;S:3;T:0	B:0;C:0;H:1;P:0;S:6;T:0	0.555556	0.142857	1.475590	0.307325	-1.538291	-0.507771	-2.453089	0.363548	0.569887	0.126564	-1.183179	0.166068
o+daN	X001	200	2	0	1	0	38	14	23	9	B:0;C:1;H:23;P:1;S:8;T:5	B:1;C:0;H:1;P:2;S:9;T:1	0.157895	0.071429	0.721783	-0.424395	-2.301809	1.013308	-3.187271	0.876033	-0.193285	1.228311	0.623178	0.678153
ok+Cey	X001	200	2	0	1	1	22	10	18	7	B:4;C:1;H:10;P:1;S:6;T:0	B:0;C:0;H:2;P:0;S:6;T:2	0.136364	0.200000	0.130018	0.550350	-0.238318	-0.844582	-0.255040	0.026756	0.363829	-0.210231	-1.379137	1.654048
ok+Cy	X001	200	2	0	1	1	16	7	13	6	B:1;C:0;H:13;P:1;S:0;T:1	B:0;C:0;H:3;P:0;S:2;T:2	0.125000	0.285714	1.655415	1.523989	-0.839034	-0.507771	-1.177146	0.363548	0.691352	0.126564	0.093132	2.089689
ok+E+ey	X001	200	3	0	1	1	12	7	8	5	B:0;C:1;H:1;P:3;S:6;T:1	B:0;C:0;H:1;P:0;S:6;T:0	0.083333	0.000000	-1.733468	0.307325	-0.079188	-0.507771	-2.060659	0.363548	2.030638	0.126564	0.391839	0.166068
ok+Edy	X001	200	2	0	1	1	52	38	21	9	B:21;C:0;H:14;P:1;S:13;T:3	B:4;C:0;H:1;P:0;S:33;T:0	0.038462	0.052632	-0.673901	-1.448908	0.616967	0.164431	0.779386	1.041066	-0.511249	-1.512535	-0.221309	-1.473024
