semantic_family	component_recipe	pass723_reading_de	pass724_reading_de	original_pass721_reading_de	events	exact_card_ids	second_wave_revision	total_revision_from_pass721
SEM047	OK+AL	ANSETZEN · ZIEL	ANSETZEN · ZIEL	ANSETZEN · ZIEL	6	PROC048	NO	NO
SEM048	OL+T+Y	FORTSETZEN · ANWENDEN · DIES	FORTSETZEN · ANWENDEN · DIES	FORTSETZEN · EINTRAGEN · DIES	1	PROC049	NO	YES
SEM049	OR+AIN	ANSATZ · PORTION	ANSATZ · PORTION	ANSATZ · PORTION	1	PROC050	NO	NO
SEM050	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	ZUTAT · ENTNEHMEN · ANSATZ	ZUTAT · ABNEHMEN · ANSATZ	1	PROC051	NO	YES
SEM051	HO	ZUTAT	ZUTAT	ZUTAT	4	PROC052	NO	NO
SEM052	HO+AL+Y	ZUTAT · ZIEL · DIES	ZUTAT · ZIEL · DIES	ZUTAT · ZIEL · DIES	1	PROC053	NO	NO
SEM053	K+OL	ZUGEBEN · FORTSETZEN	ZUGEBEN · FORTSETZEN	ZUDOSIEREN · FORTSETZEN	1	PROC054	NO	YES
SEM054	AL	ZIEL	ZIEL	ZIEL	10	PROC055	NO	NO
SEM055	HO+Y	ZUTAT · DIES	ZUTAT · DIES	ZUTAT · DIES	1	PROC056	NO	NO
SEM056	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	1	PROC057	YES	YES
SEM057	SH	HALTEN	HALTEN	HALTEN	1	PROC058	NO	NO
SEM058	K+E+Y	ZUGEBEN · KURZ · DIES	ZUGEBEN · KURZ · DIES	ZUDOSIEREN · KURZ · DIES	1	PROC059	NO	YES
SEM059	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	ANSETZEN · ANSETZEN · DIES	ANSETZEN · ANSETZEN · DIES	1	PROC060	NO	NO
SEM060	OK+CH+E+O	ANSETZEN · ENTNEHMEN · KURZ · GANG	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	ANSETZEN · ABNEHMEN · KURZ · GANG	1	PROC061	YES	YES
SEM061	K+AL	ZUGEBEN · ZIEL	ZUGEBEN · ZIEL	ZUDOSIEREN · ZIEL	1	PROC062	NO	YES
SEM062	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	ZUGEBEN · ZUTAT · QUELLE	ZUDOSIEREN · ZUTAT · QUELLE	1	PROC063	NO	YES
SEM063	OT+O+AIN	DANACH · GANG · PORTION	DANACH · ARBEITSGANG · PORTION	DANACH · GANG · PORTION	1	PROC064	YES	YES
SEM064	K+E+OL	ZUGEBEN · KURZ · FORTSETZEN	ZUGEBEN · KURZ · FORTSETZEN	ZUDOSIEREN · KURZ · FORTSETZEN	1	PROC066	NO	YES
SEM065	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	ANSETZEN · KURZ · SCHLUSS	ANSETZEN · KURZ · SCHLUSS	8	PROC067	NO	NO
SEM066	K+AIR	ZUGEBEN · LAUF	ZUGEBEN · WASSER	ZUDOSIEREN · LAUF	1	PROC068	YES	YES
SEM067	K+AIN	ZUGEBEN · PORTION	ZUGEBEN · PORTION	ZUDOSIEREN · PORTION	3	PROC069	NO	YES
SEM068	OL+K+AIN	FORTSETZEN · ZUGEBEN · PORTION	FORTSETZEN · ZUGEBEN · PORTION	FORTSETZEN · ZUDOSIEREN · PORTION	2	PROC070	NO	YES
SEM069	R+OL	KUEHLEN · FORTSETZEN	KUEHLEN · FORTSETZEN	KUEHLEN · FORTSETZEN	1	PROC071	NO	NO
SEM070	L	WEITERLEITEN	WEITERLEITEN	WEITERLEITEN	2	PROC072	NO	NO
SEM071	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	HALTEN · KURZ · DURCHLASS · ZIEL	HALTEN · KURZ · DURCHLASS · ZIEL	1	PROC073	NO	NO
SEM072	OK+EE+AL	ANSETZEN · LANG · ZIEL	ANSETZEN · LANG · ZIEL	ANSETZEN · LANG · ZIEL	1	PROC074	NO	NO
SEM073	CKH+Y	DURCHLASS · DIES	DURCHLASS · DIES	DURCHLASS · DIES	4	PROC075	NO	NO
SEM074	CHD+DY	UMSETZEN · SCHLUSS	UMSETZEN · SCHLUSS	UMSETZEN · SCHLUSS	5	PROC076|PROC094	NO	NO
SEM075	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	1	PROC077	NO	YES
SEM076	SHED+DY	ABSETZEN · SCHLUSS	ABSETZEN · SCHLUSS	ABSETZEN · SCHLUSS	12	PROC078	NO	NO
SEM077	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	FORTSETZEN · UMSETZEN · SCHLUSS	FORTSETZEN · UMSETZEN · SCHLUSS	3	PROC079	NO	NO
SEM078	OK+AIN	ANSETZEN · PORTION	ANSETZEN · PORTION	ANSETZEN · PORTION	7	PROC080	NO	NO
SEM079	R+AL	KUEHLEN · ZIEL	KUEHLEN · ZIEL	KUEHLEN · ZIEL	1	PROC081	NO	NO
SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ANSETZEN · UMSETZEN · SCHLUSS	ANSETZEN · UMSETZEN · SCHLUSS	5	PROC082|PROC091	NO	NO
SEM081	CHK+E+Y	WAERMEN · KURZ · DIES	WAERMEN · KURZ · DIES	WAERMEN · KURZ · DIES	3	PROC083	NO	NO
SEM082	LSH+O	WASCHEN · GANG	WASCHEN · ARBEITSGANG	WASCHEN · GANG	1	PROC084	YES	YES
SEM083	OK+E+Y	ANSETZEN · KURZ · DIES	ANSETZEN · KURZ · DIES	ANSETZEN · KURZ · DIES	2	PROC085	NO	NO
SEM084	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	WASCHEN · KURZ · SCHLUSS	WASCHEN · KURZ · SCHLUSS	2	PROC086	NO	NO
SEM085	SOLK+Y	AUFFANGEN · DIES	AUFFANGEN · DIES	AUFFANGEN · DIES	1	PROC087	NO	NO
SEM086	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	WEITERLEITEN · UMSETZEN · ZIEL	WEITERLEITEN · UMSETZEN · ZIEL	1	PROC088	NO	NO
SEM087	OT+AR	DANACH · QUELLE	DANACH · QUELLE	DANACH · QUELLE	1	PROC089	NO	NO
SEM088	T+E+Y	ANWENDEN · KURZ · DIES	ANWENDEN · KURZ · DIES	EINTRAGEN · KURZ · DIES	1	PROC090	NO	YES
SEM089	OK+EE+Y	ANSETZEN · LANG · DIES	ANSETZEN · LANG · DIES	ANSETZEN · LANG · DIES	7	PROC092	NO	NO
SEM090	E+OL	KURZ · FORTSETZEN	KURZ · FORTSETZEN	KURZ · FORTSETZEN	1	PROC093	NO	NO
SEM091	L+Y	WEITERLEITEN · DIES	WEITERLEITEN · DIES	WEITERLEITEN · DIES	1	PROC095	NO	NO
SEM092	SH+E+OL	HALTEN · KURZ · FORTSETZEN	HALTEN · KURZ · FORTSETZEN	HALTEN · KURZ · FORTSETZEN	1	PROC096	NO	NO
SEM093	O+IIN	GANG · STUFE	ARBEITSGANG · STUFE	GANG · STUFE	2	PROC097	YES	YES
SEM094	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	AUFFANGEN · LANG · SCHLUSS	AUFFANGEN · LANG · SCHLUSS	3	PROC098	NO	NO
SEM095	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	HALTEN · DURCHLASS · KURZ · SCHLUSS	HALTEN · DURCHLASS · KURZ · SCHLUSS	3	PROC099	NO	NO
SEM096	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	ANSETZEN · LANG · SCHLUSS	ANSETZEN · LANG · SCHLUSS	10	PROC100	NO	NO
SEM097	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	WEITERLEITEN · DURCHLASS · DIES	WEITERLEITEN · DURCHLASS · DIES	1	PROC101	NO	NO
SEM098	L+CHD	WEITERLEITEN · UMSETZEN	WEITERLEITEN · UMSETZEN	WEITERLEITEN · UMSETZEN	1	PROC102	NO	NO
SEM099	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	1	PROC103	NO	NO
SEM100	OK+AL+Y	ANSETZEN · ZIEL · DIES	ANSETZEN · ZIEL · DIES	ANSETZEN · ZIEL · DIES	1	PROC104	NO	NO
SEM101	SOLK+AIIN	AUFFANGEN · MASS	AUFFANGEN · MASS	AUFFANGEN · MASS	1	PROC105	NO	NO
SEM102	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	ARBEITSGANG · BEREITEN · KURZ · FORTSETZEN	GANG · BEREIT · KURZ · FORTSETZEN	1	PROC106	YES	YES
SEM103	L+DY	WEITERLEITEN · SCHLUSS	WEITERLEITEN · SCHLUSS	WEITERLEITEN · SCHLUSS	2	PROC108	NO	NO
SEM104	OT+EE+Y	DANACH · LANG · DIES	DANACH · LANG · DIES	DANACH · LANG · DIES	2	PROC109	NO	NO
SEM105	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	HALTEN · KURZ · DURCHLASS · DIES	HALTEN · KURZ · DURCHLASS · DIES	1	PROC110	NO	NO
SEM106	SH+E+DY	HALTEN · KURZ · SCHLUSS	HALTEN · KURZ · SCHLUSS	HALTEN · KURZ · SCHLUSS	1	PROC111	NO	NO
SEM107	OT+AIIN	DANACH · MASS	DANACH · MASS	DANACH · MASS	3	PROC112	NO	NO
SEM108	OK+AR	ANSETZEN · QUELLE	ANSETZEN · QUELLE	ANSETZEN · QUELLE	1	PROC113	NO	NO
SEM109	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	FORTSETZEN · HALTEN · KURZ · SCHLUSS	FORTSETZEN · HALTEN · KURZ · SCHLUSS	1	PROC114	NO	NO
SEM110	L+CH+Y	WEITERLEITEN · ENTNEHMEN · DIES	WEITERLEITEN · ENTNEHMEN · DIES	WEITERLEITEN · ABNEHMEN · DIES	1	PROC116	NO	YES
SEM111	CTH+E+Y	BEREIT · KURZ · DIES	BEREITEN · KURZ · DIES	BEREIT · KURZ · DIES	2	PROC117	YES	YES
SEM112	L+EE+Y	WEITERLEITEN · LANG · DIES	WEITERLEITEN · LANG · DIES	WEITERLEITEN · LANG · DIES	1	PROC118	NO	NO
SEM113	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	ANSETZEN · VOLL · SCHLUSS	ANSETZEN · VOLL · SCHLUSS	1	PROC119	NO	NO
SEM114	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	WEITERLEITEN · UMSETZEN · SCHLUSS	WEITERLEITEN · UMSETZEN · SCHLUSS	8	PROC120	NO	NO
SEM115	L+AR	WEITERLEITEN · QUELLE	WEITERLEITEN · QUELLE	WEITERLEITEN · QUELLE	1	PROC121	NO	NO
SEM116	SH+E+Y	HALTEN · KURZ · DIES	HALTEN · KURZ · DIES	HALTEN · KURZ · DIES	1	PROC122	NO	NO
SEM117	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	WEITERLEITEN · UMSETZEN · QUELLE	WEITERLEITEN · UMSETZEN · QUELLE	1	PROC123	NO	NO
SEM118	CH+E+S	ENTNEHMEN · KURZ · TEILEN	ENTNEHMEN · KURZ · TEIL	ABNEHMEN · KURZ · TEILEN	1	PROC124	YES	YES
SEM119	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	EINFUELLEN · UMSETZEN · SCHLUSS	EINFUELLEN · UMSETZEN · SCHLUSS	1	PROC125	NO	NO
SEM120	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	KUEHLEN · HALTEN · KURZ · ZIEL	KUEHLEN · HALTEN · KURZ · ZIEL	1	PROC126	NO	NO
SEM121	AL+DY	ZIEL · SCHLUSS	ZIEL · SCHLUSS	ZIEL · SCHLUSS	1	PROC127	NO	NO
SEM122	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	KUEHLEN · ABSETZEN · SCHLUSS	KUEHLEN · ABSETZEN · SCHLUSS	1	PROC128	NO	NO
SEM123	OT+EE+DY	DANACH · LANG · SCHLUSS	DANACH · LANG · SCHLUSS	DANACH · LANG · SCHLUSS	2	PROC129	NO	NO
SEM124	L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	1	PROC130	YES	YES
SEM125	OT+AL	DANACH · ZIEL	DANACH · ZIEL	DANACH · ZIEL	3	PROC131	NO	NO
SEM126	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	WAERMEN · LANG · SCHLUSS	WAERMEN · LANG · SCHLUSS	1	PROC132	NO	NO
SEM127	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	EINFUELLEN · UMSETZEN · ZIEL	EINFUELLEN · UMSETZEN · ZIEL	1	PROC134	NO	NO
SEM128	OT+E+DY	DANACH · KURZ · SCHLUSS	DANACH · KURZ · SCHLUSS	DANACH · KURZ · SCHLUSS	2	PROC135	NO	NO
SEM129	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	1	PROC136	YES	YES
SEM130	AR+Y	QUELLE · DIES	QUELLE · DIES	QUELLE · DIES	1	PROC137	NO	NO
SEM131	OK+AIR	ANSETZEN · LAUF	ANSETZEN · WASSER	ANSETZEN · LAUF	1	PROC138	YES	YES
SEM132	SH+EE+DY	HALTEN · LANG · SCHLUSS	HALTEN · LANG · SCHLUSS	HALTEN · LANG · SCHLUSS	1	PROC139	NO	NO
SEM133	L+O	WEITERLEITEN · GANG	WEITERLEITEN · ARBEITSGANG	WEITERLEITEN · GANG	1	PROC140	YES	YES
SEM134	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	ANSETZEN · HALTEN · KURZ · SCHLUSS	ANSETZEN · HALTEN · KURZ · SCHLUSS	1	PROC141	NO	NO
SEM135	SHED+AL	ABSETZEN · ZIEL	ABSETZEN · ZIEL	ABSETZEN · ZIEL	2	PROC142	NO	NO
SEM136	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	HALTEN · KURZ · BEREITEN · DIES	HALTEN · KURZ · BEREIT · DIES	1	PROC143	YES	YES
SEM137	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	ZIEL · UMSETZEN · SCHLUSS	ZIEL · UMSETZEN · SCHLUSS	1	PROC144	NO	NO
SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	DANACH · UMSETZEN · SCHLUSS	DANACH · UMSETZEN · SCHLUSS	3	PROC145|PROC166	NO	NO
SEM139	EE+AR	LANG · QUELLE	LANG · QUELLE	LANG · QUELLE	1	PROC146	NO	NO
SEM140	L+AIIN	WEITERLEITEN · MASS	WEITERLEITEN · MASS	WEITERLEITEN · MASS	1	PROC147	NO	NO
SEM141	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	ZIEL · KUEHLEN · ANSATZ	ZIEL · KUEHLEN · ANSATZ	1	PROC148	NO	NO
SEM142	EEE+T+Y	VOLL · ANWENDEN · DIES	VOLL · ANWENDEN · DIES	VOLL · EINTRAGEN · DIES	1	PROC149	NO	YES
SEM143	CHD+AIR	UMSETZEN · LAUF	UMSETZEN · WASSER	UMSETZEN · LAUF	1	PROC150	YES	YES
SEM144	CHD+AIN	UMSETZEN · PORTION	UMSETZEN · PORTION	UMSETZEN · PORTION	1	PROC151	NO	NO
SEM145	OT+E+AIIN	DANACH · KURZ · MASS	DANACH · KURZ · MASS	DANACH · KURZ · MASS	1	PROC152	NO	NO
SEM146	OL+AL+Y	FORTSETZEN · ZIEL · DIES	FORTSETZEN · ZIEL · DIES	FORTSETZEN · ZIEL · DIES	1	PROC153	NO	NO
SEM147	OL+Y	FORTSETZEN · DIES	FORTSETZEN · DIES	FORTSETZEN · DIES	1	PROC154	NO	NO
SEM148	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	1	PROC155	NO	NO
SEM149	AIN	PORTION	PORTION	PORTION	2	PROC156	NO	NO
SEM150	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	ANSETZEN · LANG · FORTSETZEN	ANSETZEN · LANG · FORTSETZEN	1	PROC158	NO	NO
SEM151	L+K+E+DY	WEITERLEITEN · ZUGEBEN · KURZ · SCHLUSS	WEITERLEITEN · ZUGEBEN · KURZ · SCHLUSS	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	1	PROC159	NO	YES
SEM152	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	ARBEITSGANG · DURCHLASS · KURZ · DIES	GANG · DURCHLASS · KURZ · DIES	1	PROC161	YES	YES
SEM153	AIR+Y+DY	LAUF · DIES · SCHLUSS	WASSER · DIES · SCHLUSS	LAUF · DIES · SCHLUSS	1	PROC162	YES	YES
SEM154	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIEL	ENTNEHMEN · DURCHLASS · ZIEL	ABNEHMEN · DURCHLASS · ZIEL	1	PROC163	NO	YES
SEM155	SOLK+E+Y	AUFFANGEN · KURZ · DIES	AUFFANGEN · KURZ · DIES	AUFFANGEN · KURZ · DIES	1	PROC164	NO	NO
SEM156	K+AR	ZUGEBEN · QUELLE	ZUGEBEN · QUELLE	ZUDOSIEREN · QUELLE	1	PROC165	NO	YES
SEM157	L+OL	WEITERLEITEN · FORTSETZEN	WEITERLEITEN · FORTSETZEN	WEITERLEITEN · FORTSETZEN	1	PROC167	NO	NO
SEM158	CHD+AL	UMSETZEN · ZIEL	UMSETZEN · ZIEL	UMSETZEN · ZIEL	1	PROC168	NO	NO
SEM159	DA+IIN	ZWEIT · STUFE	ZWEIT · STUFE	ZWEIT · STUFE	1	PROC169	NO	NO
SEM160	SOLK+EE+Y	AUFFANGEN · LANG · DIES	AUFFANGEN · LANG · DIES	AUFFANGEN · LANG · DIES	1	PROC170	NO	NO
SEM161	E+K+E+Y	KURZ · ZUGEBEN · KURZ · DIES	KURZ · ZUGEBEN · KURZ · DIES	KURZ · ZUDOSIEREN · KURZ · DIES	1	PROC171	NO	YES
SEM162	R+AL+Y	KUEHLEN · ZIEL · DIES	KUEHLEN · ZIEL · DIES	KUEHLEN · ZIEL · DIES	1	PROC172	NO	NO
SEM163	L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	WEITERLEITEN · ZIEL · ANSATZ	WEITERLEITEN · ZIEL · ANSATZ	1	PROC173	NO	NO
