statement_id	page	record	first_locus	silent_owner_de	event_count	card_sequence	abstract_composition_sequence_de	contextual_card_sequence_de	owner_filled_workshop_instruction_de	instruction_status	all_events_complete
H4-S002	f55v	H4	f55v.5	abgebildete breitblättrige rispige Pflanze	3	PROC009 > PROC042 > PROC043	vorgeschriebenes Maß | umsetzen · dieser Posten [Rahmen: abmessen und umsetzen, umsetzen] | verwahren [Rahmen: verwahren]	vorgeschriebenes Maß | diesen Posten umsetzen | den laufenden Posten verwahren	den laufenden Posten nach vorgeschriebenem Maß abmessen und umsetzen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H4-S003	f55v	H4	f55v.11	abgebildete breitblättrige rispige Pflanze	4	PROC044 > PROC045 > PROC046 > PROC047	dieser Posten · zuführen · vorgeschriebenes Maß [Rahmen: dosiert zugeben] | abziehen · kurz · Arbeitsgang · von dort [Rahmen: entnehmen] | wärmen · länger · dieser Posten [Rahmen: temperieren, warm halten] | fortsetzen · Schluss	diesen Posten nach vorgeschriebenes Maß zuführen | den Arbeitsgang von dort kurz abziehen | diesen Posten länger temperieren | fortsetzen; Schritt schließen	den laufenden Posten nach vorgeschriebenem Maß dosiert zugeben	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H4-S004	f55v	H4	f55v.11	abgebildete breitblättrige rispige Pflanze	6	PROC009 > PROC048 > PROC049 > PROC016 > PROC019 > PROC050	vorgeschriebenes Maß | ansetzen · bezeichnete Stelle [Rahmen: anlegen] | fortsetzen · eintragen · dieser Posten [Rahmen: eintragen] | Ansatz | dieser Posten | Ansatz · Portion	vorgeschriebenes Maß | den laufenden Posten an bezeichnete Stelle ansetzen | fortsetzen diesen Posten eintragen | Ansatz | dieser Posten | Ansatz · Portion	den laufenden Posten nach vorgeschriebenem Maß an der bezeichneten Stelle anlegen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H5-S001	f56r	H5	f56r.5	abgebildete mehrköpfige stachelige Pflanze	9	PROC051 > PROC052 > PROC053 > PROC009 > PROC052 > PROC054 > PROC020 > PROC008 > PROC055	Gabe · abziehen · Ansatz [Rahmen: abziehen] | Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | zuführen · fortsetzen [Rahmen: zuführen] | danach · abziehen · Ansatz [Rahmen: abziehen] | ansetzen · dieser Posten [Rahmen: einsetzen, einleiten, anlegen] | bezeichnete Stelle	den Gabe und Ansatz abziehen | Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | fortsetzen den laufenden Posten zuführen | danach den Ansatz abziehen | diesen Posten in Einsatz bringen | bezeichnete Stelle	den Ansatz abziehen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H5-S002	f56r	H5	f56r.8	abgebildete mehrköpfige stachelige Pflanze	4	PROC034 > PROC056 > PROC008 > PROC057	fortsetzen | Gabe · dieser Posten | ansetzen · dieser Posten [Rahmen: einsetzen, einleiten, anlegen] | abziehen · länger · Durchlass · Arbeitsgang · Schluss [Rahmen: ablaufen lassen]	fortsetzen | Gabe · dieser Posten | diesen Posten in Einsatz bringen | den Arbeitsgang durch Durchlass länger abziehen; Schritt schließen	den laufenden Posten weiter an der bezeichneten Stelle anlegen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H5-S003	f56r	H5	f56r.12	abgebildete mehrköpfige stachelige Pflanze	4	PROC058 > PROC052 > PROC059 > PROC060	halten [Rahmen: halten] | Gabe | zuführen · kurz · dieser Posten [Rahmen: zugeben] | ansetzen · ansetzen · dieser Posten [Rahmen: einsetzen]	den laufenden Posten halten | Gabe | diesen Posten kurz zuführen | diesen Posten ansetzen und ansetzen	den laufenden Posten halten	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H5-S004	f56r	H5	f56r.13	abgebildete mehrköpfige stachelige Pflanze	3	PROC011 > PROC061 > PROC062	ansetzen · dieser Posten [Rahmen: einsetzen, ansetzen] | ansetzen · abziehen · kurz · Arbeitsgang [Rahmen: abziehen, ansetzen] | zuführen · bezeichnete Stelle [Rahmen: zuführen]	diesen Posten neu ansetzen | den Arbeitsgang kurz ansetzen und abziehen | den laufenden Posten an bezeichnete Stelle zuführen	den laufenden Posten einsetzen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H5-S005	f56r	H5	f56r.18	abgebildete mehrköpfige stachelige Pflanze	4	PROC052 > PROC011 > PROC063 > PROC064	Gabe | ansetzen · dieser Posten [Rahmen: einsetzen, ansetzen] | zuführen · Gabe · von dort [Rahmen: zugeben] | danach · Arbeitsgang · Portion	Gabe | diesen Posten neu ansetzen | den Gabe von dort zuführen | danach · Arbeitsgang · Portion	den laufenden Posten ansetzen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H5-S006	f56r	H5	f56r.19	abgebildete mehrköpfige stachelige Pflanze	3	PROC065 > PROC066 > PROC009	danach · dieser Posten | zuführen · kurz · fortsetzen [Rahmen: zugeben] | vorgeschriebenes Maß	danach · dieser Posten | fortsetzen den laufenden Posten kurz zuführen | vorgeschriebenes Maß	danach den laufenden Posten weiter nach vorgeschriebenem Maß als Portion im Arbeitsgang kurz zugeben	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S001	f81v	B1	f81v.2	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC067	ansetzen · kurz · Schluss [Rahmen: einwirken lassen]	den laufenden Posten kurz ansetzen; Schritt schließen	den laufenden Posten kurz einwirken lassen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S002	f81v	B1	f81v.2	gemeinsame zweireihige Figuren-/Beckenstation	19	PROC038 > PROC068 > PROC048 > PROC003 > PROC013 > PROC069 > PROC070 > PROC055 > PROC013 > PROC071 > PROC072 > PROC022 > PROC013 > PROC073 > PROC009 > PROC074 > PROC009 > PROC075 > PROC076	ansetzen · vorgeschriebenes Maß [Rahmen: einleiten, einsetzen] | zuführen · laufender Bestand [Rahmen: einspeisen] | ansetzen · bezeichnete Stelle [Rahmen: anlegen] | von dort | fortsetzen | zuführen · Portion [Rahmen: dosiert zugeben] | fortsetzen · zuführen · Portion [Rahmen: dosiert zugeben] | bezeichnete Stelle | fortsetzen | abkühlen · fortsetzen [Rahmen: abkühlen lassen] | führen [Rahmen: führen, durchleiten] | fortsetzen · Ansatz | fortsetzen | halten · kurz · Durchlass · bezeichnete Stelle [Rahmen: zurückhalten] | vorgeschriebenes Maß | ansetzen · länger · bezeichnete Stelle [Rahmen: anlegen] | vorgeschriebenes Maß | Durchlass · dieser Posten | umsetzen · Schluss [Rahmen: überführen, durchleiten, umfüllen]	den laufenden Posten nach Sollmaß ansetzen | den laufenden Posten durch laufender Bestand zuführen | den laufenden Posten an bezeichnete Stelle ansetzen | von dort | fortsetzen | den laufenden Posten nach Portion zuführen | fortsetzen den laufenden Posten nach Portion zuführen | bezeichnete Stelle | fortsetzen | fortsetzen den laufenden Posten abkühlen | den laufenden Posten entlangführen | fortsetzen · Ansatz | fortsetzen | den laufenden Posten an bezeichnete Stelle durch Durchlass kurz halten | vorgeschriebenes Maß | den laufenden Posten an bezeichnete Stelle länger ansetzen | vorgeschriebenes Maß | Durchlass · dieser Posten | den laufenden Posten überführen; Schritt schließen	den laufenden Posten nach vorgeschriebenem Maß einsetzen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S003	f81v	B1	f81v.7	gemeinsame zweireihige Figuren-/Beckenstation	2	PROC013 > PROC077	fortsetzen | halten · zuführen · umsetzen · Schluss [Rahmen: überführen, zugeben, halten]	fortsetzen | den laufenden Posten halten und zuführen und umsetzen; Schritt schließen	den laufenden Posten weiter halten und zugeben und überführen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S004	f81v	B1	f81v.17	gemeinsame zweireihige Figuren-/Beckenstation	3	PROC042 > PROC013 > PROC078	umsetzen · dieser Posten [Rahmen: abmessen und umsetzen, umsetzen] | fortsetzen | absetzen · Schluss [Rahmen: absetzen lassen, ablagern]	diesen Posten umsetzen | fortsetzen | den laufenden Posten absetzen; Schritt schließen	den laufenden Posten umsetzen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S005	f81v	B1	f81v.17	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC079	fortsetzen · umsetzen · Schluss [Rahmen: überführen]	fortsetzen den laufenden Posten umsetzen; Schritt schließen	den laufenden Posten weiter überführen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S006	f81v	B1	f81v.17	gemeinsame zweireihige Figuren-/Beckenstation	4	PROC080 > PROC075 > PROC072 > PROC081	ansetzen · Portion [Rahmen: einsetzen] | Durchlass · dieser Posten | führen [Rahmen: führen, durchleiten] | abkühlen · bezeichnete Stelle [Rahmen: abkühlen lassen]	den laufenden Posten nach Portion ansetzen | Durchlass · dieser Posten | den laufenden Posten entlangführen | den laufenden Posten an bezeichnete Stelle abkühlen	eine Portion einsetzen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S007	f81v	B1	f81v.18	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC082	ansetzen · umsetzen · Schluss [Rahmen: überführen, einsetzen]	den laufenden Posten ansetzen und umsetzen; Schritt schließen	den laufenden Posten einsetzen und überführen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S008	f81v	B1	f81v.18	gemeinsame zweireihige Figuren-/Beckenstation	5	PROC019 > PROC013 > PROC083 > PROC013 > PROC078	dieser Posten | fortsetzen | wärmen · kurz · dieser Posten [Rahmen: warm halten] | fortsetzen | absetzen · Schluss [Rahmen: absetzen lassen, ablagern]	dieser Posten | fortsetzen | diesen Posten kurz wärmen | fortsetzen | den laufenden Posten absetzen; Schritt schließen	den laufenden Posten weiter kurz warm halten	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S009	f81v	B1	f81v.18	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC067	ansetzen · kurz · Schluss [Rahmen: einwirken lassen]	den laufenden Posten kurz ansetzen; Schritt schließen	den laufenden Posten kurz einwirken lassen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S010	f81v	B1	f81v.18	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC067	ansetzen · kurz · Schluss [Rahmen: einwirken lassen]	den laufenden Posten kurz ansetzen; Schritt schließen	den laufenden Posten kurz einwirken lassen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S011	f81v	B1	f81v.18	gemeinsame zweireihige Figuren-/Beckenstation	2	PROC075 > PROC008	Durchlass · dieser Posten | ansetzen · dieser Posten [Rahmen: einsetzen, einleiten, anlegen]	Durchlass · dieser Posten | diesen Posten in Einsatz bringen	den laufenden Posten durch den Durchlass einleiten	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S012	f81v	B1	f81v.21	gemeinsame zweireihige Figuren-/Beckenstation	3	PROC084 > PROC085 > PROC086	waschen · Arbeitsgang [Rahmen: waschen] | ansetzen · kurz · dieser Posten [Rahmen: wirken lassen] | waschen · kurz · Schluss [Rahmen: durchwaschen]	den Arbeitsgang waschen | diesen Posten kurz ansetzen | den laufenden Posten kurz waschen; Schritt schließen	den laufenden Posten im Arbeitsgang waschen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S013	f81v	B1	f81v.21	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC086	waschen · kurz · Schluss [Rahmen: durchwaschen]	den laufenden Posten kurz waschen; Schritt schließen	den laufenden Posten kurz durchwaschen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S014	f81v	B1	f81v.21	gemeinsame zweireihige Figuren-/Beckenstation	5	PROC042 > PROC087 > PROC088 > PROC013 > PROC089	umsetzen · dieser Posten [Rahmen: abmessen und umsetzen, umsetzen] | auffangen · dieser Posten [Rahmen: auffangen] | führen · umsetzen · bezeichnete Stelle [Rahmen: umfüllen, hinleiten] | fortsetzen | danach · von dort	diesen Posten umsetzen | diesen Posten auffangen | den laufenden Posten an bezeichnete Stelle führen und umsetzen | fortsetzen | danach · von dort	den laufenden Posten umsetzen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S015	f81v	B1	f81v.24	gemeinsame zweireihige Figuren-/Beckenstation	2	PROC090 > PROC091	eintragen · kurz · dieser Posten [Rahmen: übertragen] | ansetzen · umsetzen · Schluss [Rahmen: überführen, einsetzen]	diesen Posten kurz eintragen | den laufenden Posten ansetzen und umsetzen; Schritt schließen	danach den laufenden Posten weiter von dort kurz übertragen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S016	f81v	B1	f81v.24	gemeinsame zweireihige Figuren-/Beckenstation	4	PROC048 > PROC092 > PROC013 > PROC078	ansetzen · bezeichnete Stelle [Rahmen: anlegen] | ansetzen · länger · dieser Posten [Rahmen: wirken lassen, anlegen] | fortsetzen | absetzen · Schluss [Rahmen: absetzen lassen, ablagern]	den laufenden Posten an bezeichnete Stelle ansetzen | den laufenden Posten länger in Einsatz halten | fortsetzen | den laufenden Posten absetzen; Schritt schließen	den laufenden Posten an der bezeichneten Stelle anlegen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S017	f81v	B1	f81v.24	gemeinsame zweireihige Figuren-/Beckenstation	3	PROC055 > PROC093 > PROC094	bezeichnete Stelle | kurz · fortsetzen | umsetzen · Schluss [Rahmen: umfüllen]	bezeichnete Stelle | kurz · fortsetzen | den laufenden Posten umsetzen; Schritt schließen	den laufenden Posten weiter an der bezeichneten Stelle kurz umfüllen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S018	f81v	B1	f81v.24	gemeinsame zweireihige Figuren-/Beckenstation	4	PROC095 > PROC096 > PROC097 > PROC098	führen · dieser Posten [Rahmen: führen] | halten · kurz · fortsetzen [Rahmen: halten] | Arbeitsgang · Sollstufe | auffangen · länger · Schluss [Rahmen: auffangen und stehen lassen]	diesen Posten führen | fortsetzen den laufenden Posten kurz halten | Arbeitsgang · Sollstufe | den laufenden Posten länger auffangen; Schritt schließen	den laufenden Posten führen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S019	f81v	B1	f81v.27	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC078	absetzen · Schluss [Rahmen: absetzen lassen, ablagern]	den laufenden Posten absetzen; Schritt schließen	den laufenden Posten absetzen lassen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S020	f81v	B1	f81v.27	gemeinsame zweireihige Figuren-/Beckenstation	2	PROC083 > PROC099	wärmen · kurz · dieser Posten [Rahmen: warm halten] | halten · Durchlass · kurz · Schluss [Rahmen: zurückhalten]	diesen Posten kurz wärmen | den laufenden Posten durch Durchlass kurz halten; Schritt schließen	den laufenden Posten kurz warm halten	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B1-S021	f81v	B1	f81v.27	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC055	bezeichnete Stelle	bezeichnete Stelle	an der bezeichneten Stelle weiterarbeiten	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B2-S001	f82r	B2	f82r.2	oberes Beckenpaar mit Zylinder	1	PROC076	umsetzen · Schluss [Rahmen: überführen, durchleiten, umfüllen]	den laufenden Posten überführen; Schritt schließen	den laufenden Posten überführen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B2-S002	f82r	B2	f82r.2	oberes Beckenpaar mit Zylinder	1	PROC079	fortsetzen · umsetzen · Schluss [Rahmen: überführen]	fortsetzen den laufenden Posten umsetzen; Schritt schließen	den laufenden Posten weiter überführen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B2-S003	f82r	B2	f82r.2	oberes Beckenpaar mit Zylinder	3	PROC080 > PROC019 > PROC100	ansetzen · Portion [Rahmen: einsetzen] | dieser Posten | ansetzen · länger · Schluss [Rahmen: einwirken lassen]	den laufenden Posten nach Portion ansetzen | dieser Posten | den laufenden Posten länger ansetzen; Schritt schließen	eine Portion einsetzen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B2-S004	f82r	B2	f82r.2	oberes Beckenpaar mit Zylinder	5	PROC048 > PROC101 > PROC102 > PROC092 > PROC103	ansetzen · bezeichnete Stelle [Rahmen: anlegen] | führen · Durchlass · dieser Posten [Rahmen: durchleiten] | führen · umsetzen [Rahmen: umsetzen, führen] | ansetzen · länger · dieser Posten [Rahmen: wirken lassen, anlegen] | führen · Durchlass · kurz · Schluss [Rahmen: durchleiten]	den laufenden Posten an bezeichnete Stelle ansetzen | diesen Posten durch Durchlass führen | den laufenden Posten führen und umsetzen | den laufenden Posten länger in Einsatz halten | den laufenden Posten durch Durchlass kurz führen; Schritt schließen	den laufenden Posten an der bezeichneten Stelle anlegen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B2-S005	f82r	B2	f82r.3	oberes Beckenpaar mit Zylinder	8	PROC104 > PROC105 > PROC075 > PROC038 > PROC038 > PROC106 > PROC107 > PROC108	ansetzen · bezeichnete Stelle · dieser Posten [Rahmen: anlegen] | auffangen · vorgeschriebenes Maß [Rahmen: bis zum Maß auffangen] | Durchlass · dieser Posten | ansetzen · vorgeschriebenes Maß [Rahmen: einleiten, einsetzen] | ansetzen · vorgeschriebenes Maß [Rahmen: einleiten, einsetzen] | Arbeitsgang · bereit · kurz · fortsetzen | wärmen · länger · dieser Posten [Rahmen: warm halten] | führen · Schluss [Rahmen: abführen]	diesen Posten an bezeichnete Stelle ansetzen | den laufenden Posten nach vorgeschriebenes Maß auffangen | Durchlass · dieser Posten | den laufenden Posten nach Sollmaß ansetzen | den laufenden Posten nach Sollmaß ansetzen | Arbeitsgang · bereit · kurz · fortsetzen | diesen Posten länger wärmen | den laufenden Posten führen; Schritt schließen	den laufenden Posten an der bezeichneten Stelle anlegen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B2-S006	f82r	B2	f82r.4	oberes Beckenpaar mit Zylinder	4	PROC109 > PROC048 > PROC110 > PROC008	danach · länger · dieser Posten | ansetzen · bezeichnete Stelle [Rahmen: anlegen] | halten · kurz · Durchlass · dieser Posten [Rahmen: zurückhalten] | ansetzen · dieser Posten [Rahmen: einsetzen, einleiten, anlegen]	danach · länger · dieser Posten | den laufenden Posten an bezeichnete Stelle ansetzen | diesen Posten durch Durchlass kurz halten | diesen Posten in Einsatz bringen	danach den laufenden Posten an der bezeichneten Stelle länger anlegen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B2-S007	f82r	B2	f82r.7	mittleres linkes Handgerät mit Inline-Knoten	1	PROC111	halten · kurz · Schluss [Rahmen: ruhen lassen]	den laufenden Posten kurz halten; Schritt schließen	den laufenden Posten kurz ruhen lassen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B2-S008	f82r	B2	f82r.7	mittleres linkes Handgerät mit Inline-Knoten	3	PROC112 > PROC113 > PROC078	danach · vorgeschriebenes Maß | ansetzen · von dort [Rahmen: einsetzen] | absetzen · Schluss [Rahmen: absetzen lassen, ablagern]	danach · vorgeschriebenes Maß | den laufenden Posten von dort ansetzen | den laufenden Posten absetzen; Schritt schließen	danach den laufenden Posten von dort nach vorgeschriebenem Maß einsetzen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B2-S009	f82r	B2	f82r.7	mittleres linkes Handgerät mit Inline-Knoten	1	PROC114	fortsetzen · halten · kurz · Schluss [Rahmen: ruhen lassen]	fortsetzen den laufenden Posten kurz halten; Schritt schließen	den laufenden Posten weiter kurz ruhen lassen und den Schritt schließen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
B2-S010	f82r	B2	f82r.7	mittleres linkes Handgerät mit Inline-Knoten	4	PROC092 > PROC008 > PROC115 > PROC031	ansetzen · länger · dieser Posten [Rahmen: wirken lassen, anlegen] | ansetzen · dieser Posten [Rahmen: einsetzen, einleiten, anlegen] | weiter | halten · länger · dieser Posten [Rahmen: halten]	den laufenden Posten länger in Einsatz halten | diesen Posten in Einsatz bringen | weiter | diesen Posten länger halten	den laufenden Posten länger wirken lassen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
