label_terminal_id	physical_folio	source_selector	array_id	locus	slot_index	slot_count	kluge_a_member	complete_label_surface	normalized_stem	eva_terminal	source_terminal_member	zl_terminal_member	it_terminal_member	rf_terminal_member	terminal_member_support	terminal_member_agreement	canonical_boundary_family	same_array_opposition	paired_label_stem	semantic_ceiling
GDT800-L12	f71	f71v	SCARR025|f71v|S2	f71v.13	1	5	1	ofaom	ofao	m	B3	B3	B3	B3	3	ALL3	APARAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L13	f71	f71v	SCARR024|f71v|S1	f71v.2	1	10	6	char arom	chararo	m	B3	B3	B3	B3	3	ALL3	KAC|ACAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L14	f72	f72r1	SCARR027|f72r1|S2	f72r1.15	3	5	3	otchdal	otchda	l	B2	B2	B2	B2	3	ALL3	AQKBAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L15	f72	f72r1	SCARR026|f72r1|S1	f72r1.5	4	10	9	okalam	okala	m	B3	B3	B3	B3	3	ALL3	AQABAB	0	1	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L16	f72	f72r1	SCARR026|f72r1|S1	f72r1.11	10	10	15	ochol sharam	ocholshara	m	B3	B3	B3	B3	3	ALL3	AKAB|LACAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L17	f72	f72r2	SCARR030|f72r2|S2	f72r2.23	1	9	1	otal	ota	l	B2	B2	B2	B2	3	ALL3	AQAB	1	1	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L18	f72	f72r2	SCARR030|f72r2|S2	f72r2.24	2	9	2	ralal	rala	l	B2	B2	B2	B2	3	ALL3	CABAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L19	f72	f72r2	SCARR030|f72r2|S2	f72r2.25	3	9	3	okam	oka	m	B3	B3	B3	B3	3	ALL3	AQAB	0	1	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L20	f72	f72r2	SCARR028|f72r2|S0	f72r2.3	3	5	28	okaram	okara	m	B3	B3	B3	B3	3	ALL3	AQACAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L21	f72	f72r2	SCARR029|f72r2|S1	f72r2.9	3	16	12	okal	oka	l	B2	B2	B2	B2	3	ALL3	AQAB	0	1	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L22	f72	f72r2	SCARR029|f72r2|S1	f72r2.11	5	16	14	okal	oka	l	B2	B2	B2	B2	3	ALL3	AQAB	0	1	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L23	f72	f72r2	SCARR030|f72r2|S2	f72r2.29	7	9	7	otam	ota	m	B3	B3	B3	B3	3	ALL3	AQAB	1	1	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L24	f72	f72r2	SCARR029|f72r2|S1	f72r2.15	9	16	18	okaircham	okaircha	m	B3	B3	B3	B3	3	ALL3	AQAFKAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L25	f72	f72r2	SCARR030|f72r2|S2	f72r2.31	9	9	9	okarcham	okarcha	m	B3	B3	B3	B3	3	ALL3	AQACKAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L26	f72	f72r2	SCARR029|f72r2|S1	f72r2.16	10	16	19	okeal	okea	l	B2	B2	B2	A2	2	TWO_OF_THREE	AQJAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L27	f72	f72r2	SCARR029|f72r2|S1	f72r2.21	16	16	25	otolam	otola	m	B3	B3	B3	B3	3	ALL3	AQABAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
