source_slot	next_slot	transitions	canonical_direction	spoken_link_de
TARGET_PATH	CLOSE	10	FORWARD	TARGET_PATH → CLOSE
OWNER_CONTENT	GRADE_STATE	9	FORWARD	OWNER_CONTENT → GRADE_STATE
SOURCE_REFERENCE	LOCAL_DETAIL	6	FORWARD	SOURCE_REFERENCE → LOCAL_DETAIL
LOCAL_DETAIL	OWNER_CONTENT	5	BACKWARD_OR_RESUMPTIVE	LOCAL_DETAIL → OWNER_CONTENT
LOCAL_DETAIL	QUANTITY_INDEX	5	BACKWARD_OR_RESUMPTIVE	LOCAL_DETAIL → QUANTITY_INDEX
LOCAL_DETAIL	SOURCE_REFERENCE	5	BACKWARD_OR_RESUMPTIVE	LOCAL_DETAIL → SOURCE_REFERENCE
SOURCE_REFERENCE	GRADE_STATE	4	FORWARD	SOURCE_REFERENCE → GRADE_STATE
GRADE_STATE	LOCAL_DETAIL	3	FORWARD	GRADE_STATE → LOCAL_DETAIL
GRADE_STATE	QUANTITY_INDEX	3	BACKWARD_OR_RESUMPTIVE	GRADE_STATE → QUANTITY_INDEX
ORDER_CALL	LOCAL_DETAIL	3	FORWARD	ORDER_CALL → LOCAL_DETAIL
OWNER_CONTENT	CLOSE	3	FORWARD	OWNER_CONTENT → CLOSE
LOCAL_DETAIL	ORDER_CALL	2	BACKWARD_OR_RESUMPTIVE	LOCAL_DETAIL → ORDER_CALL
LOCAL_DETAIL	TARGET_PATH	2	BACKWARD_OR_RESUMPTIVE	LOCAL_DETAIL → TARGET_PATH
OWNER_CONTENT	LOCAL_DETAIL	2	FORWARD	OWNER_CONTENT → LOCAL_DETAIL
QUANTITY_INDEX	GRADE_STATE	2	FORWARD	QUANTITY_INDEX → GRADE_STATE
SOURCE_REFERENCE	CLOSE	2	FORWARD	SOURCE_REFERENCE → CLOSE
CLOSE	LOCAL_DETAIL	1	FORWARD	CLOSE → LOCAL_DETAIL
CLOSE	ORDER_CALL	1	BACKWARD_OR_RESUMPTIVE	CLOSE → ORDER_CALL
QUANTITY_INDEX	CLOSE	1	FORWARD	QUANTITY_INDEX → CLOSE
QUANTITY_INDEX	LOCAL_DETAIL	1	FORWARD	QUANTITY_INDEX → LOCAL_DETAIL
