statement_id	record_id	page	group_count	event_idiom_occurrences	clause_idiom_occurrences	event_idiom_ids	clause_idiom_ids	spoken_event_idioms_de	spoken_clause_idioms_de	unique_events_covered_by_idiom	residual_events	surface_sequence
B1-S018	B1	f81v	4	0	0	NONE	NONE	NONE	NONE	0	4	ly dsheol oiiin olkeedy
B1-S019	B1	f81v	1	0	0	NONE	NONE	NONE	NONE	0	1	tedy
B1-S020	B1	f81v	2	0	0	NONE	NONE	NONE	NONE	0	2	cheky shckhedy
B1-S021	B1	f81v	1	0	0	NONE	NONE	NONE	NONE	0	1	chal
B2-S001	B2	f82r	1	0	0	NONE	NONE	NONE	NONE	0	1	dchedy
B2-S002	B2	f82r	1	0	0	NONE	NONE	NONE	NONE	0	1	qolchedy
B2-S003	B2	f82r	3	0	1	NONE	C01-004	NONE	zwei Einstellungen nacheinander ausführen	0	3	qokain dy qokeedy
B2-S004	B2	f82r	5	0	1	NONE	C14-001	NONE	abführen und neu ansetzen	0	5	qokal lcheckhy lched qokeey lcheckhedy
B2-S005	B2	f82r	8	0	3	NONE	C01-005|C05-002|C12-003	NONE	zwei Einstellungen nacheinander ausführen / ansetzen und bereit halten / durchleiten und ansetzen	0	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy
B2-S006	B2	f82r	4	0	2	NONE	C04-004|C12-004	NONE	ansetzen und durchleiten / durchleiten und ansetzen	0	4	oteey qokal sheckhy qoky
B2-S007	B2	f82r	1	0	0	NONE	NONE	NONE	NONE	0	1	dshedy
B2-S008	B2	f82r	3	0	1	NONE	C09-001	NONE	ansetzen und absetzen lassen	0	3	sotaiin qokar shedy
B2-S009	B2	f82r	1	0	0	NONE	NONE	NONE	NONE	0	1	solshedy
B2-S010	B2	f82r	4	1	1	E11-001	C01-006	den länger gehaltenen Posten weiter ansetzen	zwei Einstellungen nacheinander ausführen	2	2	qokeey qoky ls cheey
B2-S011	B2	f82r	4	0	2	NONE	C01-007|C01-008	NONE	zwei Einstellungen nacheinander ausführen / zwei Einstellungen nacheinander ausführen	0	4	okain char okain qokeedy
B2-S012	B2	f82r	8	1	2	E02-002	C14-002|C16-001	Sollmaß dieses Postens	abführen und neu ansetzen / bereitstellen und ansetzen	2	6	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy
B2-S013	B2	f82r	1	0	0	NONE	NONE	NONE	NONE	0	1	lchedy
B2-S014	B2	f82r	1	0	0	NONE	NONE	NONE	NONE	0	1	lar
B2-S015	B2	f82r	2	0	0	NONE	NONE	NONE	NONE	0	2	tshey qokeedy
B2-S016	B2	f82r	8	0	1	NONE	C01-009	NONE	zwei Einstellungen nacheinander ausführen	0	8	cheal lchedar ches aiin oteey qokaiin okey pchedy
B2-S017	B2	f82r	2	0	0	NONE	NONE	NONE	NONE	0	2	rsheal daldy
B2-S018	B2	f82r	1	0	0	NONE	NONE	NONE	NONE	0	1	qokeedy
B2-S019	B2	f82r	1	0	0	NONE	NONE	NONE	NONE	0	1	rshedy
B2-S020	B2	f82r	1	0	0	NONE	NONE	NONE	NONE	0	1	qoteedy
B2-S021	B2	f82r	1	0	0	NONE	NONE	NONE	NONE	0	1	qokeedy
B2-S022	B2	f82r	1	0	0	NONE	NONE	NONE	NONE	0	1	lochedy
B3-S001	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	olkeedy
B3-S002	B3	f83r	2	0	0	NONE	NONE	NONE	NONE	0	2	qotal chkeedy
B3-S003	B3	f83r	4	3	0	E01-003|E02-003|E06-002	NONE	diesen Posten nach Sollmaß nehmen / Sollmaß dieses Postens / denselben Posten um das Sollmaß führen	NONE	3	1	chey daiin chey lchedy
B3-S004	B3	f83r	3	0	0	NONE	NONE	NONE	NONE	0	3	qokaiin qotal dar
B3-S005	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	schedy
B3-S006	B3	f83r	3	0	2	NONE	C02-005|C10-001	NONE	ansetzen und weiterführen / umsetzen und neu ansetzen	0	3	chedchy qokal olchedy
B3-S007	B3	f83r	3	1	2	E09-001	C10-002|C13-001	umsetzen, länger ansetzen und schließen	umsetzen und neu ansetzen / ansetzen und umsetzen	2	1	qokaiin chedy qokeedy
B3-S008	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	lchedy
B3-S009	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	qoky
B3-S010	B3	f83r	2	0	0	NONE	NONE	NONE	NONE	0	2	pchedal otedy
B3-S011	B3	f83r	4	0	2	NONE	C13-002|C16-002	NONE	ansetzen und umsetzen / bereitstellen und ansetzen	0	4	shecthedchy qoky chedy chary
B3-S012	B3	f83r	2	0	0	NONE	NONE	NONE	NONE	0	2	sor shedy
B3-S013	B3	f83r	4	0	2	NONE	C05-003|C16-003	NONE	ansetzen und bereit halten / bereitstellen und ansetzen	0	4	qokaiin chkain shcthey qokedy
B3-S014	B3	f83r	2	0	1	NONE	C09-002	NONE	ansetzen und absetzen lassen	0	2	okair sheedy
B3-S015	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	lchedy
B3-S016	B3	f83r	2	0	1	NONE	C14-003	NONE	abführen und neu ansetzen	0	2	lo qokchedy
B3-S017	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	qokeedy
B3-S018	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	shedy
B3-S019	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	qokshedy
B3-S020	B3	f83r	2	0	0	NONE	NONE	NONE	NONE	0	2	dal lchedy
B3-S021	B3	f83r	11	2	2	E01-004|E17-001	C05-004|C15-003	diesen Posten nach Sollmaß nehmen / den aktuellen Posten zum Ziel bringen	ansetzen und bereit halten / den Bereitschaftszustand bestätigen	4	7	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy
B3-S022	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	qotchedy
B3-S023	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	lchedy
B3-S024	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	tchedy
B3-S025	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	qokchdy
B3-S026	B3	f83r	7	0	2	NONE	C05-005|C10-003	NONE	ansetzen und bereit halten / umsetzen und neu ansetzen	0	7	cheedar chldaiin chedy qokain checthy chealror solkeedy
B3-S027	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	qoteedy
B3-S028	B3	f83r	2	1	1	E10-001	C01-010	länger halten, kurz nachsetzen und schließen	zwei Einstellungen nacheinander ausführen	2	0	qokeey qokedy
B3-S029	B3	f83r	3	0	1	NONE	C08-002	NONE	weiterführen und neu ansetzen	0	3	sol cheeety qokedy
B3-S030	B3	f83r	4	1	1	E12-002	C13-003	den aktuellen Posten auf Sollmaß setzen	ansetzen und umsetzen	2	2	qoky saiin schedair otchedy
B3-S031	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	qokeedy
B3-S032	B3	f83r	5	0	0	NONE	NONE	NONE	NONE	0	5	chedain chedy qotedaiin otaiin otedy
B3-S033	B3	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	ldy
B3-S034	B3	f83r	6	0	0	NONE	NONE	NONE	NONE	0	6	soiiin checthy chety otaiin olsaly shedy
B4-S001	B4	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	qokeedy
B4-S002	B4	f83r	3	1	2	E10-002	C01-011|C08-003	länger halten, kurz nachsetzen und schließen	zwei Einstellungen nacheinander ausführen / weiterführen und neu ansetzen	2	1	qolchey qokeey qokedy
B4-S003	B4	f83r	7	2	4	E04-004|E11-002	C01-012|C02-006|C10-004|C11-004	weiterführen, kurz absetzen und schließen / den länger gehaltenen Posten weiter ansetzen	zwei Einstellungen nacheinander ausführen / ansetzen und weiterführen / umsetzen und neu ansetzen / weiterführen und absetzen lassen	4	3	chedy otal otchey qokeey qoky tol shedy
B4-S004	B4	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	qokylddy
B4-S005	B4	f83r	3	1	1	E09-002	C10-005	umsetzen, länger ansetzen und schließen	umsetzen und neu ansetzen	2	1	dain chedy qokeedy
B4-S006	B4	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	shckhedy
B4-S007	B4	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	shckhedy
B4-S008	B4	f83r	4	0	0	NONE	NONE	NONE	NONE	0	4	saiin cheeky sheey qokedy
B4-S009	B4	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	shedy
B4-S010	B4	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	oldy
B4-S011	B4	f83r	7	1	4	E05-003	C01-013|C06-003|C07-002|C13-004	den Posten umsetzen und weiterführen	zwei Einstellungen nacheinander ausführen / umsetzen und weiterführen / weiterführen und abführen / ansetzen und umsetzen	2	5	saiin cheky okeeol okain chdy sol lkedy
B4-S012	B4	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	lchedy
B4-S013	B4	f83r	2	0	1	NONE	C09-003	NONE	ansetzen und absetzen lassen	0	2	qokol shedy
B4-S014	B4	f83r	4	1	0	E03-003	NONE	dieser laufende Ansatz	NONE	2	2	or chey qockhey dairydy
B4-S015	B4	f83r	6	0	1	NONE	C04-005	NONE	ansetzen und durchleiten	0	6	qokain shey kain chckhal solkey lchedy
B4-S016	B4	f83r	4	1	0	E14-002	NONE	die nächste Portion zum Ziel bringen	NONE	2	2	qolkain dal skar shedy
B5-S001	B5	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	otchdy
B5-S002	B5	f83r	1	0	0	NONE	NONE	NONE	NONE	0	1	qokchdy
B5-S003	B5	f83r	9	2	2	E07-001|E08-002	C06-004|C07-003	mit demselben Sollmaß fortfahren / am Ziel weiterarbeiten	umsetzen und weiterführen / weiterführen und abführen	4	5	shedal dal cheol lol chdal aiin sol daiiin chedy
B6-S001	B6	f83r	9	3	1	E07-002|E13-002|E17-002	C03-010	mit demselben Sollmaß fortfahren / fortsetzen und auf Sollmaß stellen / den aktuellen Posten zum Ziel bringen	im selben Gang weiterarbeiten	5	4	solkeey qekey raly ol daiin ol dain chey ldalor
