assignment_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	bracket_ordinal_in_clause	bracket_marker	host_class	argument_root	explicit_argument_phrase_de	replacement_card_id	source_fragment_de	target_fragment_de	context_source_layer	inherited_argument_source_event_id	guard
11	G407-E0019	G407-S001	f1r	SOURCE_SECTION_T	cthar	CH+T+AR	1	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
12	G407-E0019	G407-S001	f1r	SOURCE_SECTION_T	cthar	CH+T+AR	2	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
13	G407-E0020	G407-S001	f1r	SOURCE_SECTION_T	cthar	CH+T+AR	1	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
14	G407-E0020	G407-S001	f1r	SOURCE_SECTION_T	cthar	CH+T+AR	2	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
15	G407-E0026	G407-S001	f1r	SOURCE_SECTION_T	shod	SH+O+D_ADDR	1	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
16	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	cthes	CH+T+E+S	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
17	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	cthes	CH+T+E+S	2	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
18	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	cthes	CH+T+E+S	3	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
19	G407-E0031	G407-S001	f1r	SOURCE_SECTION_T	soiin	S+O+IIN	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
20	G407-E0035	G407-S001	f1r	SOURCE_SECTION_T	cthiar	CH+T+LOCAL_CHAR_I+AR	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
21	G407-E0035	G407-S001	f1r	SOURCE_SECTION_T	cthiar	CH+T+LOCAL_CHAR_I+AR	2	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
22	G407-E0039	G407-S001	f1r	SOURCE_SECTION_T	okan	OK+AN	1	[wie zuvor]	INHERITED_ARGUMENT	OR	die Eintragseinheit	GDT572-A04	die Eintragseinheit [wie zuvor]	dieselbe Eintragseinheit	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
23	G407-E0040	G407-S001	f1r	SOURCE_SECTION_T	sair	S+AIR	1	[wie zuvor]	INHERITED_ARGUMENT	OR	die Eintragseinheit	GDT572-A04	die Eintragseinheit [wie zuvor]	dieselbe Eintragseinheit	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
24	G407-E0042	G407-S001	f1r	SOURCE_SECTION_T	chear	CH+E+AR	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
25	G407-E0044	G407-S001	f1r	SOURCE_SECTION_T	cphar	CH+P+AR	1	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
26	G407-E0044	G407-S001	f1r	SOURCE_SECTION_T	cphar	CH+P+AR	2	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
27	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	1	[außen]	NOMINAL_ARGUMENT_SCOPE	Y	den laufenden Eintrag	GDT572-S01	den laufenden Eintrag [außen]	den äußeren laufenden Eintrag	GDT416_OLD26	NOT_APPLICABLE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
28	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	2	[innen]	NOMINAL_ARGUMENT_SCOPE	Y	den laufenden Eintrag	GDT572-S02	den laufenden Eintrag [innen]	den inneren laufenden Eintrag	GDT416_OLD26	NOT_APPLICABLE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
29	G407-E0051	G407-S002	f1r	SOURCE_SECTION_T	sh	SH	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
30	G407-E0052	G407-S002	f1r	SOURCE_SECTION_T	s	S	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
31	G407-E0055	G407-S002	f1r	SOURCE_SECTION_T	yshey	Y+SH+E+Y	1	[außen]	NOMINAL_ARGUMENT_SCOPE	Y	den laufenden Eintrag	GDT572-S01	den laufenden Eintrag [außen]	den äußeren laufenden Eintrag	GDT416_OLD26	NOT_APPLICABLE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
32	G407-E0055	G407-S002	f1r	SOURCE_SECTION_T	yshey	Y+SH+E+Y	2	[innen]	NOMINAL_ARGUMENT_SCOPE	Y	den laufenden Eintrag	GDT572-S02	den laufenden Eintrag [innen]	den inneren laufenden Eintrag	GDT416_OLD26	NOT_APPLICABLE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
33	G407-E0060	G407-S003	f1r	SOURCE_SECTION_T	os	OS	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
34	G407-E0064	G407-S003	f1r	SOURCE_SECTION_T	kos	K+O+S	1	[wie zuvor]	INHERITED_ARGUMENT	OR	die Eintragseinheit	GDT572-A04	die Eintragseinheit [wie zuvor]	dieselbe Eintragseinheit	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
35	G407-E0064	G407-S003	f1r	SOURCE_SECTION_T	kos	K+O+S	2	[wie zuvor]	INHERITED_ARGUMENT	OR	die Eintragseinheit	GDT572-A04	die Eintragseinheit [wie zuvor]	dieselbe Eintragseinheit	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
36	G407-E0066	G407-S003	f1r	SOURCE_SECTION_T	shos	SH+O+S	1	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
37	G407-E0066	G407-S003	f1r	SOURCE_SECTION_T	shos	SH+O+S	2	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
38	G407-E0070	G407-S004	f1r	SOURCE_SECTION_T	os	OS	1	[wie zuvor]	INHERITED_ARGUMENT	AIN	den Teilwert	GDT572-A03	den Teilwert [wie zuvor]	denselben Teilwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
39	G407-E0078	G407-S005	f1r	SOURCE_SECTION_T	cphodal	CH+P+O+D_ADDR+AL	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
40	G407-E0078	G407-S005	f1r	SOURCE_SECTION_T	cphodal	CH+P+O+D_ADDR+AL	2	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
41	G407-E0079	G407-S005	f1r	SOURCE_SECTION_T	es	E+S	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
42	G407-E0080	G407-S005	f1r	SOURCE_SECTION_T	oksho	OK+SH+O	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
43	G407-E0080	G407-S005	f1r	SOURCE_SECTION_T	oksho	OK+SH+O	2	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
44	G407-E0084	G407-S005	f1r	SOURCE_SECTION_T	okan	OK+AN	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
45	G407-E0094	G407-S005	f1r	SOURCE_SECTION_T	sho	SH+O	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
46	G407-E0096	G407-S005	f1r	SOURCE_SECTION_T	d	D_ADDR	1	[wie zuvor]	INHERITED_ARGUMENT	AIN	den Teilwert	GDT572-A03	den Teilwert [wie zuvor]	denselben Teilwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
47	G407-E0098	G407-S005	f1r	SOURCE_SECTION_T	oiin	O+IIN	1	[wie zuvor]	INHERITED_ARGUMENT	AIN	den Teilwert	GDT572-A03	den Teilwert [wie zuvor]	denselben Teilwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
48	G407-E0104	G407-S005	f1r	SOURCE_SECTION_T	dn	D_ADDR+AN	1	[wie zuvor]	INHERITED_ARGUMENT	AIN	den Teilwert	GDT572-A03	den Teilwert [wie zuvor]	denselben Teilwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
49	G407-E0106	G407-S005	f1r	SOURCE_SECTION_T	kod	K+O+D_ADDR	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
50	G407-E0109	G407-S005	f1r	SOURCE_SECTION_T	eo	E+O	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
51	G407-E0110	G407-S005	f1r	SOURCE_SECTION_T	r	R	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
52	G407-E0111	G407-S005	f1r	SOURCE_SECTION_T	char	AR	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
53	G407-E0117	G407-S005	f1r	SOURCE_SECTION_T	chal	CH+AL	1	[wie zuvor]	INHERITED_ARGUMENT	OR	die Eintragseinheit	GDT572-A04	die Eintragseinheit [wie zuvor]	dieselbe Eintragseinheit	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
54	G407-E0118	G407-S005	f1r	SOURCE_SECTION_T	sho	SH+O	1	[wie zuvor]	INHERITED_ARGUMENT	OR	die Eintragseinheit	GDT572-A04	die Eintragseinheit [wie zuvor]	dieselbe Eintragseinheit	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
55	G407-E0120	G407-S005	f1r	SOURCE_SECTION_T	shodan	SH+O+D_ADDR+AN	1	[wie zuvor]	INHERITED_ARGUMENT	OR	die Eintragseinheit	GDT572-A04	die Eintragseinheit [wie zuvor]	dieselbe Eintragseinheit	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
56	G407-E0123	G407-S005	f1r	SOURCE_SECTION_T	d	D_ADDR	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
57	G407-E0126	G407-S005	f1r	SOURCE_SECTION_T	sho	SH+O	1	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
58	G407-E0127	G407-S005	f1r	SOURCE_SECTION_T	koeam	K+O+E+AM_ADDR	1	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
59	G407-E0131	G407-S005	f1r	SOURCE_SECTION_T	sheo	SH+E+O	1	[wie zuvor]	INHERITED_ARGUMENT	AIN	den Teilwert	GDT572-A03	den Teilwert [wie zuvor]	denselben Teilwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
60	G407-E0138	G407-S005	f1r	SOURCE_SECTION_T	she	SH+E	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
61	G407-E0141	G407-S005	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
62	G407-E0145	G407-S005	f1r	SOURCE_SECTION_T	dchar	D_ADDR+CH+AR	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
63	G407-E0147	G407-S005	f1r	SOURCE_SECTION_T	okaiir	OK+IIN+R	1	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
64	G407-E0147	G407-S005	f1r	SOURCE_SECTION_T	okaiir	OK+IIN+R	2	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
65	G407-E0152	G407-S005	f1r	SOURCE_SECTION_T	dloo	D_ADDR+L+O+O	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
66	G407-E0153	G407-S005	f1r	SOURCE_SECTION_T	shok	SH+OK	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
67	G407-E0153	G407-S005	f1r	SOURCE_SECTION_T	shok	SH+OK	2	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
68	G407-E0159	G407-S005	f1r	SOURCE_SECTION_T	daiiin	DA+IIN	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
69	G407-E0166	G407-S006	f1r	SOURCE_SECTION_T	pydeey	P+Y+D_ADDR+EE+Y	1	[außen]	NOMINAL_ARGUMENT_SCOPE	Y	den laufenden Eintrag	GDT572-S01	den laufenden Eintrag [außen]	den äußeren laufenden Eintrag	GDT416_OLD26	NOT_APPLICABLE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
70	G407-E0166	G407-S006	f1r	SOURCE_SECTION_T	pydeey	P+Y+D_ADDR+EE+Y	2	[innen]	NOMINAL_ARGUMENT_SCOPE	Y	den laufenden Eintrag	GDT572-S02	den laufenden Eintrag [innen]	den inneren laufenden Eintrag	GDT416_OLD26	NOT_APPLICABLE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
