change_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	bracket_signature	bracket_occurrence_count	before_clause_de	after_clause_de	guard
11	G407-E0031	G407-S001	f1r	SOURCE_SECTION_T	soiin	S+O+IIN	[wie zuvor]	1	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	Wähle denselben laufenden Eintrag; als Ausführung und auf der bezeichneten Stufe.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
12	G407-E0035	G407-S001	f1r	SOURCE_SECTION_T	cthiar	CH+T+LOCAL_CHAR_I+AR	[wie zuvor]|[wie zuvor]	2	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	Entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest; von der Ausgangszeile; mit der lokalen Variante.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
13	G407-E0039	G407-S001	f1r	SOURCE_SECTION_T	okan	OK+AN	[wie zuvor]	1	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	Trage dieselbe Eintragseinheit ein; in der bezeichneten Klasse.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
14	G407-E0040	G407-S001	f1r	SOURCE_SECTION_T	sair	S+AIR	[wie zuvor]	1	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	Wähle dieselbe Eintragseinheit; entlang der Lesebahn.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
15	G407-E0042	G407-S001	f1r	SOURCE_SECTION_T	chear	CH+E+AR	[wie zuvor]	1	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	Entnimm denselben laufenden Eintrag; von der Ausgangszeile; auf Grad I.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
16	G407-E0044	G407-S001	f1r	SOURCE_SECTION_T	cphar	CH+P+AR	[wie zuvor]|[wie zuvor]	2	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	Entnimm denselben Kennwert und setze denselben Kennwert ein; von der Ausgangszeile.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
17	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	[außen]|[innen]	2	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
18	G407-E0051	G407-S002	f1r	SOURCE_SECTION_T	sh	SH	[wie zuvor]	1	Halte den laufenden Eintrag [wie zuvor] fest.	Halte denselben laufenden Eintrag fest.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
19	G407-E0052	G407-S002	f1r	SOURCE_SECTION_T	s	S	[wie zuvor]	1	Wähle den laufenden Eintrag [wie zuvor].	Wähle denselben laufenden Eintrag.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
20	G407-E0055	G407-S002	f1r	SOURCE_SECTION_T	yshey	Y+SH+E+Y	[außen]|[innen]	2	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; auf Grad I.	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; auf Grad I.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
21	G407-E0060	G407-S003	f1r	SOURCE_SECTION_T	os	OS	[wie zuvor]	1	Im laufenden Gang lege den laufenden Eintrag [wie zuvor] fest; wie zuvor.	Im laufenden Gang lege denselben laufenden Eintrag fest; wie zuvor.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
22	G407-E0064	G407-S003	f1r	SOURCE_SECTION_T	kos	K+O+S	[wie zuvor]|[wie zuvor]	2	Ordne die Eintragseinheit [wie zuvor] zu und wähle die Eintragseinheit [wie zuvor]; als Ausführung.	Ordne dieselbe Eintragseinheit zu und wähle dieselbe Eintragseinheit; als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
23	G407-E0066	G407-S003	f1r	SOURCE_SECTION_T	shos	SH+O+S	[wie zuvor]|[wie zuvor]	2	Halte den Kennwert [wie zuvor] fest und wähle den Kennwert [wie zuvor]; als Ausführung.	Halte denselben Kennwert fest und wähle denselben Kennwert; als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
24	G407-E0070	G407-S004	f1r	SOURCE_SECTION_T	os	OS	[wie zuvor]	1	Im laufenden Gang halte den Teilwert [wie zuvor] fest; wie zuvor.	Im laufenden Gang halte denselben Teilwert fest; wie zuvor.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
25	G407-E0078	G407-S005	f1r	SOURCE_SECTION_T	cphodal	CH+P+O+D_ADDR+AL	[wie zuvor]|[wie zuvor]	2	Entnimm den laufenden Eintrag [wie zuvor] und setze den laufenden Eintrag [wie zuvor] ein; zur Zielspalte; als Ausführung; an der bezeichneten Stelle.	Entnimm denselben laufenden Eintrag und setze denselben laufenden Eintrag ein; zur Zielspalte; als Ausführung; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
26	G407-E0079	G407-S005	f1r	SOURCE_SECTION_T	es	E+S	[wie zuvor]	1	Wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Wähle denselben laufenden Eintrag; auf Grad I.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
27	G407-E0080	G407-S005	f1r	SOURCE_SECTION_T	oksho	OK+SH+O	[wie zuvor]|[wie zuvor]	2	Trage den laufenden Eintrag [wie zuvor] ein und halte den laufenden Eintrag [wie zuvor] fest; als Ausführung.	Trage denselben laufenden Eintrag ein und halte denselben laufenden Eintrag fest; als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
28	G407-E0084	G407-S005	f1r	SOURCE_SECTION_T	okan	OK+AN	[wie zuvor]	1	Trage den laufenden Eintrag [wie zuvor] ein; in der bezeichneten Klasse.	Trage denselben laufenden Eintrag ein; in der bezeichneten Klasse.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
29	G407-E0094	G407-S005	f1r	SOURCE_SECTION_T	sho	SH+O	[wie zuvor]	1	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung.	Halte denselben laufenden Eintrag fest; als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
30	G407-E0096	G407-S005	f1r	SOURCE_SECTION_T	d	D_ADDR	[wie zuvor]	1	Im laufenden Gang halte den Teilwert [wie zuvor] fest; an der bezeichneten Stelle.	Im laufenden Gang halte denselben Teilwert fest; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
31	G407-E0098	G407-S005	f1r	SOURCE_SECTION_T	oiin	O+IIN	[wie zuvor]	1	Im laufenden Gang halte den Teilwert [wie zuvor] fest; als Ausführung und auf der bezeichneten Stufe.	Im laufenden Gang halte denselben Teilwert fest; als Ausführung und auf der bezeichneten Stufe.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
32	G407-E0104	G407-S005	f1r	SOURCE_SECTION_T	dn	D_ADDR+AN	[wie zuvor]	1	Im laufenden Gang trage den Teilwert [wie zuvor] ein; an der bezeichneten Stelle und in der bezeichneten Klasse.	Im laufenden Gang trage denselben Teilwert ein; an der bezeichneten Stelle und in der bezeichneten Klasse.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
33	G407-E0106	G407-S005	f1r	SOURCE_SECTION_T	kod	K+O+D_ADDR	[wie zuvor]	1	Ordne den laufenden Eintrag [wie zuvor] zu; als Ausführung; an der bezeichneten Stelle.	Ordne denselben laufenden Eintrag zu; als Ausführung; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
34	G407-E0109	G407-S005	f1r	SOURCE_SECTION_T	eo	E+O	[wie zuvor]	1	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I und als Ausführung.	Im laufenden Gang ordne denselben laufenden Eintrag zu; auf Grad I und als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
35	G407-E0110	G407-S005	f1r	SOURCE_SECTION_T	r	R	[wie zuvor]	1	Kennzeichne den laufenden Eintrag [wie zuvor].	Kennzeichne denselben laufenden Eintrag.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
36	G407-E0111	G407-S005	f1r	SOURCE_SECTION_T	char	AR	[wie zuvor]	1	Im laufenden Gang kennzeichne den laufenden Eintrag [wie zuvor]; von der Ausgangszeile.	Im laufenden Gang kennzeichne denselben laufenden Eintrag; von der Ausgangszeile.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
37	G407-E0117	G407-S005	f1r	SOURCE_SECTION_T	chal	CH+AL	[wie zuvor]	1	Entnimm die Eintragseinheit [wie zuvor]; zur Zielspalte.	Entnimm dieselbe Eintragseinheit; zur Zielspalte.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
38	G407-E0118	G407-S005	f1r	SOURCE_SECTION_T	sho	SH+O	[wie zuvor]	1	Halte die Eintragseinheit [wie zuvor] fest; als Ausführung.	Halte dieselbe Eintragseinheit fest; als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
39	G407-E0120	G407-S005	f1r	SOURCE_SECTION_T	shodan	SH+O+D_ADDR+AN	[wie zuvor]	1	Halte die Eintragseinheit [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle und in der bezeichneten Klasse.	Halte dieselbe Eintragseinheit fest; als Ausführung; an der bezeichneten Stelle und in der bezeichneten Klasse.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
40	G407-E0123	G407-S005	f1r	SOURCE_SECTION_T	d	D_ADDR	[wie zuvor]	1	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; an der bezeichneten Stelle.	Im laufenden Gang ordne denselben laufenden Eintrag zu; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
41	G407-E0126	G407-S005	f1r	SOURCE_SECTION_T	sho	SH+O	[wie zuvor]	1	Halte den Kennwert [wie zuvor] fest; als Ausführung.	Halte denselben Kennwert fest; als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
42	G407-E0127	G407-S005	f1r	SOURCE_SECTION_T	koeam	K+O+E+AM_ADDR	[wie zuvor]	1	Ordne den Kennwert [wie zuvor] zu; als Ausführung und auf Grad I; an der bezeichneten Stelle.	Ordne denselben Kennwert zu; als Ausführung und auf Grad I; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
43	G407-E0131	G407-S005	f1r	SOURCE_SECTION_T	sheo	SH+E+O	[wie zuvor]	1	Halte den Teilwert [wie zuvor] fest; auf Grad I und als Ausführung.	Halte denselben Teilwert fest; auf Grad I und als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
44	G407-E0138	G407-S005	f1r	SOURCE_SECTION_T	she	SH+E	[wie zuvor]	1	Halte den laufenden Eintrag [wie zuvor] fest; auf Grad I.	Halte denselben laufenden Eintrag fest; auf Grad I.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
45	G407-E0141	G407-S005	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	[wie zuvor]	1	Im laufenden Gang setze den laufenden Eintrag [wie zuvor] ein; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang setze denselben laufenden Eintrag ein; von der Ausgangszeile; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
46	G407-E0145	G407-S005	f1r	SOURCE_SECTION_T	dchar	D_ADDR+CH+AR	[wie zuvor]	1	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; an der bezeichneten Stelle.	Entnimm denselben laufenden Eintrag; von der Ausgangszeile; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
47	G407-E0147	G407-S005	f1r	SOURCE_SECTION_T	okaiir	OK+IIN+R	[wie zuvor]|[wie zuvor]	2	Trage den Kennwert [wie zuvor] ein und kennzeichne den Kennwert [wie zuvor]; auf der bezeichneten Stufe.	Trage denselben Kennwert ein und kennzeichne denselben Kennwert; auf der bezeichneten Stufe.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
48	G407-E0152	G407-S005	f1r	SOURCE_SECTION_T	dloo	D_ADDR+L+O+O	[wie zuvor]	1	Im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; über die Eintragsverbindung; als Ausführung und als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang wähle denselben laufenden Eintrag; über die Eintragsverbindung; als Ausführung und als Ausführung; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
49	G407-E0153	G407-S005	f1r	SOURCE_SECTION_T	shok	SH+OK	[wie zuvor]|[wie zuvor]	2	Halte den laufenden Eintrag [wie zuvor] fest und trage den laufenden Eintrag [wie zuvor] ein.	Halte denselben laufenden Eintrag fest und trage denselben laufenden Eintrag ein.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
50	G407-E0159	G407-S005	f1r	SOURCE_SECTION_T	daiiin	DA+IIN	[wie zuvor]	1	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; auf der zweiten Stufe und auf der bezeichneten Stufe.	Im laufenden Gang ordne denselben laufenden Eintrag zu; auf der zweiten Stufe und auf der bezeichneten Stufe.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
51	G407-E0166	G407-S006	f1r	SOURCE_SECTION_T	pydeey	P+Y+D_ADDR+EE+Y	[außen]|[innen]	2	Setze den laufenden Eintrag [außen] und den laufenden Eintrag [innen] ein; auf Grad II; an der bezeichneten Stelle.	Setze den äußeren laufenden Eintrag und den inneren laufenden Eintrag ein; auf Grad II; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
52	G407-E0167	G407-S006	f1r	SOURCE_SECTION_T	cha	CH+A_ADDR	[wie zuvor]	1	Entnimm den laufenden Eintrag [wie zuvor]; an der bezeichneten Stelle.	Entnimm denselben laufenden Eintrag; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
53	G407-E0168	G407-S006	f1r	SOURCE_SECTION_T	ro	R+O	[wie zuvor]	1	Kennzeichne den laufenden Eintrag [wie zuvor]; als Ausführung.	Kennzeichne denselben laufenden Eintrag; als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
54	G407-E0169	G407-S006	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	[wie zuvor]	1	Im laufenden Gang kennzeichne den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang kennzeichne denselben laufenden Eintrag; von der Ausgangszeile; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
55	G407-E0173	G407-S006	f1r	SOURCE_SECTION_T	cthal	CH+T+AL	[wie zuvor]|[wie zuvor]	2	Entnimm den Teilwert [wie zuvor] und lege den Teilwert [wie zuvor] fest; zur Zielspalte.	Entnimm denselben Teilwert und lege denselben Teilwert fest; zur Zielspalte.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
56	G407-E0174	G407-S006	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	[wie zuvor]	1	Im laufenden Gang lege den Teilwert [wie zuvor] fest; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang lege denselben Teilwert fest; von der Ausgangszeile; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
57	G407-E0175	G407-S006	f1r	SOURCE_SECTION_T	shear	SH+E+AR	[wie zuvor]	1	Halte den Teilwert [wie zuvor] fest; von der Ausgangszeile; auf Grad I.	Halte denselben Teilwert fest; von der Ausgangszeile; auf Grad I.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
58	G407-E0177	G407-S006	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	[wie zuvor]	1	Im laufenden Gang ordne den Kennwert [wie zuvor] zu; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang ordne denselben Kennwert zu; von der Ausgangszeile; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
59	G407-E0179	G407-S006	f1r	SOURCE_SECTION_T	cthar	CH+T+AR	[wie zuvor]|[wie zuvor]	2	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile.	Entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest; von der Ausgangszeile.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
60	G407-E0180	G407-S006	f1r	SOURCE_SECTION_T	cho	HO	[wie zuvor]	1	Im laufenden Gang lege den laufenden Eintrag [wie zuvor] fest; in der bezeichneten Klasse.	Im laufenden Gang lege denselben laufenden Eintrag fest; in der bezeichneten Klasse.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
61	G407-E0181	G407-S006	f1r	SOURCE_SECTION_T	o	O	[wie zuvor]	1	Im laufenden Gang lege den laufenden Eintrag [wie zuvor] fest; als Ausführung.	Im laufenden Gang lege denselben laufenden Eintrag fest; als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
62	G407-E0186	G407-S006	f1r	SOURCE_SECTION_T	far	LOCAL_CHAR_F+AR	[wie zuvor]	1	Im laufenden Gang trage den Kennwert [wie zuvor] ein; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang trage denselben Kennwert ein; von der Ausgangszeile; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
63	G407-E0190	G407-S006	f1r	SOURCE_SECTION_T	ycheey	Y+SH+EE+Y	[außen]|[innen]	2	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; auf Grad II.	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; auf Grad II.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
64	G407-E0198	G407-S006	f1r	SOURCE_SECTION_T	dal	AL	[wie zuvor]	1	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; zur Zielspalte.	Im laufenden Gang ordne denselben laufenden Eintrag zu; zur Zielspalte.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
65	G407-E0199	G407-S006	f1r	SOURCE_SECTION_T	dcheo	D_ADDR+CH+E+O	[wie zuvor]	1	Entnimm den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Entnimm denselben laufenden Eintrag; auf Grad I und als Ausführung; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
66	G407-E0203	G407-S007	f1r	SOURCE_SECTION_T	ok	OK	[wie zuvor]	1	Trage den laufenden Eintrag [wie zuvor] ein.	Trage denselben laufenden Eintrag ein.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
67	G407-E0207	G407-S007	f1r	SOURCE_SECTION_T	dal	AL	[wie zuvor]	1	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; zur Zielspalte.	Im laufenden Gang ordne denselben laufenden Eintrag zu; zur Zielspalte.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
68	G407-E0209	G407-S007	f1r	SOURCE_SECTION_T	eo	E+O	[wie zuvor]	1	Im laufenden Gang lege die Eintragseinheit [wie zuvor] fest; auf Grad I und als Ausführung.	Im laufenden Gang lege dieselbe Eintragseinheit fest; auf Grad I und als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
69	G407-E0211	G407-S007	f1r	SOURCE_SECTION_T	chok	OK	[wie zuvor]	1	Trage die Eintragseinheit [wie zuvor] ein.	Trage dieselbe Eintragseinheit ein.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
70	G407-E0220	G407-S008	f10r	HERBAL	chopchal	CH+O+P+CH+AL	[wie zuvor]|[wie zuvor]|[wie zuvor]	3	Nimm den Pflanzenposten [wie zuvor], setze den Pflanzenposten [wie zuvor] ein und nimm den Pflanzenposten [wie zuvor]; zur Zielstelle; als Ausführung.	Nimm denselben Pflanzenposten, setze denselben Pflanzenposten ein und nimm denselben Pflanzenposten; zur Zielstelle; als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
71	G407-E0222	G407-S008	f10r	HERBAL	kom	K+O+M_LOCAL	[wie zuvor]	1	Gib den Pflanzenposten [wie zuvor] zu; als Ausführung; an der bezeichneten Stelle.	Gib denselben Pflanzenposten zu; als Ausführung; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
72	G407-E0225	G407-S008	f10r	HERBAL	char	AR	[wie zuvor]	1	Im laufenden Gang stelle die Arbeitseinheit [wie zuvor] ein; vom Ausgangsmaterial.	Im laufenden Gang stelle dieselbe Arbeitseinheit ein; vom Ausgangsmaterial.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
73	G407-E0227	G407-S008	f10r	HERBAL	os	OS	[wie zuvor]	1	Im laufenden Gang stelle den Pflanzenposten [wie zuvor] ein; wie zuvor.	Im laufenden Gang stelle denselben Pflanzenposten ein; wie zuvor.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
74	G407-E0228	G407-S008	f10r	HERBAL	chair	CH+AIR	[wie zuvor]	1	Nimm den Pflanzenposten [wie zuvor]; entlang der Verarbeitungsbahn.	Nimm denselben Pflanzenposten; entlang der Verarbeitungsbahn.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
75	G407-E0234	G407-S008	f10r	HERBAL	o	O	[wie zuvor]	1	Im laufenden Gang stelle die Arbeitseinheit [wie zuvor] ein; als Ausführung.	Im laufenden Gang stelle dieselbe Arbeitseinheit ein; als Ausführung.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
