event_id	page	record	locus	residual_locus_mode	mode_load_here	card_no	component_parse	first_choice	remove_wrapper	applied_wrapper_stamp	final_surface	local_copy_required	free_choice
E156	f81v	B1	f81v.24	RR16	NO	PROC055	AL	dal	d	s	sal	YES	NO
E163	f81v	B1	f81v.27	RR17	NO	PROC078	SHED+DY	shedy	sh	t	tedy	YES	NO
E166	f81v	B1	f81v.27	RR17	NO	PROC055	AL	dal	d	ch	chal	YES	NO
E167	f82r	B2	f82r.2	RR18	YES	PROC076	CHD+DY	schedy	s	d	dchedy	YES	NO
E170	f82r	B2	f82r.2	RR18	NO	PROC019	Y	chey	che	d	dy	YES	NO
E190	f82r	B2	f82r.7	RR19	NO	PROC112	OT+AIIN	otaiin	Ø	s	sotaiin	YES	NO
E200	f82r	B2	f82r.19	RR20	NO	PROC080	OK+AIN	qokain	q	Ø	okain	YES	NO
E214	f82r	B2	f82r.26	RR21	NO	PROC055	AL	dal	d	che	cheal	YES	NO
E217	f82r	B2	f82r.26	RR21	NO	PROC009	AIIN	daiin	d	Ø	aiin	YES	NO
E242	f83r	B3	f83r.6	RR22	NO	PROC079	OL+CHD+DY	qolchedy	q	Ø	olchedy	YES	NO
E254	f83r	B3	f83r.11	RR23	YES	PROC016	OR	chor	ch	s	sor	YES	NO
E257	f83r	B3	f83r.11	RR23	NO	PROC069	K+AIN	kain	Ø	ch	chkain	YES	NO
E258	f83r	B3	f83r.11	RR23	NO	PROC117	CTH+E+Y	qcthey	q	sh	shcthey	YES	NO
E264	f83r	B3	f83r.14	RR24	YES	PROC091	OK+CHD+DY	okchedy	Ø	q	qokchedy	YES	NO
E271	f83r	B3	f83r.14	RR24	NO	PROC014	CTH+Y	checthy	che	sh	shcthy	YES	NO
E273	f83r	B3	f83r.14	RR24	NO	PROC019	Y	chey	che	s	sy	YES	NO
E278	f83r	B3	f83r.15	RR25	NO	PROC055	AL	dal	d	t	tal	YES	NO
E279	f83r	B3	f83r.15	RR25	NO	PROC014	CTH+Y	checthy	che	sh	shcthy	YES	NO
E281	f83r	B3	f83r.15	RR25	NO	PROC145	OT+CHD+DY	otchedy	Ø	q	qotchedy	YES	NO
E283	f83r	B3	f83r.16	RR26	YES	PROC076	CHD+DY	schedy	s	t	tchedy	YES	NO
E291	f83r	B3	f83r.20	RR27	YES	PROC098	SOLK+EE+DY	olkeedy	Ø	s	solkeedy	YES	NO
E299	f83r	B3	f83r.20	RR27	NO	PROC009	AIIN	daiin	d	s	saiin	YES	NO
E309	f83r	B3	f83r.24	RR28	YES	PROC097	O+IIN	oiiin	Ø	s	soiiin	YES	NO
E311	f83r	B3	f83r.24	RR28	NO	PROC004	T+Y	chty	ch	che	chety	YES	NO
E320	f83r	B4	f83r.25	RR29	NO	PROC131	OT+AL	qotal	q	Ø	otal	YES	NO
E324	f83r	B4	f83r.26	RR30	NO	PROC013	OL	ol	Ø	t	tol	YES	NO
E342	f83r	B4	f83r.35	RR31	NO	PROC042	CHD+Y	chedy	che	ch	chdy	YES	NO
E358	f83r	B4	f83r.41	RR32	NO	PROC070	OL+K+AIN	olkain	Ø	q	qolkain	YES	NO
E366	f83r	B5	f83r.48	RR33	NO	PROC013	OL	ol	Ø	che	cheol	YES	NO
E369	f83r	B5	f83r.48	RR33	NO	PROC009	AIIN	daiin	d	Ø	aiin	YES	NO
E377	f83r	B6	f83r.54	RR34	YES	PROC009	AIIN	saiin	s	d	daiin	YES	NO
