statement_id	page	record	events	owner_noun_de	surface_sequence	component_sequence	state_endpoint_sequence	licensed_close_cards	working_reading_de	form_owner_boundary_status
B2-S005	f82r	B2	8	die oberen Paarbecken mit Zylinder	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	E177:NONE/Y | E179:NONE/Y | E182:E/NONE | E183:EE/Y | E184:NONE/DY	1	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und nach Sollmass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen.	UNCHANGED
B2-S006	f82r	B2	4	die oberen Paarbecken mit Zylinder	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	E185:EE/Y | E187:E/Y | E188:NONE/Y	0	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	UNCHANGED
B2-S007	f82r	B2	1	die linke Mittelstation mit Zwischenknoten	dshedy	SH+E+DY	E189:E/DY	1	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	UNCHANGED
B2-S008	f82r	B2	3	die linke Mittelstation mit Zwischenknoten	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+DY	E192:NONE/DY	1	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.	UNCHANGED
B2-S009	f82r	B2	1	die linke Mittelstation mit Zwischenknoten	solshedy	OL+SH+E+DY	E193:E/DY	1	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	UNCHANGED
B2-S010	f82r	B2	4	die linke Mittelstation mit Zwischenknoten	qokeey qoky ls cheey	OK+EE+Y | OK+Y | OL | SH+EE+Y	E194:EE/Y | E195:NONE/Y | E197:EE/Y	0	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann fortsetzen; dann ihn laenger halten.	UNCHANGED
B2-S011	f82r	B2	4	die rechte unklare Mittelstation	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+DY	E201:EE/DY	1	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	UNCHANGED
B2-S012	f82r	B2	8	die rechte unklare Mittelstation und das untere gruene Figurenbecken	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	E202:NONE/Y | E203:EE/Y | E204:E/Y | E205:EE/Y | E206:EE/Y | E208:NONE/Y | E209:EEE/DY	1	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten weiterleiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger weiterleiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	UNCHANGED
B2-S013	f82r	B2	1	das untere gruene Figurenbecken	lchedy	L+CHD+DY	E210:NONE/DY	1	Am unteren gruenen Figurenbecken: Weiterleiten und umsetzen; den Schritt schliessen.	UNCHANGED
B2-S014	f82r	B2	1	das untere gruene Figurenbecken	lar	L+AR	NONE	0	Am unteren gruenen Figurenbecken: Aus der Quelle weiterleiten.	UNCHANGED
B2-S015	f82r	B2	2	die Randstationen des unteren Beckens	tshey qokeedy	SH+E+Y | OK+EE+DY	E212:E/Y | E213:EE/DY	1	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	UNCHANGED
B2-S016	f82r	B2	8	die Randstationen des unteren Beckens	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	E216:E/NONE | E218:EE/Y | E220:E/Y | E221:NONE/DY	1	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle weiterleiten und umsetzen. Kurz entnehmen und teilen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einfuellen, umsetzen und schliessen.	UNCHANGED
B2-S017	f82r	B2	2	die Randstationen des unteren Beckens	rsheal daldy	R+SH+E+AL | AL+DY	E222:E/NONE | E223:NONE/DY	1	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Zielschritt schliessen.	UNCHANGED
B2-S018	f82r	B2	1	die Randstationen des unteren Beckens	qokeedy	OK+EE+DY	E224:EE/DY	1	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	UNCHANGED
B2-S019	f82r	B2	1	die Randstationen des unteren Beckens	rshedy	R+SHED+DY	E225:NONE/DY	1	An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen.	UNCHANGED
B2-S020	f82r	B2	1	die Randstationen des unteren Beckens	qoteedy	OT+EE+DY	E226:EE/DY	1	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.	UNCHANGED
B2-S021	f82r	B2	1	die Randstationen des unteren Beckens	qokeedy	OK+EE+DY	E227:EE/DY	1	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	UNCHANGED
B2-S022	f82r	B2	1	die Randstationen des unteren Beckens	lochedy	L+O+CHD+DY	E228:NONE/DY	1	An den Randstationen des unteren Beckens: Im Arbeitsgang weiterleiten und umsetzen; den Schritt schliessen.	UNCHANGED
B3-S001	f83r	B3	1	die obere offene Faecherstation	olkeedy	SOLK+EE+DY	E229:EE/DY	1	An der oberen offenen Faecherstation: Laenger auffangen und den Schritt schliessen.	UNCHANGED
B3-S002	f83r	B3	2	die obere offene Faecherstation	qotal chkeedy	OT+AL | CHK+EE+DY	E231:EE/DY	1	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	UNCHANGED
B3-S003	f83r	B3	4	die obere offene Faecherstation	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+DY	E232:NONE/Y | E234:NONE/Y | E235:NONE/DY	1	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend weiterleiten und umsetzen, dann schliessen.	UNCHANGED
B3-S004	f83r	B3	3	die obere offene Faecherstation	qokaiin qotal dar	OK+AIIN | OT+AL | AR	NONE	0	An der oberen offenen Faecherstation: Nach Mass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	UNCHANGED
B3-S005	f83r	B3	1	das runde Mittelgefaess	schedy	CHD+DY	E239:NONE/DY	1	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.	UNCHANGED
B3-S006	f83r	B3	3	das runde Mittelgefaess	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+DY	E240:NONE/Y | E242:NONE/DY	1	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.	UNCHANGED
B3-S007	f83r	B3	3	das runde Mittelgefaess	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+DY	E244:NONE/Y | E245:EE/DY	1	Am runden Mittelgefaess: Nach Mass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.	UNCHANGED
B3-S008	f83r	B3	1	das runde Mittelgefaess	lchedy	L+CHD+DY	E246:NONE/DY	1	Am runden Mittelgefaess: Weiterleiten und umsetzen; den Schritt schliessen.	UNCHANGED
B3-S009	f83r	B3	1	das runde Mittelgefaess	qoky	OK+Y	E247:NONE/Y	0	Am runden Mittelgefaess: Den laufenden Posten ansetzen.	UNCHANGED
B3-S010	f83r	B3	2	das untere Korbgefaess	pchedal otedy	P+CHD+AL | OT+E+DY	E249:E/DY	1	Am unteren Korbgefaess: An der Zielstelle einfuellen und umsetzen; danach den kurzen Folgeschritt schliessen.	UNCHANGED
B3-S011	f83r	B3	4	das untere Korbgefaess	shecthedchy qoky chedy chary	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	E250:E/Y | E251:NONE/Y | E252:NONE/Y | E253:NONE/Y	0	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.	UNCHANGED
B3-S012	f83r	B3	2	das untere Korbgefaess	sor shedy	OR | SHED+DY	E255:NONE/DY	1	Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen.	UNCHANGED
B3-S013	f83r	B3	4	das untere Korbgefaess	qokaiin chkain shcthey qokedy	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	E258:E/Y | E259:E/DY	1	Am unteren Korbgefaess: Nach Mass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	UNCHANGED
B3-S014	f83r	B3	2	das untere Korbgefaess	okair sheedy	OK+AIR | SH+EE+DY	E261:EE/DY	1	Am unteren Korbgefaess: Die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen.	UNCHANGED
B3-S015	f83r	B3	1	das untere Korbgefaess	lchedy	L+CHD+DY	E262:NONE/DY	1	Am unteren Korbgefaess: Weiterleiten und umsetzen; den Schritt schliessen.	UNCHANGED
B3-S016	f83r	B3	2	das untere Korbgefaess und der bildlich unverbundene Zwischenabschnitt	lo qokchedy	L+O | OK+CHD+DY	E264:NONE/DY	1	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang weiterleiten; dann ansetzen und umsetzen; den Schritt schliessen.	UNCHANGED
B3-S017	f83r	B3	1	der bildlich unverbundene Zwischenabschnitt	qokeedy	OK+EE+DY	E265:EE/DY	1	Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen.	UNCHANGED
B3-S018	f83r	B3	1	der bildlich unverbundene Zwischenabschnitt	shedy	SHED+DY	E266:NONE/DY	1	Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen.	UNCHANGED
B3-S019	f83r	B3	1	der bildlich unverbundene Zwischenabschnitt	qokshedy	OK+SH+E+DY	E267:E/DY	1	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.	UNCHANGED
B3-S020	f83r	B3	2	der bildlich unverbundene Zwischenabschnitt	dal lchedy	AL | L+CHD+DY	E269:NONE/DY	1	Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle weiterleiten, umsetzen und den Schritt schliessen.	UNCHANGED
B3-S021	f83r	B3	11	der bildlich unverbundene Zwischenabschnitt	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	E271:NONE/Y | E273:NONE/Y | E276:E/Y | E277:NONE/Y | E279:NONE/Y | E280:NONE/DY	1	Im bildlich unverbundenen Zwischenabschnitt: Nach Mass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	UNCHANGED
B3-S022	f83r	B3	1	der bildlich unverbundene Zwischenabschnitt	qotchedy	OT+CHD+DY	E281:NONE/DY	1	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.	UNCHANGED
B3-S023	f83r	B3	1	der bildlich unverbundene Zwischenabschnitt	lchedy	L+CHD+DY	E282:NONE/DY	1	Im bildlich unverbundenen Zwischenabschnitt: Weiterleiten und umsetzen; den Schritt schliessen.	UNCHANGED
B3-S024	f83r	B3	1	der bildlich unverbundene Zwischenabschnitt	tchedy	CHD+DY	E283:NONE/DY	1	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.	UNCHANGED
B3-S025	f83r	B3	1	der bildlich unverbundene Zwischenabschnitt	qokchdy	OK+CHD+DY	E284:NONE/DY	1	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.	UNCHANGED
