exact_card_id	semantic_family	component_recipe	reading_de	state_roots	grade	endpoint	registered_surfaces	events	semantic_status
PROC023	SEM022	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	Y	NONE	Y	oykchor	1	UNCHANGED
PROC024	SEM023	K+IIN	ZUGEBEN · ARBEITSSTUFE	NONE	NONE	NONE	kaiiin	1	UNCHANGED
PROC025	SEM024	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	NONE	NONE	NONE	chodaiin	1	UNCHANGED
PROC026	SEM025	T+SH+OL	ANWENDEN · HALTEN · WEITER	NONE	NONE	NONE	tshol	1	UNCHANGED
PROC027	SEM026	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	NONE	NONE	NONE	schoal	1	UNCHANGED
PROC028	SEM027	CFH+Y	AUSWRINGEN · DIES	Y	NONE	Y	cfhy	1	UNCHANGED
PROC029	SEM028	SH+Y+AIIN	HALTEN · DIES · SOLLMASS	Y	NONE	Y	shfydaiin	1	UNCHANGED
PROC030	SEM029	P+Y	EINFUELLEN · DIES	Y	NONE	Y	cphy	1	UNCHANGED
PROC031	SEM030	SH+EE+Y	HALTEN · LANG · DIES	EE+Y	EE	Y	cheey|shey	4	UNCHANGED
PROC157	SEM030	SH+EE+Y	HALTEN · LANG · DIES	EE+Y	EE	Y	sheey	1	UNCHANGED
PROC032	SEM031	T+CH+O+DY	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	DY	NONE	DY	tchody	1	UNCHANGED
PROC033	SEM032	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	Y	NONE	Y	shoyty	1	UNCHANGED
PROC034	SEM033	RESUME_CARD	WIEDERAUFNEHMEN	NONE	NONE	NONE	dchol|schol	2	UNCHANGED
PROC035	SEM034	K+Y	ZUGEBEN · DIES	Y	NONE	Y	kchy	1	UNCHANGED
PROC036	SEM035	OT+Y	DANACH · DIES	Y	NONE	Y	qotchy	1	UNCHANGED
PROC065	SEM035	OT+Y	DANACH · DIES	Y	NONE	Y	otchey	2	UNCHANGED
PROC037	SEM036	OK+OL	ANSETZEN · WEITER	NONE	NONE	NONE	okchol	1	UNCHANGED
PROC160	SEM036	OK+OL	ANSETZEN · WEITER	NONE	NONE	NONE	qokol	1	UNCHANGED
PROC038	SEM037	OK+AIIN	ANSETZEN · SOLLMASS	NONE	NONE	NONE	okaiin|qokaiin	9	UNCHANGED
PROC039	SEM038	Y+K+AIN	DIES · ZUGEBEN · PORTION	Y	NONE	Y	ykain	1	UNCHANGED
PROC040	SEM039	Y+K+AN	DIES · ZUGEBEN · NACHGABE	Y	NONE	Y	ykan	1	UNCHANGED
PROC041	SEM040	O+DY	ARBEITSGANG · SCHLUSS	DY	NONE	DY	ody	1	UNCHANGED
PROC042	SEM041	CHD+Y	UMSETZEN · DIES	Y	NONE	Y	chdy|chedy	11	UNCHANGED
PROC133	SEM041	CHD+Y	UMSETZEN · DIES	Y	NONE	Y	chedchy	1	UNCHANGED
PROC043	SEM042	TALAM	VERWAHREN	NONE	NONE	NONE	talam	1	UNCHANGED
PROC044	SEM043	Y+K+AIIN	DIES · ZUGEBEN · SOLLMASS	Y	NONE	Y	ykaiin	1	UNCHANGED
PROC045	SEM044	CH+E+O+AR	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	E	E	NONE	cheoar	1	UNCHANGED
PROC046	SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	EE+Y	EE	Y	cheeky	2	UNCHANGED
PROC107	SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	EE+Y	EE	Y	chkeey	1	UNCHANGED
PROC047	SEM046	OL+DY	WEITER · SCHLUSS	DY	NONE	DY	oldy	2	UNCHANGED
PROC048	SEM047	OK+AL	ANSETZEN · ZIELSTELLE	NONE	NONE	NONE	okal|qokal	6	UNCHANGED
PROC049	SEM048	OL+T+Y	WEITER · ANWENDEN · DIES	Y	NONE	Y	oltchy	1	UNCHANGED
PROC050	SEM049	OR+AIN	ANSATZ · PORTION	NONE	NONE	NONE	orain	1	UNCHANGED
PROC051	SEM050	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	NONE	NONE	NONE	chochor	1	UNCHANGED
PROC052	SEM051	HO	ZUTAT	NONE	NONE	NONE	cho|sho	4	UNCHANGED
PROC053	SEM052	HO+AL+Y	ZUTAT · ZIELSTELLE · DIES	Y	NONE	Y	chodaly	1	UNCHANGED
PROC054	SEM053	K+OL	ZUGEBEN · WEITER	NONE	NONE	NONE	kchol	1	UNCHANGED
PROC055	SEM054	AL	ZIELSTELLE	NONE	NONE	NONE	al|chal|cheal|dal|sal|tal	10	UNCHANGED
PROC056	SEM055	HO+Y	ZUTAT · DIES	Y	NONE	Y	choy	1	UNCHANGED
PROC057	SEM056	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	EE+DY	EE	DY	cheeckhody	1	UNCHANGED
PROC058	SEM057	SH	HALTEN	NONE	NONE	NONE	sh	1	UNCHANGED
PROC059	SEM058	K+E+Y	ZUGEBEN · KURZ · DIES	E+Y	E	Y	kchey	1	UNCHANGED
PROC060	SEM059	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	Y	NONE	Y	qokokchy	1	UNCHANGED
PROC061	SEM060	OK+CH+E+O	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	E	E	NONE	chokcheo	1	UNCHANGED
PROC062	SEM061	K+AL	ZUGEBEN · ZIELSTELLE	NONE	NONE	NONE	kchal	1	UNCHANGED
PROC063	SEM062	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	NONE	NONE	NONE	kchoar	1	UNCHANGED
PROC064	SEM063	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	NONE	NONE	NONE	sotodan	1	UNCHANGED
PROC066	SEM064	K+E+OL	ZUGEBEN · KURZ · WEITER	E	E	NONE	keol	1	UNCHANGED
PROC067	SEM065	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	E+DY	E	DY	qokedy	8	UNCHANGED
PROC068	SEM066	K+AIR	ZUGEBEN · WASSER	NONE	NONE	NONE	kair	1	UNCHANGED
PROC069	SEM067	K+AIN	ZUGEBEN · PORTION	NONE	NONE	NONE	chkain|kain	3	UNCHANGED
PROC070	SEM068	OL+K+AIN	WEITER · ZUGEBEN · PORTION	NONE	NONE	NONE	olkain|qolkain	2	UNCHANGED
PROC071	SEM069	R+OL	KUEHLEN · WEITER	NONE	NONE	NONE	rol	1	UNCHANGED
PROC072	SEM070	L	WEITERLEITEN	NONE	NONE	NONE	dl	2	UNCHANGED
PROC073	SEM071	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	E	E	NONE	sheckhal	1	UNCHANGED
PROC074	SEM072	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	EE	EE	NONE	qokeedal	1	UNCHANGED
PROC075	SEM073	CKH+Y	DURCHLASS · DIES	Y	NONE	Y	chckhy|shckhy	4	UNCHANGED
PROC076	SEM074	CHD+DY	UMSETZEN · SCHLUSS	DY	NONE	DY	dchedy|schedy|tchedy	4	UNCHANGED
PROC094	SEM074	CHD+DY	UMSETZEN · SCHLUSS	DY	NONE	DY	dchdy	1	UNCHANGED
PROC077	SEM075	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	DY	NONE	DY	sshkchdy	1	UNCHANGED
PROC078	SEM076	SHED+DY	ABSETZEN · SCHLUSS	DY	NONE	DY	cheedy|shedy|tedy	12	UNCHANGED
PROC079	SEM077	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	DY	NONE	DY	olchedy|qolchedy	3	UNCHANGED
PROC080	SEM078	OK+AIN	ANSETZEN · PORTION	NONE	NONE	NONE	okain|qokain	7	UNCHANGED
PROC081	SEM079	R+AL	KUEHLEN · ZIELSTELLE	NONE	NONE	NONE	ral	1	UNCHANGED
PROC082	SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	DY	NONE	DY	qokchdy	3	UNCHANGED
PROC091	SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	DY	NONE	DY	okchedy|qokchedy	2	UNCHANGED
PROC083	SEM081	CHK+E+Y	WAERMEN · KURZ · DIES	E+Y	E	Y	cheky	3	UNCHANGED
PROC084	SEM082	LSH+O	WASCHEN · ARBEITSGANG	NONE	NONE	NONE	lsho	1	UNCHANGED
PROC085	SEM083	OK+E+Y	ANSETZEN · KURZ · DIES	E+Y	E	Y	okey|qokey	2	UNCHANGED
PROC086	SEM084	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	E+DY	E	DY	lshedy	2	UNCHANGED
PROC087	SEM085	SOLK+Y	AUFFANGEN · DIES	Y	NONE	Y	qolky	1	UNCHANGED
PROC088	SEM086	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIELSTELLE	NONE	NONE	NONE	lchedal	1	UNCHANGED
PROC089	SEM087	OT+AR	DANACH · QUELLE	NONE	NONE	NONE	otar	1	UNCHANGED
PROC090	SEM088	T+E+Y	ANWENDEN · KURZ · DIES	E+Y	E	Y	ytey	1	UNCHANGED
PROC092	SEM089	OK+EE+Y	ANSETZEN · LANG · DIES	EE+Y	EE	Y	okeey|qokeey	7	UNCHANGED
PROC093	SEM090	E+OL	KURZ · WEITER	E	E	NONE	teol	1	UNCHANGED
PROC095	SEM091	L+Y	WEITERLEITEN · DIES	Y	NONE	Y	ly	1	UNCHANGED
PROC096	SEM092	SH+E+OL	HALTEN · KURZ · WEITER	E	E	NONE	dsheol	1	UNCHANGED
PROC097	SEM093	O+IIN	ARBEITSGANG · ARBEITSSTUFE	NONE	NONE	NONE	oiiin|soiiin	2	UNCHANGED
PROC098	SEM094	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	EE+DY	EE	DY	olkeedy|solkeedy	3	UNCHANGED
PROC099	SEM095	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	E+DY	E	DY	shckhedy	3	UNCHANGED
PROC100	SEM096	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	EE+DY	EE	DY	qokeedy	10	UNCHANGED
PROC101	SEM097	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	Y	NONE	Y	lcheckhy	1	UNCHANGED
PROC102	SEM098	L+CHD	WEITERLEITEN · UMSETZEN	NONE	NONE	NONE	lched	1	UNCHANGED
PROC103	SEM099	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	E+DY	E	DY	lcheckhedy	1	UNCHANGED
PROC104	SEM100	OK+AL+Y	ANSETZEN · ZIELSTELLE · DIES	Y	NONE	Y	qokaly	1	UNCHANGED
PROC105	SEM101	SOLK+AIIN	AUFFANGEN · SOLLMASS	NONE	NONE	NONE	solkaiin	1	UNCHANGED
PROC106	SEM102	O+CTH+E+OL	ARBEITSGANG · BEREITEN · KURZ · WEITER	E	E	NONE	octheol	1	UNCHANGED
PROC108	SEM103	L+DY	WEITERLEITEN · SCHLUSS	DY	NONE	DY	ldy	2	UNCHANGED
PROC109	SEM104	OT+EE+Y	DANACH · LANG · DIES	EE+Y	EE	Y	oteey	2	UNCHANGED
PROC110	SEM105	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	E+Y	E	Y	sheckhy	1	UNCHANGED
PROC111	SEM106	SH+E+DY	HALTEN · KURZ · SCHLUSS	E+DY	E	DY	dshedy	1	UNCHANGED
PROC112	SEM107	OT+AIIN	DANACH · SOLLMASS	NONE	NONE	NONE	otaiin|sotaiin	3	UNCHANGED
PROC113	SEM108	OK+AR	ANSETZEN · QUELLE	NONE	NONE	NONE	qokar	1	UNCHANGED
PROC114	SEM109	OL+SH+E+DY	WEITER · HALTEN · KURZ · SCHLUSS	E+DY	E	DY	solshedy	1	UNCHANGED
PROC116	SEM110	L+CH+Y	WEITERLEITEN · ENTNEHMEN · DIES	Y	NONE	Y	lchy	1	UNCHANGED
PROC117	SEM111	CTH+E+Y	BEREITEN · KURZ · DIES	E+Y	E	Y	qcthey|shcthey	2	UNCHANGED
PROC118	SEM112	L+EE+Y	WEITERLEITEN · LANG · DIES	EE+Y	EE	Y	lcheey	1	UNCHANGED
PROC119	SEM113	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	EEE+DY	EEE	DY	qokeeedy	1	UNCHANGED
PROC120	SEM114	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	DY	NONE	DY	lchedy	8	UNCHANGED
PROC121	SEM115	L+AR	WEITERLEITEN · QUELLE	NONE	NONE	NONE	lar	1	UNCHANGED
PROC122	SEM116	SH+E+Y	HALTEN · KURZ · DIES	E+Y	E	Y	tshey	1	UNCHANGED
PROC123	SEM117	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	NONE	NONE	NONE	lchedar	1	UNCHANGED
PROC124	SEM118	CH+E+S	ENTNEHMEN · KURZ · TEIL	E	E	NONE	ches	1	UNCHANGED
PROC125	SEM119	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	DY	NONE	DY	pchedy	1	UNCHANGED
PROC126	SEM120	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	E	E	NONE	rsheal	1	UNCHANGED
PROC127	SEM121	AL+DY	ZIELSTELLE · SCHLUSS	DY	NONE	DY	daldy	1	UNCHANGED
PROC128	SEM122	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	DY	NONE	DY	rshedy	1	UNCHANGED
PROC129	SEM123	OT+EE+DY	DANACH · LANG · SCHLUSS	EE+DY	EE	DY	qoteedy	2	UNCHANGED
PROC130	SEM124	L+O+CHD+DY	WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	DY	NONE	DY	lochedy	1	UNCHANGED
PROC131	SEM125	OT+AL	DANACH · ZIELSTELLE	NONE	NONE	NONE	otal|qotal	3	UNCHANGED
PROC132	SEM126	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	EE+DY	EE	DY	chkeedy	1	UNCHANGED
PROC134	SEM127	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIELSTELLE	NONE	NONE	NONE	pchedal	1	UNCHANGED
PROC135	SEM128	OT+E+DY	DANACH · KURZ · SCHLUSS	E+DY	E	DY	otedy	2	UNCHANGED
PROC136	SEM129	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES	E+Y	E	Y	shecthedchy	1	UNCHANGED
PROC137	SEM130	AR+Y	QUELLE · DIES	Y	NONE	Y	chary	1	UNCHANGED
PROC138	SEM131	OK+AIR	ANSETZEN · WASSER	NONE	NONE	NONE	okair	1	UNCHANGED
PROC139	SEM132	SH+EE+DY	HALTEN · LANG · SCHLUSS	EE+DY	EE	DY	sheedy	1	UNCHANGED
PROC140	SEM133	L+O	WEITERLEITEN · ARBEITSGANG	NONE	NONE	NONE	lo	1	UNCHANGED
PROC141	SEM134	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	E+DY	E	DY	qokshedy	1	UNCHANGED
PROC142	SEM135	SHED+AL	ABSETZEN · ZIELSTELLE	NONE	NONE	NONE	shedal	2	UNCHANGED
PROC143	SEM136	SH+E+CTH+Y	HALTEN · KURZ · BEREITEN · DIES	E+Y	E	Y	shecthy	1	UNCHANGED
PROC144	SEM137	AL+CHD+DY	ZIELSTELLE · UMSETZEN · SCHLUSS	DY	NONE	DY	dalchdy	1	UNCHANGED
PROC145	SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	DY	NONE	DY	otchedy|qotchedy	2	UNCHANGED
PROC166	SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	DY	NONE	DY	otchdy	1	UNCHANGED
PROC146	SEM139	EE+AR	LANG · QUELLE	EE	EE	NONE	cheedar	1	UNCHANGED
PROC147	SEM140	L+AIIN	WEITERLEITEN · SOLLMASS	NONE	NONE	NONE	chldaiin	1	UNCHANGED
PROC148	SEM141	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	NONE	NONE	NONE	chealror	1	UNCHANGED
PROC149	SEM142	EEE+T+Y	VOLL · ANWENDEN · DIES	EEE+Y	EEE	Y	cheeety	1	UNCHANGED
PROC150	SEM143	CHD+AIR	UMSETZEN · WASSER	NONE	NONE	NONE	schedair	1	UNCHANGED
PROC151	SEM144	CHD+AIN	UMSETZEN · PORTION	NONE	NONE	NONE	chedain	1	UNCHANGED
PROC152	SEM145	OT+E+AIIN	DANACH · KURZ · SOLLMASS	E	E	NONE	qotedaiin	1	UNCHANGED
PROC153	SEM146	OL+AL+Y	WEITER · ZIELSTELLE · DIES	Y	NONE	Y	olsaly	1	UNCHANGED
PROC154	SEM147	OL+Y	WEITER · DIES	Y	NONE	Y	qolchey	1	UNCHANGED
PROC155	SEM148	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	Y+DY	NONE	DY	qokylddy	1	UNCHANGED
PROC156	SEM149	AIN	PORTION	NONE	NONE	NONE	dain	2	UNCHANGED
PROC158	SEM150	OK+EE+OL	ANSETZEN · LANG · WEITER	EE	EE	NONE	okeeol	1	UNCHANGED
PROC159	SEM151	L+K+E+DY	WEITERLEITEN · ZUGEBEN · KURZ · SCHLUSS	E+DY	E	DY	lkedy	1	UNCHANGED
PROC161	SEM152	O+CKH+E+Y	ARBEITSGANG · DURCHLASS · KURZ · DIES	E+Y	E	Y	qockhey	1	UNCHANGED
PROC162	SEM153	AIR+Y+DY	WASSER · DIES · SCHLUSS	Y+DY	NONE	DY	dairydy	1	UNCHANGED
PROC163	SEM154	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIELSTELLE	NONE	NONE	NONE	chckhal	1	UNCHANGED
PROC164	SEM155	SOLK+E+Y	AUFFANGEN · KURZ · DIES	E+Y	E	Y	solkey	1	UNCHANGED
PROC165	SEM156	K+AR	ZUGEBEN · QUELLE	NONE	NONE	NONE	skar	1	UNCHANGED
PROC167	SEM157	L+OL	WEITERLEITEN · WEITER	NONE	NONE	NONE	lol	1	UNCHANGED
PROC168	SEM158	CHD+AL	UMSETZEN · ZIELSTELLE	NONE	NONE	NONE	chdal	1	UNCHANGED
PROC169	SEM159	DA+IIN	ZWEIT · ARBEITSSTUFE	NONE	NONE	NONE	daiiin	1	UNCHANGED
PROC170	SEM160	SOLK+EE+Y	AUFFANGEN · LANG · DIES	EE+Y	EE	Y	solkeey	1	UNCHANGED
PROC171	SEM161	E+K+E+Y	KURZ · ZUGEBEN · KURZ · DIES	E+Y	E	Y	qekey	1	UNCHANGED
PROC172	SEM162	R+AL+Y	KUEHLEN · ZIELSTELLE · DIES	Y	NONE	Y	raly	1	UNCHANGED
PROC173	SEM163	L+AL+OR	WEITERLEITEN · ZIELSTELLE · ANSATZ	NONE	NONE	NONE	ldalor	1	UNCHANGED
