group_serial	diagram_id	page	locus	opaque_local_id	visible_owner	visible_surface	namespace_id	local_content_class	detected_literal_atoms	detected_cues	covered_characters	residual_pattern	transfer_class	exact_prose_master_card_id	exact_prose_short_default_de	forward_prediction	forward_predicted_reading_de	existing_astro_component_parse	existing_astro_reading_de	cross_register_reading_de	orientation_rule	crosspage_rule
11	A1	f67r2	f67r2.4	A1:G011	A1_RIGHT_SECTOR_SLOT_04	sykos	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	NONE	NONE	0/5	sykos	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_RIGHT_SECTOR_SLOT_04: sekundäre Grundklasse.	A1_RIGHT_SECTOR_SLOT_04: sekundäre Grundklasse.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
12	A1	f67r2	f67r2.5	A1:G012	A1_RIGHT_SECTOR_SLOT_05	ykeody	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	NONE	NONE	0/6	ykeody	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen.	A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
13	A1	f67r2	f67r2.5	A1:G013	A1_RIGHT_SECTOR_SLOT_05	okchy	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	KCH	KCH=kch@1-4	3/5	o···y	EXACT_PROSE_SURFACE	MC103	Posten zur Weiterbearbeitung ansetzen	NONE	NONE	diesen Diagrammposten setzen	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
14	A1	f67r2	f67r2.6	A1:G014	A1_RIGHT_SECTOR_SLOT_06	dchetay	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	NONE	NONE	0/7	dchetay	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
15	A1	f67r2	f67r2.7	A1:G015	A1_RIGHT_SECTOR_SLOT_07	ykchy	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	KCH	KCH=kch@1-4	3/5	y···y	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Diagrammplatz berechnen oder bearbeiten	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/y.	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
16	A1	f67r2	f67r2.7	A1:G016	A1_RIGHT_SECTOR_SLOT_07	kchey	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	KCH	KCH=kch@0-3	3/5	···ey	EXACT_PROSE_SURFACE	MC122	diesen Posten kurz bearbeiten	NONE	NONE	diesen Diagrammplatz kurz bearbeiten	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten.	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
17	A1	f67r2	f67r2.7	A1:G017	A1_RIGHT_SECTOR_SLOT_07	ykchys	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	KCH	KCH=kch@1-4	3/6	y···ys	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Diagrammplatz berechnen oder bearbeiten	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/ys.	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/ys.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
18	A1	f67r2	f67r2.8	A1:G018	A1_RIGHT_SECTOR_SLOT_08	chkchdar	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	KCH+AR	KCH=kch@2-5|AR=ar@6-8	5/8	ch···d··	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	NONE	NONE	Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
19	A1	f67r2	f67r2.9	A1:G019	A1_RIGHT_SECTOR_SLOT_09	ykar	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	AR	AR=ar@2-4	2/4	yk··	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Ausgangssektor, Ursprung oder Bezugswert	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yk.	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yk.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
20	A1	f67r2	f67r2.9	A1:G020	A1_RIGHT_SECTOR_SLOT_09	ykaly	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	AL	AL=al@2-4	2/5	yk··y	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Zielsektor, Zielstern oder Zielfeld	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest yk/y.	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest yk/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
21	A1	f67r2	f67r2.10	A1:G021	A1_RIGHT_SECTOR_SLOT_10	lkshy	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	NONE	NONE	0/5	lkshy	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	Position oder Bedingung halten	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Position oder Bedingung halten; lokaler Namensrest lk/y.	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Position oder Bedingung halten; lokaler Namensrest lk/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
22	A1	f67r2	f67r2.10	A1:G022	A1_RIGHT_SECTOR_SLOT_10	kchy	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	KCH	KCH=kch@0-3	3/4	···y	EXACT_PROSE_SURFACE	MC117	diesen Posten bearbeiten	NONE	NONE	diesen Diagrammplatz bearbeiten	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: diesen Diagrammplatz bearbeiten.	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: diesen Diagrammplatz bearbeiten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
23	A1	f67r2	f67r2.10	A1:G023	A1_RIGHT_SECTOR_SLOT_10	okar	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	OK+AR	OK=ok@0-2|AR=ar@2-4	4/4	····	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	NONE	NONE	Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
24	A1	f67r2	f67r2.11	A1:G024	A1_RIGHT_SECTOR_SLOT_11	chky	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	NONE	NONE	0/4	chky	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	Grad oder Diagrammzustand justieren	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Grad oder Diagrammzustand justieren; lokaler Namensrest y.	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Grad oder Diagrammzustand justieren; lokaler Namensrest y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
25	A1	f67r2	f67r2.11	A1:G025	A1_RIGHT_SECTOR_SLOT_11	chykchs	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	KCH	KCH=kch@3-6	3/7	chy···s	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Diagrammplatz berechnen oder bearbeiten	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest chy/s.	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest chy/s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
26	A1	f67r2	f67r2.11	A1:G026	A1_RIGHT_SECTOR_SLOT_11	chy	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	NONE	NONE	0/3	chy	EXACT_PROSE_SURFACE	MC123	dieser Posten	NONE	NONE	dieser lokale Diagrammposten	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: dieser lokale Diagrammposten.	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: dieser lokale Diagrammposten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
27	A1	f67r2	f67r2.12	A1:G027	A1_RIGHT_SECTOR_SLOT_12	ykees	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	NONE	NONE	0/5	ykees	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	lange oder volle Diagrammstufe	Sektorplatz A1_RIGHT_SECTOR_SLOT_12: lange oder volle Diagrammstufe; lokaler Namensrest yk/s.	Sektorplatz A1_RIGHT_SECTOR_SLOT_12: lange oder volle Diagrammstufe; lokaler Namensrest yk/s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
28	A1	f67r2	f67r2.12	A1:G028	A1_RIGHT_SECTOR_SLOT_12	ykchos	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	KCH	KCH=kch@1-4	3/6	y···os	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Diagrammplatz berechnen oder bearbeiten	Sektorplatz A1_RIGHT_SECTOR_SLOT_12: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/os.	Sektorplatz A1_RIGHT_SECTOR_SLOT_12: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/os.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
29	A1	f67r2	f67r2.13	A1:G029	A1_RIGHT_RING_BAND_01	opodchol	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_LOCAL_RING_RUBRIC	HO	HO=cho@4-7	3/8	opod···l	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	im selben Ring, Band oder Satz fortsetzen	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opodch.	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opodch.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
30	A1	f67r2	f67r2.13	A1:G030	A1_RIGHT_RING_BAND_01	s	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_LOCAL_RING_RUBRIC	NONE	NONE	0/1	s	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_RIGHT_RING_BAND_01: Nebenwert.	A1_RIGHT_RING_BAND_01: Nebenwert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
31	A1	f67r2	f67r2.13	A1:G031	A1_RIGHT_RING_BAND_01	ain	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_LOCAL_RING_RUBRIC	AIN	AIN=ain@0-3	3/3	···	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	gezaehlter Teil oder Unterabschnitt	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: gezaehlter Teil oder Unterabschnitt.	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: gezaehlter Teil oder Unterabschnitt.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
32	A1	f67r2	f67r2.13	A1:G032	A1_RIGHT_RING_BAND_01	aldy	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_LOCAL_RING_RUBRIC	AL	AL=al@0-2	2/4	··dy	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Zielsektor, Zielstern oder Zielfeld	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest dy.	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest dy.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
33	A1	f67r2	f67r2.14	A1:G033	A1_RIGHT_RING_BAND_02	soeey	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_LOCAL_RING_RUBRIC	NONE	NONE	0/5	soeey	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	lange oder volle Diagrammstufe	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: lange oder volle Diagrammstufe; lokaler Namensrest so/y.	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: lange oder volle Diagrammstufe; lokaler Namensrest so/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
34	A1	f67r2	f67r2.14	A1:G034	A1_RIGHT_RING_BAND_02	doiin	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_LOCAL_RING_RUBRIC	NONE	NONE	0/5	doiin	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	Grad- oder Bedingungsstufe	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: Grad- oder Bedingungsstufe; lokaler Namensrest do.	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: Grad- oder Bedingungsstufe; lokaler Namensrest do.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
35	A1	f67r2	f67r2.14	A1:G035	A1_RIGHT_RING_BAND_02	oldy	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_LOCAL_RING_RUBRIC	OL	OL=ol@0-2	2/4	··dy	EXACT_PROSE_SURFACE	MC019	Fortsetzung abschließen	NONE	NONE	fortsetzen und den Eintrag schliessen	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
36	A1	f67r2	f67r2.15	A1:G036	A1_LEFT_LOCAL_FIELD_15	dolchsody	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	OL	OL=ol@1-3	2/9	d··chsody	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	im selben Ring, Band oder Satz fortsetzen	Sternplatz A1_LEFT_LOCAL_FIELD_15: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest d/chsody.	Sternplatz A1_LEFT_LOCAL_FIELD_15: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest d/chsody.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
37	A1	f67r2	f67r2.16	A1:G037	A1_LEFT_LOCAL_FIELD_16	odaeiin	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/7	odaeiin	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	Grad- oder Bedingungsstufe	Sternplatz A1_LEFT_LOCAL_FIELD_16: Grad- oder Bedingungsstufe; lokaler Namensrest odae.	Sternplatz A1_LEFT_LOCAL_FIELD_16: Grad- oder Bedingungsstufe; lokaler Namensrest odae.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
