visible_surface	occurrences	pages	owners	namespaces	detected_literal_atoms	detected_cues	covered_characters	transfer_class	exact_prose_master_card_id	forward_prediction	representative_astro_reading_de
chokal	1	f68r1	A2_RIGHT_PANEL_HEADER	F68_RIGHT_PANEL_HEADER_NS	HO+AL	HO=cho@0-3|AL=al@4-6	5/6	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sektorplatz A2_RIGHT_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest ch.
choky	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	HO	HO=cho@0-3	3/5	EXACT_PROSE_SURFACE	MC026	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diesen Diagrammposten setzen.
chol	4	f67r2|f69v	A1_LEFT_LOCAL_FIELD_35|A3_LEFT_WHEEL_RING_TEXT|A3_MIDDLE_WHEEL_RING_TEXT	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS|F69_MIDDLE_WHEEL_NS	HO	HO=cho@0-3	3/4	EXACT_PROSE_SURFACE	MC153	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_35: im selben Ring oder Band fortsetzen.
choly	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	HO	HO=cho@0-3	3/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest ch/y.
chos	2	f67r2	A1_LEFT_LOCAL_FIELD_42|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_LEFT_WHEEL_NS|F67_PAIRED_LEGEND_QUARANTINE_NS	HO	HO=cho@0-3	3/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_42: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/s.
choteey	1	f68r1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	HO	HO=cho@0-3	3/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_LEFT_PANEL_HEADER: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe; lokaler Namensrest ch/y.
chpor	1	f68r1	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	OR	OR=or@3-5	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_MIDDLE_PANEL_HEADER: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest chp.
chsdy	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_LEFT_WHEEL_RING_TEXT: sekundärer Zustand fest.
chteey	1	f68r1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	NONE	NONE	0/6	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sternplatz A2_LEFT_PANEL_HEADER: lange oder volle Diagrammstufe; lokaler Namensrest cht/y.
chy	2	f67r2|f69v	A1_RIGHT_SECTOR_SLOT_11|A3_RIGHT_WHEEL_RING_TEXT	F67_RIGHT_WHEEL_NS|F69_RIGHT_WHEEL_NS	NONE	NONE	0/3	EXACT_PROSE_SURFACE	MC123	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: dieser lokale Diagrammposten.
chykar	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	AR	AR=ar@4-6	2/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest chyk.
chykchs	1	f67r2	A1_RIGHT_SECTOR_SLOT_11	F67_RIGHT_WHEEL_NS	KCH	KCH=kch@3-6	3/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest chy/s.
cpheey	1	f67r2	A1_RIGHT_PHASE_STATION_03	F67_RIGHT_WHEEL_NS	NONE	NONE	0/6	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Radstelle A1_RIGHT_PHASE_STATION_03: lange oder volle Diagrammstufe; lokaler Namensrest cph/y.
cphocthy	1	f68r1	A2_STAR_STATION_09	F68_LOCAL_STAR_SLOT_NS	CTH	CTH=cth@4-7	3/8	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_STAR_STATION_09: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest cp/cthy.
cphol	1	f68r1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	OL	OL=ol@3-5	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_LEFT_PANEL_HEADER: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest cph.
d	1	f69v	A3_LEFT_RADIAL_SLOT_23	F69_LEFT_WHEEL_NS	NONE	NONE	0/1	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_LEFT_RADIAL_SLOT_23: Festwert.
dadaiin	1	f67r2	A1_LEFT_LOCAL_FIELD_51	F67_LEFT_WHEEL_NS	AIIN	AIIN=aiin@3-7	4/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_51: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest dad.
daiial	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	AL	AL=al@4-6	2/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest daii.
daiin	4	f67r2	A1_LEFT_LOCAL_FIELD_18|A1_LEFT_LOCAL_FIELD_36|A1_LEFT_LOCAL_FIELD_43|A1_LEFT_OUTER_STAR_STATION_05	F67_LEFT_WHEEL_NS	AIIN	AIIN=aiin@1-5	4/5	EXACT_PROSE_SURFACE	MC039	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_18: Sollwert oder Grad des bezeichneten Himmelsplatzes.
dain	1	f67r2	A1_LEFT_LOCAL_FIELD_48	F67_LEFT_WHEEL_NS	AIN	AIN=ain@1-4	3/4	EXACT_PROSE_SURFACE	MC059	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_48: Band-, Schleier- oder Abdecktraeger.
dair	3	f69v	A3_LEFT_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS|F69_RIGHT_WHEEL_NS	AIR	AIR=air@1-4	3/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest d.
dal	5	f67r2|f69v	A1_LEFT_LOCAL_FIELD_18|A1_LEFT_OUTER_STAR_STATION_07|A3_MIDDLE_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	F67_LEFT_WHEEL_NS|F69_MIDDLE_WHEEL_NS|F69_RIGHT_WHEEL_NS	AL	AL=al@1-3	2/3	EXACT_PROSE_SURFACE	MC154	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_18: zum bezeichneten Zielplatz.
dar	2	f67r2|f69v	A1_LEFT_OUTER_RING_TEXT|A3_LEFT_WHEEL_RING_TEXT	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS	AR	AR=ar@1-3	2/3	EXACT_PROSE_SURFACE	MC055	NONE	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: vom bezeichneten Ausgangsplatz.
daram	1	f68r1	A2_RIGHT_PANEL_HEADER	F68_RIGHT_PANEL_HEADER_NS	AR	AR=ar@1-3	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sektorplatz A2_RIGHT_PANEL_HEADER: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d/am.
dary	1	f68r1	A2_MULTIPANEL_HEADER_FRAGMENT_06	F68_MULTIPANEL_HEADER_QUARANTINE_NS	AR	AR=ar@1-3	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_06: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d/y.
dchdar	1	f67r2	A1_LEFT_OUTER_STAR_STATION_02	F67_LEFT_WHEEL_NS	CHD+AR	CHD=chd@1-4|AR=ar@4-6	5/6	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_02: Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d.
dchetay	1	f67r2	A1_RIGHT_SECTOR_SLOT_06	F67_RIGHT_WHEEL_NS	NONE	NONE	0/7	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.
dchor	2	f68r1|f69v	A2_MULTIPANEL_HEADER_FRAGMENT_04|A3_LEFT_WHEEL_RING_TEXT	F68_MULTIPANEL_HEADER_QUARANTINE_NS|F69_LEFT_WHEEL_NS	HO	HO=cho@1-4	3/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_04: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest dch.
dchy	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	NONE	NONE	0/4	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_RIGHT_WHEEL_RING_TEXT: fester Zustand.
doair	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	AIR	AIR=air@2-5	3/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest do.
doiin	1	f67r2	A1_RIGHT_RING_BAND_02	F67_RIGHT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: Grad- oder Bedingungsstufe; lokaler Namensrest do.
doiir	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_LEFT_WHEEL_RING_TEXT: fester Grundindex.
dokan	1	f67r2	A1_LEFT_LOCAL_FIELD_33	F67_LEFT_WHEEL_NS	OK	OK=ok@1-3	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_33: Diagrammposten setzen oder aktivieren; lokaler Namensrest d/an.
dolchedy	1	f68r1	A2_STAR_STATION_28	F68_LOCAL_STAR_SLOT_NS	OL+CHD	OL=ol@1-3|CHD=ched@3-7	6/8	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_STAR_STATION_28: im selben Ring, Band oder Satz fortsetzen + Wert oder Platzbezug uebertragen; lokaler Namensrest d/y.
dolchsody	1	f67r2	A1_LEFT_LOCAL_FIELD_15	F67_LEFT_WHEEL_NS	OL	OL=ol@1-3	2/9	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_15: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest d/chsody.
