locus	boundary_class	working_render_de	evidence_type	composition	unresolved_component	reader_scope	render_span_tokens	export_policy	rationale
f115r.29	BOUND_OL_MATERIAL_COMPONENT	fertig getrockneter Holzdrogenansatz; Schluss-o offen	INFERRED_RELATIVE	OLCHEDY_DRY_WOOD_PREPARATION+O_UNRESOLVED	terminal O	BILATERAL_BOUND	ol|chedyo	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden rechts zu olchedyo. Die Lesung erbt den olchedy-Kern nur als Verwandteninferenz; das sichtbare Schluss-o bleibt offen.
f20v.11	LOCAL_MATERIAL_READER_CONFLICT	zusammengesetzter Drogenstoff	PUBLISHED_READER_RIVAL	CPHOL_COMPOSITE_DRUG_MATERIAL	NONE	BILATERAL_GLYPH_RIVAL	ol	NO_OL_EXPORT	Beide Alternativleser lesen cphol; dessen publizierte Karte ist zusammengesetzter Drogenstoff, nicht freier Grundansatz.
f21r.6	BOUND_OL_MATERIAL_COMPONENT	trockener Drogenstoff im Grundansatz	INFERRED_COMPOSITION	CHOL_DRY_MATERIAL+OL_BASE	NONE	BILATERAL_LEFT_BOUND	chol|ol	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden links zu cholol; der trockene Stoff plus Ansatzkern ist eine lokale Komposition, keine publizierte cholol-Ganzwortkarte.
f23v.4	BOUND_OL_MATERIAL_COMPONENT	abgemessener Drogenrohstoff I	PUBLISHED_EXACT_WHOLE	OLDAL_MEASURED_RAW_DRUG_I	NONE	BILATERAL_BOUND	ol|dal	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden rechts zu oldal; die publizierte Ganzwortkarte ist abgemessener Drogenrohstoff I.
f50r.6	BOUND_OL_MATERIAL_COMPONENT	heiß-trockener Grundansatz bis zur Mittelstufe	SHARED_COMPONENT_CORE	OL_BASE+K_HOT+CH_DRY+E_MIDDLE	DY completion only in IT2a olkchedy; RF1b has olkche	BILATERAL_BOUND_DIFFERENT_COMPLETION	ol|kchedy	LOCAL_COMPOUND_ONLY	IT2a bildet olkchedy mit Abschluss, RF1b olkche ohne dy. Nur der gemeinsame heiße, trockene Mittelstufenkern wird gerendert.
f58r.31	BOUND_OL_MATERIAL_COMPONENT	erste heiße Drogenfraktion im Grundansatz; e-Komponente offen	INFERRED_COMPOSITION	OL_BASE+E_UNRESOLVED+KAR_HOT_FRACTION_I	visible E	BILATERAL_BOUND	ol|ekar	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden rechts zu olekar. OL und KAR tragen die provisorische Ansatz-/Fraktionskomposition; das sichtbare e bleibt ausdrücklich unaufgelöst.
f76r.33	LOCAL_MATERIAL_READER_CONFLICT	Wurzelrohstoff I oder Rohstoffklasse I	PUBLISHED_READER_RIVALS	RAL_ROOT_RAW_I|AL_RAW_I	reader choice RAL versus AL	IT2A_FUZZY_LEFT_BOUND_RF1B_GLYPH_RIVAL	r|ol	NO_OL_EXPORT	IT2a bindet r ol fuzzy zu ral, RF1b liest das ol als al; beide sind konkrete Rohstoffkarten, aber keine gemeinsame freie ol-Karte.
f76r.44	BOUND_OL_MATERIAL_COMPONENT	vollständig eingeweichte Holzdroge im Ansatz	PUBLISHED_EXACT_WHOLE	OLSHEDY_SOAKED_WOOD_PREPARATION	NONE	BILATERAL_BOUND	ol|shedy	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden rechts zu olshedy; die publizierte Ganzwortkarte bezeichnet vollständig eingeweichte Holzdroge im Ansatz.
f76v.8	LOCAL_MATERIAL_READER_CONFLICT	Rohstoffklasse I oder Wurzelrohstoff I	PUBLISHED_READER_RIVALS	AL_RAW_I|RAL_ROOT_RAW_I	reader choice AL versus RAL	IT2A_GLYPH_RIVAL_RF1B_FUZZY_LEFT_BOUND	r|ol	NO_OL_EXPORT	IT2a liest al, RF1b bindet r ol fuzzy zu ral; die konkreten Rivalen werden lokal bewahrt.
f78r.35	LOCAL_OLY_ACTION_CONFLICT	abseihen	PUBLISHED_READER_RIVAL	OLY_STRAIN_ACTION	RF1b reads ly without initial O	IT2A_BOUND_ACTION_RF1B_FUZZY_BOUND	ol|y	NO_OL_EXPORT	IT2a bindet ol mit folgendem y zu oly, der publizierten Abseihhandlung; RF1b liest denselben Quellspan fuzzy als ly.
f79v.41	BOUND_OL_MATERIAL_COMPONENT	vollständig erhitzter Holzdrogenansatz	PUBLISHED_EXACT_WHOLE	OLKEEY_FULLY_HEATED_WOOD_PREPARATION	NONE	BILATERAL_BOUND	ol|keey	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden rechts zu olkeey; die publizierte Ganzwortkarte bleibt erhalten.
f79v.42	BOUND_OL_MATERIAL_COMPONENT	zwei Teile Drogenstoff	PUBLISHED_EXACT_WHOLE	OLAIN_DRUG_MATERIAL_QUANTITY_II	IT2a has fuzzy olaiin versus RF1b olain	BILATERAL_BOUND_READER_QUANTITY_RIVAL	ol|ain	LOCAL_COMPOUND_ONLY	RF1b bindet zu publiziertem olain; IT2a erweitert denselben Quellspan fuzzy zu olaiin. Der V48-Kontext behält lokal den Mengen-II-Default und weist die Mengen-III-Lesung aus.
f7r.9	BOUND_OL_MATERIAL_COMPONENT	trockene Zubereitungsform III im Grundansatz	INFERRED_COMPOSITION	OL_BASE+CHOIIN_DRY_FORM_III	NONE	BILATERAL_BOUND	ol|choiin	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden rechts zu olchoiin; Ansatz plus trockene Zubereitungsform III ist eine lokale Komposition, keine publizierte Ganzwortkarte.
f85r1.29	BOUND_OL_MATERIAL_COMPONENT	vollständig ausgekochter Holzdrogenauszug	PUBLISHED_EXACT_WHOLE	OLKEEODY_FULLY_DECOCTED_WOOD_EXTRACT	NONE	BILATERAL_BOUND	ol|keeody	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden rechts zu olkeeody; die publizierte Ganzwortkarte bezeichnet den vollständig ausgekochten Holzdrogenauszug.
f86v6.40	BOUND_OL_MATERIAL_COMPONENT	erste erhitzte Drogenfraktion im Ansatz	INFERRED_COMPOSITION	OL_BASE+KAR_HOT_FRACTION_I	NONE	BILATERAL_BOUND	ol|kar	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden rechts zu olkar; die Bedeutung ist eine provisorische OL+KAR-Komposition, keine publizierte olkar-Ganzwortkarte.
