master_card_id	master_form	semantic_atoms	short_default_de	records	event_count	bridge_status	event_serials	teaching_instruction
MC092	lol	L+OL	abführen+weiter	B5	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	367	teach the shared atom once, but practice this exact card only on its attested section tablet
MC097	olkain	OL+AIN	weiter+Anteil	B1|B4	2	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	108|358	teach the shared atom once, but practice this exact card only on its attested section tablet
MC105	chkain	AIN	Anteil	B1|B3|B4	3	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	107|257|354	teach the shared atom once, but practice this exact card only on its attested section tablet
MC110	chkeedy	CHK+EE+CLOSE	wärmen+länger+Schluss	B3	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	231	teach the shared atom once, but practice this exact card only on its attested section tablet
MC116	schedair	AIR	Lauf	B3	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	300	teach the shared atom once, but practice this exact card only on its attested section tablet
MC118	ly	L+Y	abführen+Posten	B1	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	159	teach the shared atom once, but practice this exact card only on its attested section tablet
MC119	cheey	CHEEY	Ergebnis	B2|B4|H3	4	PORTABLE_EXACT_BRIDGE_CARD	44|197|203|353	teach the exact card in both prose sections
MC124	lkedy	L+E+CLOSE	abführen+kurz+Schluss	B4	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	344	teach the shared atom once, but practice this exact card only on its attested section tablet
MC127	lched	L+CHD	abführen+umsetzen	B2	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	174	teach the shared atom once, but practice this exact card only on its attested section tablet
MC132	sheckhy	CKH+E+Y	Durchlass+kurz+Posten	B2	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	187	teach the shared atom once, but practice this exact card only on its attested section tablet
MC139	dchdy	CHD+CLOSE	umsetzen+Schluss	B1	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	158	teach the shared atom once, but practice this exact card only on its attested section tablet
MC141	tshey	CHEEY	Ergebnis	B2	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	212	teach the shared atom once, but practice this exact card only on its attested section tablet
MC145	chedain	CHD+AIN	umsetzen+Anteil	B3	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	303	teach the shared atom once, but practice this exact card only on its attested section tablet
MC147	cheky	CHK+E+Y	wärmen+kurz+Posten	B1|B4	3	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	134|164|339	teach the shared atom once, but practice this exact card only on its attested section tablet
MC148	ykan	Y+AIN	Posten+Anteil	H4	1	HERBAL_CARD_WITH_SHARED_BRIDGE_ATOM	59	teach the shared atom once, but practice this exact card only on its attested section tablet
MC152	ches	PARTITION	teilen	B2	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	216	teach the shared atom once, but practice this exact card only on its attested section tablet
MC155	lchedy	L+CHD+CLOSE	abführen+umsetzen+Schluss	B2|B3|B4	8	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	210|235|246|262|269|282|345|357	teach the shared atom once, but practice this exact card only on its attested section tablet
MC165	qockhey	OK+CKH+E+Y	ansetzen+Durchlass+kurz+Posten	B4	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	350	teach the shared atom once, but practice this exact card only on its attested section tablet
MC166	chkeey	CHK+EE+Y	wärmen+länger+Posten	B2	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	183	teach the shared atom once, but practice this exact card only on its attested section tablet
MC167	lochedy	L+CHD+CLOSE	abführen+umsetzen+Schluss	B2	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	228	teach the shared atom once, but practice this exact card only on its attested section tablet
MC168	lcheckhy	L+CKH+Y	abführen+Durchlass+Posten	B2	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	173	teach the shared atom once, but practice this exact card only on its attested section tablet
MC172	daiiin	IIN	Stufe	B5	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	371	teach the shared atom once, but practice this exact card only on its attested section tablet
