gdt753_surface_id	gdt753_pair_id	comparison_group	pair_side	surface	reader_exact_occurrences	reader_exact_pages	complete_fields	complete_field_pages	anchored_complete_fields	process_or_material_middle_support_fields	process_or_material_middle_support_pages	preparation_support_fields	preparation_support_pages	process_support_fields	material_support_fields	middle_stage_support_fields	quality_stage_support_fields	process_or_material_middle_rate	preparation_rate	channel_counts_complete	literal_identity	confirmed_lexeme	component_export_credit
G753-P06-PREFIX	G753-P06	MATCHED_Q_PAIR	PREFIX	qokair	17	11	5	3	3	1	1	3	2	1	0	2	3	0.200000	0.600000	DESCRIPTIVE_MATERIA:2|OPEN:2|PRESCRIPTIVE_RECIPE:1	OPEN	0	0
G753-P06-BASE	G753-P06	MATCHED_Q_PAIR	BASE	okair	17	14	7	5	3	0	0	3	3	0	1	1	3	0.000000	0.428571	DESCRIPTIVE_MATERIA:2|OPEN:4|QUANTITY_OR_PART:1	OPEN	0	0
G753-P07-PREFIX	G753-P07	MATCHED_NONQ_PAIR	PREFIX	ykaiin	33	18	12	10	6	1	1	2	2	0	3	2	6	0.083333	0.166667	DESCRIPTIVE_MATERIA:5|MATERIA_OR_INGREDIENT:1|OPEN:6	OPEN	0	0
G753-P07-BASE	G753-P07	MATCHED_NONQ_PAIR	BASE	kaiin	44	30	12	11	8	1	1	4	4	2	3	2	8	0.083333	0.333333	DESCRIPTIVE_MATERIA:5|DESCRIPTIVE_QUALITY:1|OPEN:4|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:1	OPEN	0	0
G753-P08-PREFIX	G753-P08	MATCHED_NONQ_PAIR	PREFIX	okeedy	49	29	25	21	10	2	2	4	4	3	3	3	9	0.080000	0.160000	DESCRIPTIVE_MATERIA:3|DESCRIPTIVE_QUALITY:3|MATERIA_OR_INGREDIENT:1|OPEN:15|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:2	OPEN	0	0
G753-P08-BASE	G753-P08	MATCHED_NONQ_PAIR	BASE	keedy	22	16	11	9	6	2	2	1	1	1	3	3	6	0.181818	0.090909	DESCRIPTIVE_MATERIA:3|DESCRIPTIVE_QUALITY:2|OPEN:5|PRESCRIPTIVE_PROCESS:1	OPEN	0	0
G753-P09-PREFIX	G753-P09	MATCHED_NONQ_PAIR	PREFIX	ykeedy	19	18	12	12	7	2	2	3	3	3	3	2	7	0.166667	0.250000	DESCRIPTIVE_MATERIA:2|DESCRIPTIVE_QUALITY:2|OPEN:5|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:2	OPEN	0	0
G753-P09-BASE	G753-P09	MATCHED_NONQ_PAIR	BASE	keedy	22	16	11	9	6	2	2	1	1	1	3	3	6	0.181818	0.090909	DESCRIPTIVE_MATERIA:3|DESCRIPTIVE_QUALITY:2|OPEN:5|PRESCRIPTIVE_PROCESS:1	OPEN	0	0
G753-P10-PREFIX	G753-P10	MATCHED_NONQ_PAIR	PREFIX	otchor	16	14	10	9	7	1	1	3	3	2	4	1	7	0.100000	0.300000	DESCRIPTIVE_MATERIA:5|OPEN:3|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:1	OPEN	0	0
G753-P10-BASE	G753-P10	MATCHED_NONQ_PAIR	BASE	tchor	17	15	9	7	7	2	2	5	5	1	2	2	7	0.222222	0.555556	DESCRIPTIVE_MATERIA:5|DESCRIPTIVE_QUALITY:1|OPEN:2|PRESCRIPTIVE_RECIPE:1	OPEN	0	0
G753-P11-PREFIX	G753-P11	MATCHED_NONQ_PAIR	PREFIX	otchol	24	22	15	14	11	1	1	6	6	2	7	1	7	0.066667	0.400000	DESCRIPTIVE_MATERIA:4|MATERIA_OR_INGREDIENT:2|OPEN:5|PRESCRIPTIVE_RECIPE:2|QUANTITY_OR_PART:2	OPEN	0	0
G753-P11-BASE	G753-P11	MATCHED_NONQ_PAIR	BASE	tchol	11	10	3	3	2	0	0	1	1	0	2	0	2	0.000000	0.333333	DESCRIPTIVE_MATERIA:2|OPEN:1	OPEN	0	0
