card_no	surfaces	component_parse	role_signature	clause_type	portable_component_reading_de	portable_role_reading_de	observed_action_senses_de	observed_action_frame_codes	context_sense_count	context_sensitive	composition_status	occurrences	sections	records	complete_default_available
PROC011	chokchy|okchy|qokchy	OK+Y	ACTION+ITEM	ACTION_CLAUSE	ansetzen · dies	diesen Posten ansetzen	ansetzen|einsetzen	OK:ACTIVATE|OK:PREPARATION_START	2	YES	COMPOSITIONAL	3	HERBAL	H1|H5	YES
PROC012	qotchol	OT+CH+OL	SEQUENCE+ACTION+SEQUENCE	ACTION_CLAUSE	danach · abziehen · fortsetzen	danach fortsetzen den laufenden Posten abziehen	abnehmen	CH:TAKE_OFF	1	NO	COMPOSITIONAL	1	HERBAL	H1	YES
PROC013	cheol|chol|ol|qol|sol|tol	OL	SEQUENCE	SEQUENCE_OR_CONTINUATION	fortsetzen	fortsetzen	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	19	HERBAL|BIOLOGICAL	H1|H2|B1|B3|B4|B5|B6	YES
PROC014	checthy|cthy|shcthy	CTH+Y	STATE+ITEM	STATE_OR_GRADE_PHRASE	bereit · dies	bereit · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	7	HERBAL|BIOLOGICAL	H1|H2|H3|B3	YES
PROC015	ycheor	Y+CH+E+OR	ITEM+ACTION+GRADE+PREPARATION	ACTION_CLAUSE	dies · abziehen · kurz · Ansatz	diesen Posten kurz abziehen	abziehen	CH:PREPARATION_DRAW	1	NO	COMPOSITIONAL	1	HERBAL	H2	YES
PROC016	chor|or|shor|sor	OR	PREPARATION	ARGUMENT_OR_ADDRESS	Ansatz	Ansatz	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	7	HERBAL|BIOLOGICAL	H2|H4|B3|B4	YES
PROC017	cthaiin	CTH+AIIN	STATE+QUANTITY	STATE_OR_GRADE_PHRASE	bereit · Maß	bereit · vorgeschriebenes Maß	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	HERBAL	H2	YES
PROC018	qoctholy	O+CTH+OL+Y	PROCESS+STATE+SEQUENCE+ITEM	STATE_OR_GRADE_PHRASE	Arbeitsgang · bereit · fortsetzen · dies	Arbeitsgang · bereit · fortsetzen · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	HERBAL	H2	YES
PROC019	chey|chy|dy|shy|sy|y	Y	ITEM	ARGUMENT_OR_ADDRESS	dies	dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	18	HERBAL|BIOLOGICAL	H2|H3|H4|B1|B2|B3|B4|B6	YES
PROC020	otchor|qotchor	OT+CH+OR	SEQUENCE+ACTION+PREPARATION	ACTION_CLAUSE	danach · abziehen · Ansatz	danach den Ansatz abziehen	abziehen	CH:PREPARATION_DRAW	1	NO	COMPOSITIONAL	2	HERBAL	H2|H5	YES
PROC021	otol	OT+OL	SEQUENCE+SEQUENCE	SEQUENCE_OR_CONTINUATION	danach · fortsetzen	danach · fortsetzen	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	HERBAL	H2	YES
PROC022	cholor|olor	OL+OR	SEQUENCE+PREPARATION	SEQUENCE_OR_CONTINUATION	fortsetzen · Ansatz	fortsetzen · Ansatz	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H2|B1	YES
PROC023	oykchor	O+Y+K+OR	PROCESS+ITEM+ACTION+PREPARATION	ACTION_CLAUSE	Arbeitsgang · dies · zuführen · Ansatz	diesen Posten zuführen	zugeben	K:MATERIAL_ADD	1	NO	COMPOSITIONAL	1	HERBAL	H2	YES
PROC024	kaiiin	K+IIN	ACTION+STATE	ACTION_CLAUSE	zuführen · Sollstufe	den laufenden Posten zuführen bis Sollstufe	zugeben	K:MATERIAL_ADD	1	NO	COMPOSITIONAL	1	HERBAL	H2	YES
PROC025	chodaiin	CH+O+AIIN	ACTION+PROCESS+QUANTITY	ACTION_CLAUSE	abziehen · Arbeitsgang · Maß	den Arbeitsgang nach vorgeschriebenes Maß abziehen	abziehen	CH:PREPARATION_DRAW	1	NO	COMPOSITIONAL	1	HERBAL	H2	YES
PROC026	tshol	T+SH+OL	ACTION+ACTION+SEQUENCE	ACTION_CLAUSE	eintragen · halten · fortsetzen	fortsetzen den laufenden Posten eintragen und halten	eintragen + halten	SH:HOLD|T:CONTINUE_ENTRY	1	NO	COMPOSITIONAL	1	HERBAL	H3	YES
PROC027	schoal	SH+O+AL	ACTION+PROCESS+TARGET	ACTION_CLAUSE	halten · Arbeitsgang · Zielstelle	den Arbeitsgang an bezeichnete Stelle halten	an Ort halten	SH:TARGET_HOLD	1	NO	COMPOSITIONAL	1	HERBAL	H3	YES
PROC028	cfhy	CFH+Y	ACTION+ITEM	ACTION_CLAUSE	auswringen · dies	diesen Posten auswringen	auswringen	CFH:WRING	1	NO	PARTIAL_WITH_LEARNED_ATOM	1	HERBAL	H3	YES
PROC029	shfydaiin	SH+Y+AIIN	ACTION+ITEM+QUANTITY	ACTION_CLAUSE	halten · dies · Maß	diesen Posten nach vorgeschriebenes Maß halten	halten	SH:HOLD	1	NO	COMPOSITIONAL	1	HERBAL	H3	YES
PROC030	cphy	P+Y	ACTION+ITEM	ACTION_CLAUSE	hinein · dies	diesen Posten hineingeben	hineingeben	P:INSERT	1	NO	COMPOSITIONAL	1	HERBAL	H3	YES
PROC031	cheey|shey	SH+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	halten · länger · dies	diesen Posten länger halten	halten	SH:TIMED_HOLD	1	NO	COMPOSITIONAL	4	HERBAL|BIOLOGICAL	H3|B2|B4	YES
PROC032	tchody	T+CH+O+DY	ACTION+ACTION+PROCESS+CLOSE	ACTION_CLAUSE	eintragen · abziehen · Arbeitsgang · Schluss	den Arbeitsgang eintragen und abziehen; Schritt schließen	abschließend eintragen + abziehen	CH:PREPARATION_DRAW|T:COMMIT_ENTRY	1	NO	COMPOSITIONAL	1	HERBAL	H3	YES
PROC033	shoyty	SH+O+Y+T+Y	ACTION+PROCESS+ITEM+ACTION+ITEM	ACTION_CLAUSE	halten · Arbeitsgang · dies · eintragen · dies	diesen Posten halten und eintragen	halten + eintragen	SH:HOLD|T:PROCESS_ENTRY	1	NO	COMPOSITIONAL	1	HERBAL	H3	YES
PROC034	dchol|schol	OL	SEQUENCE	SEQUENCE_OR_CONTINUATION	fortsetzen	fortsetzen	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	2	HERBAL	H3|H5	YES
PROC035	kchy	K+Y	ACTION+ITEM	ACTION_CLAUSE	zuführen · dies	diesen Posten zuführen	zugeben	K:ADD	1	NO	COMPOSITIONAL	1	HERBAL	H3	YES
PROC036	qotchy	OT+Y	SEQUENCE+ITEM	SEQUENCE_OR_CONTINUATION	danach · dies	danach · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	HERBAL	H3	YES
PROC037	okchol	OK+OL	ACTION+SEQUENCE	ACTION_CLAUSE	ansetzen · fortsetzen	fortsetzen den laufenden Posten ansetzen	einsetzen	OK:MEASURED_CHARGE	1	NO	COMPOSITIONAL	1	HERBAL	H3	YES
PROC038	okaiin|qokaiin	OK+AIIN	ACTION+QUANTITY	ACTION_CLAUSE	ansetzen · Maß	den laufenden Posten nach vorgeschriebenes Maß ansetzen	einleiten|einsetzen	OK:FLOW_START|OK:MEASURED_CHARGE	2	YES	COMPOSITIONAL	9	HERBAL|BIOLOGICAL	H4|B1|B2|B3	YES
PROC039	ykain	Y+K+AIN	ITEM+ACTION+QUANTITY	ACTION_CLAUSE	dies · zuführen · Portion	diesen Posten nach Portion zuführen	dosiert zugeben	K:MEASURED_ADD	1	NO	COMPOSITIONAL	1	HERBAL	H4	YES
PROC040	ykan	Y+K+AIN	ITEM+ACTION+QUANTITY	ACTION_CLAUSE	dies · zuführen · Portion	diesen Posten nach Portion zuführen	zugeben	K:MATERIAL_ADD	1	NO	COMPOSITIONAL	1	HERBAL	H4	YES
PROC041	ody	O+DY	PROCESS+CLOSE	CLOSE_WITHOUT_ACTION	Arbeitsgang · Schluss	Arbeitsgang; Schritt schließen	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	HERBAL	H4	YES
PROC042	chdy|chedy	CHD+Y	ACTION+ITEM	ACTION_CLAUSE	umsetzen · dies	diesen Posten umsetzen	abmessen und umsetzen|umsetzen	CHD:MEASURED_TRANSFER|CHD:TRANSFER	2	YES	COMPOSITIONAL	11	HERBAL|BIOLOGICAL	H4|B1|B3|B4|B5	YES
PROC043	talam	TALAM	ACTION	ACTION_CLAUSE	verwahren	den laufenden Posten verwahren	verwahren	TALAM:STORE	1	NO	LEARNED_WHOLE_CARD	1	HERBAL	H4	YES
PROC044	ykaiin	Y+K+AIIN	ITEM+ACTION+QUANTITY	ACTION_CLAUSE	dies · zuführen · Maß	diesen Posten nach vorgeschriebenes Maß zuführen	dosiert zugeben	K:MEASURED_ADD	1	NO	COMPOSITIONAL	1	HERBAL	H4	YES
PROC045	cheoar	CH+E+O+AR	ACTION+GRADE+PROCESS+SOURCE	ACTION_CLAUSE	abziehen · kurz · Arbeitsgang · von dort	den Arbeitsgang von dort kurz abziehen	entnehmen	CH:SOURCE_TAKE	1	NO	COMPOSITIONAL	1	HERBAL	H4	YES
PROC046	cheeky	CHK+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	wärmen · länger · dies	diesen Posten länger wärmen	temperieren|warm halten	CHK:COMMIT_TEMPER|CHK:HOLD_WARM	2	YES	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H4|B4	YES
PROC047	oldy	OL+DY	SEQUENCE+CLOSE	CLOSE_WITHOUT_ACTION	fortsetzen · Schluss	fortsetzen; Schritt schließen	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H4|B4	YES
PROC048	okal|qokal	OK+AL	ACTION+TARGET	ACTION_CLAUSE	ansetzen · Zielstelle	den laufenden Posten an bezeichnete Stelle ansetzen	anlegen	OK:TARGET_APPLY	1	NO	COMPOSITIONAL	6	HERBAL|BIOLOGICAL	H4|B1|B2|B3	YES
PROC049	oltchy	OL+T+Y	SEQUENCE+ACTION+ITEM	ACTION_CLAUSE	fortsetzen · eintragen · dies	fortsetzen diesen Posten eintragen	eintragen	T:MEASURED_ENTRY	1	NO	COMPOSITIONAL	1	HERBAL	H4	YES
PROC050	orain	OR+AIN	PREPARATION+QUANTITY	ARGUMENT_OR_ADDRESS	Ansatz · Portion	Ansatz · Portion	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	HERBAL	H4	YES
PROC051	chochor	HO+CH+OR	MATERIAL+ACTION+PREPARATION	ACTION_CLAUSE	Gabe · abziehen · Ansatz	den Gabe und Ansatz abziehen	abziehen	CH:PREPARATION_DRAW	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC052	cho|sho	HO	MATERIAL	ARGUMENT_OR_ADDRESS	Gabe	Gabe	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	4	HERBAL	H5	YES
PROC053	chodaly	HO+AL+Y	MATERIAL+TARGET+ITEM	ARGUMENT_OR_ADDRESS	Gabe · Zielstelle · dies	Gabe · bezeichnete Stelle · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC054	kchol	K+OL	ACTION+SEQUENCE	ACTION_CLAUSE	zuführen · fortsetzen	fortsetzen den laufenden Posten zuführen	zuführen	K:TARGET_FEED	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC055	al|chal|cheal|dal|sal|tal	AL	TARGET	ARGUMENT_OR_ADDRESS	Zielstelle	bezeichnete Stelle	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	10	HERBAL|BIOLOGICAL	H5|B1|B2|B3|B4|B5	YES
PROC056	choy	HO+Y	MATERIAL+ITEM	ARGUMENT_OR_ADDRESS	Gabe · dies	Gabe · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC057	cheeckhody	CH+EE+CKH+O+DY	ACTION+GRADE+PATH_MEDIUM+PROCESS+CLOSE	ACTION_CLAUSE	abziehen · länger · Durchlass · Arbeitsgang · Schluss	den Arbeitsgang durch Durchlass länger abziehen; Schritt schließen	ablaufen lassen	CH:PATH_DRAW	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC058	sh	SH	ACTION	ACTION_CLAUSE	halten	den laufenden Posten halten	halten	SH:HOLD	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC059	kchey	K+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	zuführen · kurz · dies	diesen Posten kurz zuführen	zugeben	K:MATERIAL_ADD	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC060	qokokchy	OK+OK+Y	ACTION+ACTION+ITEM	ACTION_CLAUSE	ansetzen · ansetzen · dies	diesen Posten ansetzen und ansetzen	einsetzen + einsetzen	OK:ACTIVATE	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC061	chokcheo	OK+CH+E+O	ACTION+ACTION+GRADE+PROCESS	ACTION_CLAUSE	ansetzen · abziehen · kurz · Arbeitsgang	den Arbeitsgang kurz ansetzen und abziehen	ansetzen + abziehen	CH:PREPARATION_DRAW|OK:PREPARATION_START	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC062	kchal	K+AL	ACTION+TARGET	ACTION_CLAUSE	zuführen · Zielstelle	den laufenden Posten an bezeichnete Stelle zuführen	zuführen	K:TARGET_FEED	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC063	kchoar	K+HO+AR	ACTION+MATERIAL+SOURCE	ACTION_CLAUSE	zuführen · Gabe · von dort	den Gabe von dort zuführen	zugeben	K:MATERIAL_ADD	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC064	sotodan	OT+O+AIN	SEQUENCE+PROCESS+QUANTITY	SEQUENCE_OR_CONTINUATION	danach · Arbeitsgang · Portion	danach · Arbeitsgang · Portion	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC065	otchey	OT+Y	SEQUENCE+ITEM	SEQUENCE_OR_CONTINUATION	danach · dies	danach · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H5|B4	YES
PROC066	keol	K+E+OL	ACTION+GRADE+SEQUENCE	ACTION_CLAUSE	zuführen · kurz · fortsetzen	fortsetzen den laufenden Posten kurz zuführen	zugeben	K:MATERIAL_ADD	1	NO	COMPOSITIONAL	1	HERBAL	H5	YES
PROC067	qokedy	OK+E+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	ansetzen · kurz · Schluss	den laufenden Posten kurz ansetzen; Schritt schließen	einwirken lassen	OK:TIMED_APPLICATION	1	NO	COMPOSITIONAL	8	BIOLOGICAL	B1|B3|B4	YES
PROC068	kair	K+AIR	ACTION+PATH_MEDIUM	ACTION_CLAUSE	zuführen · Lauf	den laufenden Posten durch laufender Bestand zuführen	einspeisen	K:PATH_FEED	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC069	chkain|kain	K+AIN	ACTION+QUANTITY	ACTION_CLAUSE	zuführen · Portion	den laufenden Posten nach Portion zuführen	dosiert zugeben	K:MEASURED_ADD	1	NO	COMPOSITIONAL	3	BIOLOGICAL	B1|B3|B4	YES
PROC070	olkain|qolkain	OL+K+AIN	SEQUENCE+ACTION+QUANTITY	ACTION_CLAUSE	fortsetzen · zuführen · Portion	fortsetzen den laufenden Posten nach Portion zuführen	dosiert zugeben	K:MEASURED_ADD	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B1|B4	YES
PROC071	rol	R+OL	ACTION+SEQUENCE	ACTION_CLAUSE	abkühlen · fortsetzen	fortsetzen den laufenden Posten abkühlen	abkühlen lassen	R:TARGET_COOL	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC072	dl	L	ACTION	ACTION_CLAUSE	führen	den laufenden Posten führen	durchleiten|führen	L:GUIDE|L:PATH_GUIDE	2	YES	COMPOSITIONAL	2	BIOLOGICAL	B1	YES
PROC073	sheckhal	SH+E+CKH+AL	ACTION+GRADE+PATH_MEDIUM+TARGET	ACTION_CLAUSE	halten · kurz · Durchlass · Zielstelle	den laufenden Posten an bezeichnete Stelle durch Durchlass kurz halten	zurückhalten	SH:PATH_HOLD	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC074	qokeedal	OK+EE+AL	ACTION+GRADE+TARGET	ACTION_CLAUSE	ansetzen · länger · Zielstelle	den laufenden Posten an bezeichnete Stelle länger ansetzen	anlegen	OK:TARGET_APPLY	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC075	chckhy|shckhy	CKH+Y	PATH_MEDIUM+ITEM	ARGUMENT_OR_ADDRESS	Durchlass · dies	Durchlass · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	4	BIOLOGICAL	B1|B2	YES
PROC076	dchedy|schedy|tchedy	CHD+DY	ACTION+CLOSE	ACTION_CLAUSE	umsetzen · Schluss	den laufenden Posten umsetzen; Schritt schließen	durchleiten|umfüllen|überführen	CHD:COMMIT_TRANSFER|CHD:PATH_TRANSFER|CHD:TARGET_TRANSFER	3	YES	COMPOSITIONAL	4	BIOLOGICAL	B1|B2|B3	YES
PROC077	sshkchdy	SH+K+CHD+DY	ACTION+ACTION+ACTION+CLOSE	ACTION_CLAUSE	halten · zuführen · umsetzen · Schluss	den laufenden Posten halten und zuführen und umsetzen; Schritt schließen	halten + zugeben + überführen	CHD:COMMIT_TRANSFER|K:COMMIT_ADD|SH:HOLD	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC078	cheedy|shedy|tedy	SHED+DY	ACTION+CLOSE	ACTION_CLAUSE	absetzen · Schluss	den laufenden Posten absetzen; Schritt schließen	ablagern|absetzen lassen	SHED:COMMIT_SETTLE|SHED:TARGET_DEPOSIT	2	YES	COMPOSITIONAL	12	BIOLOGICAL	B1|B2|B3|B4	YES
PROC079	olchedy|qolchedy	OL+CHD+DY	SEQUENCE+ACTION+CLOSE	ACTION_CLAUSE	fortsetzen · umsetzen · Schluss	fortsetzen den laufenden Posten umsetzen; Schritt schließen	überführen	CHD:COMMIT_TRANSFER	1	NO	COMPOSITIONAL	3	BIOLOGICAL	B1|B2|B3	YES
PROC080	okain|qokain	OK+AIN	ACTION+QUANTITY	ACTION_CLAUSE	ansetzen · Portion	den laufenden Posten nach Portion ansetzen	einsetzen	OK:MEASURED_CHARGE	1	NO	COMPOSITIONAL	7	BIOLOGICAL	B1|B2|B3|B4	YES
PROC081	ral	R+AL	ACTION+TARGET	ACTION_CLAUSE	abkühlen · Zielstelle	den laufenden Posten an bezeichnete Stelle abkühlen	abkühlen lassen	R:TARGET_COOL	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC082	qokchdy	OK+CHD+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	ansetzen · umsetzen · Schluss	den laufenden Posten ansetzen und umsetzen; Schritt schließen	einsetzen + überführen	CHD:COMMIT_TRANSFER|OK:ACTIVATE	1	NO	COMPOSITIONAL	3	BIOLOGICAL	B1|B3|B5	YES
PROC083	cheky	CHK+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	wärmen · kurz · dies	diesen Posten kurz wärmen	warm halten	CHK:HOLD_WARM	1	NO	COMPOSITIONAL	3	BIOLOGICAL	B1|B4	YES
PROC084	lsho	LSH+O	ACTION+PROCESS	ACTION_CLAUSE	Waschgang · Arbeitsgang	den Arbeitsgang waschen	waschen	LSH:WASH	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC085	okey|qokey	OK+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	ansetzen · kurz · dies	diesen Posten kurz ansetzen	wirken lassen	OK:HOLD_ACTIVE	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B1|B2	YES
PROC086	lshedy	LSH+E+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	Waschgang · kurz · Schluss	den laufenden Posten kurz waschen; Schritt schließen	durchwaschen	LSH:COMMIT_WASH	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B1	YES
PROC087	qolky	SOLK+Y	ACTION+ITEM	ACTION_CLAUSE	auffangen · dies	diesen Posten auffangen	auffangen	SOLK:COLLECT	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC088	lchedal	L+CHD+AL	ACTION+ACTION+TARGET	ACTION_CLAUSE	führen · umsetzen · Zielstelle	den laufenden Posten an bezeichnete Stelle führen und umsetzen	hinleiten + umfüllen	CHD:TARGET_TRANSFER|L:TARGET_GUIDE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC089	otar	OT+AR	SEQUENCE+SOURCE	SEQUENCE_OR_CONTINUATION	danach · von dort	danach · von dort	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC090	ytey	T+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	eintragen · kurz · dies	diesen Posten kurz eintragen	übertragen	T:SOURCE_COPY	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC091	okchedy|qokchedy	OK+CHD+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	ansetzen · umsetzen · Schluss	den laufenden Posten ansetzen und umsetzen; Schritt schließen	einsetzen + überführen	CHD:COMMIT_TRANSFER|OK:ACTIVATE	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B1|B3	YES
PROC092	okeey|qokeey	OK+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	ansetzen · länger · dies	diesen Posten länger ansetzen	anlegen|wirken lassen	OK:HOLD_ACTIVE|OK:TARGET_APPLY	2	YES	COMPOSITIONAL	7	BIOLOGICAL	B1|B2|B3|B4	YES
PROC093	teol	E+OL	GRADE+SEQUENCE	STATE_OR_GRADE_PHRASE	kurz · fortsetzen	kurz · fortsetzen	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC094	dchdy	CHD+DY	ACTION+CLOSE	ACTION_CLAUSE	umsetzen · Schluss	den laufenden Posten umsetzen; Schritt schließen	umfüllen	CHD:TARGET_TRANSFER	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC095	ly	L+Y	ACTION+ITEM	ACTION_CLAUSE	führen · dies	diesen Posten führen	führen	L:GUIDE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC096	dsheol	SH+E+OL	ACTION+GRADE+SEQUENCE	ACTION_CLAUSE	halten · kurz · fortsetzen	fortsetzen den laufenden Posten kurz halten	halten	SH:TIMED_HOLD	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B1	YES
PROC097	oiiin|soiiin	O+IIN	PROCESS+STATE	STATE_OR_GRADE_PHRASE	Arbeitsgang · Sollstufe	Arbeitsgang · Sollstufe	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B1|B3	YES
PROC098	olkeedy|solkeedy	SOLK+EE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	auffangen · länger · Schluss	den laufenden Posten länger auffangen; Schritt schließen	auffangen und stehen lassen	SOLK:COMMIT_COLLECT	1	NO	COMPOSITIONAL	3	BIOLOGICAL	B1|B3	YES
PROC099	shckhedy	SH+CKH+E+DY	ACTION+PATH_MEDIUM+GRADE+CLOSE	ACTION_CLAUSE	halten · Durchlass · kurz · Schluss	den laufenden Posten durch Durchlass kurz halten; Schritt schließen	zurückhalten	SH:PATH_HOLD	1	NO	COMPOSITIONAL	3	BIOLOGICAL	B1|B4	YES
PROC100	qokeedy	OK+EE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	ansetzen · länger · Schluss	den laufenden Posten länger ansetzen; Schritt schließen	einwirken lassen	OK:TIMED_APPLICATION	1	NO	COMPOSITIONAL	10	BIOLOGICAL	B2|B3|B4	YES
PROC101	lcheckhy	L+CKH+Y	ACTION+PATH_MEDIUM+ITEM	ACTION_CLAUSE	führen · Durchlass · dies	diesen Posten durch Durchlass führen	durchleiten	L:PATH_GUIDE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
