card_no	surfaces	surface_count	occurrences	pages	records	component_parse	invariant_spoken_value_de	licensed_frame_codes	surface_class	multiple_surfaces_within_same_page	multiple_surfaces_at_same_statement_position	position_classes	scribe_palette_reading_de	semantic_difference_between_surfaces	universal_surface_rule
PROC011	chokchy|okchy|qokchy	3	3	f10r|f56r	H1|H5	OK+Y	ansetzen · dieser Posten	OK:ACTIVATE|OK:PREPARATION_START	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC012	qotchol	1	1	f10r	H1	OT+CH+OL	danach · abziehen · fortsetzen	CH:TAKE_OFF	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC013	cheol|chol|ol|qol|sol|tol	6	19	f10r|f81v|f83r	B1|B3|B4|B5|B6|H1|H2	OL	fortsetzen	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC014	checthy|cthy|shcthy	3	7	f10r|f11r|f83r	B3|H1|H2|H3	CTH+Y	bereit · dieser Posten	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC015	ycheor	1	1	f10r	H2	Y+CH+E+OR	dieser Posten · abziehen · kurz · Ansatz	CH:PREPARATION_DRAW	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC016	chor|or|shor|sor	4	7	f10r|f55v|f83r	B3|B4|H2|H4	OR	Ansatz	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC017	cthaiin	1	1	f10r	H2	CTH+AIIN	bereit · vorgeschriebenes Maß	NONE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC018	qoctholy	1	1	f10r	H2	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dieser Posten	NONE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC019	chey|chy|dy|shy|sy|y	6	18	f10r|f11r|f55v|f81v|f82r|f83r	B1|B2|B3|B4|B6|H2|H3|H4	Y	dieser Posten	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC020	otchor|qotchor	2	2	f10r|f56r	H2|H5	OT+CH+OR	danach · abziehen · Ansatz	CH:PREPARATION_DRAW	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC021	otol	1	1	f10r	H2	OT+OL	danach · fortsetzen	NONE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC022	cholor|olor	2	2	f10r|f81v	B1|H2	OL+OR	fortsetzen · Ansatz	NONE	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC023	oykchor	1	1	f10r	H2	O+Y+K+OR	Arbeitsgang · dieser Posten · zuführen · Ansatz	K:MATERIAL_ADD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC024	kaiiin	1	1	f10r	H2	K+IIN	zuführen · Sollstufe	K:MATERIAL_ADD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC025	chodaiin	1	1	f10r	H2	CH+O+AIIN	abziehen · Arbeitsgang · vorgeschriebenes Maß	CH:PREPARATION_DRAW	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC026	tshol	1	1	f11r	H3	T+SH+OL	eintragen · halten · fortsetzen	SH:HOLD|T:CONTINUE_ENTRY	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC027	schoal	1	1	f11r	H3	SH+O+AL	halten · Arbeitsgang · bezeichnete Stelle	SH:TARGET_HOLD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC028	cfhy	1	1	f11r	H3	CFH+Y	auswringen · dieser Posten	CFH:WRING	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC029	shfydaiin	1	1	f11r	H3	SH+Y+AIIN	halten · dieser Posten · vorgeschriebenes Maß	SH:HOLD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC030	cphy	1	1	f11r	H3	P+Y	hineingeben · dieser Posten	P:INSERT	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC031	cheey|shey	2	4	f11r|f82r|f83r	B2|B4|H3	SH+EE+Y	halten · länger · dieser Posten	SH:TIMED_HOLD	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC032	tchody	1	1	f11r	H3	T+CH+O+DY	eintragen · abziehen · Arbeitsgang · Schluss	CH:PREPARATION_DRAW|T:COMMIT_ENTRY	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC033	shoyty	1	1	f11r	H3	SH+O+Y+T+Y	halten · Arbeitsgang · dieser Posten · eintragen · dieser Posten	SH:HOLD|T:PROCESS_ENTRY	ONE_OFF_EXEMPLAR_FORM	NO	NO	ONLY	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC034	dchol|schol	2	2	f11r|f56r	H3|H5	OL	fortsetzen	NONE	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC035	kchy	1	1	f11r	H3	K+Y	zuführen · dieser Posten	K:ADD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC036	qotchy	1	1	f11r	H3	OT+Y	danach · dieser Posten	NONE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC037	okchol	1	1	f11r	H3	OK+OL	ansetzen · fortsetzen	OK:MEASURED_CHARGE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC038	okaiin|qokaiin	2	9	f55v|f81v|f82r|f83r	B1|B2|B3|H4	OK+AIIN	ansetzen · vorgeschriebenes Maß	OK:FLOW_START|OK:MEASURED_CHARGE	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC039	ykain	1	1	f55v	H4	Y+K+AIN	dieser Posten · zuführen · Portion	K:MEASURED_ADD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC040	ykan	1	1	f55v	H4	Y+K+AIN	dieser Posten · zuführen · Portion	K:MATERIAL_ADD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC041	ody	1	1	f55v	H4	O+DY	Arbeitsgang · Schluss	NONE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC042	chdy|chedy	2	11	f55v|f81v|f83r	B1|B3|B4|B5|H4	CHD+Y	umsetzen · dieser Posten	CHD:MEASURED_TRANSFER|CHD:TRANSFER	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC043	talam	1	1	f55v	H4	TALAM	verwahren	TALAM:STORE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC044	ykaiin	1	1	f55v	H4	Y+K+AIIN	dieser Posten · zuführen · vorgeschriebenes Maß	K:MEASURED_ADD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC045	cheoar	1	1	f55v	H4	CH+E+O+AR	abziehen · kurz · Arbeitsgang · von dort	CH:SOURCE_TAKE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC046	cheeky	1	2	f55v|f83r	B4|H4	CHK+EE+Y	wärmen · länger · dieser Posten	CHK:COMMIT_TEMPER|CHK:HOLD_WARM	FIXED_RECURRENT_FORM	NO	NO	MIDDLE	wiederkehrende Karte mit stabiler sichtbarer Form	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC047	oldy	1	2	f55v|f83r	B4|H4	OL+DY	fortsetzen · Schluss	NONE	FIXED_RECURRENT_FORM	NO	NO	MIDDLE|ONLY	wiederkehrende Karte mit stabiler sichtbarer Form	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC048	okal|qokal	2	6	f55v|f81v|f82r|f83r	B1|B2|B3|H4	OK+AL	ansetzen · bezeichnete Stelle	OK:TARGET_APPLY	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC049	oltchy	1	1	f55v	H4	OL+T+Y	fortsetzen · eintragen · dieser Posten	T:MEASURED_ENTRY	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC050	orain	1	1	f55v	H4	OR+AIN	Ansatz · Portion	NONE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC051	chochor	1	1	f56r	H5	HO+CH+OR	Gabe · abziehen · Ansatz	CH:PREPARATION_DRAW	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC052	cho|sho	2	4	f56r	H5	HO	Gabe	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC053	chodaly	1	1	f56r	H5	HO+AL+Y	Gabe · bezeichnete Stelle · dieser Posten	NONE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC054	kchol	1	1	f56r	H5	K+OL	zuführen · fortsetzen	K:TARGET_FEED	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC055	al|chal|cheal|dal|sal|tal	6	10	f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|H5	AL	bezeichnete Stelle	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE|ONLY	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC056	choy	1	1	f56r	H5	HO+Y	Gabe · dieser Posten	NONE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC057	cheeckhody	1	1	f56r	H5	CH+EE+CKH+O+DY	abziehen · länger · Durchlass · Arbeitsgang · Schluss	CH:PATH_DRAW	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC058	sh	1	1	f56r	H5	SH	halten	SH:HOLD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC059	kchey	1	1	f56r	H5	K+E+Y	zuführen · kurz · dieser Posten	K:MATERIAL_ADD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC060	qokokchy	1	1	f56r	H5	OK+OK+Y	ansetzen · ansetzen · dieser Posten	OK:ACTIVATE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC061	chokcheo	1	1	f56r	H5	OK+CH+E+O	ansetzen · abziehen · kurz · Arbeitsgang	CH:PREPARATION_DRAW|OK:PREPARATION_START	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC062	kchal	1	1	f56r	H5	K+AL	zuführen · bezeichnete Stelle	K:TARGET_FEED	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC063	kchoar	1	1	f56r	H5	K+HO+AR	zuführen · Gabe · von dort	K:MATERIAL_ADD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC064	sotodan	1	1	f56r	H5	OT+O+AIN	danach · Arbeitsgang · Portion	NONE	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC065	otchey	1	2	f56r|f83r	B4|H5	OT+Y	danach · dieser Posten	NONE	FIXED_RECURRENT_FORM	NO	NO	MIDDLE	wiederkehrende Karte mit stabiler sichtbarer Form	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC066	keol	1	1	f56r	H5	K+E+OL	zuführen · kurz · fortsetzen	K:MATERIAL_ADD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC067	qokedy	1	8	f81v|f83r	B1|B3|B4	OK+E+DY	ansetzen · kurz · Schluss	OK:TIMED_APPLICATION	FIXED_RECURRENT_FORM	NO	NO	MIDDLE|ONLY	wiederkehrende Karte mit stabiler sichtbarer Form	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC068	kair	1	1	f81v	B1	K+AIR	zuführen · laufender Bestand	K:PATH_FEED	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC069	chkain|kain	2	3	f81v|f83r	B1|B3|B4	K+AIN	zuführen · Portion	K:MEASURED_ADD	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC070	olkain|qolkain	2	2	f81v|f83r	B1|B4	OL+K+AIN	fortsetzen · zuführen · Portion	K:MEASURED_ADD	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC071	rol	1	1	f81v	B1	R+OL	abkühlen · fortsetzen	R:TARGET_COOL	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC072	dl	1	2	f81v	B1	L	führen	L:GUIDE|L:PATH_GUIDE	FIXED_RECURRENT_FORM	NO	NO	MIDDLE	wiederkehrende Karte mit stabiler sichtbarer Form	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC073	sheckhal	1	1	f81v	B1	SH+E+CKH+AL	halten · kurz · Durchlass · bezeichnete Stelle	SH:PATH_HOLD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC074	qokeedal	1	1	f81v	B1	OK+EE+AL	ansetzen · länger · bezeichnete Stelle	OK:TARGET_APPLY	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC075	chckhy|shckhy	2	4	f81v|f82r	B1|B2	CKH+Y	Durchlass · dieser Posten	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC076	dchedy|schedy|tchedy	3	4	f81v|f82r|f83r	B1|B2|B3	CHD+DY	umsetzen · Schluss	CHD:COMMIT_TRANSFER|CHD:PATH_TRANSFER|CHD:TARGET_TRANSFER	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE|ONLY	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC077	sshkchdy	1	1	f81v	B1	SH+K+CHD+DY	halten · zuführen · umsetzen · Schluss	CHD:COMMIT_TRANSFER|K:COMMIT_ADD|SH:HOLD	ONE_OFF_EXEMPLAR_FORM	NO	NO	MIDDLE	einmalige sichtbare Form wird aus dem lokalen Exemplar kopiert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC078	cheedy|shedy|tedy	3	12	f81v|f82r|f83r	B1|B2|B3|B4	SHED+DY	absetzen · Schluss	SHED:COMMIT_SETTLE|SHED:TARGET_DEPOSIT	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE|ONLY	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC079	olchedy|qolchedy	2	3	f81v|f82r|f83r	B1|B2|B3	OL+CHD+DY	fortsetzen · umsetzen · Schluss	CHD:COMMIT_TRANSFER	MULTISURFACE_CROSS_PAGE_PALETTE	NO	NO	MIDDLE|ONLY	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC080	okain|qokain	2	7	f81v|f82r|f83r	B1|B2|B3|B4	OK+AIN	ansetzen · Portion	OK:MEASURED_CHARGE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
