card_no	surfaces	surface_count	occurrences	pages	records	component_parse	invariant_spoken_value_de	licensed_frame_codes	surface_class	multiple_surfaces_within_same_page	multiple_surfaces_at_same_statement_position	position_classes	scribe_palette_reading_de	semantic_difference_between_surfaces	universal_surface_rule
PROC048	okal|qokal	2	6	f55v|f81v|f82r|f83r	B1|B2|B3|H4	OK+AL	ansetzen · bezeichnete Stelle	OK:TARGET_APPLY	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC052	cho|sho	2	4	f56r	H5	HO	Gabe	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC055	al|chal|cheal|dal|sal|tal	6	10	f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|H5	AL	bezeichnete Stelle	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE|ONLY	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC069	chkain|kain	2	3	f81v|f83r	B1|B3|B4	K+AIN	zuführen · Portion	K:MEASURED_ADD	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC070	olkain|qolkain	2	2	f81v|f83r	B1|B4	OL+K+AIN	fortsetzen · zuführen · Portion	K:MEASURED_ADD	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC075	chckhy|shckhy	2	4	f81v|f82r	B1|B2	CKH+Y	Durchlass · dieser Posten	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC076	dchedy|schedy|tchedy	3	4	f81v|f82r|f83r	B1|B2|B3	CHD+DY	umsetzen · Schluss	CHD:COMMIT_TRANSFER|CHD:PATH_TRANSFER|CHD:TARGET_TRANSFER	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE|ONLY	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC078	cheedy|shedy|tedy	3	12	f81v|f82r|f83r	B1|B2|B3|B4	SHED+DY	absetzen · Schluss	SHED:COMMIT_SETTLE|SHED:TARGET_DEPOSIT	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE|ONLY	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC079	olchedy|qolchedy	2	3	f81v|f82r|f83r	B1|B2|B3	OL+CHD+DY	fortsetzen · umsetzen · Schluss	CHD:COMMIT_TRANSFER	MULTISURFACE_CROSS_PAGE_PALETTE	NO	NO	MIDDLE|ONLY	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC080	okain|qokain	2	7	f81v|f82r|f83r	B1|B2|B3|B4	OK+AIN	ansetzen · Portion	OK:MEASURED_CHARGE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC085	okey|qokey	2	2	f81v|f82r	B1|B2	OK+E+Y	ansetzen · kurz · dieser Posten	OK:HOLD_ACTIVE	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC091	okchedy|qokchedy	2	2	f81v|f83r	B1|B3	OK+CHD+DY	ansetzen · umsetzen · Schluss	CHD:COMMIT_TRANSFER|OK:ACTIVATE	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC092	okeey|qokeey	2	7	f81v|f82r|f83r	B1|B2|B3|B4	OK+EE+Y	ansetzen · länger · dieser Posten	OK:HOLD_ACTIVE|OK:TARGET_APPLY	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC097	oiiin|soiiin	2	2	f81v|f83r	B1|B3	O+IIN	Arbeitsgang · Sollstufe	NONE	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC098	olkeedy|solkeedy	2	3	f81v|f83r	B1|B3	SOLK+EE+DY	auffangen · länger · Schluss	SOLK:COMMIT_COLLECT	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE|ONLY	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC112	otaiin|sotaiin	2	3	f82r|f83r	B2|B3	OT+AIIN	danach · vorgeschriebenes Maß	NONE	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC117	qcthey|shcthey	2	2	f82r|f83r	B2|B3	CTH+E+Y	bereit · kurz · dieser Posten	NONE	MULTISURFACE_CROSS_PAGE_PALETTE	NO	YES	MIDDLE	gleicher Kartenwert, seitenuebergreifend verschiedene gelernte Schreibformen; Hand/Register moeglich, nicht identifiziert	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC131	otal|qotal	2	3	f83r	B3|B4	OT+AL	danach · bezeichnete Stelle	NONE	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	YES	MIDDLE	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
PROC145	otchedy|qotchedy	2	2	f83r	B3	OT+CHD+DY	danach · umsetzen · Schluss	CHD:COMMIT_TRANSFER	MULTISURFACE_WITHIN_PAGE_PALETTE	YES	NO	MIDDLE|ONLY	gleicher Kartenwert, mehrere lokal verfuegbare Schreibformen sogar auf derselben Seite	NONE	NOT_AVAILABLE__LEARN_CARD_LOCAL_PALETTE
