surface	card_no	component_parse	invariant_spoken_value_de	events	pages	records	statement_positions	writing_instruction_de	meaning_change
kain	PROC069	K+AIN	zuführen · Portion	2	f81v|f83r	B1|B4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
olkain	PROC070	OL+K+AIN	fortsetzen · zuführen · Portion	1	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qolkain	PROC070	OL+K+AIN	fortsetzen · zuführen · Portion	1	f83r	B4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
rol	PROC071	R+OL	abkühlen · fortsetzen	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
dl	PROC072	L	führen	2	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
sheckhal	PROC073	SH+E+CKH+AL	halten · kurz · Durchlass · bezeichnete Stelle	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qokeedal	PROC074	OK+EE+AL	ansetzen · länger · bezeichnete Stelle	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chckhy	PROC075	CKH+Y	Durchlass · dieser Posten	3	f81v|f82r	B1|B2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
shckhy	PROC075	CKH+Y	Durchlass · dieser Posten	1	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
dchedy	PROC076	CHD+DY	umsetzen · Schluss	1	f82r	B2	ONLY	diese Form als zugelassene Variante derselben Karte kopieren	NONE
schedy	PROC076	CHD+DY	umsetzen · Schluss	2	f81v|f83r	B1|B3	MIDDLE|ONLY	diese Form als zugelassene Variante derselben Karte kopieren	NONE
tchedy	PROC076	CHD+DY	umsetzen · Schluss	1	f83r	B3	ONLY	diese Form als zugelassene Variante derselben Karte kopieren	NONE
sshkchdy	PROC077	SH+K+CHD+DY	halten · zuführen · umsetzen · Schluss	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
cheedy	PROC078	SHED+DY	absetzen · Schluss	1	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
shedy	PROC078	SHED+DY	absetzen · Schluss	10	f81v|f82r|f83r	B1|B2|B3|B4	MIDDLE|ONLY	diese Form als zugelassene Variante derselben Karte kopieren	NONE
tedy	PROC078	SHED+DY	absetzen · Schluss	1	f81v	B1	ONLY	diese Form als zugelassene Variante derselben Karte kopieren	NONE
olchedy	PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	1	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qolchedy	PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	2	f81v|f82r	B1|B2	ONLY	diese Form als zugelassene Variante derselben Karte kopieren	NONE
okain	PROC080	OK+AIN	ansetzen · Portion	3	f82r|f83r	B2|B4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qokain	PROC080	OK+AIN	ansetzen · Portion	4	f81v|f82r|f83r	B1|B2|B3|B4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
ral	PROC081	R+AL	abkühlen · bezeichnete Stelle	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qokchdy	PROC082	OK+CHD+DY	ansetzen · umsetzen · Schluss	3	f81v|f83r	B1|B3|B5	ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
cheky	PROC083	CHK+E+Y	wärmen · kurz · dieser Posten	3	f81v|f83r	B1|B4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
lsho	PROC084	LSH+O	waschen · Arbeitsgang	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
okey	PROC085	OK+E+Y	ansetzen · kurz · dieser Posten	1	f82r	B2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qokey	PROC085	OK+E+Y	ansetzen · kurz · dieser Posten	1	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
lshedy	PROC086	LSH+E+DY	waschen · kurz · Schluss	2	f81v	B1	MIDDLE|ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
qolky	PROC087	SOLK+Y	auffangen · dieser Posten	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
lchedal	PROC088	L+CHD+AL	führen · umsetzen · bezeichnete Stelle	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
otar	PROC089	OT+AR	danach · von dort	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
ytey	PROC090	T+E+Y	eintragen · kurz · dieser Posten	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
okchedy	PROC091	OK+CHD+DY	ansetzen · umsetzen · Schluss	1	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qokchedy	PROC091	OK+CHD+DY	ansetzen · umsetzen · Schluss	1	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
okeey	PROC092	OK+EE+Y	ansetzen · länger · dieser Posten	1	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qokeey	PROC092	OK+EE+Y	ansetzen · länger · dieser Posten	6	f82r|f83r	B2|B3|B4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
teol	PROC093	E+OL	kurz · fortsetzen	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
dchdy	PROC094	CHD+DY	umsetzen · Schluss	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
ly	PROC095	L+Y	führen · dieser Posten	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
dsheol	PROC096	SH+E+OL	halten · kurz · fortsetzen	1	f81v	B1	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
oiiin	PROC097	O+IIN	Arbeitsgang · Sollstufe	1	f81v	B1	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
soiiin	PROC097	O+IIN	Arbeitsgang · Sollstufe	1	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
olkeedy	PROC098	SOLK+EE+DY	auffangen · länger · Schluss	2	f81v|f83r	B1|B3	MIDDLE|ONLY	diese Form als zugelassene Variante derselben Karte kopieren	NONE
solkeedy	PROC098	SOLK+EE+DY	auffangen · länger · Schluss	1	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
shckhedy	PROC099	SH+CKH+E+DY	halten · Durchlass · kurz · Schluss	3	f81v|f83r	B1|B4	MIDDLE|ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
qokeedy	PROC100	OK+EE+DY	ansetzen · länger · Schluss	10	f82r|f83r	B2|B3|B4	MIDDLE|ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
lcheckhy	PROC101	L+CKH+Y	führen · Durchlass · dieser Posten	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
lched	PROC102	L+CHD	führen · umsetzen	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
lcheckhedy	PROC103	L+CKH+E+DY	führen · Durchlass · kurz · Schluss	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qokaly	PROC104	OK+AL+Y	ansetzen · bezeichnete Stelle · dieser Posten	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
solkaiin	PROC105	SOLK+AIIN	auffangen · vorgeschriebenes Maß	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
octheol	PROC106	O+CTH+E+OL	Arbeitsgang · bereit · kurz · fortsetzen	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chkeey	PROC107	CHK+EE+Y	wärmen · länger · dieser Posten	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
ldy	PROC108	L+DY	führen · Schluss	2	f82r|f83r	B2|B3	MIDDLE|ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
oteey	PROC109	OT+EE+Y	danach · länger · dieser Posten	2	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
sheckhy	PROC110	SH+E+CKH+Y	halten · kurz · Durchlass · dieser Posten	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
dshedy	PROC111	SH+E+DY	halten · kurz · Schluss	1	f82r	B2	ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
otaiin	PROC112	OT+AIIN	danach · vorgeschriebenes Maß	2	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
sotaiin	PROC112	OT+AIIN	danach · vorgeschriebenes Maß	1	f82r	B2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qokar	PROC113	OK+AR	ansetzen · von dort	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
solshedy	PROC114	OL+SH+E+DY	fortsetzen · halten · kurz · Schluss	1	f82r	B2	ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
ls	PROC115	LS	weiter	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
lchy	PROC116	L+CH+Y	führen · abziehen · dieser Posten	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qcthey	PROC117	CTH+E+Y	bereit · kurz · dieser Posten	1	f82r	B2	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
shcthey	PROC117	CTH+E+Y	bereit · kurz · dieser Posten	1	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
lcheey	PROC118	L+EE+Y	führen · länger · dieser Posten	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qokeeedy	PROC119	OK+EEE+DY	ansetzen · vollständig · Schluss	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
lchedy	PROC120	L+CHD+DY	führen · umsetzen · Schluss	8	f82r|f83r	B2|B3|B4	MIDDLE|ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
lar	PROC121	L+AR	führen · von dort	1	f82r	B2	ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
tshey	PROC122	SH+E+Y	halten · kurz · dieser Posten	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
lchedar	PROC123	L+CHD+AR	führen · umsetzen · von dort	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
ches	PROC124	CH+E+S	abziehen · kurz · teilen	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
pchedy	PROC125	P+CHD+DY	hineingeben · umsetzen · Schluss	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
rsheal	PROC126	R+SH+E+AL	abkühlen · halten · kurz · bezeichnete Stelle	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
daldy	PROC127	AL+DY	bezeichnete Stelle · Schluss	1	f82r	B2	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
rshedy	PROC128	R+SHED+DY	abkühlen · absetzen · Schluss	1	f82r	B2	ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
