group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface	visible_owner	local_namespace	transfer_status	exact_prose_joint_tuple_id	selected_component_parse	candidate_workshop_value_de	parse_alternatives	owner_and_namespace_preserved	cross_instrument_join	previous_candidate_value_de	atomic_common_root_value_de	common_root_revision	ambiguity_resolution_rule	label_frame_resolution_rule	address_core_resolution_rule	nomenclator_resolution	previous_atomic_value_de	common_action_revision	celestial_context_reading_de	quantity_root	quantity_kind	pass480_celestial_reading_de	pass480_quantity_revision
11	A1	f67r2	f67r2.4	2	A1:G011	sykos	A1_RIGHT_SECTOR_SLOT_04	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+K+O+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + zufuehren + Arbeitsgang + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + Arbeitsgang + Sternbezug	NO	dieser Eintrag; zuordnen; Lesegang; Sternbezug	NONE	NONE	dieser Eintrag; zuordnen; Lesegang; Sternbezug	NO
12	A1	f67r2	f67r2.5	1	A1:G012	ykeody	A1_RIGHT_SECTOR_SLOT_05	A67_RIGHT_CELESTIAL_WHEEL	POSITION_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+K+E+O+Y	ASTRO_LOCAL_LABEL_PENDING_CHOICE	Y+K+E+O+DY || Y+K+E+O+Y	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	dies + zufuehren + kurz + Arbeitsgang + dies	NO	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + kurz + Arbeitsgang + dies	NO	dieser Eintrag; zuordnen; kurze Stufe; Lesegang; dieser Eintrag	NONE	NONE	dieser Eintrag; zuordnen; kurze Stufe; Lesegang; dieser Eintrag	NO
13	A1	f67r2	f67r2.5	2	A1:G013	okchy	A1_RIGHT_SECTOR_SLOT_05	A67_RIGHT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	9ad66e67803a12e745de	OK+Y	dies ansetzen	NONE	YES	NONE	dies ansetzen	dies ansetzen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies ansetzen	NO	markieren; dieser Eintrag	NONE	NONE	markieren; dieser Eintrag	NO
14	A1	f67r2	f67r2.6	1	A1:G014	dchetay	A1_RIGHT_SECTOR_SLOT_06	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	D_ADDR+CH+E+T+A_ADDR+Y	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Teiladresse + entnehmen + kurz + eintragen + Nebenadresse + dies	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Teiladresse + abziehen + kurz + eintragen + Nebenadresse + dies	YES	Teiladresse; Eintrag entnehmen; kurze Stufe; eintragen; Nebenadresse; dieser Eintrag	NONE	NONE	Teiladresse; Eintrag entnehmen; kurze Stufe; eintragen; Nebenadresse; dieser Eintrag	NO
15	A1	f67r2	f67r2.7	1	A1:G015	ykchy	A1_RIGHT_SECTOR_SLOT_07	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+K+Y	dies + zufuehren + dies	NONE	YES	NONE	dies + zufuehren + dies	dies + zufuehren + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + dies	NO	dieser Eintrag; zuordnen; dieser Eintrag	NONE	NONE	dieser Eintrag; zuordnen; dieser Eintrag	NO
16	A1	f67r2	f67r2.7	2	A1:G016	kchey	A1_RIGHT_SECTOR_SLOT_07	A67_RIGHT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b74e9e65637b7c8538dd	K+E+Y	dies kurz zuführen	NONE	YES	NONE	dies kurz zuführen	dies kurz zuführen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies kurz zuführen	NO	zuordnen; kurze Stufe; dieser Eintrag	NONE	NONE	zuordnen; kurze Stufe; dieser Eintrag	NO
17	A1	f67r2	f67r2.7	3	A1:G017	ykchys	A1_RIGHT_SECTOR_SLOT_07	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+K+Y+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + zufuehren + dies + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + dies + Sternbezug	NO	dieser Eintrag; zuordnen; dieser Eintrag; Sternbezug	NONE	NONE	dieser Eintrag; zuordnen; dieser Eintrag; Sternbezug	NO
18	A1	f67r2	f67r2.8	1	A1:G018	chkchdar	A1_RIGHT_SECTOR_SLOT_08	A67_RIGHT_CELESTIAL_WHEEL	POSITION_RESOLVED_COMPONENT_SEQUENCE	NONE	CHK+CHD+AR	ASTRO_LOCAL_LABEL_PENDING_CHOICE	CHK+CH+AR || CHK+CHD+AR	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	anheben + umsetzen + von dort	NO	KNOWN_CHD_MACRO_BEATS_CH_PLUS_ENDPOINT	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	waermen + umsetzen + von dort	YES	Stufe anheben; uebertragen; von dieser Position	NONE	NONE	Stufe anheben; uebertragen; von dieser Position	NO
19	A1	f67r2	f67r2.9	1	A1:G019	ykar	A1_RIGHT_SECTOR_SLOT_09	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+K+AR	dies + zufuehren + von dort	NONE	YES	NONE	dies + zufuehren + von dort	dies + zufuehren + von dort	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + von dort	NO	dieser Eintrag; zuordnen; von dieser Position	NONE	NONE	dieser Eintrag; zuordnen; von dieser Position	NO
20	A1	f67r2	f67r2.9	2	A1:G020	ykaly	A1_RIGHT_SECTOR_SLOT_09	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+K+AL+Y	dies + zufuehren + Stelle + dies	NONE	YES	NONE	dies + zufuehren + Stelle + dies	dies + zufuehren + Stelle + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + Stelle + dies	NO	dieser Eintrag; zuordnen; Position; dieser Eintrag	NONE	NONE	dieser Eintrag; zuordnen; Position; dieser Eintrag	NO
21	A1	f67r2	f67r2.10	1	A1:G021	lkshy	A1_RIGHT_SECTOR_SLOT_10	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	L+K+Y	fuehren + zufuehren + dies	NONE	YES	NONE	fuehren + zufuehren + dies	fuehren + zufuehren + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	fuehren + zufuehren + dies	NO	fuehren; zuordnen; dieser Eintrag	NONE	NONE	fuehren; zuordnen; dieser Eintrag	NO
22	A1	f67r2	f67r2.10	2	A1:G022	kchy	A1_RIGHT_SECTOR_SLOT_10	A67_RIGHT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b2812c8283c3a62438bd	K+Y	dies zuführen	NONE	YES	NONE	dies zuführen	dies zuführen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies zuführen	NO	zuordnen; dieser Eintrag	NONE	NONE	zuordnen; dieser Eintrag	NO
23	A1	f67r2	f67r2.10	3	A1:G023	okar	A1_RIGHT_SECTOR_SLOT_10	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	OK+AR	ansetzen + von dort	NONE	YES	NONE	ansetzen + von dort	ansetzen + von dort	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	ansetzen + von dort	NO	markieren; von dieser Position	NONE	NONE	markieren; von dieser Position	NO
24	A1	f67r2	f67r2.11	1	A1:G024	chky	A1_RIGHT_SECTOR_SLOT_11	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	CHK+Y	waermen + dies	NONE	YES	NONE	waermen + dies	anheben + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	waermen + dies	YES	Stufe anheben; dieser Eintrag	NONE	NONE	Stufe anheben; dieser Eintrag	NO
25	A1	f67r2	f67r2.11	2	A1:G025	chykchs	A1_RIGHT_SECTOR_SLOT_11	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+K+CH+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + zufuehren + entnehmen + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + abziehen + Sternbezug	YES	dieser Eintrag; zuordnen; Eintrag entnehmen; Sternbezug	NONE	NONE	dieser Eintrag; zuordnen; Eintrag entnehmen; Sternbezug	NO
26	A1	f67r2	f67r2.11	3	A1:G026	chy	A1_RIGHT_SECTOR_SLOT_11	A67_RIGHT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b921a237be883a820352	Y	dies	NONE	YES	NONE	dies	dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies	NO	dieser Eintrag	NONE	NONE	dieser Eintrag	NO
27	A1	f67r2	f67r2.12	1	A1:G027	ykees	A1_RIGHT_SECTOR_SLOT_12	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+K+EE+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + zufuehren + laenger + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + laenger + Sternbezug	NO	dieser Eintrag; zuordnen; lange Stufe; Sternbezug	NONE	NONE	dieser Eintrag; zuordnen; lange Stufe; Sternbezug	NO
28	A1	f67r2	f67r2.12	2	A1:G028	ykchos	A1_RIGHT_SECTOR_SLOT_12	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+K+HO+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + zufuehren + Gabe + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + Gabe + Sternbezug	NO	dieser Eintrag; zuordnen; Eintrag; Sternbezug	NONE	NONE	dieser Eintrag; zuordnen; Eintrag; Sternbezug	NO
29	A1	f67r2	f67r2.13	1	A1:G029	opodchol	A1_RIGHT_RING_BAND_01	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+P+O+OL	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	NONE	YES	NONE	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	NO	Lesegang; hinein; Lesegang; weiterzaehlen	NONE	NONE	Lesegang; hinein; Lesegang; weiterzaehlen	NO
30	A1	f67r2	f67r2.13	2	A1:G030	s	A1_RIGHT_RING_BAND_01	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	Sternbezug	NO	Sternbezug	NONE	NONE	Sternbezug	NO
31	A1	f67r2	f67r2.13	3	A1:G031	ain	A1_RIGHT_RING_BAND_01	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AIN	Portion	NONE	YES	NONE	Portion	Portion	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Portion	NO	Teilwert	AIN	PORTION	Teilwert	NO
32	A1	f67r2	f67r2.13	4	A1:G032	aldy	A1_RIGHT_RING_BAND_01	A67_RIGHT_CELESTIAL_WHEEL	POSITION_RESOLVED_COMPONENT_SEQUENCE	NONE	AL+DY	ASTRO_LOCAL_LABEL_PENDING_CHOICE	AL+DY || AL+Y	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	Stelle + Schluss	NO	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Stelle + Schluss	NO	Position; Eintrag schliessen	NONE	NONE	Position; Eintrag schliessen	NO
33	A1	f67r2	f67r2.14	1	A1:G033	soeey	A1_RIGHT_RING_BAND_02	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	S_ADDR+O+EE+Y	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Sternbezug + Arbeitsgang + laenger + dies	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Sternbezug + Arbeitsgang + laenger + dies	NO	Sternbezug; Lesegang; lange Stufe; dieser Eintrag	NONE	NONE	Sternbezug; Lesegang; lange Stufe; dieser Eintrag	NO
34	A1	f67r2	f67r2.14	2	A1:G034	doiin	A1_RIGHT_RING_BAND_02	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	D_ADDR+O+IIN	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Teiladresse + Arbeitsgang + Sollstufe	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Teiladresse + Arbeitsgang + Sollstufe	NO	Teiladresse; Lesegang; Sollstufe	IIN	SOLLSTUFE	Teiladresse; Lesegang; Sollstufe	NO
35	A1	f67r2	f67r2.14	3	A1:G035	oldy	A1_RIGHT_RING_BAND_02	A67_RIGHT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	1b1ffdd869fb1429ad03	OL+DY	fortsetzen; Schluss	NONE	YES	NONE	fortsetzen; Schluss	fortsetzen; Schluss	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	fortsetzen; Schluss	NO	weiterzaehlen; Eintrag schliessen	NONE	NONE	weiterzaehlen; Eintrag schliessen	NO
36	A1	f67r2	f67r2.15	1	A1:G036	dolchsody	A1_LEFT_LOCAL_FIELD_15	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	D_ADDR+OL+CH+S_ADDR+O+DY	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Teiladresse + fortsetzen + entnehmen + Sternbezug + Arbeitsgang + Schluss	NO	NOT_REQUIRED	NOT_APPLIED	LOCUS_ENDPOINT	NOT_REQUIRED	Teiladresse + fortsetzen + abziehen + Sternbezug + Arbeitsgang + Schluss	YES	Teiladresse; weiterzaehlen; Eintrag entnehmen; Sternbezug; Lesegang; Eintrag schliessen	NONE	NONE	Teiladresse; weiterzaehlen; Eintrag entnehmen; Sternbezug; Lesegang; Eintrag schliessen	NO
37	A1	f67r2	f67r2.16	1	A1:G037	odaeiin	A1_LEFT_LOCAL_FIELD_16	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	O+D_ADDR+A_ADDR+E+IIN	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Arbeitsgang + Teiladresse + Nebenadresse + kurz + Sollstufe	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Arbeitsgang + Teiladresse + Nebenadresse + kurz + Sollstufe	NO	Lesegang; Teiladresse; Nebenadresse; kurze Stufe; Sollstufe	IIN	SOLLSTUFE	Lesegang; Teiladresse; Nebenadresse; kurze Stufe; Sollstufe	NO
38	A1	f67r2	f67r2.16	2	A1:G038	okoes	A1_LEFT_LOCAL_FIELD_16	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	OK+O+E+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	ansetzen + Arbeitsgang + kurz + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	ansetzen + Arbeitsgang + kurz + Sternbezug	NO	markieren; Lesegang; kurze Stufe; Sternbezug	NONE	NONE	markieren; Lesegang; kurze Stufe; Sternbezug	NO
39	A1	f67r2	f67r2.16	3	A1:G039	oekain	A1_LEFT_LOCAL_FIELD_16	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+E+K+AIN	Arbeitsgang + kurz + zufuehren + Portion	NONE	YES	NONE	Arbeitsgang + kurz + zufuehren + Portion	Arbeitsgang + kurz + zufuehren + Portion	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + kurz + zufuehren + Portion	NO	Lesegang; kurze Stufe; zuordnen; Teilwert	AIN	PORTION	Lesegang; kurze Stufe; zuordnen; Teilwert	NO
40	A1	f67r2	f67r2.16	4	A1:G040	y	A1_LEFT_LOCAL_FIELD_16	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b921a237be883a820352	Y	dies	NONE	YES	NONE	dies	dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies	NO	dieser Eintrag	NONE	NONE	dieser Eintrag	NO
41	A1	f67r2	f67r2.17	1	A1:G041	otchey	A1_LEFT_LOCAL_FIELD_17	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	faf321940aed922846a9	OT+Y	nächster Posten	NONE	YES	NONE	nächster Posten	nächster Posten	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	nächster Posten	NO	naechster Eintrag; dieser Eintrag	NONE	NONE	naechster Eintrag; dieser Eintrag	NO
42	A1	f67r2	f67r2.17	2	A1:G042	soraiir	A1_LEFT_LOCAL_FIELD_17	A67_LEFT_CELESTIAL_WHEEL	ASTRO_COUNT_SECTION_RESOLVED_SEQUENCE	NONE	OR+A_ADDR+I_COUNT+I_COUNT+R	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Ansatz + Nebenadresse + Zaehlstrich + Zaehlstrich + senken	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NEW_RECURRENT_CORE	Ansatz + Nebenadresse + Zaehlstrich + Zaehlstrich + abkuehlen	YES	Einstellung; Nebenadresse; Zaehlstrich; Zaehlstrich; senken	NONE	NONE	Einstellung; Nebenadresse; Zaehlstrich; Zaehlstrich; senken	NO
43	A1	f67r2	f67r2.17	3	A1:G043	dy	A1_LEFT_LOCAL_FIELD_17	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b921a237be883a820352	Y	dies	NONE	YES	NONE	dies	dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies	NO	dieser Eintrag	NONE	NONE	dieser Eintrag	NO
44	A1	f67r2	f67r2.18	1	A1:G044	qopchy	A1_LEFT_LOCAL_FIELD_18	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+P+Y	Arbeitsgang + hinein + dies	NONE	YES	NONE	Arbeitsgang + hinein + dies	Arbeitsgang + hinein + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + hinein + dies	NO	Lesegang; hinein; dieser Eintrag	NONE	NONE	Lesegang; hinein; dieser Eintrag	NO
