statement_id	register	record_unit_id	page	events	event_ids	quantity_roots	quantity_revised_statement_de
B1-S002	BIOLOGICAL	B1	f81v	19	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	AIIN|AIN	Sollmaß setzen; Wasser zuführen; an die Stelle setzen; aus der Arbeitsflüssigkeit; fortsetzen; eine Stoffportion; weitere Stoffportion; Stelle; fortsetzen; weiter abkühlen; weiterführen; weiterer Ansatz; fortsetzen; kurz an der Durchlassstelle; Sollmaß; länger an der Stelle halten; Sollmaß; durchführen; umsetzen; Schluss.
B1-S003	BIOLOGICAL	B1	f81v	2	E121|E122	NONE	fortsetzen; gebuendelt umsetzen; Schluss.
B1-S004	BIOLOGICAL	B1	f81v	3	E123|E124|E125	NONE	laufender Stationsansatz umsetzen; fortsetzen; absetzen; Schluss.
B1-S005	BIOLOGICAL	B1	f81v	1	E126	NONE	weiterführen; Schluss.
B1-S006	BIOLOGICAL	B1	f81v	4	E127|E128|E129|E130	AIN	eine Stoffportion zugeben; durchführen; weiterführen; an der Stelle abkühlen.
B1-S007	BIOLOGICAL	B1	f81v	1	E131	NONE	Ansatz umsetzen; Schluss.
B1-S008	BIOLOGICAL	B1	f81v	5	E132|E133|E134|E135|E136	NONE	laufender Stationsansatz; fortsetzen; kurz wärmen; fortsetzen; absetzen; Schluss.
B1-S009	BIOLOGICAL	B1	f81v	1	E137	NONE	kurz ansetzen; Schluss.
B1-S010	BIOLOGICAL	B1	f81v	1	E138	NONE	kurz ansetzen; Schluss.
B1-S011	BIOLOGICAL	B1	f81v	2	E139|E140	NONE	durchführen; verwende den laufenden Stationsansatz.
B1-S012	BIOLOGICAL	B1	f81v	3	E141|E142|E143	NONE	Waschgang; kurz ansetzen; Waschgang; Schluss.
B1-S013	BIOLOGICAL	B1	f81v	1	E144	NONE	Waschgang; Schluss.
B1-S014	BIOLOGICAL	B1	f81v	5	E145|E146|E147|E148|E149	NONE	laufender Stationsansatz umsetzen; laufender Stationsansatz auffangen; zum Auslass führen; fortsetzen; danach von aufgefangener Bestand des laufender Stationsansatz.
B1-S015	BIOLOGICAL	B1	f81v	2	E150|E151	NONE	aufgefangener Bestand des laufender Stationsansatz kurz füllen; Ansatz umsetzen; Schluss.
B1-S016	BIOLOGICAL	B1	f81v	4	E152|E153|E154|E155	NONE	an die Stelle setzen; länger ansetzen; fortsetzen; absetzen; Schluss.
B1-S017	BIOLOGICAL	B1	f81v	3	E156|E157|E158	NONE	Stelle; kurz fortsetzen; umsetzen; Schluss.
B1-S018	BIOLOGICAL	B1	f81v	4	E159|E160|E161|E162	IIN	laufender Stationsansatz führen; kurz halten; Sollstufe; länger auffangen; Schluss.
B1-S019	BIOLOGICAL	B1	f81v	1	E163	NONE	absetzen; Schluss.
B1-S020	BIOLOGICAL	B1	f81v	2	E164|E165	NONE	kurz wärmen; seihen; Schluss.
B1-S021	BIOLOGICAL	B1	f81v	1	E166	NONE	Stelle.
B2-S001	BIOLOGICAL	B2	f82r	1	E167	NONE	umsetzen; Schluss.
B2-S002	BIOLOGICAL	B2	f82r	1	E168	NONE	weiterführen; Schluss.
B2-S003	BIOLOGICAL	B2	f82r	3	E169|E170|E171	AIN	eine Stoffportion zugeben; Teilportion von obere Beckenflüssigkeit; länger ansetzen; Schluss.
B2-S004	BIOLOGICAL	B2	f82r	5	E172|E173|E174|E175|E176	NONE	an die Stelle setzen; Teilportion von obere Beckenflüssigkeit zum Durchlass führen; hinausführen; länger ansetzen; hinaus seihen; Schluss.
B2-S005	BIOLOGICAL	B2	f82r	8	E177|E178|E179|E180|E181|E182|E183|E184	AIIN	Teilportion von obere Beckenflüssigkeit an die Stelle setzen; Auffang-Sollmaß; durchführen; Sollmaß setzen; Sollmaß setzen; kurz bereit fortsetzen; Teilportion von obere Beckenflüssigkeit länger wärmen; abführen; Schluss.
B2-S006	BIOLOGICAL	B2	f82r	4	E185|E186|E187|E188	NONE	nächsten Posten länger halten; an die Stelle setzen; Teilportion von obere Beckenflüssigkeit kurz im Durchlass halten; verwende Teilportion von obere Beckenflüssigkeit.
B2-S007	BIOLOGICAL	B2	f82r	1	E189	NONE	kurz halten; Schluss.
B2-S008	BIOLOGICAL	B2	f82r	3	E190|E191|E192	AIIN	nächstes Sollmaß; von Flüssigkeit am Zwischenknoten einsetzen; absetzen; Schluss.
B2-S009	BIOLOGICAL	B2	f82r	1	E193	NONE	mit dem Vorigen kurz absetzen; Schluss.
B2-S010	BIOLOGICAL	B2	f82r	4	E194|E195|E196|E197	NONE	länger ansetzen; verwende Flüssigkeit am Zwischenknoten; abführen; EMPFANGSBESTAND.
B2-S011	BIOLOGICAL	B2	f82r	4	E198|E199|E200|E201	AIN	eine Stoffportion zugeben; von Teilportion des Postens der Einzelstation; eine Stoffportion zugeben; länger ansetzen; Schluss.
B2-S012	BIOLOGICAL	B2	f82r	8	E202|E203|E204|E205|E206|E207|E208|E209	AIIN	zweite Teilportion des Postens der Einzelstation abziehen; EMPFANGSBESTAND; Empfangsbestand kurz bereithalten; länger ansetzen; Empfangsbestand länger abziehen; Sollmaß; Fraktion des Empfangsbestands; vollständig ansetzen; Schluss.
B2-S013	BIOLOGICAL	B2	f82r	1	E210	NONE	hinausführen; Schluss.
B2-S014	BIOLOGICAL	B2	f82r	1	E211	NONE	von Fraktion des Empfangsbestands abführen.
B2-S015	BIOLOGICAL	B2	f82r	2	E212|E213	NONE	Flüssigkeit am Beckenrand kurz halten; länger ansetzen; Schluss.
B2-S016	BIOLOGICAL	B2	f82r	8	E214|E215|E216|E217|E218|E219|E220|E221	AIIN	Stelle; von Flüssigkeit am Beckenrand hinausführen; teilen; Sollmaß; nächsten Posten länger halten; Sollmaß setzen; kurz ansetzen; hineinführen; Schluss.
B2-S017	BIOLOGICAL	B2	f82r	2	E222|E223	NONE	an der Stelle kurz abkühlen; an der Stelle schließen.
B2-S018	BIOLOGICAL	B2	f82r	1	E224	NONE	länger ansetzen; Schluss.
B2-S019	BIOLOGICAL	B2	f82r	1	E225	NONE	abkühlen und absetzen; Schluss.
B2-S020	BIOLOGICAL	B2	f82r	1	E226	NONE	nächsten Schritt länger halten; Schluss.
B2-S021	BIOLOGICAL	B2	f82r	1	E227	NONE	länger ansetzen; Schluss.
B2-S022	BIOLOGICAL	B2	f82r	1	E228	NONE	weiter hinausführen; Schluss.
B3-S001	BIOLOGICAL	B3	f83r	1	E229	NONE	länger auffangen; Schluss.
B3-S002	BIOLOGICAL	B3	f83r	2	E230|E231	NONE	Folgestelle; länger wärmen; Schluss.
B3-S003	BIOLOGICAL	B3	f83r	4	E232|E233|E234|E235	AIIN	aufgefangener Bestand des Gut der Fächerstation; Sollmaß; aufgefangener Bestand des Gut der Fächerstation; hinausführen; Schluss.
B3-S004	BIOLOGICAL	B3	f83r	3	E236|E237|E238	AIIN	Sollmaß setzen; Folgestelle; von aufgefangener Bestand des Gut der Fächerstation.
B3-S005	BIOLOGICAL	B3	f83r	1	E239	NONE	umsetzen; Schluss.
B3-S006	BIOLOGICAL	B3	f83r	3	E240|E241|E242	NONE	Gefäßflüssigkeit umsetzen; an die Stelle setzen; weiterführen; Schluss.
B3-S007	BIOLOGICAL	B3	f83r	3	E243|E244|E245	AIIN	Sollmaß setzen; Gefäßflüssigkeit umsetzen; länger ansetzen; Schluss.
B3-S008	BIOLOGICAL	B3	f83r	1	E246	NONE	hinausführen; Schluss.
B3-S009	BIOLOGICAL	B3	f83r	1	E247	NONE	verwende Gefäßflüssigkeit.
B3-S010	BIOLOGICAL	B3	f83r	2	E248|E249	NONE	an der Stelle hineinführen; kurzer Folgeschritt; Schluss.
B3-S011	BIOLOGICAL	B3	f83r	4	E250|E251|E252|E253	NONE	Gut im Korbgefäß kurz bereit umsetzen; verwende Gut im Korbgefäß; Gut im Korbgefäß umsetzen; Gut im Korbgefäß aus der Quelle nehmen.
B3-S012	BIOLOGICAL	B3	f83r	2	E254|E255	NONE	Ansatz; absetzen; Schluss.
B3-S013	BIOLOGICAL	B3	f83r	4	E256|E257|E258|E259	AIIN|AIN	Sollmaß setzen; eine Stoffportion; Teilportion aus dem laufenden Stationsansatz kurz bereithalten; kurz ansetzen; Schluss.
B3-S014	BIOLOGICAL	B3	f83r	2	E260|E261	NONE	Wasser in Gang setzen; länger absetzen; Schluss.
B3-S015	BIOLOGICAL	B3	f83r	1	E262	NONE	hinausführen; Schluss.
B3-S016	BIOLOGICAL	B3	f83r	2	E263|E264	NONE	hinausführen; Ansatz umsetzen; Schluss.
B3-S017	BIOLOGICAL	B3	f83r	1	E265	NONE	länger ansetzen; Schluss.
B3-S018	BIOLOGICAL	B3	f83r	1	E266	NONE	absetzen; Schluss.
B3-S019	BIOLOGICAL	B3	f83r	1	E267	NONE	kurz absetzen; Schluss.
B3-S020	BIOLOGICAL	B3	f83r	2	E268|E269	NONE	Stelle; hinausführen; Schluss.
B3-S021	BIOLOGICAL	B3	f83r	11	E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280	AIIN	Sollmaß setzen; bereit; Stelle; laufender Stationsansatz; Sollmaß; an der Stelle absetzen; laufender Stationsansatz kurz bereit halten; laufender Stationsansatz; Stelle; bereit; an der Stelle überführen; Schluss.
B3-S022	BIOLOGICAL	B3	f83r	1	E281	NONE	danach umsetzen; Schluss.
B3-S023	BIOLOGICAL	B3	f83r	1	E282	NONE	hinausführen; Schluss.
B3-S024	BIOLOGICAL	B3	f83r	1	E283	NONE	umsetzen; Schluss.
B3-S025	BIOLOGICAL	B3	f83r	1	E284	NONE	Ansatz umsetzen; Schluss.
B3-S026	BIOLOGICAL	B3	f83r	7	E285|E286|E287|E288|E289|E290|E291	AIIN|AIN	länger aus der Quelle führen; Abführ-Sollmaß; laufender Stationsansatz umsetzen; eine Stoffportion zugeben; bereit; Ansatz an der Stelle abkühlen; länger auffangen; Schluss.
B3-S027	BIOLOGICAL	B3	f83r	1	E292	NONE	nächsten Schritt länger halten; Schluss.
B3-S028	BIOLOGICAL	B3	f83r	2	E293|E294	NONE	länger ansetzen; kurz ansetzen; Schluss.
B3-S029	BIOLOGICAL	B3	f83r	3	E295|E296|E297	NONE	fortsetzen; aufgefangener Bestand des Flüssigkeit des Hauptpaares vollständig füllen; kurz ansetzen; Schluss.
B3-S030	BIOLOGICAL	B3	f83r	4	E298|E299|E300|E301	AIIN	verwende aufgefangener Bestand des Flüssigkeit des Hauptpaares; Sollmaß; Wasser weiterführen; danach umsetzen; Schluss.
B3-S031	BIOLOGICAL	B3	f83r	1	E302	NONE	länger ansetzen; Schluss.
B3-S032	BIOLOGICAL	B3	f83r	5	E303|E304|E305|E306|E307	AIN|AIIN	eine Stoffportion überführen; Teilportion aus der Arbeitsflüssigkeit umsetzen; kurzes Folge-Sollmaß; nächstes Sollmaß; kurzer Folgeschritt; Schluss.
B3-S033	BIOLOGICAL	B3	f83r	1	E308	NONE	abführen; Schluss.
B3-S034	BIOLOGICAL	B3	f83r	6	E309|E310|E311|E312|E313|E314	IIN|AIIN	Sollstufe; bereit; Teilportion aus der Arbeitsflüssigkeit füllen; nächstes Sollmaß; Teilportion aus der Arbeitsflüssigkeit an der Stelle fortsetzen; absetzen; Schluss.
B4-S001	BIOLOGICAL	B4	f83r	1	E315	NONE	länger ansetzen; Schluss.
B4-S002	BIOLOGICAL	B4	f83r	3	E316|E317|E318	NONE	Flüssigkeit des Hauptpaares weiterführen; länger ansetzen; kurz ansetzen; Schluss.
B4-S003	BIOLOGICAL	B4	f83r	7	E319|E320|E321|E322|E323|E324|E325	NONE	Flüssigkeit des Hauptpaares umsetzen; Folgestelle; nächster Posten; länger ansetzen; verwende nächster Arbeitsposten; fortsetzen; absetzen; Schluss.
B4-S004	BIOLOGICAL	B4	f83r	1	E326	NONE	nächster Arbeitsposten befestigen; Schluss.
B4-S005	BIOLOGICAL	B4	f83r	3	E327|E328|E329	AIN	Stoffportion; Teilportion von nächster Arbeitsposten umsetzen; länger ansetzen; Schluss.
B4-S006	BIOLOGICAL	B4	f83r	1	E330	NONE	seihen; Schluss.
B4-S007	BIOLOGICAL	B4	f83r	1	E331	NONE	seihen; Schluss.
B4-S008	BIOLOGICAL	B4	f83r	4	E332|E333|E334|E335	AIIN	Sollmaß; Teilportion von nächster Arbeitsposten länger wärmen; Teilportion von nächster Arbeitsposten länger halten; kurz ansetzen; Schluss.
B4-S009	BIOLOGICAL	B4	f83r	1	E336	NONE	absetzen; Schluss.
B4-S010	BIOLOGICAL	B4	f83r	1	E337	NONE	fortsetzen; Schluss.
B4-S011	BIOLOGICAL	B4	f83r	7	E338|E339|E340|E341|E342|E343|E344	AIIN|AIN	Sollmaß; kurz wärmen; länger fortsetzen; eine Stoffportion zugeben; Teilportion von Gut der Randstation umsetzen; fortsetzen; kurz abführen; Schluss.
B4-S012	BIOLOGICAL	B4	f83r	1	E345	NONE	hinausführen; Schluss.
B4-S013	BIOLOGICAL	B4	f83r	2	E346|E347	NONE	Fortsetzung einsetzen; absetzen; Schluss.
B4-S014	BIOLOGICAL	B4	f83r	4	E348|E349|E350|E351	NONE	Ansatz; laufender Stationsansatz; laufender Stationsansatz kurz durchführen; Wasserlauf schließen.
B4-S015	BIOLOGICAL	B4	f83r	6	E352|E353|E354|E355|E356|E357	AIN	eine Stoffportion zugeben; EMPFANGSBESTAND; eine Stoffportion; Durchlassstelle; kurz auffangen; hinausführen; Schluss.
B4-S016	BIOLOGICAL	B4	f83r	4	E358|E359|E360|E361	AIN	weitere Stoffportion; Stelle; aus dem Vorrat zuführen; absetzen; Schluss.
B5-S001	BIOLOGICAL	B5	f83r	1	E362	NONE	danach umsetzen; Schluss.
B5-S002	BIOLOGICAL	B5	f83r	1	E363	NONE	Ansatz umsetzen; Schluss.
B5-S003	BIOLOGICAL	B5	f83r	9	E364|E365|E366|E367|E368|E369|E370|E371|E372	AIIN	an der Stelle absetzen; Stelle; fortsetzen; weiterführen; an der Stelle umsetzen; Sollmaß; fortsetzen; zweite Stufe; laufender Stationsansatz umsetzen.
B6-S001	BIOLOGICAL	B6	f83r	9	E373|E374|E375|E376|E377|E378|E379|E380|E381	AIIN|AIN	länger auffangen; aufgefangener Bestand der rechten Nachtragsflüssigkeit kurz zuführen; aufgefangener Bestand der rechten Nachtragsflüssigkeit abkühlen; fortsetzen; Sollmaß; fortsetzen; Stoffportion; Teilportion des aufgefangenen Bestands der rechten Nachtragsflüssigkeit; Ansatz zur Stelle führen.
