occurrence_id	template_id	phase_pattern	register	record_unit_id	page	statement_id	run_start	event_ids	concrete_referent_de	template_sentence_de	actual_span_de	selected_in_greedy_edition	quantity_kinds	quantity_specific_sentence_de	pass480_actual_span_de
O011	M04	MEASURE>MOVE	HERBAL	H2	f10r	H2-S003	4	E036|E037	laufender Pflanzenansatz	Nimm vom Posten „laufender Pflanzenansatz“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	bis zur Sollstufe zuführen; laufender Pflanzenansatz	YES	SOLLSTUFE	Nimm von „laufender Pflanzenansatz“ die vorgeschriebene Sollstufe und führe den bestimmten Teil zur bezeichneten Stelle.	bis zur Sollstufe zuführen; laufender Pflanzenansatz
O012	M06	MOVE>MEASURE	HERBAL	H2	f10r	H2-S003	3	E035|E036	laufender Pflanzenansatz	Führe den Posten „laufender Pflanzenansatz“ zur Stelle und setze dort Menge oder Stufe.	laufender Pflanzenansatz; bis zur Sollstufe zuführen	NO	SOLLSTUFE	Führe „laufender Pflanzenansatz“ zur Stelle und setze dort die vorgeschriebene Sollstufe.	laufender Pflanzenansatz; bis zur Sollstufe zuführen
O013	M06	MOVE>MEASURE	HERBAL	H2	f10r	H2-S003	5	E037|E038	laufender Pflanzenansatz	Führe den Posten „laufender Pflanzenansatz“ zur Stelle und setze dort Menge oder Stufe.	laufender Pflanzenansatz; auf Maß abziehen	NO	SOLLMASS	Führe „laufender Pflanzenansatz“ zur Stelle und setze dort das vorgeschriebene Sollmaß.	laufender Pflanzenansatz; auf Sollmaß abziehen
O014	M07	MOVE>PREPARE	HERBAL	H2	f10r	H2-S003	1	E032|E033|E034	laufender Pflanzenansatz	Führe den Posten „laufender Pflanzenansatz“ weiter und beginne damit den nächsten Arbeitsgang.	laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz	YES	NONE	Führe „laufender Pflanzenansatz“ weiter und beginne damit den nächsten Arbeitsgang.	laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz
O015	M01	PREPARE>MEASURE>MOVE	HERBAL	H3	f11r	H3-S001	3	E041|E042|E043	Pflanzenmaterial	Bereite den Posten „Pflanzenmaterial“ vor, setze die angegebene Menge oder Stufe und führe ihn zur bezeichneten Stelle.	auswringen; Pflanzenmaterial bis zum Maß halten; Pflanzenmaterial hineinführen	YES	SOLLMASS	Bereite den Posten „Pflanzenmaterial“ vor, setze das vorgeschriebene Sollmaß und führe ihn zur bezeichneten Stelle.	auswringen; Pflanzenmaterial bis zum Sollmaß halten; Pflanzenmaterial hineinführen
O016	M04	MEASURE>MOVE	HERBAL	H3	f11r	H3-S001	4	E042|E043	Pflanzenmaterial	Nimm vom Posten „Pflanzenmaterial“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	Pflanzenmaterial bis zum Maß halten; Pflanzenmaterial hineinführen	NO	SOLLMASS	Nimm von „Pflanzenmaterial“ das vorgeschriebene Sollmaß und führe den bestimmten Teil zur bezeichneten Stelle.	Pflanzenmaterial bis zum Sollmaß halten; Pflanzenmaterial hineinführen
O017	M08	PREPARE>MEASURE	HERBAL	H3	f11r	H3-S001	3	E041|E042	Pflanzenmaterial	Bereite den Posten „Pflanzenmaterial“ und setze dafür Menge oder Stufe.	auswringen; Pflanzenmaterial bis zum Maß halten	YES	SOLLMASS	Bereite „Pflanzenmaterial“ und setze dafür das vorgeschriebene Sollmaß.	auswringen; Pflanzenmaterial bis zum Sollmaß halten
O018	M02	MEASURE>MOVE>MEASURE	HERBAL	H4	f55v	H4-S003	1	E064|E065|E066	zweite Teilportion von Pflanzenmaterial	Setze für den Posten „zweite Teilportion von Pflanzenmaterial“ das erste Maß, bewege ihn und setze am Ziel das nächste Maß.	zweite Teilportion vom Pflanzenmaterial auf Maß zuführen; Auszug aus der Quelle; zweite Teilportion vom Pflanzenmaterial länger wärmen	YES	SOLLMASS	Setze für „zweite Teilportion von Pflanzenmaterial“ zuerst das vorgeschriebene Sollmaß, bewege den Posten und setze am Ziel den nächsten Wert.	zweite Teilportion vom Pflanzenmaterial auf Sollmaß zuführen; Auszug aus der Quelle; zweite Teilportion vom Pflanzenmaterial länger wärmen
O019	M04	MEASURE>MOVE	HERBAL	H4	f55v	H4-S003	1	E064|E065	zweite Teilportion von Pflanzenmaterial	Nimm vom Posten „zweite Teilportion von Pflanzenmaterial“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	zweite Teilportion vom Pflanzenmaterial auf Maß zuführen; Auszug aus der Quelle	YES	SOLLMASS	Nimm von „zweite Teilportion von Pflanzenmaterial“ das vorgeschriebene Sollmaß und führe den bestimmten Teil zur bezeichneten Stelle.	zweite Teilportion vom Pflanzenmaterial auf Sollmaß zuführen; Auszug aus der Quelle
O020	M06	MOVE>MEASURE	HERBAL	H4	f55v	H4-S003	2	E065|E066	zweite Teilportion von Pflanzenmaterial	Führe den Posten „zweite Teilportion von Pflanzenmaterial“ zur Stelle und setze dort Menge oder Stufe.	Auszug aus der Quelle; zweite Teilportion vom Pflanzenmaterial länger wärmen	NO	OTHER_MEASURE	Führe „zweite Teilportion von Pflanzenmaterial“ zur Stelle und setze dort den lokal gelernten Messwert.	Auszug aus der Quelle; zweite Teilportion vom Pflanzenmaterial länger wärmen
O021	M06	MOVE>MEASURE	HERBAL	H4	f55v	H4-S004	5	E072|E073	laufender Pflanzenansatz	Führe den Posten „laufender Pflanzenansatz“ zur Stelle und setze dort Menge oder Stufe.	laufender Pflanzenansatz; Ansatzportion	YES	PORTION	Führe „laufender Pflanzenansatz“ zur Stelle und setze dort eine Stoffportion.	laufender Pflanzenansatz; Stoffportion des Ansatzes
O022	M09	APPLY>MEASURE	HERBAL	H4	f55v	H4-S004	2	E069|E070	zweite Teilportion von Pflanzenmaterial	Setze den Posten „zweite Teilportion von Pflanzenmaterial“ an der Zielstelle an und bestimme Menge oder Dauer.	an die Stelle setzen; zweite Teilportion vom Pflanzenmaterial weiter füllen	YES	OTHER_MEASURE	Setze „zweite Teilportion von Pflanzenmaterial“ an der Zielstelle an und bestimme den lokal gelernten Messwert.	an die Stelle setzen; zweite Teilportion vom Pflanzenmaterial weiter füllen
O023	M06	MOVE>MEASURE	HERBAL	H5	f56r	H5-S001	3	E076|E077	Zugabe	Führe den Posten „Zugabe“ zur Stelle und setze dort Menge oder Stufe.	diese Zutat an die Stelle; Maß	YES	SOLLMASS	Führe „Zugabe“ zur Stelle und setze dort das vorgeschriebene Sollmaß.	diese Zutat an die Stelle; Sollmaß
O024	M06	MOVE>MEASURE	HERBAL	H5	f56r	H5-S005	2	E096|E097	Zugabe	Führe den Posten „Zugabe“ zur Stelle und setze dort Menge oder Stufe.	Zutat aus dem Vorrat zuführen; danach eine Portion	YES	PORTION	Führe „Zugabe“ zur Stelle und setze dort eine Stoffportion.	Zutat aus dem Vorrat zuführen; danach eine Stoffportion
O025	M01	PREPARE>MEASURE>MOVE	BIOLOGICAL	B1	f81v	B1-S002	5	E106|E107|E108|E109	Arbeitsflüssigkeit	Bereite den Posten „Arbeitsflüssigkeit“ vor, setze die angegebene Menge oder Stufe und führe ihn zur bezeichneten Stelle.	fortsetzen; eine Portion; weitere Portion; Stelle	NO	PORTION	Bereite den Posten „Arbeitsflüssigkeit“ vor, setze eine Stoffportion und führe ihn zur bezeichneten Stelle.	fortsetzen; eine Stoffportion; weitere Stoffportion; Stelle
O026	M04	MEASURE>MOVE	BIOLOGICAL	B1	f81v	B1-S002	1	E102|E103	Beckenposten	Nimm vom Posten „Beckenposten“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	bemessen; Wasser zuführen	YES	SOLLMASS	Nimm von „Beckenposten“ das vorgeschriebene Sollmaß und führe den bestimmten Teil zur bezeichneten Stelle.	Sollmaß setzen; Wasser zuführen
O027	M04	MEASURE>MOVE	BIOLOGICAL	B1	f81v	B1-S002	6	E107|E108|E109	Arbeitsflüssigkeit	Nimm vom Posten „Arbeitsflüssigkeit“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	eine Portion; weitere Portion; Stelle	YES	PORTION	Nimm von „Arbeitsflüssigkeit“ eine Stoffportion und führe den bestimmten Teil zur bezeichneten Stelle.	eine Stoffportion; weitere Stoffportion; Stelle
O028	M04	MEASURE>MOVE	BIOLOGICAL	B1	f81v	B1-S002	15	E118|E119|E120	laufender Stationsansatz	Nimm vom Posten „laufender Stationsansatz“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	Maß; durchführen; umsetzen; Schluss	NO	SOLLMASS	Nimm von „laufender Stationsansatz“ das vorgeschriebene Sollmaß und führe den bestimmten Teil zur bezeichneten Stelle.	Sollmaß; durchführen; umsetzen; Schluss
O029	M07	MOVE>PREPARE	BIOLOGICAL	B1	f81v	B1-S002	4	E105|E106	Arbeitsflüssigkeit	Führe den Posten „Arbeitsflüssigkeit“ weiter und beginne damit den nächsten Arbeitsgang.	aus der Arbeitsflüssigkeit; fortsetzen	YES	NONE	Führe „Arbeitsflüssigkeit“ weiter und beginne damit den nächsten Arbeitsgang.	aus der Arbeitsflüssigkeit; fortsetzen
O030	M07	MOVE>PREPARE	BIOLOGICAL	B1	f81v	B1-S002	7	E109|E110	zweite Teilportion von Arbeitsflüssigkeit	Führe den Posten „zweite Teilportion von Arbeitsflüssigkeit“ weiter und beginne damit den nächsten Arbeitsgang.	Stelle; fortsetzen	NO	NONE	Führe „zweite Teilportion von Arbeitsflüssigkeit“ weiter und beginne damit den nächsten Arbeitsgang.	Stelle; fortsetzen
O031	M07	MOVE>PREPARE	BIOLOGICAL	B1	f81v	B1-S002	10	E112|E113|E114	zweite Teilportion von Arbeitsflüssigkeit	Führe den Posten „zweite Teilportion von Arbeitsflüssigkeit“ weiter und beginne damit den nächsten Arbeitsgang.	weiterführen; weiterer Ansatz; fortsetzen	YES	NONE	Führe „zweite Teilportion von Arbeitsflüssigkeit“ weiter und beginne damit den nächsten Arbeitsgang.	weiterführen; weiterer Ansatz; fortsetzen
O032	M08	PREPARE>MEASURE	BIOLOGICAL	B1	f81v	B1-S002	5	E106|E107|E108	Arbeitsflüssigkeit	Bereite den Posten „Arbeitsflüssigkeit“ und setze dafür Menge oder Stufe.	fortsetzen; eine Portion; weitere Portion	NO	PORTION	Bereite „Arbeitsflüssigkeit“ und setze dafür eine Stoffportion.	fortsetzen; eine Stoffportion; weitere Stoffportion
O033	M09	APPLY>MEASURE	BIOLOGICAL	B1	f81v	B1-S002	14	E117|E118	laufender Stationsansatz	Setze den Posten „laufender Stationsansatz“ an der Zielstelle an und bestimme Menge oder Dauer.	länger an der Stelle halten; Maß	YES	SOLLMASS	Setze „laufender Stationsansatz“ an der Zielstelle an und bestimme das vorgeschriebene Sollmaß.	länger an der Stelle halten; Sollmaß
O034	M07	MOVE>PREPARE	BIOLOGICAL	B1	f81v	B1-S004	1	E123|E124	laufender Stationsansatz	Führe den Posten „laufender Stationsansatz“ weiter und beginne damit den nächsten Arbeitsgang.	laufender Stationsansatz umsetzen; fortsetzen	YES	NONE	Führe „laufender Stationsansatz“ weiter und beginne damit den nächsten Arbeitsgang.	laufender Stationsansatz umsetzen; fortsetzen
O035	M04	MEASURE>MOVE	BIOLOGICAL	B1	f81v	B1-S006	1	E127|E128|E129	laufender Stationsansatz	Nimm vom Posten „laufender Stationsansatz“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	eine Portion zugeben; durchführen; weiterführen	YES	PORTION	Nimm von „laufender Stationsansatz“ eine Stoffportion und führe den bestimmten Teil zur bezeichneten Stelle.	eine Stoffportion zugeben; durchführen; weiterführen
O036	M07	MOVE>PREPARE	BIOLOGICAL	B1	f81v	B1-S008	1	E132|E133	laufender Stationsansatz	Führe den Posten „laufender Stationsansatz“ weiter und beginne damit den nächsten Arbeitsgang.	laufender Stationsansatz; fortsetzen	YES	NONE	Führe „laufender Stationsansatz“ weiter und beginne damit den nächsten Arbeitsgang.	laufender Stationsansatz; fortsetzen
O037	M03	MOVE>PREPARE>MOVE	BIOLOGICAL	B1	f81v	B1-S014	3	E147|E148|E149	aufgefangener Bestand des laufender Stationsansatz	Führe den Posten „aufgefangener Bestand des laufender Stationsansatz“ zur Arbeitsstelle, bearbeite ihn dort und führe ihn weiter.	zum Auslass führen; fortsetzen; danach von aufgefangener Bestand des laufender Stationsansatz	YES	NONE	Führe „aufgefangener Bestand des laufender Stationsansatz“ zur Arbeitsstelle, bearbeite den Posten dort und führe ihn weiter.	zum Auslass führen; fortsetzen; danach von aufgefangener Bestand des laufender Stationsansatz
O038	M07	MOVE>PREPARE	BIOLOGICAL	B1	f81v	B1-S014	3	E147|E148	aufgefangener Bestand des laufender Stationsansatz	Führe den Posten „aufgefangener Bestand des laufender Stationsansatz“ weiter und beginne damit den nächsten Arbeitsgang.	zum Auslass führen; fortsetzen	YES	NONE	Führe „aufgefangener Bestand des laufender Stationsansatz“ weiter und beginne damit den nächsten Arbeitsgang.	zum Auslass führen; fortsetzen
O039	M05	MEASURE>HOLD	BIOLOGICAL	B2	f82r	B2-S003	1	E169|E170|E171	obere Beckenflüssigkeit	Setze für den Posten „obere Beckenflüssigkeit“ Menge oder Stufe und halte ihn wie angegeben.	eine Portion zugeben; Teilportion von obere Beckenflüssigkeit; länger ansetzen; Schluss	YES	PORTION	Setze für „obere Beckenflüssigkeit“ eine Stoffportion und halte den Posten wie angegeben.	eine Stoffportion zugeben; Teilportion von obere Beckenflüssigkeit; länger ansetzen; Schluss
O040	M04	MEASURE>MOVE	BIOLOGICAL	B2	f82r	B2-S004	2	E173|E174	Teilportion von obere Beckenflüssigkeit	Nimm vom Posten „Teilportion von obere Beckenflüssigkeit“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	Teilportion von obere Beckenflüssigkeit zum Durchlass führen; hinausführen	NO	OTHER_MEASURE	Nimm von „Teilportion von obere Beckenflüssigkeit“ den lokal gelernten Messwert und führe den bestimmten Teil zur bezeichneten Stelle.	Teilportion von obere Beckenflüssigkeit zum Durchlass führen; hinausführen
O041	M09	APPLY>MEASURE	BIOLOGICAL	B2	f82r	B2-S004	1	E172|E173	Teilportion von obere Beckenflüssigkeit	Setze den Posten „Teilportion von obere Beckenflüssigkeit“ an der Zielstelle an und bestimme Menge oder Dauer.	an die Stelle setzen; Teilportion von obere Beckenflüssigkeit zum Durchlass führen	YES	OTHER_MEASURE	Setze „Teilportion von obere Beckenflüssigkeit“ an der Zielstelle an und bestimme den lokal gelernten Messwert.	an die Stelle setzen; Teilportion von obere Beckenflüssigkeit zum Durchlass führen
O042	M02	MEASURE>MOVE>MEASURE	BIOLOGICAL	B2	f82r	B2-S005	2	E178|E179|E180|E181	Teilportion von obere Beckenflüssigkeit	Setze für den Posten „Teilportion von obere Beckenflüssigkeit“ das erste Maß, bewege ihn und setze am Ziel das nächste Maß.	Auffangmass; durchführen; bemessen; bemessen	NO	SOLLMASS	Setze für „Teilportion von obere Beckenflüssigkeit“ zuerst das vorgeschriebene Sollmaß, bewege den Posten und setze am Ziel den nächsten Wert.	Auffang-Sollmaß; durchführen; Sollmaß setzen; Sollmaß setzen
O043	M04	MEASURE>MOVE	BIOLOGICAL	B2	f82r	B2-S005	2	E178|E179	Teilportion von obere Beckenflüssigkeit	Nimm vom Posten „Teilportion von obere Beckenflüssigkeit“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	Auffangmass; durchführen	NO	SOLLMASS	Nimm von „Teilportion von obere Beckenflüssigkeit“ das vorgeschriebene Sollmaß und führe den bestimmten Teil zur bezeichneten Stelle.	Auffang-Sollmaß; durchführen
O044	M04	MEASURE>MOVE	BIOLOGICAL	B2	f82r	B2-S005	6	E183|E184	Teilportion von obere Beckenflüssigkeit	Nimm vom Posten „Teilportion von obere Beckenflüssigkeit“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	Teilportion von obere Beckenflüssigkeit länger wärmen; abführen; Schluss	YES	OTHER_MEASURE	Nimm von „Teilportion von obere Beckenflüssigkeit“ den lokal gelernten Messwert und führe den bestimmten Teil zur bezeichneten Stelle.	Teilportion von obere Beckenflüssigkeit länger wärmen; abführen; Schluss
O045	M05	MEASURE>HOLD	BIOLOGICAL	B2	f82r	B2-S005	4	E180|E181|E182	Teilportion von obere Beckenflüssigkeit	Setze für den Posten „Teilportion von obere Beckenflüssigkeit“ Menge oder Stufe und halte ihn wie angegeben.	bemessen; bemessen; kurz bereit fortsetzen	NO	SOLLMASS	Setze für „Teilportion von obere Beckenflüssigkeit“ das vorgeschriebene Sollmaß und halte den Posten wie angegeben.	Sollmaß setzen; Sollmaß setzen; kurz bereit fortsetzen
O046	M06	MOVE>MEASURE	BIOLOGICAL	B2	f82r	B2-S005	3	E179|E180|E181	Teilportion von obere Beckenflüssigkeit	Führe den Posten „Teilportion von obere Beckenflüssigkeit“ zur Stelle und setze dort Menge oder Stufe.	durchführen; bemessen; bemessen	YES	SOLLMASS	Führe „Teilportion von obere Beckenflüssigkeit“ zur Stelle und setze dort das vorgeschriebene Sollmaß.	durchführen; Sollmaß setzen; Sollmaß setzen
O047	M09	APPLY>MEASURE	BIOLOGICAL	B2	f82r	B2-S005	1	E177|E178	Teilportion von obere Beckenflüssigkeit	Setze den Posten „Teilportion von obere Beckenflüssigkeit“ an der Zielstelle an und bestimme Menge oder Dauer.	Teilportion von obere Beckenflüssigkeit an die Stelle setzen; Auffangmass	YES	SOLLMASS	Setze „Teilportion von obere Beckenflüssigkeit“ an der Zielstelle an und bestimme das vorgeschriebene Sollmaß.	Teilportion von obere Beckenflüssigkeit an die Stelle setzen; Auffang-Sollmaß
O048	M09	APPLY>MEASURE	BIOLOGICAL	B2	f82r	B2-S006	2	E186|E187	Teilportion von obere Beckenflüssigkeit	Setze den Posten „Teilportion von obere Beckenflüssigkeit“ an der Zielstelle an und bestimme Menge oder Dauer.	an die Stelle setzen; Teilportion von obere Beckenflüssigkeit kurz im Durchlass halten	YES	OTHER_MEASURE	Setze „Teilportion von obere Beckenflüssigkeit“ an der Zielstelle an und bestimme den lokal gelernten Messwert.	an die Stelle setzen; Teilportion von obere Beckenflüssigkeit kurz im Durchlass halten
O049	M04	MEASURE>MOVE	BIOLOGICAL	B2	f82r	B2-S008	1	E190|E191	Flüssigkeit am Zwischenknoten	Nimm vom Posten „Flüssigkeit am Zwischenknoten“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	nächstes Maß; von Flüssigkeit am Zwischenknoten einsetzen	YES	SOLLMASS	Nimm von „Flüssigkeit am Zwischenknoten“ das vorgeschriebene Sollmaß und führe den bestimmten Teil zur bezeichneten Stelle.	nächstes Sollmaß; von Flüssigkeit am Zwischenknoten einsetzen
O050	M05	MEASURE>HOLD	BIOLOGICAL	B2	f82r	B2-S011	1	E198|E199|E200|E201	Posten der Einzelstation	Setze für den Posten „Posten der Einzelstation“ Menge oder Stufe und halte ihn wie angegeben.	eine Portion zugeben; von Teilportion des Postens der Einzelstation; eine Portion zugeben; länger ansetzen; Schluss	YES	PORTION	Setze für „Posten der Einzelstation“ eine Stoffportion und halte den Posten wie angegeben.	eine Stoffportion zugeben; von Teilportion des Postens der Einzelstation; eine Stoffportion zugeben; länger ansetzen; Schluss
O051	M05	MEASURE>HOLD	BIOLOGICAL	B2	f82r	B2-S016	3	E217|E218	Flüssigkeit am Beckenrand	Setze für den Posten „Flüssigkeit am Beckenrand“ Menge oder Stufe und halte ihn wie angegeben.	Maß; nächsten Posten länger halten	YES	SOLLMASS	Setze für „Flüssigkeit am Beckenrand“ das vorgeschriebene Sollmaß und halte den Posten wie angegeben.	Sollmaß; nächsten Posten länger halten
O052	M05	MEASURE>HOLD	BIOLOGICAL	B2	f82r	B2-S016	5	E219|E220	Flüssigkeit am Beckenrand	Setze für den Posten „Flüssigkeit am Beckenrand“ Menge oder Stufe und halte ihn wie angegeben.	bemessen; kurz ansetzen	YES	SOLLMASS	Setze für „Flüssigkeit am Beckenrand“ das vorgeschriebene Sollmaß und halte den Posten wie angegeben.	Sollmaß setzen; kurz ansetzen
O053	M07	MOVE>PREPARE	BIOLOGICAL	B2	f82r	B2-S016	1	E214|E215|E216	Flüssigkeit am Beckenrand	Führe den Posten „Flüssigkeit am Beckenrand“ weiter und beginne damit den nächsten Arbeitsgang.	Stelle; von Flüssigkeit am Beckenrand hinausführen; teilen	YES	NONE	Führe „Flüssigkeit am Beckenrand“ weiter und beginne damit den nächsten Arbeitsgang.	Stelle; von Flüssigkeit am Beckenrand hinausführen; teilen
O054	M08	PREPARE>MEASURE	BIOLOGICAL	B2	f82r	B2-S016	2	E216|E217	Flüssigkeit am Beckenrand	Bereite den Posten „Flüssigkeit am Beckenrand“ und setze dafür Menge oder Stufe.	teilen; Maß	NO	SOLLMASS	Bereite „Flüssigkeit am Beckenrand“ und setze dafür das vorgeschriebene Sollmaß.	teilen; Sollmaß
O055	M04	MEASURE>MOVE	BIOLOGICAL	B3	f83r	B3-S004	1	E236|E237|E238	aufgefangener Bestand des Gut der Fächerstation	Nimm vom Posten „aufgefangener Bestand des Gut der Fächerstation“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	bemessen; Folgestelle; von aufgefangener Bestand des Gut der Fächerstation	YES	SOLLMASS	Nimm von „aufgefangener Bestand des Gut der Fächerstation“ das vorgeschriebene Sollmaß und führe den bestimmten Teil zur bezeichneten Stelle.	Sollmaß setzen; Folgestelle; von aufgefangener Bestand des Gut der Fächerstation
O056	M04	MEASURE>MOVE	BIOLOGICAL	B3	f83r	B3-S007	1	E243|E244	Gefäßflüssigkeit	Nimm vom Posten „Gefäßflüssigkeit“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	bemessen; Gefäßflüssigkeit umsetzen	YES	SOLLMASS	Nimm von „Gefäßflüssigkeit“ das vorgeschriebene Sollmaß und führe den bestimmten Teil zur bezeichneten Stelle.	Sollmaß setzen; Gefäßflüssigkeit umsetzen
O057	M05	MEASURE>HOLD	BIOLOGICAL	B3	f83r	B3-S013	1	E256|E257|E258|E259	laufender Stationsansatz	Setze für den Posten „laufender Stationsansatz“ Menge oder Stufe und halte ihn wie angegeben.	bemessen; eine Portion; Teilportion aus dem laufenden Stationsansatz kurz bereithalten; kurz ansetzen; Schluss	YES	SOLLMASS|PORTION	Setze für „laufender Stationsansatz“ die Kombination aus Sollmaß und Stoffportion und halte den Posten wie angegeben.	Sollmaß setzen; eine Stoffportion; Teilportion aus dem laufenden Stationsansatz kurz bereithalten; kurz ansetzen; Schluss
