card_no	joint_tuple_id	surfaces	events	event_ids	registers	records	component_parse	small_value_de	lexicon_class	rule_source	pass458_note	exact_selection_layer	exact_selection_rule	wet_context_value_de	common_root_revision	previous_atomic_value_de	common_action_revision	template_slot_value_de	pass478_decision	pass478_reason	pass479_previous_value_de	pass479_value_de	pass479_revision	quantity_root	quantity_kind	pass480_value_de	pass480_revision
PROC011	9ad66e67803a12e745de	chokchy|okchy|qokchy	3	E011|E091|E095	HERBAL	H1|H5	OK+Y	dies ansetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	dies ansetzen	NO	dies ansetzen	NO	dies ansetzen	UNCHANGED_COMPOSITION	already built from productive components	dies ansetzen	dies ansetzen	NO	NONE	NONE	dies ansetzen	NO
PROC012	e8a6105b5c3a6220b440	qotchol	1	E012	HERBAL	H1	OT+CH+OL	danach weiter entnehmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	danach weiter abziehen	NO	danach weiter abziehen	YES	danach weiter abziehen	UNCHANGED_COMPOSITION	already built from productive components	danach weiter abziehen	danach weiter abziehen	NO	NONE	NONE	danach weiter abziehen	NO
PROC013	dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	19	E013|E027|E029|E106|E110|E114|E121|E124|E133|E135|E148|E154|E295|E324|E343|E366|E370|E376|E378	BIOLOGICAL|HERBAL	B1|B3|B4|B5|B6|H1|H2	OL	fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	STATEMENT_POSITION	DCHOL/SCHOL for Herbal statement-entry resumption; ordinary OL inside	fortsetzen	NO	fortsetzen	NO	fortsetzen	UNCHANGED_COMPOSITION	already built from productive components	fortsetzen	fortsetzen	NO	NONE	NONE	fortsetzen	NO
PROC014	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	E014|E016|E054|E271|E279|E289|E310	BIOLOGICAL|HERBAL	B3|H1|H2|H3	CTH+Y	bereit	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	bereit	NO	bereit	NO	bereit	UNCHANGED_COMPOSITION	already built from productive components	bereit	bereit	NO	NONE	NONE	bereit	NO
PROC015	7249edc4df3419c26999	ycheor	1	E015	HERBAL	H2	Y+CH+E+OR	diesen Ansatz kurz entnehmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	diesen Ansatz kurz abziehen	NO	diesen Ansatz kurz abziehen	YES	diesen Ansatz kurz abziehen	UNCHANGED_COMPOSITION	already built from productive components	diesen Ansatz kurz abziehen	diesen Ansatz kurz abziehen	NO	NONE	NONE	diesen Ansatz kurz abziehen	NO
PROC016	7a4bb8136330ee4e6e56	chor|or|shor|sor	7	E017|E025|E033|E034|E071|E254|E348	BIOLOGICAL|HERBAL	B3|B4|H2|H4	OR	Ansatz	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Ansatz	NO	Ansatz	NO	Ansatz	UNCHANGED_COMPOSITION	already built from productive components	Ansatz	Ansatz	NO	NONE	NONE	Ansatz	NO
PROC017	f3c23f42baf625639e1e	cthaiin	1	E018	HERBAL	H2	CTH+AIIN	auf Maß bereitstellen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	auf Maß bereitstellen	NO	auf Maß bereitstellen	NO	auf Maß bereitstellen	UNCHANGED_COMPOSITION	already built from productive components	auf Maß bereitstellen	auf Maß bereitstellen	NO	AIIN	SOLLMASS	auf Sollmaß bereitstellen	YES
PROC018	af816c04e65874a0f2fa	qoctholy	1	E019	HERBAL	H2	O+CTH+OL+Y	dies bereit weiterführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	dies bereit weiterführen	NO	dies bereit weiterführen	NO	dies bereit weiterführen	UNCHANGED_COMPOSITION	already built from productive components	dies bereit weiterführen	dies bereit weiterführen	NO	NONE	NONE	dies bereit weiterführen	NO
PROC019	b921a237be883a820352	chey|chy|dy|shy|sy|y	18	E020|E021|E023|E035|E037|E048|E050|E055|E072|E132|E170|E208|E232|E234|E273|E277|E349|E380	BIOLOGICAL|HERBAL	B1|B2|B3|B4|B6|H2|H3|H4	Y	dies	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies	NO	dies	NO	dies	UNCHANGED_COMPOSITION	already built from productive components	dies	dies	NO	NONE	NONE	dies	NO
PROC020	10488b911aae52b3b334	otchor|qotchor	2	E024|E080	HERBAL	H2|H5	OT+CH+OR	danach Ansatz entnehmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	danach Ansatz abziehen	NO	danach Ansatz abziehen	YES	danach Ansatz abziehen	UNCHANGED_COMPOSITION	already built from productive components	danach Ansatz abziehen	danach Ansatz abziehen	NO	NONE	NONE	danach Ansatz abziehen	NO
PROC021	497cbd9c7401810ff56b	otol	1	E026	HERBAL	H2	OT+OL	danach fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	danach fortsetzen	NO	danach fortsetzen	NO	danach fortsetzen	UNCHANGED_COMPOSITION	already built from productive components	danach fortsetzen	danach fortsetzen	NO	NONE	NONE	danach fortsetzen	NO
PROC022	dec401773c1f0347793d	cholor|olor	2	E028|E113	BIOLOGICAL|HERBAL	B1|H2	OL+OR	weiterer Ansatz	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	weiterer Ansatz	NO	weiterer Ansatz	NO	weiterer Ansatz	UNCHANGED_COMPOSITION	already built from productive components	weiterer Ansatz	weiterer Ansatz	NO	NONE	NONE	weiterer Ansatz	NO
PROC023	27d97af8c96eb056c2e6	oykchor	1	E032	HERBAL	H2	O+Y+K+OR	dies dem Ansatz zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	dies dem Ansatz zuführen	NO	dies dem Ansatz zuführen	NO	dies dem Ansatz zuführen	UNCHANGED_COMPOSITION	already built from productive components	dies dem Ansatz zuführen	dies dem Ansatz zuführen	NO	NONE	NONE	dies dem Ansatz zuführen	NO
PROC024	409de02322e7b2ca0c62	kaiiin	1	E036	HERBAL	H2	K+IIN	bis zur Sollstufe zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	bis zur Sollstufe zuführen	NO	bis zur Sollstufe zuführen	NO	bis zur Sollstufe zuführen	UNCHANGED_COMPOSITION	already built from productive components	bis zur Sollstufe zuführen	bis zur Sollstufe zuführen	NO	IIN	SOLLSTUFE	bis zur Sollstufe zuführen	YES
PROC025	834825c61d048a6b5628	chodaiin	1	E038	HERBAL	H2	CH+O+AIIN	auf Maß entnehmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	auf Maß abziehen	NO	auf Maß abziehen	YES	auf Maß abziehen	UNCHANGED_COMPOSITION	already built from productive components	auf Maß abziehen	auf Maß abziehen	NO	AIIN	SOLLMASS	auf Sollmaß abziehen	YES
PROC026	953ad19b79517fc8a211	tshol	1	E039	HERBAL	H3	T+SH+OL	weiter eingetragen halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	weiter gefuellt halten	YES	weiter eingetragen halten	NO	weiter gefuellt halten	UNCHANGED_COMPOSITION	already built from productive components	weiter gefuellt halten	weiter gefuellt halten	NO	NONE	NONE	weiter gefuellt halten	NO
PROC027	428a5e3662aa57b4b256	schoal	1	E040	HERBAL	H3	SH+O+AL	an der Stelle halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	an der Stelle halten	NO	an der Stelle halten	NO	an der Stelle halten	UNCHANGED_COMPOSITION	already built from productive components	an der Stelle halten	an der Stelle halten	NO	NONE	NONE	an der Stelle halten	NO
PROC028	bdad9f9ea8b80f141496	cfhy	1	E041	HERBAL	H3	CFHY	auswringen	MEMORIZED_WHOLE_CARD	HERBAL_WHOLE_CARD	unchanged	UNIQUE_VALUE	write only card with this value	auswringen	NO	auswringen	NO	AUSWRINGEN	RETAIN	single learned PREPARE operation	AUSWRINGEN	AUSWRINGEN	NO	NONE	NONE	AUSWRINGEN	NO
PROC029	a8af08e69edab8e54f15	shfydaiin	1	E042	HERBAL	H3	SH+Y+AIIN	dies bis zum Maß halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	dies bis zum Maß halten	NO	dies bis zum Maß halten	NO	dies bis zum Maß halten	UNCHANGED_COMPOSITION	already built from productive components	dies bis zum Maß halten	dies bis zum Maß halten	NO	AIIN	SOLLMASS	dies bis zum Sollmaß halten	YES
PROC030	deb377381ceaf55ea310	cphy	1	E043	HERBAL	H3	P+Y	dies hineinführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	dies hineinführen	NO	dies hineinführen	NO	dies hineinführen	UNCHANGED_COMPOSITION	already built from productive components	dies hineinführen	dies hineinführen	NO	NONE	NONE	dies hineinführen	NO
PROC031	b5df9126607030b95175	cheey|shey	4	E044|E197|E203|E353	BIOLOGICAL|HERBAL	B2|B4|H3	WHOLE[cheey|shey]	Ergebnis	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS	unchanged	UNIQUE_VALUE	write only card with this value	Klarauszug	YES	Ergebnis	NO	ERGEBNISPOSTEN	REVISE	four COLLECT slots across Herbal and Bio; broader and shorter than clear extract	ERGEBNISPOSTEN	EMPFANGSBESTAND	YES	NONE	NONE	EMPFANGSBESTAND	NO
PROC032	2e2027b1951d79911e24	tchody	1	E045	HERBAL	H3	T+CH+O+DY	eintragen und entnehmen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	fuellen und abziehen; Schluss	YES	eintragen und abziehen; Schluss	YES	fuellen und abziehen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	fuellen und abziehen; Schluss	fuellen und abziehen; Schluss	NO	NONE	NONE	fuellen und abziehen; Schluss	NO
PROC033	577c03a928d674d420d7	shoyty	1	E046	HERBAL	H3	SH+O+Y+T+Y	dies halten und eintragen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	dies halten und fuellen	YES	dies halten und eintragen	NO	dies halten und fuellen	UNCHANGED_COMPOSITION	already built from productive components	dies halten und fuellen	dies halten und fuellen	NO	NONE	NONE	dies halten und fuellen	NO
PROC034	d665560c8ff80799a82c	dchol|schol	2	E047|E083	HERBAL	H3|H5	OL	fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	STATEMENT_POSITION	DCHOL/SCHOL for Herbal statement-entry resumption; ordinary OL inside	fortsetzen	NO	fortsetzen	NO	fortsetzen	UNCHANGED_COMPOSITION	already built from productive components	fortsetzen	fortsetzen	NO	NONE	NONE	fortsetzen	NO
PROC035	b2812c8283c3a62438bd	kchy	1	E049	HERBAL	H3	K+Y	dies zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	dies zuführen	NO	dies zuführen	NO	dies zuführen	UNCHANGED_COMPOSITION	already built from productive components	dies zuführen	dies zuführen	NO	NONE	NONE	dies zuführen	NO
PROC036	a48efd6c4491a046ba78	qotchy	1	E052	HERBAL	H3	OT+Y	nächster Posten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	RECORD_RENDERER	QOTCHY in H3; OTCHEY in H5 and B4	nächster Posten	NO	nächster Posten	NO	nächster Posten	UNCHANGED_COMPOSITION	already built from productive components	nächster Posten	nächster Posten	NO	NONE	NONE	nächster Posten	NO
PROC037	322281bd391aa621f568	okchol	1	E053	HERBAL	H3	OK+OL	weiter ansetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	weiter ansetzen	NO	weiter ansetzen	NO	weiter ansetzen	UNCHANGED_COMPOSITION	already built from productive components	weiter ansetzen	weiter ansetzen	NO	NONE	NONE	weiter ansetzen	NO
PROC038	b5fcea1eaed06b2f2291	okaiin|qokaiin	9	E056|E102|E180|E181|E219|E236|E243|E256|E270	BIOLOGICAL|HERBAL	B1|B2|B3|H4	OK+AIIN	bemessen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	bemessen	NO	bemessen	NO	bemessen	UNCHANGED_COMPOSITION	already built from productive components	bemessen	bemessen	NO	AIIN	SOLLMASS	Sollmaß setzen	YES
PROC039	403c1592f918c8f23b88	ykain	1	E058	HERBAL	H4	Y+K+AIN	eine Portion davon zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	LOCAL_CONTEXT	contract to YKAN on immediate repetition; otherwise YKAIN	eine Portion davon zuführen	NO	eine Portion davon zuführen	NO	eine Portion davon zuführen	UNCHANGED_COMPOSITION	already built from productive components	eine Portion davon zuführen	eine Portion davon zuführen	NO	AIN	PORTION	eine Stoffportion davon zuführen	YES
PROC040	d929a14ec45749b2e805	ykan	1	E059	HERBAL	H4	Y+K+AIN	eine Portion davon zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	LOCAL_CONTEXT	contract to YKAN on immediate repetition; otherwise YKAIN	eine Portion davon zuführen	NO	eine Portion davon zuführen	NO	eine Portion davon zuführen	UNCHANGED_COMPOSITION	already built from productive components	eine Portion davon zuführen	eine Portion davon zuführen	NO	AIN	PORTION	eine Stoffportion davon zuführen	YES
PROC041	97cc9ac109148723c472	ody	1	E060	HERBAL	H4	O+DY	Arbeitsgang abschließen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	Arbeitsgang abschließen	NO	Arbeitsgang abschließen	NO	Arbeitsgang abschließen	UNCHANGED_COMPOSITION	already built from productive components	Arbeitsgang abschließen	Arbeitsgang abschließen	NO	NONE	NONE	Arbeitsgang abschließen	NO
PROC042	6f7ff8287eddf4da9fdb	chdy|chedy	11	E062|E123|E145|E244|E252|E287|E304|E319|E328|E342|E372	BIOLOGICAL|HERBAL	B1|B3|B4|B5|H4	CHD+Y	dies umsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	LOCAL_CONTEXT	CHEDCHY before target-setting; otherwise CHDY/CHEDY	dies umsetzen	NO	dies umsetzen	NO	dies umsetzen	UNCHANGED_COMPOSITION	already built from productive components	dies umsetzen	dies umsetzen	NO	NONE	NONE	dies umsetzen	NO
PROC043	e026af581c99322fbd46	talam	1	E063	HERBAL	H4	TALAM	verwahren	MEMORIZED_WHOLE_CARD	HERBAL_WHOLE_CARD	unchanged	UNIQUE_VALUE	write only card with this value	verwahren	NO	verwahren	NO	VERWAHREN	RETAIN	single statement-final storage operation	VERWAHREN	VERWAHREN	NO	NONE	NONE	VERWAHREN	NO
PROC044	f7dc90b2c31fd341f0a4	ykaiin	1	E064	HERBAL	H4	Y+K+AIIN	dies auf Maß zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	dies auf Maß zuführen	NO	dies auf Maß zuführen	NO	dies auf Maß zuführen	UNCHANGED_COMPOSITION	already built from productive components	dies auf Maß zuführen	dies auf Maß zuführen	NO	AIIN	SOLLMASS	dies auf Sollmaß zuführen	YES
PROC045	807591efc3d3f7ddbfab	cheoar	1	E065	HERBAL	H4	CHEO+AR	Entnahme aus der Quelle	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION	unchanged	UNIQUE_VALUE	write only card with this value	Auszug aus der Quelle	NO	Auszug aus der Quelle	YES	Auszug aus der Quelle	UNCHANGED_COMPOSITION	already built from productive components	Auszug aus der Quelle	Auszug aus der Quelle	NO	NONE	NONE	Auszug aus der Quelle	NO
PROC046	2c1a5fd92b9e3c762242	cheeky	2	E066|E333	BIOLOGICAL|HERBAL	B4|H4	CHK+EE+Y	dies länger wärmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	RECORD_RENDERER	CHKEEY in B2; CHEEKY in H4 and B4	dies länger wärmen	NO	dies länger wärmen	NO	dies länger wärmen	UNCHANGED_COMPOSITION	already built from productive components	dies länger wärmen	dies länger wärmen	NO	NONE	NONE	dies länger wärmen	NO
PROC047	1b1ffdd869fb1429ad03	oldy	2	E067|E337	BIOLOGICAL|HERBAL	B4|H4	OL+DY	fortsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	fortsetzen; Schluss	NO	fortsetzen; Schluss	NO	fortsetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	fortsetzen; Schluss	fortsetzen; Schluss	NO	NONE	NONE	fortsetzen; Schluss	NO
PROC048	308e8ea2d5d190c498e8	okal|qokal	6	E069|E104|E152|E172|E186|E241	BIOLOGICAL|HERBAL	B1|B2|B3|H4	OK+AL	an die Stelle setzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	an die Stelle setzen	NO	an die Stelle setzen	NO	an die Stelle setzen	UNCHANGED_COMPOSITION	already built from productive components	an die Stelle setzen	an die Stelle setzen	NO	NONE	NONE	an die Stelle setzen	NO
PROC049	204b04837409088c48f9	oltchy	1	E070	HERBAL	H4	OL+T+Y	dies weiter eintragen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	dies weiter fuellen	YES	dies weiter eintragen	NO	dies weiter fuellen	UNCHANGED_COMPOSITION	already built from productive components	dies weiter fuellen	dies weiter fuellen	NO	NONE	NONE	dies weiter fuellen	NO
PROC050	6afeb5c9ab9f6cbdea0d	orain	1	E073	HERBAL	H4	OR+AIN	Ansatzportion	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	Ansatzportion	NO	Ansatzportion	NO	Ansatzportion	UNCHANGED_COMPOSITION	already built from productive components	Ansatzportion	Ansatzportion	NO	AIN	PORTION	Stoffportion des Ansatzes	YES
PROC051	b9d7b6d68209a9019e7a	chochor	1	E074	HERBAL	H5	HO+CH+OR	Gabe aus dem Ansatz entnehmen	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION	unchanged	UNIQUE_VALUE	write only card with this value	Zutat aus dem Ansatz abziehen	YES	Gabe aus dem Ansatz abziehen	YES	Zutat aus dem Ansatz abziehen	UNCHANGED_COMPOSITION	already built from productive components	Zutat aus dem Ansatz abziehen	Zutat aus dem Ansatz abziehen	NO	NONE	NONE	Zutat aus dem Ansatz abziehen	NO
PROC052	2cc054357a929df85f64	cho|sho	4	E075|E078|E088|E094	HERBAL	H5	HO	Gabe	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION	unchanged	UNIQUE_VALUE	write only card with this value	Zutat	YES	Gabe	NO	Zutat	UNCHANGED_COMPOSITION	already built from productive components	Zutat	Zutat	NO	NONE	NONE	Zutat	NO
PROC053	0ec6a45e2950e8e7061d	chodaly	1	E076	HERBAL	H5	HO+AL+Y	diese Gabe an die Stelle	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION	unchanged	UNIQUE_VALUE	write only card with this value	diese Zutat an die Stelle	YES	diese Gabe an die Stelle	NO	diese Zutat an die Stelle	UNCHANGED_COMPOSITION	already built from productive components	diese Zutat an die Stelle	diese Zutat an die Stelle	NO	NONE	NONE	diese Zutat an die Stelle	NO
PROC054	893c570f3fa3fce99711	kchol	1	E079	HERBAL	H5	K+OL	weiter zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	weiter zuführen	NO	weiter zuführen	NO	weiter zuführen	UNCHANGED_COMPOSITION	already built from productive components	weiter zuführen	weiter zuführen	NO	NONE	NONE	weiter zuführen	NO
PROC055	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	E082|E109|E156|E166|E214|E268|E272|E278|E359|E365	BIOLOGICAL|HERBAL	B1|B2|B3|B4|B5|H5	AL	Stelle	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Stelle	NO	Stelle	NO	Stelle	UNCHANGED_COMPOSITION	already built from productive components	Stelle	Stelle	NO	NONE	NONE	Stelle	NO
PROC056	c10aec6d4dd877ec8bd8	choy	1	E084	HERBAL	H5	HO+Y	diese Gabe	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION	unchanged	UNIQUE_VALUE	write only card with this value	diese Zutat	YES	diese Gabe	NO	diese Zutat	UNCHANGED_COMPOSITION	already built from productive components	diese Zutat	diese Zutat	NO	NONE	NONE	diese Zutat	NO
PROC057	95987d6f198d6d247511	cheeckhody	1	E086	HERBAL	H5	CH+EE+CKH+O+DY	länger durch den Durchgang; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	länger durch den Durchlass; Schluss	NO	länger durch den Durchlass; Schluss	YES	länger durch den Durchlass; Schluss	UNCHANGED_COMPOSITION	already built from productive components	länger durch den Durchlass; Schluss	länger durch den Durchlass; Schluss	NO	NONE	NONE	länger durch den Durchlass; Schluss	NO
