family_atlas_ordinal	template_id	template_period	physical_folio	source_selector	array_id	locus	slot_index	slot_count	kluge_a_member	complete_label_surface	label_token_count	zl_boundary_family	it_boundary_family	rf_boundary_family	zl_member_sequence	it_member_sequence	rf_member_sequence	member_sequence_max_support	member_sequence_agreement	canonical_boundary_family	canonical_compact_family	boundary_reader_support	compact_reader_support	boundary_supporting_editions	compact_supporting_editions	agreement_class	zl_group_count	it_group_count	rf_group_count	transferred_prefix	strict_residual	zl_alternative_sites	it_alternative_sites	rf_alternative_sites	zl_nearest_eva	it_nearest_eva	rf_nearest_eva	source_family_semantics	component_export_credit
11	T15	15	f70	f70v1	SCARR020|f70v1|S2	f70v1.6	5	10	10	otaly	1	AQABA	AQABA	AQABA	A1.Q2.A3.B2.A2	A1.Q2.A2.B2.A2	A1.Q2.A3.B2.A2	2	MEMBER_SEQUENCE_2OF3	AQABA	AQABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	A	0	0	0	otaly	otyly	otaly	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
12	T15	15	f70	f70v1	SCARR020|f70v1|S2	f70v1.7	6	10	11	oalcheg	1	AABKJB	AABKJB	AABKJB	A1.A3.B2.K1.J1.B4	A1.A3.B2.K1.J1.B4	A1.A3.B2.K1.J1.B4	3	ALL3_MEMBER_SEQUENCE	AABKJB	AABKJB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	AABKJB	0	0	0	oalcheg	oalcheg	oalcheg	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
13	T15	15	f70	f70v1	SCARR020|f70v1|S2	f70v1.8	7	10	12	otchodals	1	AQKABABC	AQKABABC	AQKABABC	A1.Q2.K1.A1.B1.A3.B2.C2	A1.Q2.K1.A1.B1.A3.B2.C2	A1.Q2.K1.A1.B1.A3.B2.C2	3	ALL3_MEMBER_SEQUENCE	AQKABABC	AQKABABC	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	AQKABABC	0	0	0	otchodals	otchodals	otchodals	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
14	T15	15	f70	f70v1	SCARR020|f70v1|S2	f70v1.9	8	10	13	okolshy	1	AQABLA	AQABLA	AQABLA	A1.Q1.A1.B2.L1.A2	A1.Q1.A1.B2.L1.A2	A1.Q1.A1.B2.L1.A2	3	ALL3_MEMBER_SEQUENCE	AQABLA	AQABLA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	LA	0	0	0	okolshy	okolshy	okolshy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
15	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.10	6	19	19	otald	1	AQABB	AQABB	AQABB	A1.Q2.A3.B2.B1	A1.Q2.A3.B2.B1	A1.Q2.A3.B2.Ba	2	MEMBER_SEQUENCE_2OF3	AQABB	AQABB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	B	0	0	0	otald	otald	otald	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
16	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.11	7	19	20	otaldar	1	AQABBAC	AQAB|BAC	AQABBAC	A1.Q2.A3.B2.B1.A3.C1	A1.Q2.A3.B2|B1.A3.C1	A1.Q2.A3.B2.B1.A3.C1	2	MEMBER_SEQUENCE_2OF3	AQABBAC	AQABBAC	2	3	RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_FAMILY__BOUNDARY_2OF3	1	2	1	AQAB	BAC	0	0	0	otaldar	otal dar	otaldar	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
17	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.12	8	19	21	okody	1	AQABA	AQABA	AQABA	A1.Q1.A1.B1.A2	A1.Q1.A1.B1.A2	A1.Q1.A1.Ba.A2	2	MEMBER_SEQUENCE_2OF3	AQABA	AQABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	A	0	0	0	okody	okody	okody	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
18	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.13	9	19	22	opysam	1	APACAB	APAC|AB	APACAB	A1.P1.A2.C2.A3.B3	A1.P1.A2.C2|A3.B3	A1.P1.A2.C2.A3.B3	2	MEMBER_SEQUENCE_2OF3	APACAB	APACAB	2	3	RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_FAMILY__BOUNDARY_2OF3	1	2	1	APAC	AB	0	0	0	opysam	opys am	opysam	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
19	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.14	10	19	23	chy	1	KWA	KWA	KWA	K1.W1.A2	K1.W1.A2	K1.W1.A2	3	ALL3_MEMBER_SEQUENCE	KWA	KWA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	KWA	0	0	0	chckhhy	chckhhy	chckhhy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
20	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.15	11	19	24	otaly	1	AQABA	AQABA	AQABA	A1.Q2.A3.B2.A2	A1.Q2.A3.B2.A2	A1.Q2.A3.B2.A2	3	ALL3_MEMBER_SEQUENCE	AQABA	AQABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	A	0	0	0	otaly	otaly	otaly	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
21	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.16	12	19	25	otal arar	2	AQAB|ACAC	AQAB|CAC	AQAB|ACAC	A1.Q2.A3.B2|A3.C1.A3.C1	A1.Q2.A3.B2|C1.A3.C1	A1.Q2.A3.B2|A3.C1.A3.C1	2	MEMBER_SEQUENCE_2OF3	AQAB|ACAC	AQABACAC	2	2	RF1b|ZL3b	RF1b|ZL3b	FAMILY_2OF3	2	2	2	AQAB	|ACAC	0	0	0	otal arar	otal rar	otal arar	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
22	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.17	13	19	26	otaldy	1	AQABBA	AQAB|BA	AQABBA	A1.Q2.A3.B2.B1.A2	A1.Q2.A3.B2|B1.A2	A1.Q2.A3.B2.Ba.A2	1	MEMBER_SEQUENCE_ALL_DIFFERENT	AQABBA	AQABBA	2	3	RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_FAMILY__BOUNDARY_2OF3	1	2	1	AQAB	BA	0	0	0	otaldy	otal dy	otaldy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
23	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.18	14	19	27	okeoly	1	AQJABA	AQJABA	AQJABA	A1.Q1.J1.A1.B2.A2	A1.Q1.J1.A1.B2.A2	A1.Q1.J1.A1.B2.A2	3	ALL3_MEMBER_SEQUENCE	AQJABA	AQJABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	AQJABA	0	0	0	okeoly	okeoly	okeoly	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
24	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.19	15	19	28	okydy	1	AQABA	AQABA	AQABA	A1.Q1.A2.B1.A2	A1.Q1.A2.B1.A2	A1.Q1.A2.B1.A2	3	ALL3_MEMBER_SEQUENCE	AQABA	AQABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	A	0	0	0	okydy	okydy	okydy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
25	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.2	17	19	11	otalalg	1	AQABABB	AQABABB	AQABABB	A1.Q2.A3.B2.A3.B2.B4	A1.Q2.A3.B2.A3.B2.B4	A1.Q2.A3.B2.A3.B2.B4	3	ALL3_MEMBER_SEQUENCE	AQABABB	AQABABB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	ABB	0	0	0	otalalg	otalalg	otalalg	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
26	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.20	16	19	29	okees	1	AQKC	AQKC	AQKC	A1.Q1.K2.C2	A1.Q1.K2.C2	A1.Q1.K2.C2	3	ALL3_MEMBER_SEQUENCE	AQKC	AQKC	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	AQKC	1	0	0	okees	okees	okees	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
27	T30	30	f70	f70v2	SCARR019|f70v2|S1	f70v2.22	10	10	1	otar am	2	AQAC|AB	CAC|AB	AQAC|AB	A1.Q2.A3.C1|A3.B3	C2.A3.C1|A3.B3	A3.Q2.A3.C1|A3.B3	1	MEMBER_SEQUENCE_ALL_DIFFERENT	AQAC|AB	AQACAB	2	2	RF1b|ZL3b	RF1b|ZL3b	FAMILY_2OF3	2	2	2	AQAC	|AB	0	0	0	otar am	sar am	atar am	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
28	T30	30	f70	f70v2	SCARR019|f70v2|S1	f70v2.23	1	10	2	otar al	2	AQAC|AB	AQACAB	AQACAB	A1.Q2.A3.C1|A3.B2	A1.Q2.A3.C1.A3.B2	A1.Q2.A3.C1.A3.B2	2	MEMBER_SEQUENCE_2OF3	AQACAB	AQACAB	2	3	IT2a|RF1b	IT2a|RF1b|ZL3b	ALL3_FAMILY__BOUNDARY_2OF3	2	1	1	AQAC	AB	0	0	0	otar al	otaral	otaral	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
29	T30	30	f70	f70v2	SCARR019|f70v2|S1	f70v2.24	2	10	3	otalar	1	AQABAC	AQABAC	AQABAC	A1.Q2.A3.B2.A3.C1	A1.Q2.A3.B2.A3.C1	A1.Q2.A3.B2.A3.C1	3	ALL3_MEMBER_SEQUENCE	AQABAC	AQABAC	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	AC	0	0	0	otalar	otalar	otalar	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
30	T30	30	f70	f70v2	SCARR019|f70v2|S1	f70v2.25	3	10	4	otalam	1	AQABAB	AQABAB	AQABAB	A1.Q2.A3.B2.A3.B3	A1.Q2.A3.B2.A3.B3	A1.Q2.A3.B2.A3.B3	3	ALL3_MEMBER_SEQUENCE	AQABAB	AQABAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	AB	0	0	0	otalam	otalam	otalam	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
31	T30	30	f70	f70v2	SCARR019|f70v2|S1	f70v2.26	4	10	5	dolaram	1	BABACAB	BABACAB	BABACAB	B1.A1.B2.A3.C1.A3.B3	B1.A1.B2.A3.C1.A3.B3	B1.A1.B2.A3.C1.A3.B3	3	ALL3_MEMBER_SEQUENCE	BABACAB	BABACAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	BABACAB	0	0	0	dolaram	dolaram	dolaram	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
32	T30	30	f70	f70v2	SCARR019|f70v2|S1	f70v2.27	5	10	6	okaram	1	AQACAB	AQACAB	AQACAB	A1.Q1.A3.C1.A3.B3	A1.Q1.A3.C1.A3.B3	A1.Q1.A3.C1.A3.B3	3	ALL3_MEMBER_SEQUENCE	AQACAB	AQACAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAC	AB	0	0	0	okaram	okaram	okaram	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
33	T30	30	f70	f70v2	SCARR019|f70v2|S1	f70v2.28	6	10	7	oteosal	1	AQJACAB	AQJACAB	AQJACAB	A1.Q2.J1.A1.C2.A3.B2	A1.Q2.J1.A1.C2.A3.B2	A1.Q2.J1.A1.C2.A3.B2	3	ALL3_MEMBER_SEQUENCE	AQJACAB	AQJACAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	AQJACAB	0	0	0	oteosal	oteosal	oteosal	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
34	T30	30	f70	f70v2	SCARR019|f70v2|S1	f70v2.29	7	10	8	salols	1	CABABC	CABABC	CABABC	C2.A3.B2.A1.B2.C2	C2.A3.B2.A1.B2.C2	C2.A3.B2.A1.B2.C2	3	ALL3_MEMBER_SEQUENCE	CABABC	CABABC	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	CABABC	0	0	0	salols	salols	salols	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
35	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.3	18	19	12	ykary	1	AQACA	AQACA	AQACA	A2.Q1.A3.C1.A2	A1.Q1.A3.C2.A2	A1.Q1.A3.C2.A2	2	MEMBER_SEQUENCE_2OF3	AQACA	AQACA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAC	A	0	0	0	ykary	okasy	okasy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
36	T30	30	f70	f70v2	SCARR019|f70v2|S1	f70v2.30	8	10	9	okaldal	1	AQABBAB	AQABBAB	AQABBAB	A1.Q1.A3.B2.B1.A3.B2	A1.Q1.A3.B2.B1.A3.B2	A1.Q1.A3.B2.B1.A3.B2	3	ALL3_MEMBER_SEQUENCE	AQABBAB	AQABBAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	BAB	0	0	0	okaldal	okaldal	okaldal	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
37	T30	30	f70	f70v2	SCARR019|f70v2|S1	f70v2.31	9	10	10	ykolaiin	1	AQABAG	AQABAG	AQABAG	A2.Q1.A1.B2.A3.G1	A2.Q1.A1.B2.A3.G1	A2.Q1.A1.B2.A3.G1	3	ALL3_MEMBER_SEQUENCE	AQABAG	AQABAG	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	AG	0	0	0	ykolaiin	ykolaiin	ykolaiin	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
38	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.4	19	19	13	otar	1	AQACZ	AQAC	AQACZ	A1.Q2.A3.C1.Z1	A1.Q2.A3.C1	A1.Q2.A3.C1.Z1	2	MEMBER_SEQUENCE_2OF3	AQACZ	AQACZ	2	2	RF1b|ZL3b	RF1b|ZL3b	FAMILY_2OF3	1	1	1	AQAC	Z	0	0	0	otar?	otar	otar?	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
39	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.5	1	19	14	oty	1	AQA	AQA	AQA	A1.Q2.A2	A1.Q2.A2	A1.Q2.A2	3	ALL3_MEMBER_SEQUENCE	AQA	AQA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQA	EMPTY	0	0	0	oty	oty	oty	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
40	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.6	2	19	15	oky ody	2	AQA|ABA	AQA|ABA	AQA|ABA	A1.Q1.A2|A1.B1.A2	A1.Q1.A2|A1.B1.A2	A1.Q1.A2|A1.Ba.A2	2	MEMBER_SEQUENCE_2OF3	AQA|ABA	AQAABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	2	2	2	AQA	|ABA	0	0	0	oky ody	oky ody	oky ody	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
41	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.7	3	19	16	oty ar	2	AQA|AC	AQA|AC	AQA|AC	A1.Q2.A2|A3.C1	A1.Q2.A2|A1.C1	A1.Q2.A2|A3.C1	2	MEMBER_SEQUENCE_2OF3	AQA|AC	AQAAC	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	2	2	2	AQA	|AC	0	0	0	oty ar	oty or	oty ar	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
42	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.8	4	19	17	okala	1	AQABA	AQABA	AQABA	A1.Q1.A3.B2.A3	A1.Q1.A3.B2.A2	A1.Q1.A3.B2.A2	2	MEMBER_SEQUENCE_2OF3	AQABA	AQABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	A	0	0	0	okala	okaly	okaly	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
