page	record_ordinal	field_serial_in_record	locus	visible_field	event_count	technical_primary_function	technical_secondary_functions	technical_card_expansion_German	complete_field_expansion_German	closure	coverage_status
f55v	1	2	f55v.5	daiin chedy talam	3	MENGE ODER MASS	WASSERWEG, SPÜLUNG ODER ABLASS; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	ein vorgeschriebenes Maß | rühre bis zur gleichmäßigen Mischung | spüle die zu reinigende Stelle einmal	MENGE ODER MASS: ein vorgeschriebenes Maß; rühre bis zur gleichmäßigen Mischung; spüle die zu reinigende Stelle einmal. (abgeschlossene Arbeitszelle)	B3	COMPLETE_NONMEDICAL_DEFAULT
f55v	1	3	f55v.11	ykaiin cheoar cheeky oldy	4	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	für den zweiten Badehausgebrauch | gib Weißwein als Auszugsmittel zu | solange es noch warm ist | siede sanft; schließe die Zelle	WÄRME, KÜHLUNG ODER RUHE: für den zweiten Badehausgebrauch; gib Weißwein als Auszugsmittel zu; solange es noch warm ist; siede sanft; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f55v	1	4	f55v.11	aiin okal oltchy or y orain	6	MENGE ODER MASS	AKTUELLE ARBEITSFLÜSSIGKEIT; AKTIVER ARBEITSPOSTEN; EINSATZ AM BECKEN ODER AN DER STATION	ein vorgeschriebenes Maß | mische beide Portionen zusammen | bewahre es in einem bedeckten Gefäß | die bereitete Arbeitsflüssigkeit | dieser aktive Arbeitsposten | verwende die fertige Flüssigkeit frisch	MENGE ODER MASS: ein vorgeschriebenes Maß; mische beide Portionen zusammen; bewahre es in einem bedeckten Gefäß; die bereitete Arbeitsflüssigkeit; dieser aktive Arbeitsposten; verwende die fertige Flüssigkeit frisch. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f56r	1	1	f56r.5	chochor cho chodaly daiin	4	MENGE ODER MASS	ROHSTOFF ODER ANLAGENTEIL; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	sammle die Pflanze im Frühjahr | nimm dann den folgenden Zusatz oder Pflanzenteil | die dünne untere Wurzel | ein vorgeschriebenes Maß	MENGE ODER MASS: sammle die Pflanze im Frühjahr; nimm dann den folgenden Zusatz oder Pflanzenteil; die dünne untere Wurzel; ein vorgeschriebenes Maß. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f56r	1	2	f56r.7	sho kchol otchor choky dal	5	AUSZUFÜHRENDER ARBEITSGANG	ZIELBECKEN ODER ARBEITSSTATION; EINSATZ AM BECKEN ODER AN DER STATION; ROHSTOFF ODER ANLAGENTEIL; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	nimm dann den folgenden Zusatz oder Pflanzenteil | lasse es in Weißwein ausziehen | vor der Blüte gesammelt | verwende die aktive Portion im laufenden Arbeitsgang | führe den Arbeitsstrom zur bezeichneten Station	AUSZUFÜHRENDER ARBEITSGANG: nimm dann den folgenden Zusatz oder Pflanzenteil; lasse es in Weißwein ausziehen; vor der Blüte gesammelt; verwende die aktive Portion im laufenden Arbeitsgang; führe den Arbeitsstrom zur bezeichneten Station. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f56r	1	3	f56r.8	schol choy choky cheeckhody	4	AUSZUFÜHRENDER ARBEITSGANG	WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ROHSTOFF ODER ANLAGENTEIL	von diesem abgebildeten Badezusatz | die auf feuchter schattiger Heide wächst | verwende die aktive Portion im laufenden Arbeitsgang | lasse den Kräuterpack offen trocknen	AUSZUFÜHRENDER ARBEITSGANG: von diesem abgebildeten Badezusatz; die auf feuchter schattiger Heide wächst; verwende die aktive Portion im laufenden Arbeitsgang; lasse den Kräuterpack offen trocknen. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f56r	1	4	f56r.12	sh cho kchey qokokchy	4	ROHSTOFF ODER ANLAGENTEIL	ARBEITSFLÜSSIGKEIT ODER ZUSATZ	ihren kleinen Samen- oder Knospenkopf | nimm dann den folgenden Zusatz oder Pflanzenteil | das getrocknete schmale Blatt | trockne es im Schatten	ROHSTOFF ODER ANLAGENTEIL: ihren kleinen Samen- oder Knospenkopf; nimm dann den folgenden Zusatz oder Pflanzenteil; das getrocknete schmale Blatt; trockne es im Schatten. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f56r	1	5	f56r.13	okchy chokcheo kchal	3	EINSATZ AM BECKEN ODER AN DER STATION	VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	verwende den frisch bereiteten Badezusatz | prüfe eine kleine Probe auf Stärke und Verträglichkeit | halte den Rest trocken im Schatten	EINSATZ AM BECKEN ODER AN DER STATION: verwende den frisch bereiteten Badezusatz; prüfe eine kleine Probe auf Stärke und Verträglichkeit; halte den Rest trocken im Schatten. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f56r	1	6	f56r.18	sho chokchy kchoar sotodan	4	EINSATZ AM BECKEN ODER AN DER STATION	ROHSTOFF ODER ANLAGENTEIL; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	nimm dann den folgenden Zusatz oder Pflanzenteil | verwende den frisch bereiteten Badezusatz | mische es mit Honig als Bindemittel | verwende es frisch gemischt	EINSATZ AM BECKEN ODER AN DER STATION: nimm dann den folgenden Zusatz oder Pflanzenteil; verwende den frisch bereiteten Badezusatz; mische es mit Honig als Bindemittel; verwende es frisch gemischt. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f56r	1	7	f56r.19	otchey keol daiin	3	AUSWAHL DES BEZEICHNETEN ANTEILS	MENGE ODER MASS; ROHSTOFF ODER ANLAGENTEIL	nimm den bezeichneten Anteil | die blasse geöffnete Blüte | ein vorgeschriebenes Maß	AUSWAHL DES BEZEICHNETEN ANTEILS: nimm den bezeichneten Anteil; die blasse geöffnete Blüte; ein vorgeschriebenes Maß. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	1	f81v.2	qokedy	1	WASSERWEG, SPÜLUNG ODER ABLASS	VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	2	f81v.2	okaiin kair okal sar ol kain olkain al ol rol dl	11	HERKUNFT DES ANSATZES	VORANSATZ ODER RÜCKLAUF; ZIELBECKEN ODER ARBEITSSTATION; WÄRME, KÜHLUNG ODER RUHE; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	beginne den nächsten abgemessenen Arbeitsposten | der Rücklauf | mische beide Portionen zusammen | daraus, aus demselben Ansatz | arbeite mit dem vorigen Ansatz weiter | eine gemessene Portion | das untere Becken | führe den Arbeitsstrom zur bezeichneten Station | arbeite mit dem vorigen Ansatz weiter | bevor der Ansatz erkaltet | das bereitete Öl	HERKUNFT DES ANSATZES: beginne den nächsten abgemessenen Arbeitsposten; der Rücklauf; mische beide Portionen zusammen; daraus, aus demselben Ansatz; arbeite mit dem vorigen Ansatz weiter; eine gemessene Portion; das untere Becken; führe den Arbeitsstrom zur bezeichneten Station; arbeite mit dem vorigen Ansatz weiter; bevor der Ansatz erkaltet; das bereitete Öl. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	3	f81v.7	olor ol sheckhal daiin qokeedal daiin chckhy schedy	8	VORANSATZ ODER RÜCKLAUF	MENGE ODER MASS; WASSERWEG, SPÜLUNG ODER ABLASS; EINSATZ AM BECKEN ODER AN DER STATION	entnimm es aus dem vorigen Ansatz | arbeite mit dem vorigen Ansatz weiter | eine mäßige Menge | ein vorgeschriebenes Maß | der eingetauchte Teil | ein vorgeschriebenes Maß | durch die verbundenen Wasserläufe | spüle das gebrauchte Gefäß oder den Wasserlauf einmal durch; beende die Zelle	VORANSATZ ODER RÜCKLAUF: entnimm es aus dem vorigen Ansatz; arbeite mit dem vorigen Ansatz weiter; eine mäßige Menge; ein vorgeschriebenes Maß; der eingetauchte Teil; ein vorgeschriebenes Maß; durch die verbundenen Wasserläufe; spüle das gebrauchte Gefäß oder den Wasserlauf einmal durch; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	4	f81v.7	qol	1	VORANSATZ ODER RÜCKLAUF	ANLAGEN- ODER DURCHLAUFDETAIL	arbeite mit dem vorigen Ansatz weiter	VORANSATZ ODER RÜCKLAUF: arbeite mit dem vorigen Ansatz weiter. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	5	f81v.17	sshkchdy	1	WÄRME, KÜHLUNG ODER RUHE		halte es warm; schließe die Zelle	WÄRME, KÜHLUNG ODER RUHE: halte es warm; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	6	f81v.17	chedy ol shedy	3	VORANSATZ ODER RÜCKLAUF	WÄRME, KÜHLUNG ODER RUHE	rühre bis zur gleichmäßigen Mischung | arbeite mit dem vorigen Ansatz weiter | lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle	VORANSATZ ODER RÜCKLAUF: rühre bis zur gleichmäßigen Mischung; arbeite mit dem vorigen Ansatz weiter; lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	7	f81v.17	qolchedy	1	ARBEITSFLÜSSIGKEIT ODER ZUSATZ		stelle die gemischte Flüssigkeit im bedeckten Auffanggefäß zurück; beende die Zelle	ARBEITSFLÜSSIGKEIT ODER ZUSATZ: stelle die gemischte Flüssigkeit im bedeckten Auffanggefäß zurück; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	8	f81v.17	qokain shckhy dl ral	4	WASSERWEG, SPÜLUNG ODER ABLASS	WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	gib eine gemessene Portion in das Gefäß | durch die verbundenen Wasserläufe | das bereitete Öl | und lasse ihn abkühlen	WASSERWEG, SPÜLUNG ODER ABLASS: gib eine gemessene Portion in das Gefäß; durch die verbundenen Wasserläufe; das bereitete Öl; und lasse ihn abkühlen. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	9	f81v.18	qokchdy	1	WÄRME, KÜHLUNG ODER RUHE		erhitze einmal; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: erhitze einmal; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	10	f81v.18	chey ol cheky ol shedy	5	AKTIVER ARBEITSPOSTEN	VORANSATZ ODER RÜCKLAUF; WÄRME, KÜHLUNG ODER RUHE	dieser aktive Arbeitsposten | arbeite mit dem vorigen Ansatz weiter | über sanfter Wärme | arbeite mit dem vorigen Ansatz weiter | lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle	AKTIVER ARBEITSPOSTEN: dieser aktive Arbeitsposten; arbeite mit dem vorigen Ansatz weiter; über sanfter Wärme; arbeite mit dem vorigen Ansatz weiter; lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	11	f81v.18	qokedy	1	WASSERWEG, SPÜLUNG ODER ABLASS	VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	12	f81v.18	qokedy	1	WASSERWEG, SPÜLUNG ODER ABLASS	VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	13	f81v.18	chckhy qoky	2	AUSZUFÜHRENDER ARBEITSGANG	WASSERWEG, SPÜLUNG ODER ABLASS; EINSATZ AM BECKEN ODER AN DER STATION	durch die verbundenen Wasserläufe | verwende die aktive Portion im laufenden Arbeitsgang	AUSZUFÜHRENDER ARBEITSGANG: durch die verbundenen Wasserläufe; verwende die aktive Portion im laufenden Arbeitsgang. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	14	f81v.21	lsho qokey lshedy	3	WASSERWEG, SPÜLUNG ODER ABLASS	WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	beginne die Spülung | warmes Wasser | spüle einmal; schließe diesen Durchlauf	WASSERWEG, SPÜLUNG ODER ABLASS: beginne die Spülung; warmes Wasser; spüle einmal; schließe diesen Durchlauf. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	15	f81v.21	lshedy	1	WASSERWEG, SPÜLUNG ODER ABLASS		spüle einmal; schließe diesen Durchlauf	WASSERWEG, SPÜLUNG ODER ABLASS: spüle einmal; schließe diesen Durchlauf. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	16	f81v.21	chedy qolky lchedal qol otar	5	VORANSATZ ODER RÜCKLAUF	WASSERWEG, SPÜLUNG ODER ABLASS; EINSATZ AM BECKEN ODER AN DER STATION; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	rühre bis zur gleichmäßigen Mischung | die zu bedienende Badestelle | das untere Becken | arbeite mit dem vorigen Ansatz weiter | benutze dann den unteren Auslass	VORANSATZ ODER RÜCKLAUF: rühre bis zur gleichmäßigen Mischung; die zu bedienende Badestelle; das untere Becken; arbeite mit dem vorigen Ansatz weiter; benutze dann den unteren Auslass. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	17	f81v.24	ytey okchedy	2	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION	fülle dann das Gefäß | lasse es abkühlen; schließe die Zelle	WÄRME, KÜHLUNG ODER RUHE: fülle dann das Gefäß; lasse es abkühlen; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	18	f81v.24	qokal okeey qol cheedy	4	VORANSATZ ODER RÜCKLAUF	WÄRME, KÜHLUNG ODER RUHE; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	mische beide Portionen zusammen | tempere die Arbeitsflüssigkeit und halte sie lauwarm | arbeite mit dem vorigen Ansatz weiter | lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle	VORANSATZ ODER RÜCKLAUF: mische beide Portionen zusammen; tempere die Arbeitsflüssigkeit und halte sie lauwarm; arbeite mit dem vorigen Ansatz weiter; lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	19	f81v.24	sal teol dchdy	3	ZIELBECKEN ODER ARBEITSSTATION	WASSERWEG, SPÜLUNG ODER ABLASS	führe den Arbeitsstrom zur bezeichneten Station | die erste Öffnung | seihe es klar; schließe die Zelle	ZIELBECKEN ODER ARBEITSSTATION: führe den Arbeitsstrom zur bezeichneten Station; die erste Öffnung; seihe es klar; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	20	f81v.24	ly	1	EINSATZ AM BECKEN ODER AN DER STATION		fülle dann das Gefäß	EINSATZ AM BECKEN ODER AN DER STATION: fülle dann das Gefäß. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	21	f81v.27	dsheol oiiin olkeedy	3	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	bringe den Zusatz an der bezeichneten Badestelle ein | bis zur Klarheit | lasse die Flüssigkeit absetzen; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: bringe den Zusatz an der bezeichneten Badestelle ein; bis zur Klarheit; lasse die Flüssigkeit absetzen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	22	f81v.27	tedy	1	WÄRME, KÜHLUNG ODER RUHE		lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	23	f81v.27	cheky shckhedy	2	WASSERWEG, SPÜLUNG ODER ABLASS	WÄRME, KÜHLUNG ODER RUHE	über sanfter Wärme | seihe es einmal durch Tuch; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: über sanfter Wärme; seihe es einmal durch Tuch; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f81v	1	24	f81v.27	chal	1	ZIELBECKEN ODER ARBEITSSTATION	ANLAGEN- ODER DURCHLAUFDETAIL	führe den Arbeitsstrom zur bezeichneten Station	ZIELBECKEN ODER ARBEITSSTATION: führe den Arbeitsstrom zur bezeichneten Station. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	1	f82r.2	dchedy	1	WASSERWEG, SPÜLUNG ODER ABLASS	EINSATZ AM BECKEN ODER AN DER STATION	spüle das gebrauchte Gefäß oder den Wasserlauf einmal durch; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: spüle das gebrauchte Gefäß oder den Wasserlauf einmal durch; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	2	f82r.2	qolchedy	1	ARBEITSFLÜSSIGKEIT ODER ZUSATZ		stelle die gemischte Flüssigkeit im bedeckten Auffanggefäß zurück; beende die Zelle	ARBEITSFLÜSSIGKEIT ODER ZUSATZ: stelle die gemischte Flüssigkeit im bedeckten Auffanggefäß zurück; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
