surface	occurrence_count	physical_pages	source_kinds	direct_visible_recipe	selection_status	admission_color	genuinely_new_to_old_26_pages	old_local_surface_contact	old_local_recipes	direct_recipe_matches_old_local_recipe	best_shared_context_score	best_context_source_count	distinct_best_candidate_recipe_count	direct_recipe_seen_in_best_candidates	candidate_recipes_by_weight	supporting_surfaces_for_direct_recipe	new_portable_atom_count	local_opaque_atoms	working_policy	guard
cholpchd	1	f66r	P/0	OL+P+CHD	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	16	16	NO	CH+O+CH+T+Y+D_ADDR::2 | CH+OR+CH+Y+D_ADDR::2 | CH+OT+EE+Y+D_ADDR::2 | HO+CH+K+Y+D_ADDR::2 | OK+CH+Y+D_ADDR::2 | OK+EE+Y+D_ADDR::2 | CH+O+CH+LOCAL_CHAR_F+Y+D_ADDR::1 | CH+O+D_ADDR+AIN+D_ADDR::1 | CH+O+S+AL+S+D_ADDR::1 | HO+AL+Y+D_ADDR::1 | HO+CH+OR+D_ADDR::1 | OK+AL+SH::1 | OK+AL+Y+D_ADDR::1 | OK+E+OL+D_ADDR::1 | OK+EE+S+D_ADDR::1 | OR+AIN+D_ADDR::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
choraiin	1	f4r	P/0	CH+OR+AIIN	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	7	4	4	NO	CH+O+R+AIIN::5 | OK+R+AIIN::1 | OR+LOCAL_CHAR_I+AIN::1 | OT+R+AIIN::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
choraly	1	f20v	P/0	CH+OR+AL+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	2	2	NO	HO+R+AL+Y::1 | OK+R+AL+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chory	1	f20v	P/0	CH+OR+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	8	6	YES	CH+OR+Y::24 | CH+O+R+Y::8 | CH+OT+R+Y::4 | OK+R+Y::4 | OR+Y::4 | HO+Y+R::2	chor|shory	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chpady	1	f4r	P/0	CH+P+A_ADDR+DY	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	3	3	NO	CHD+A_ADDR+Y::90 | CH+O+A_ADDR+D_ADDR+Y::8 | CH+S+A_ADDR+DY::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chxar	1	f66r	P/0	CH+LOCAL_NAME_CORE_X+AR	NEW_LOCAL_NAME_CORE_WITH_VISIBLE_SHELL	AMBER	YES	NO	NONE	NO	4	2	1	NO	CH+X+AR::7	NONE	0	LOCAL_NAME_CORE_X	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ckhochy	1	f4r	P/0	CH+K+O+CH+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	2	2	NO	CH+K+O+SH+DY::1 | K+HO+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cphaiin	1	f4r	P/0	CH+P+AIIN	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	3	3	YES	P+CH+AIIN::4 | CH+P+AIIN::3 | P+CH+LOCAL_CHAR_F+AIIN::1	cthaiin	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cpholdy	1	f4r	P/0	CH+P+OL+DY	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	3	3	YES	CH+P+LOCAL_CHAR_F+OL+DY::1 | CH+P+OL+DY::1 | P+OL+Y::1	cphaldy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cthdy	1	f66r	P/0	CH+T+D_ADDR+Y	NEW_VISIBLE_COMPOSITION	AMBER	YES	NO	NONE	NO	4	3	2	NO	CH+T+Y::17 | T+CHD+Y::16	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cthom	1	f4r	P/0	CH+T+O+M_LOCAL	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	4	4	YES	CH+T+M_LOCAL+OL::6 | CH+T+M_LOCAL+OR::2 | CH+T+O+M_LOCAL::2 | T+HO+M_LOCAL::2	ctho	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
da	1	f31r	P/0	DA	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	2	2	2	NO	D_ADDR+AR::47 | AL::44	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
daiir	2	f31r|f66r	P/0	DA+IIN+R	OLD_LOCAL_SURFACE_NEW_RUNNING_CONTEXT_VISIBLE_RESEGMENTATION	GREEN	NO	YES	DA+IIN+R	YES	4	3	3	NO	IIN+R::100 | D_ADDR+LOCAL_CHAR_I+AIR::9 | D_ADDR+A_ADDR+IIN+R::2	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dairal	1	f66r	P/0	D_ADDR+AIR+AL	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	2	2	YES	D_ADDR+AIR+AL::1 | D_ADDR+AIR+A_ADDR+L+AM_ADDR::1	sairal	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dairody	1	f66r	P/0	D_ADDR+AIR+O+DY	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	1	1	NO	AIR+O+DY::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dairykodas	1	f66r	P/0	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	1	1	NO	D_ADDR+AIR+O+D_ADDR+AIN+S::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dalalshedy	1	f66r	P/0	AL+AL+SH+E+DY	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	1	1	NO	CH+OR+L+SH+E+DY::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dalcheeeky	1	f66r	P/0	AL+CH+EEE+K+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	1	1	NO	O+LOCAL_CHAR_F+A_ADDR+L+SH+EEE+K+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dalky	1	f66r	P/0	AL+K+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	2	2	NO	AL+K+DY::4 | AL+Y+K::3	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dalol	1	f66r	P/0	AL+OL	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	4	3	YES	AL+OL::2 | D_ADDR+AL+O+L::2 | D_ADDR+AL+OL::1	alol|dalal	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dard	1	f66r	P/0	D_ADDR+AR+D_ADDR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	1	1	YES	D_ADDR+AR+D_ADDR::1	darod	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dcheey	1	f31r	P/0	D_ADDR+CH+EE+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	1	1	YES	D_ADDR+CH+EE+Y::1	dcheedy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dcheol	1	f66r	P/0	D_ADDR+CH+E+O+L	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	7	3	YES	D_ADDR+CH+E+O+L::34 | D_ADDR+E+OL::3 | CH+E+OL::2	cheol|dcheo|dcheor|ocheol|tcheol	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dkar	1	f66r	P/0	D_ADDR+K+AR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	5	2	YES	D_ADDR+K+AR::55 | D_ADDR+OK+AR::19	dar|kar|lkar|skar	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
doiiin	1	f20v	P/0	D_ADDR+O+IIN	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	6	5	YES	DA+IIN::5 | D_ADDR+O+IIN::5 | D_ADDR+LOCAL_CHAR_I+O+IIN::2 | D_ADDR+O+LOCAL_CHAR_I+IIN::2 | D_ADDR+LOCAL_CHAR_I+O+AIIN::1	loiiin|oiiin	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dolarshy	1	f66r	P/0	D_ADDR+OL+AR+SH+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	1	1	NO	D_ADDR+OL+K+S+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
doly	1	f66r	L/0	D_ADDR+OL+Y	OLD_LOCAL_SURFACE_NEW_RUNNING_CONTEXT_VISIBLE_RESEGMENTATION	LOCAL	NO	YES	LOCAL_ADDRESS	NO	4	2	2	YES	D_ADDR+OL+Y::1 | OL+Y::1	ydoly	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dsholdaiir	1	f66r	P/0	D_ADDR+SH+OL+D_ADDR+IIN+R	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	1	5	5	NO	D_ADDR+AIR+O+D_ADDR+AIN+R::1 | D_ADDR+CH+E+O+K+E+D_ADDR+Y+R::1 | OT+CH+O+SH+LOCAL_CHAR_I+OR::1 | P+OT+CH+OK+LOCAL_CHAR_I+OR::1 | SH+OL+LOCAL_CHAR_F+CH+LOCAL_CHAR_I+OR::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dyky	1	f66r	P/0	D_ADDR+Y+K+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	2	1	YES	D_ADDR+Y+K+Y::2	dky|yky	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dytcheey	1	f4r	P/0	D_ADDR+Y+T+CH+EE+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	2	2	NO	CARRIER_Q+T+O+CH+EE+Y::2 | AR+T+CH+EE+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
f	4	f66r	L/0	LOCAL_CHAR_F	NEW_VISIBLE_COMPOSITION	LOCAL	YES	NO	NONE	NO	0	8	2	NO	F::110 | F+LOCAL_CHAR_G::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
faiis	1	f20v	P/0	LOCAL_CHAR_F+IIN+S	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	1	13	13	NO	CH+E+LOCAL_CHAR_I+S::6 | CH+O+LOCAL_CHAR_I+S::5 | SH+O+LOCAL_CHAR_I+S::2 | AL+S+LOCAL_CHAR_I::1 | CH+A_ADDR+LOCAL_CHAR_I+S::1 | D_ADDR+L+O+LOCAL_CHAR_I+S::1 | E+S+E+LOCAL_CHAR_I+S::1 | L+CH+LOCAL_CHAR_I+S::1 | LOCAL_CHAR_F+O+AR+S::1 | O+DA+LOCAL_CHAR_I+S::1 | OT+O+LOCAL_CHAR_I+S::1 | R+CH+LOCAL_CHAR_I+S::1 | SH+E+LOCAL_CHAR_I+S::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
fary	1	f66r	L/0	LOCAL_CHAR_F+AR+Y	NEW_VISIBLE_COMPOSITION	LOCAL	YES	NO	NONE	NO	3	2	2	YES	F+DA+R+Y::5 | LOCAL_CHAR_F+AR+Y::1	far	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
fchdar	1	f66r	P/0	LOCAL_CHAR_F+CHD+AR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	4	4	NO	SH+O+DA+R::2 | O+SH+D_ADDR+AR::1 | O+Y+SH+D_ADDR+AR::1 | P+O+SH+D_ADDR+AR::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
