statement_id	page	record	silent_owner_de	supplied_work_object_de	literal_workshop_clause_de	fluent_working_translation_de	translation_status
H4-S002	f55v	H4	abgebildete breitblättrige rispige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten nach vorgeschriebenem Maß abmessen und umsetzen	Miss eine weitere Portion ab und arbeite sie um.	CONCRETE_WORKING_READING
H4-S003	f55v	H4	abgebildete breitblättrige rispige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten nach vorgeschriebenem Maß dosiert zugeben	Gib das Sollmaß dosiert zu.	CONCRETE_WORKING_READING
H4-S004	f55v	H4	abgebildete breitblättrige rispige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten nach vorgeschriebenem Maß an der bezeichneten Stelle anlegen	Lege den abgemessenen Pflanzenstoff an der im Bild bezeichneten Stelle an.	CONCRETE_WORKING_READING
H5-S001	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den Ansatz abziehen	Zieh den Ansatz vom Pflanzenstoff ab.	CONCRETE_WORKING_READING
H5-S002	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten weiter an der bezeichneten Stelle anlegen	Lege den nächsten Anteil an der im Bild bezeichneten Stelle an.	CONCRETE_WORKING_READING
H5-S003	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten halten	Halte diesen Anteil dort.	CONCRETE_WORKING_READING
H5-S004	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten einsetzen	Setze ihn in den Arbeitsgang ein.	CONCRETE_WORKING_READING
H5-S005	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	den laufenden Posten ansetzen	Setze anschließend den nächsten Pflanzenanteil an.	CONCRETE_WORKING_READING
H5-S006	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	abgebildeter Pflanzenstoff oder daraus gebildeter Ansatz	danach den laufenden Posten weiter nach vorgeschriebenem Maß als Portion im Arbeitsgang kurz zugeben	Gib danach eine abgemessene Portion kurz in den laufenden Ansatz.	CONCRETE_WORKING_READING
B1-S001	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten kurz einwirken lassen und den Schritt schließen	Die Flüssigkeit im gemeinsamen Becken kurz einwirken lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B1-S002	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten nach vorgeschriebenem Maß einsetzen	Die Flüssigkeit im gemeinsamen Becken nach vorgeschriebenem Maß einsetzen.	CONCRETE_WORKING_READING
B1-S003	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten weiter halten und zugeben und überführen und den Schritt schließen	Die Flüssigkeit im gemeinsamen Becken weiter halten und zugeben und überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B1-S004	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten umsetzen	Die Flüssigkeit im gemeinsamen Becken umsetzen.	CONCRETE_WORKING_READING
B1-S005	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten weiter überführen und den Schritt schließen	Die Flüssigkeit im gemeinsamen Becken weiter überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B1-S006	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	eine Portion einsetzen	Eine abgeteilte Portion der Arbeitsflüssigkeit einsetzen.	CONCRETE_WORKING_READING
B1-S007	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten einsetzen und überführen und den Schritt schließen	Die Flüssigkeit im gemeinsamen Becken einsetzen und überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B1-S008	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten weiter kurz warm halten	Die Flüssigkeit im gemeinsamen Becken weiter kurz warm halten.	CONCRETE_WORKING_READING
B1-S009	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten kurz einwirken lassen und den Schritt schließen	Die Flüssigkeit im gemeinsamen Becken kurz einwirken lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B1-S010	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten kurz einwirken lassen und den Schritt schließen	Die Flüssigkeit im gemeinsamen Becken kurz einwirken lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B1-S011	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten durch den Durchlass einleiten	Die Flüssigkeit im gemeinsamen Becken durch den Durchlass einleiten.	CONCRETE_WORKING_READING
B1-S012	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten im Arbeitsgang waschen	Die Flüssigkeit im gemeinsamen Becken im laufenden Arbeitsgang waschen.	CONCRETE_WORKING_READING
B1-S013	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten kurz durchwaschen und den Schritt schließen	Die Flüssigkeit im gemeinsamen Becken kurz durchwaschen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B1-S014	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten umsetzen	Die Flüssigkeit im gemeinsamen Becken umsetzen.	CONCRETE_WORKING_READING
B1-S015	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	danach den laufenden Posten weiter von dort kurz übertragen	Danach die Flüssigkeit im gemeinsamen Becken weiter aus dieser Station kurz übertragen.	CONCRETE_WORKING_READING
B1-S016	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten an der bezeichneten Stelle anlegen	Die Flüssigkeit im gemeinsamen Becken an der im Bild bezeichneten Stelle anlegen.	CONCRETE_WORKING_READING
B1-S017	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten weiter an der bezeichneten Stelle kurz umfüllen und den Schritt schließen	Die Flüssigkeit im gemeinsamen Becken weiter an der im Bild bezeichneten Stelle kurz umfüllen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B1-S018	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten führen	Die Flüssigkeit im gemeinsamen Becken führen.	CONCRETE_WORKING_READING
B1-S019	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten absetzen lassen und den Schritt schließen	Die Flüssigkeit im gemeinsamen Becken absetzen lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B1-S020	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	den laufenden Posten kurz warm halten	Die Flüssigkeit im gemeinsamen Becken kurz warm halten.	CONCRETE_WORKING_READING
B1-S021	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	die Flüssigkeit im gemeinsamen Becken	an der bezeichneten Stelle weiterarbeiten	An der im Bild bezeichneten Stelle weiterarbeiten.	CONCRETE_WORKING_READING
B2-S001	f82r	B2	oberes Beckenpaar mit Zylinder	die Flüssigkeit des oberen Beckenpaars	den laufenden Posten überführen und den Schritt schließen	Die Flüssigkeit des oberen Beckenpaars überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B2-S002	f82r	B2	oberes Beckenpaar mit Zylinder	die Flüssigkeit des oberen Beckenpaars	den laufenden Posten weiter überführen und den Schritt schließen	Die Flüssigkeit des oberen Beckenpaars weiter überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B2-S003	f82r	B2	oberes Beckenpaar mit Zylinder	die Flüssigkeit des oberen Beckenpaars	eine Portion einsetzen	Eine abgeteilte Portion der Arbeitsflüssigkeit einsetzen.	CONCRETE_WORKING_READING
B2-S004	f82r	B2	oberes Beckenpaar mit Zylinder	die Flüssigkeit des oberen Beckenpaars	den laufenden Posten an der bezeichneten Stelle anlegen	Die Flüssigkeit des oberen Beckenpaars an der im Bild bezeichneten Stelle anlegen.	CONCRETE_WORKING_READING
B2-S005	f82r	B2	oberes Beckenpaar mit Zylinder	die Flüssigkeit des oberen Beckenpaars	den laufenden Posten an der bezeichneten Stelle anlegen	Die Flüssigkeit des oberen Beckenpaars an der im Bild bezeichneten Stelle anlegen.	CONCRETE_WORKING_READING
B2-S006	f82r	B2	oberes Beckenpaar mit Zylinder	die Flüssigkeit des oberen Beckenpaars	danach den laufenden Posten an der bezeichneten Stelle länger anlegen	Danach die Flüssigkeit des oberen Beckenpaars an der im Bild bezeichneten Stelle länger anlegen.	CONCRETE_WORKING_READING
B2-S007	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	die Arbeitsflüssigkeit am Handgerät	den laufenden Posten kurz ruhen lassen und den Schritt schließen	Die Arbeitsflüssigkeit am Handgerät kurz ruhen lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B2-S008	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	die Arbeitsflüssigkeit am Handgerät	danach den laufenden Posten von dort nach vorgeschriebenem Maß einsetzen	Danach die Arbeitsflüssigkeit am Handgerät aus dieser Station nach vorgeschriebenem Maß einsetzen.	CONCRETE_WORKING_READING
B2-S009	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	die Arbeitsflüssigkeit am Handgerät	den laufenden Posten weiter kurz ruhen lassen und den Schritt schließen	Die Arbeitsflüssigkeit am Handgerät weiter kurz ruhen lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B2-S010	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	die Arbeitsflüssigkeit am Handgerät	den laufenden Posten länger wirken lassen	Die Arbeitsflüssigkeit am Handgerät länger wirken lassen.	CONCRETE_WORKING_READING
B2-S011	f82r	B2	mittlere rechte unklare Station	die Portion an der mittleren rechten Station	eine Portion einsetzen	Eine abgeteilte Portion der Arbeitsflüssigkeit einsetzen.	CONCRETE_WORKING_READING
B2-S012	f82r	B2	mittlere rechte unklare Station	die Portion an der mittleren rechten Station	den laufenden Posten führen und abnehmen	Die Portion an der mittleren rechten Station führen und abnehmen.	CONCRETE_WORKING_READING
B2-S013	f82r	B2	unteres grünes Mehrfigurenbecken	die Flüssigkeit des unteren Beckens	den laufenden Posten abführen und überführen und den Schritt schließen	Die Flüssigkeit des unteren Beckens abführen und überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B2-S014	f82r	B2	unteres grünes Mehrfigurenbecken	die Flüssigkeit des unteren Beckens	den laufenden Posten von dort ableiten	Die Flüssigkeit des unteren Beckens aus dieser Station ableiten.	CONCRETE_WORKING_READING
B2-S015	f82r	B2	kleine Randstationen des unteren Beckens	die Arbeitsflüssigkeit der Randstationen	den laufenden Posten kurz halten	Die Arbeitsflüssigkeit der Randstationen kurz halten.	CONCRETE_WORKING_READING
B2-S016	f82r	B2	kleine Randstationen des unteren Beckens	die Arbeitsflüssigkeit der Randstationen	den laufenden Posten von dort an der bezeichneten Stelle ableiten und umfüllen	Die Arbeitsflüssigkeit der Randstationen aus dieser Station an der im Bild bezeichneten Stelle ableiten und umfüllen.	CONCRETE_WORKING_READING
B2-S017	f82r	B2	kleine Randstationen des unteren Beckens	die Arbeitsflüssigkeit der Randstationen	den laufenden Posten an der bezeichneten Stelle kurz abkühlen lassen und ruhen lassen und den Schritt schließen	Die Arbeitsflüssigkeit der Randstationen an der im Bild bezeichneten Stelle kurz abkühlen lassen und ruhen lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B2-S018	f82r	B2	kleine Randstationen des unteren Beckens	die Arbeitsflüssigkeit der Randstationen	den laufenden Posten länger einwirken lassen und den Schritt schließen	Die Arbeitsflüssigkeit der Randstationen länger einwirken lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B2-S019	f82r	B2	kleine Randstationen des unteren Beckens	die Arbeitsflüssigkeit der Randstationen	den laufenden Posten auskühlen lassen und absetzen lassen und den Schritt schließen	Die Arbeitsflüssigkeit der Randstationen auskühlen lassen und absetzen lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B2-S020	f82r	B2	kleine Randstationen des unteren Beckens	die Arbeitsflüssigkeit der Randstationen	danach länger einwirken lassen und den Schritt schließen	Danach länger einwirken lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B2-S021	f82r	B2	kleine Randstationen des unteren Beckens	die Arbeitsflüssigkeit der Randstationen	den laufenden Posten länger einwirken lassen und den Schritt schließen	Die Arbeitsflüssigkeit der Randstationen länger einwirken lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B2-S022	f82r	B2	kleine Randstationen des unteren Beckens	die Arbeitsflüssigkeit der Randstationen	den laufenden Posten im Arbeitsgang abführen und überführen und den Schritt schließen	Die Arbeitsflüssigkeit der Randstationen im laufenden Arbeitsgang abführen und überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S001	f83r	B3	obere offene Fächerstation am Rand	die Flüssigkeit der oberen Fächerstation	den laufenden Posten länger auffangen und stehen lassen und den Schritt schließen	Die Flüssigkeit der oberen Fächerstation länger auffangen und stehen lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S002	f83r	B3	obere offene Fächerstation am Rand	die Flüssigkeit der oberen Fächerstation	danach den laufenden Posten an der bezeichneten Stelle länger anwärmen und den Schritt schließen	Danach die Flüssigkeit der oberen Fächerstation an der im Bild bezeichneten Stelle länger anwärmen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S003	f83r	B3	obere offene Fächerstation am Rand	die Flüssigkeit der oberen Fächerstation	den laufenden Posten nach vorgeschriebenem Maß abführen und abmessen und umsetzen und den Schritt schließen	Die Flüssigkeit der oberen Fächerstation nach vorgeschriebenem Maß abführen und abmessen und umsetzen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S004	f83r	B3	obere offene Fächerstation am Rand	die Flüssigkeit der oberen Fächerstation	den laufenden Posten nach vorgeschriebenem Maß einsetzen	Die Flüssigkeit der oberen Fächerstation nach vorgeschriebenem Maß einsetzen.	CONCRETE_WORKING_READING
B3-S005	f83r	B3	mittlere Randfigur im runden Gefäß	die Flüssigkeit im runden Gefäß	danach den laufenden Posten von dort an der bezeichneten Stelle umfüllen und den Schritt schließen	Danach die Flüssigkeit im runden Gefäß aus dieser Station an der im Bild bezeichneten Stelle umfüllen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S006	f83r	B3	mittlere Randfigur im runden Gefäß	die Flüssigkeit im runden Gefäß	den laufenden Posten umsetzen	Die Flüssigkeit im runden Gefäß umsetzen.	CONCRETE_WORKING_READING
B3-S007	f83r	B3	mittlere Randfigur im runden Gefäß	die Flüssigkeit im runden Gefäß	den laufenden Posten nach vorgeschriebenem Maß einsetzen	Die Flüssigkeit im runden Gefäß nach vorgeschriebenem Maß einsetzen.	CONCRETE_WORKING_READING
B3-S008	f83r	B3	mittlere Randfigur im runden Gefäß	die Flüssigkeit im runden Gefäß	den laufenden Posten abführen und überführen und den Schritt schließen	Die Flüssigkeit im runden Gefäß abführen und überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S009	f83r	B3	mittlere Randfigur im runden Gefäß	die Flüssigkeit im runden Gefäß	den laufenden Posten einsetzen	Die Flüssigkeit im runden Gefäß einsetzen.	CONCRETE_WORKING_READING
B3-S010	f83r	B3	untere Randfigur im korbartigen Gefäß	die Flüssigkeit im korbartigen Gefäß	danach den laufenden Posten an der bezeichneten Stelle kurz einfüllen und umfüllen und den Schritt schließen	Danach die Flüssigkeit im korbartigen Gefäß an der im Bild bezeichneten Stelle kurz einfüllen und umfüllen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S011	f83r	B3	untere Randfigur im korbartigen Gefäß	die Flüssigkeit im korbartigen Gefäß	den laufenden Posten kurz bis bereit halten und umsetzen	Die Flüssigkeit im korbartigen Gefäß kurz bis zum gebrauchsfertigen Zustand halten und umsetzen.	CONCRETE_WORKING_READING
B3-S012	f83r	B3	untere Randfigur im korbartigen Gefäß	die Flüssigkeit im korbartigen Gefäß	den laufenden Posten von dort absetzen lassen und den Schritt schließen	Die Flüssigkeit im korbartigen Gefäß aus dieser Station absetzen lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S013	f83r	B3	untere Randfigur im korbartigen Gefäß	die Flüssigkeit im korbartigen Gefäß	den laufenden Posten nach vorgeschriebenem Maß einsetzen	Die Flüssigkeit im korbartigen Gefäß nach vorgeschriebenem Maß einsetzen.	CONCRETE_WORKING_READING
B3-S014	f83r	B3	untere Randfigur im korbartigen Gefäß	die Flüssigkeit im korbartigen Gefäß	den laufenden Posten im Lauf einleiten	Die Flüssigkeit im korbartigen Gefäß im Lauf einleiten.	CONCRETE_WORKING_READING
B3-S015	f83r	B3	untere Randfigur im korbartigen Gefäß	die Flüssigkeit im korbartigen Gefäß	den laufenden Posten abführen und überführen und den Schritt schließen	Die Flüssigkeit im korbartigen Gefäß abführen und überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S016	f83r	B3	untere Randfigur im korbartigen Gefäß	die Flüssigkeit im korbartigen Gefäß	den laufenden Posten im Arbeitsgang führen	Die Flüssigkeit im korbartigen Gefäß im laufenden Arbeitsgang führen.	CONCRETE_WORKING_READING
B3-S017	f83r	B3	unverbundener Zwischenbereich	den getrennt geführten Arbeitsposten	den laufenden Posten länger einwirken lassen und den Schritt schließen	Den getrennt geführten Arbeitsposten länger einwirken lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S018	f83r	B3	unverbundener Zwischenbereich	den getrennt geführten Arbeitsposten	den laufenden Posten absetzen lassen und den Schritt schließen	Den getrennt geführten Arbeitsposten absetzen lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S019	f83r	B3	unverbundener Zwischenbereich	den getrennt geführten Arbeitsposten	den laufenden Posten kurz einwirken lassen und ruhen lassen und den Schritt schließen	Den getrennt geführten Arbeitsposten kurz einwirken lassen und ruhen lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S020	f83r	B3	unverbundener Zwischenbereich	den getrennt geführten Arbeitsposten	den laufenden Posten an der bezeichneten Stelle hinleiten und umfüllen und den Schritt schließen	Den getrennt geführten Arbeitsposten an der im Bild bezeichneten Stelle hinleiten und umfüllen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S021	f83r	B3	unverbundener Zwischenbereich	den getrennt geführten Arbeitsposten	den laufenden Posten nach vorgeschriebenem Maß einsetzen	Den getrennt geführten Arbeitsposten nach vorgeschriebenem Maß einsetzen.	CONCRETE_WORKING_READING
B3-S022	f83r	B3	unverbundener Zwischenbereich	den getrennt geführten Arbeitsposten	danach den laufenden Posten überführen und den Schritt schließen	Danach den getrennt geführten Arbeitsposten überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S023	f83r	B3	unverbundener Zwischenbereich	den getrennt geführten Arbeitsposten	den laufenden Posten abführen und überführen und den Schritt schließen	Den getrennt geführten Arbeitsposten abführen und überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S024	f83r	B3	unverbundener Zwischenbereich	den getrennt geführten Arbeitsposten	den laufenden Posten überführen und den Schritt schließen	Den getrennt geführten Arbeitsposten überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S025	f83r	B3	unverbundener Zwischenbereich	den getrennt geführten Arbeitsposten	den laufenden Posten einsetzen und überführen und den Schritt schließen	Den getrennt geführten Arbeitsposten einsetzen und überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S026	f83r	B3	unverbundener Zwischenbereich	den getrennt geführten Arbeitsposten	den laufenden Posten von dort nach vorgeschriebenem Maß länger ableiten	Den getrennt geführten Arbeitsposten aus dieser Station nach vorgeschriebenem Maß länger ableiten.	CONCRETE_WORKING_READING
B3-S027	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	die Flüssigkeit zwischen dem Figurenpaar	danach länger einwirken lassen und den Schritt schließen	Danach länger einwirken lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S028	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten länger wirken lassen	Die Flüssigkeit zwischen dem Figurenpaar länger wirken lassen.	CONCRETE_WORKING_READING
B3-S029	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten weiter vollständig eintragen	Die Flüssigkeit zwischen dem Figurenpaar weiter vollständig eintragen.	CONCRETE_WORKING_READING
B3-S030	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten einsetzen	Die Flüssigkeit zwischen dem Figurenpaar einsetzen.	CONCRETE_WORKING_READING
B3-S031	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten länger einwirken lassen und den Schritt schließen	Die Flüssigkeit zwischen dem Figurenpaar länger einwirken lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S032	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	die Flüssigkeit zwischen dem Figurenpaar	eine Portion abmessen und umsetzen	Eine abgeteilte Portion der Arbeitsflüssigkeit abmessen und umsetzen.	CONCRETE_WORKING_READING
B3-S033	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten abführen und den Schritt schließen	Die Flüssigkeit zwischen dem Figurenpaar abführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B3-S034	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten im Arbeitsgang bis bereit bis zur Sollstufe eintragen	Die Flüssigkeit zwischen dem Figurenpaar im laufenden Arbeitsgang bis zum gebrauchsfertigen Zustand bis zur vorgeschriebenen Stufe eintragen.	CONCRETE_WORKING_READING
B4-S001	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten länger einwirken lassen und den Schritt schließen	Die Flüssigkeit zwischen dem Figurenpaar länger einwirken lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B4-S002	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten weiter länger wirken lassen	Die Flüssigkeit zwischen dem Figurenpaar weiter länger wirken lassen.	CONCRETE_WORKING_READING
B4-S003	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten umsetzen	Die Flüssigkeit zwischen dem Figurenpaar umsetzen.	CONCRETE_WORKING_READING
B4-S004	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten einsetzen und festbinden und den Schritt schließen	Die Flüssigkeit zwischen dem Figurenpaar einsetzen und festbinden; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
