decision_order	group_serial	diagram_id	page	locus	position_in_locus	groups_in_locus	surface	parse_alternatives	selected_parse	selected_atomic_value_de	selection_rule	working_confidence
11	179	A1	f67r2	f67r2.74	2	13	qokeeody	OK+EE+O+DY || OK+EE+O+Y	OK+EE+O+Y	ansetzen + laenger + Arbeitsgang + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
12	185	A1	f67r2	f67r2.74	8	13	okeeody	OK+EE+O+DY || OK+EE+O+Y	OK+EE+O+Y	ansetzen + laenger + Arbeitsgang + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
13	191	A2	f68r1	f68r1.1	1	9	shokchy	HO+K+Y || SH+OK+Y	HO+K+Y	Gabe + zufuehren + dies	PANEL_HEADER_PREFERS_HO_ENTRY_MACRO	MEDIUM_HIGH
14	193	A2	f68r1	f68r1.1	3	9	choteey	CH+OT+EE+Y || HO+T+EE+Y	HO+T+EE+Y	Gabe + eintragen + laenger + dies	PANEL_HEADER_PREFERS_HO_ENTRY_MACRO	MEDIUM_HIGH
15	205	A2	f68r1	f68r1.2	6	9	yteody	Y+T+E+O+DY || Y+T+E+O+Y	Y+T+E+O+Y	dies + eintragen + kurz + Arbeitsgang + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
16	212	A2	f68r1	f68r1.3	4	8	chokal	CH+OK+AL || HO+K+AL	HO+K+AL	Gabe + zufuehren + Stelle	PANEL_HEADER_PREFERS_HO_ENTRY_MACRO	MEDIUM_HIGH
17	224	A2	f68r1	f68r1.10	1	1	otcheody	OT+CHEO+DY || OT+CHEO+Y	OT+CHEO+DY	danach + Auszug + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
18	229	A2	f68r1	f68r1.15	1	1	otydy	OT+Y+DY || OT+Y+Y	OT+Y+DY	danach + dies + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
19	232	A2	f68r1	f68r1.18	1	1	ytchody	Y+T+HO+DY || Y+T+HO+Y	Y+T+HO+DY	dies + eintragen + Gabe + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
20	242	A2	f68r1	f68r1.28	1	1	okoldy	OK+OL+DY || OK+OL+Y	OK+OL+DY	ansetzen + fortsetzen + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
21	243	A2	f68r1	f68r1.29	1	1	ykchdy	Y+K+CH+DY || Y+K+CH+Y || Y+K+CHD+Y	Y+K+CHD+Y	dies + zufuehren + umsetzen + dies	KNOWN_CHD_MACRO_BEATS_CH_PLUS_ENDPOINT	MEDIUM
22	244	A2	f68r1	f68r1.30	1	1	oeeody	O+EE+O+DY || O+EE+O+Y	O+EE+O+DY	Arbeitsgang + laenger + Arbeitsgang + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
23	252	A2	f68r1	f68r1.37	2	5	okchdy	OK+CH+DY || OK+CH+Y || OK+CHD+Y	OK+CHD+Y	ansetzen + umsetzen + dies	KNOWN_CHD_MACRO_BEATS_CH_PLUS_ENDPOINT	MEDIUM_HIGH
24	253	A2	f68r1	f68r1.37	3	5	okardy	OK+AR+DY || OK+AR+Y	OK+AR+Y	ansetzen + von dort + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
25	264	A3	f69v	f69v.1	9	40	chetody	CH+E+T+O+DY || CH+E+T+O+Y	CH+E+T+O+Y	abziehen + kurz + eintragen + Arbeitsgang + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
26	269	A3	f69v	f69v.1	14	40	okeeody	OK+EE+O+DY || OK+EE+O+Y	OK+EE+O+Y	ansetzen + laenger + Arbeitsgang + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
27	277	A3	f69v	f69v.1	22	40	okedy	OK+E+DY || OK+E+Y	OK+E+Y	ansetzen + kurz + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
28	293	A3	f69v	f69v.1	38	40	eykeody	E+Y+K+E+O+DY || E+Y+K+E+O+Y	E+Y+K+E+O+Y	kurz + dies + zufuehren + kurz + Arbeitsgang + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
29	312	A3	f69v	f69v.2	17	38	cheody	CHEO+DY || CHEO+Y	CHEO+Y	Auszug + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
30	326	A3	f69v	f69v.2	31	38	ykeeody	Y+K+EE+O+DY || Y+K+EE+O+Y	Y+K+EE+O+Y	dies + zufuehren + laenger + Arbeitsgang + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
31	335	A3	f69v	f69v.3	2	29	otaldal	O+AL+AL || OT+AL+AL	OT+AL+AL	danach + Stelle + Stelle	KNOWN_OT_SEQUENCE_MARKER_BEATS_O_SPLIT	MEDIUM_HIGH
32	349	A3	f69v	f69v.3	16	29	oteody	OT+E+O+DY || OT+E+O+Y	OT+E+O+Y	danach + kurz + Arbeitsgang + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
33	353	A3	f69v	f69v.3	20	29	otoly	O+OL+Y || OT+OL+Y	OT+OL+Y	danach + fortsetzen + dies	KNOWN_OT_SEQUENCE_MARKER_BEATS_O_SPLIT	MEDIUM_HIGH
34	359	A3	f69v	f69v.3	26	29	okody	OK+O+DY || OK+O+Y	OK+O+Y	ansetzen + Arbeitsgang + dies	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	MEDIUM_HIGH
35	371	A3	f69v	f69v.10	1	1	ytody	Y+T+O+DY || Y+T+O+Y	Y+T+O+DY	dies + eintragen + Arbeitsgang + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
36	372	A3	f69v	f69v.11	1	1	okody	OK+O+DY || OK+O+Y	OK+O+DY	ansetzen + Arbeitsgang + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
37	373	A3	f69v	f69v.12	1	1	otody	OT+O+DY || OT+O+Y	OT+O+DY	danach + Arbeitsgang + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
38	378	A3	f69v	f69v.17	1	1	ykeydy	Y+K+E+Y+DY || Y+K+E+Y+Y	Y+K+E+Y+DY	dies + zufuehren + kurz + dies + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
39	383	A3	f69v	f69v.22	1	1	ykeody	Y+K+E+O+DY || Y+K+E+O+Y	Y+K+E+O+DY	dies + zufuehren + kurz + Arbeitsgang + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
40	384	A3	f69v	f69v.23	1	1	sarydy	AR+Y+DY || AR+Y+Y	AR+Y+DY	von dort + dies + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
41	392	A3	f69v	f69v.29	1	1	okeody	OK+E+O+DY || OK+E+O+Y	OK+E+O+DY	ansetzen + kurz + Arbeitsgang + Schluss	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	MEDIUM
