unified_order	unified_id	domain	unit_id	page	locus	visible_surface	formal_parse	atomic_default_de	context_expansion_de	interpretation_status	owner_or_namespace
75	P:E075	PROSE	H5	f56r	f56r.5	cho	HO	Gabe	Zutat	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
76	P:E076	PROSE	H5	f56r	f56r.5	chodaly	HO+AL+Y	diese Gabe an die Stelle	diese Zutat an die Stelle	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
77	P:E077	PROSE	H5	f56r	f56r.5	daiin	AIIN	Mass	Mass	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
78	P:E078	PROSE	H5	f56r	f56r.7	sho	HO	Gabe	Zutat	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
79	P:E079	PROSE	H5	f56r	f56r.7	kchol	K+OL	weiter zuführen	weiter zuführen	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
80	P:E080	PROSE	H5	f56r	f56r.7	otchor	OT+CH+OR	danach Ansatz abziehen	danach Ansatz abziehen	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
81	P:E081	PROSE	H5	f56r	f56r.7	choky	OK+Y	verwende dies	verwende dies	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
82	P:E082	PROSE	H5	f56r	f56r.7	dal	AL	Stelle	Stelle	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
83	P:E083	PROSE	H5	f56r	f56r.8	schol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
84	P:E084	PROSE	H5	f56r	f56r.8	choy	HO+Y	diese Gabe	diese Zutat	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
85	P:E085	PROSE	H5	f56r	f56r.8	choky	OK+Y	verwende dies	verwende dies	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
86	P:E086	PROSE	H5	f56r	f56r.8	cheeckhody	CH+EE+CKH+O+DY	länger durch den Durchlass; Schluss	länger durch den Durchlass; Schluss	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
87	P:E087	PROSE	H5	f56r	f56r.12	sh	SH	halten	halten	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
88	P:E088	PROSE	H5	f56r	f56r.12	cho	HO	Gabe	Zutat	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
89	P:E089	PROSE	H5	f56r	f56r.12	kchey	K+E+Y	dies kurz zuführen	dies kurz zuführen	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
90	P:E090	PROSE	H5	f56r	f56r.12	qokokchy	OK+OK+Y	dies erneut ansetzen	dies erneut ansetzen	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
91	P:E091	PROSE	H5	f56r	f56r.13	okchy	OK+Y	dies ansetzen	dies ansetzen	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
92	P:E092	PROSE	H5	f56r	f56r.13	chokcheo	OK+CHEO	Auszug ansetzen	Auszug ansetzen	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
93	P:E093	PROSE	H5	f56r	f56r.13	kchal	K+AL	an die Stelle zuführen	an die Stelle zuführen	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
94	P:E094	PROSE	H5	f56r	f56r.18	sho	HO	Gabe	Zutat	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
95	P:E095	PROSE	H5	f56r	f56r.18	chokchy	OK+Y	dies ansetzen	dies ansetzen	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
96	P:E096	PROSE	H5	f56r	f56r.18	kchoar	K+HO+AR	Gabe aus dem Vorrat zuführen	Zutat aus dem Vorrat zuführen	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
97	P:E097	PROSE	H5	f56r	f56r.18	sotodan	OT+O+AIN	danach eine Portion	danach eine Portion	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
98	P:E098	PROSE	H5	f56r	f56r.19	otchey	OT+Y	nächster Posten	nächster Posten	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
99	P:E099	PROSE	H5	f56r	f56r.19	keol	K+E+OL	kurz weiter zuführen	kurz weiter zuführen	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
100	P:E100	PROSE	H5	f56r	f56r.19	daiin	AIIN	Mass	Mass	EXACT_PROSE_CARD	F56R_PICTURED_PLANT
101	P:E101	PROSE	B1	f81v	f81v.2	qokedy	OK+E+DY	kurz ansetzen; Schluss	kurz ansetzen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
102	P:E102	PROSE	B1	f81v	f81v.2	okaiin	OK+AIIN	bemessen	bemessen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
103	P:E103	PROSE	B1	f81v	f81v.2	kair	K+AIR	Lauf zufuehren	Wasser zufuehren	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
104	P:E104	PROSE	B1	f81v	f81v.2	okal	OK+AL	an die Stelle setzen	an die Stelle setzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
105	P:E105	PROSE	B1	f81v	f81v.2	sar	AR	von dort	von dort	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
106	P:E106	PROSE	B1	f81v	f81v.2	ol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
107	P:E107	PROSE	B1	f81v	f81v.2	kain	K+AIN	eine Portion	eine Portion	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
108	P:E108	PROSE	B1	f81v	f81v.2	olkain	OL+K+AIN	weitere Portion	weitere Portion	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
109	P:E109	PROSE	B1	f81v	f81v.2	al	AL	Stelle	Stelle	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
110	P:E110	PROSE	B1	f81v	f81v.2	ol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
111	P:E111	PROSE	B1	f81v	f81v.2	rol	R+OL	weiter abkuehlen	weiter abkuehlen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
112	P:E112	PROSE	B1	f81v	f81v.2	dl	L	weiterfuehren	weiterfuehren	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
113	P:E113	PROSE	B1	f81v	f81v.7	olor	OL+OR	weiterer Ansatz	weiterer Ansatz	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
114	P:E114	PROSE	B1	f81v	f81v.7	ol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
115	P:E115	PROSE	B1	f81v	f81v.7	sheckhal	SH+E+CKH+AL	kurz an der Durchlassstelle	kurz an der Durchlassstelle	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
116	P:E116	PROSE	B1	f81v	f81v.7	daiin	AIIN	Mass	Mass	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
117	P:E117	PROSE	B1	f81v	f81v.7	qokeedal	OK+EE+AL	länger an der Stelle halten	länger an der Stelle halten	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
118	P:E118	PROSE	B1	f81v	f81v.7	daiin	AIIN	Mass	Mass	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
119	P:E119	PROSE	B1	f81v	f81v.7	chckhy	CKH+Y	durchführen	durchführen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
120	P:E120	PROSE	B1	f81v	f81v.7	schedy	CHD+DY	umsetzen; Schluss	umsetzen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
121	P:E121	PROSE	B1	f81v	f81v.7	qol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
122	P:E122	PROSE	B1	f81v	f81v.17	sshkchdy	SH+K+CHD+DY	gebuendelt umsetzen; Schluss	gebuendelt umsetzen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
123	P:E123	PROSE	B1	f81v	f81v.17	chedy	CHD+Y	dies umsetzen	dies umsetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
124	P:E124	PROSE	B1	f81v	f81v.17	ol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
125	P:E125	PROSE	B1	f81v	f81v.17	shedy	SHED+DY	absetzen; Schluss	absetzen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
126	P:E126	PROSE	B1	f81v	f81v.17	qolchedy	OL+CHD+DY	weiterführen; Schluss	weiterführen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
127	P:E127	PROSE	B1	f81v	f81v.17	qokain	OK+AIN	eine Portion zugeben	eine Portion zugeben	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
128	P:E128	PROSE	B1	f81v	f81v.17	shckhy	CKH+Y	durchführen	durchführen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
129	P:E129	PROSE	B1	f81v	f81v.17	dl	L	weiterfuehren	weiterfuehren	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
130	P:E130	PROSE	B1	f81v	f81v.17	ral	R+AL	an der Stelle abkuehlen	an der Stelle abkuehlen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
131	P:E131	PROSE	B1	f81v	f81v.18	qokchdy	OK+CHD+DY	Ansatz umsetzen; Schluss	Ansatz umsetzen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
132	P:E132	PROSE	B1	f81v	f81v.18	chey	Y	dies	dies	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
133	P:E133	PROSE	B1	f81v	f81v.18	ol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
134	P:E134	PROSE	B1	f81v	f81v.18	cheky	CHK+E+Y	kurz wärmen	kurz wärmen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
135	P:E135	PROSE	B1	f81v	f81v.18	ol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
136	P:E136	PROSE	B1	f81v	f81v.18	shedy	SHED+DY	absetzen; Schluss	absetzen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
137	P:E137	PROSE	B1	f81v	f81v.18	qokedy	OK+E+DY	kurz ansetzen; Schluss	kurz ansetzen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
138	P:E138	PROSE	B1	f81v	f81v.18	qokedy	OK+E+DY	kurz ansetzen; Schluss	kurz ansetzen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
139	P:E139	PROSE	B1	f81v	f81v.18	chckhy	CKH+Y	durchführen	durchführen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
140	P:E140	PROSE	B1	f81v	f81v.18	qoky	OK+Y	verwende dies	verwende dies	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
141	P:E141	PROSE	B1	f81v	f81v.21	lsho	LSH+O	Waschgang	Waschgang	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
142	P:E142	PROSE	B1	f81v	f81v.21	qokey	OK+E+Y	kurz ansetzen	kurz ansetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
143	P:E143	PROSE	B1	f81v	f81v.21	lshedy	LSH+E+DY	Waschgang; Schluss	Waschgang; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
144	P:E144	PROSE	B1	f81v	f81v.21	lshedy	LSH+E+DY	Waschgang; Schluss	Waschgang; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
145	P:E145	PROSE	B1	f81v	f81v.21	chedy	CHD+Y	dies umsetzen	dies umsetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
146	P:E146	PROSE	B1	f81v	f81v.21	qolky	SOLK+Y	dies auffangen	dies auffangen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
147	P:E147	PROSE	B1	f81v	f81v.21	lchedal	L+CHD+AL	zum Auslass führen	zum Auslass führen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
148	P:E148	PROSE	B1	f81v	f81v.21	qol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
149	P:E149	PROSE	B1	f81v	f81v.21	otar	OT+AR	danach von dort	danach von dort	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
150	P:E150	PROSE	B1	f81v	f81v.24	ytey	T+E+Y	dies kurz eintragen	dies kurz fuellen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
151	P:E151	PROSE	B1	f81v	f81v.24	okchedy	OK+CHD+DY	Ansatz umsetzen; Schluss	Ansatz umsetzen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
152	P:E152	PROSE	B1	f81v	f81v.24	qokal	OK+AL	an die Stelle setzen	an die Stelle setzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
153	P:E153	PROSE	B1	f81v	f81v.24	okeey	OK+EE+Y	länger ansetzen	länger ansetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
154	P:E154	PROSE	B1	f81v	f81v.24	qol	OL	fortsetzen	fortsetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
155	P:E155	PROSE	B1	f81v	f81v.24	cheedy	SHED+DY	absetzen; Schluss	absetzen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
156	P:E156	PROSE	B1	f81v	f81v.24	sal	AL	Stelle	Stelle	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
157	P:E157	PROSE	B1	f81v	f81v.24	teol	E+OL	kurz fortsetzen	kurz fortsetzen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
158	P:E158	PROSE	B1	f81v	f81v.24	dchdy	CHD+DY	umsetzen; Schluss	umsetzen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
159	P:E159	PROSE	B1	f81v	f81v.24	ly	L+Y	dies fuehren	dies fuehren	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
160	P:E160	PROSE	B1	f81v	f81v.27	dsheol	SH+E+OL	kurz halten	kurz halten	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
161	P:E161	PROSE	B1	f81v	f81v.27	oiiin	O+IIN	Sollstand	Sollstand	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
162	P:E162	PROSE	B1	f81v	f81v.27	olkeedy	SOLK+EE+DY	länger auffangen; Schluss	länger auffangen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
163	P:E163	PROSE	B1	f81v	f81v.27	tedy	SHED+DY	absetzen; Schluss	absetzen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
164	P:E164	PROSE	B1	f81v	f81v.27	cheky	CHK+E+Y	kurz wärmen	kurz wärmen	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
165	P:E165	PROSE	B1	f81v	f81v.27	shckhedy	SH+CKHE+DY	seihen; Schluss	seihen; Schluss	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
166	P:E166	PROSE	B1	f81v	f81v.27	chal	AL	Stelle	Stelle	EXACT_PROSE_CARD	B1_SHARED_POOL_WORKSTATION
167	P:E167	PROSE	B2	f82r	f82r.2	dchedy	CHD+DY	umsetzen; Schluss	umsetzen; Schluss	EXACT_PROSE_CARD	B2_ZONE_A_UPPER_STATIONS
