case_id	tested_cue_position	sequence_position	surface	decoded_card_no	decoded_component_parse	decoded_command_de	exact_backward_read
C4	3	5	qokylddy	PROC155	OK+Y+LD+DY	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	YES
C4	3	6	talam	PROC043	TALAM	VERWAHREN	YES
C4	4	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C4	4	2	qokain	PROC080	OK+AIN	ANSETZEN · PORTION	YES
C4	4	3	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C4	4	4	ykan	PROC040	Y+K+AN	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	YES
C4	4	5	qokylddy	PROC155	OK+Y+LD+DY	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	YES
C4	4	6	talam	PROC043	TALAM	VERWAHREN	YES
C4	5	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C4	5	2	qokain	PROC080	OK+AIN	ANSETZEN · PORTION	YES
C4	5	3	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C4	5	4	qokylddy	PROC155	OK+Y+LD+DY	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	YES
C4	5	5	ykan	PROC040	Y+K+AN	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	YES
C4	5	6	talam	PROC043	TALAM	VERWAHREN	YES
C5	1	1	cho	PROC052	HO	ZUTAT	YES
C5	1	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C5	1	3	kchoar	PROC063	K+HO+AR	ZUDOSIEREN · ZUTAT · VORRAT	YES
C5	1	4	chodaly	PROC053	HO+AL+Y	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	YES
C5	1	5	daiiin	PROC169	DA+IIN	ZWEITMARKER · ARBEITSSTUFE	YES
C5	1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C5	2	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C5	2	2	cho	PROC052	HO	ZUTAT	YES
C5	2	3	kchoar	PROC063	K+HO+AR	ZUDOSIEREN · ZUTAT · VORRAT	YES
C5	2	4	chodaly	PROC053	HO+AL+Y	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	YES
C5	2	5	daiiin	PROC169	DA+IIN	ZWEITMARKER · ARBEITSSTUFE	YES
C5	2	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C5	3	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C5	3	2	kchoar	PROC063	K+HO+AR	ZUDOSIEREN · ZUTAT · VORRAT	YES
C5	3	3	cho	PROC052	HO	ZUTAT	YES
C5	3	4	chodaly	PROC053	HO+AL+Y	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	YES
C5	3	5	daiiin	PROC169	DA+IIN	ZWEITMARKER · ARBEITSSTUFE	YES
C5	3	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C5	4	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C5	4	2	kchoar	PROC063	K+HO+AR	ZUDOSIEREN · ZUTAT · VORRAT	YES
C5	4	3	chodaly	PROC053	HO+AL+Y	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	YES
C5	4	4	cho	PROC052	HO	ZUTAT	YES
C5	4	5	daiiin	PROC169	DA+IIN	ZWEITMARKER · ARBEITSSTUFE	YES
C5	4	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C5	5	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C5	5	2	kchoar	PROC063	K+HO+AR	ZUDOSIEREN · ZUTAT · VORRAT	YES
C5	5	3	chodaly	PROC053	HO+AL+Y	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	YES
C5	5	4	daiiin	PROC169	DA+IIN	ZWEITMARKER · ARBEITSSTUFE	YES
C5	5	5	cho	PROC052	HO	ZUTAT	YES
C5	5	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
