occurrence_id	fragment_id	clause_id	physical_page	register	action_start_position	action_end_position	action_sequence	instruction_sequence	event_span_sequence	spoken_sequence_de
P928-O0023	P928-F26	P915-C004	f11r	HERBAL	18	21	CH>CH>O>K	P917-I0072|P917-I0073|P917-I0074|P917-I0075	P912-E0115..P912-E0115|P912-E0116..P912-E0117|P912-E0118..P912-E0119|P912-E0120..P912-E0122	entnehmen → entnehmen → ausführen → zugeben
P928-O0024	P928-F02	P915-C005	f13r	HERBAL	9	11	O>P>CH	P917-I0097|P917-I0097|P917-I0097	P912-E0158..P912-E0158|P912-E0158..P912-E0158|P912-E0158..P912-E0158	ausführen → einsetzen → entnehmen
P928-O0025	P928-F02	P915-C005	f13r	HERBAL	37	39	O>P>CH	P917-I0119|P917-I0119|P917-I0120	P912-E0191..P912-E0191|P912-E0191..P912-E0191|P912-E0192..P912-E0192	ausführen → einsetzen → entnehmen
P928-O0026	P928-F07	P915-C006	f13r	HERBAL	3	5	CH>OK>OK	P917-I0123|P917-I0124|P917-I0125	P912-E0195..P912-E0197|P912-E0198..P912-E0198|P912-E0199..P912-E0199	entnehmen → ansetzen → ansetzen
P928-O0027	P928-F12	P915-C006	f13r	HERBAL	4	6	OK>OK>CH	P917-I0124|P917-I0125|P917-I0125	P912-E0198..P912-E0198|P912-E0199..P912-E0199|P912-E0199..P912-E0199	ansetzen → ansetzen → entnehmen
P928-O0028	P928-F15	P915-C006	f13r	HERBAL	6	8	CH>O>OK	P917-I0125|P917-I0126|P917-I0127	P912-E0199..P912-E0199|P912-E0200..P912-E0200|P912-E0201..P912-E0204	entnehmen → ausführen → ansetzen
P928-O0029	P928-F17	P915-C006	f13r	HERBAL	7	9	O>OK>O	P917-I0126|P917-I0127|P917-I0128	P912-E0200..P912-E0200|P912-E0201..P912-E0204|P912-E0205..P912-E0207	ausführen → ansetzen → ausführen
P928-O0030	P928-F19	P915-C006	f13r	HERBAL	5	7	OK>CH>O	P917-I0125|P917-I0125|P917-I0126	P912-E0199..P912-E0199|P912-E0199..P912-E0199|P912-E0200..P912-E0200	ansetzen → entnehmen → ausführen
P928-O0031	P928-F15	P915-C007	f13r	HERBAL	2	4	CH>O>OK	P917-I0130|P917-I0131|P917-I0132	P912-E0210..P912-E0210|P912-E0211..P912-E0211|P912-E0212..P912-E0213	entnehmen → ausführen → ansetzen
P928-O0032	P928-F19	P915-C007	f13r	HERBAL	1	3	OK>CH>O	P917-I0130|P917-I0130|P917-I0131	P912-E0210..P912-E0210|P912-E0210..P912-E0210|P912-E0211..P912-E0211	ansetzen → entnehmen → ausführen
P928-O0033	P928-F24	P915-C007	f13r	HERBAL	6	8	K>S>OK	P917-I0134|P917-I0135|P917-I0136	P912-E0215..P912-E0215|P912-E0216..P912-E0216|P912-E0217..P912-E0217	zugeben → auswählen → ansetzen
P928-O0034	P928-F23	P915-C008	f13r	HERBAL	3	5	K>OK>CH	P917-I0140|P917-I0141|P917-I0141	P912-E0223..P912-E0223|P912-E0224..P912-E0224|P912-E0224..P912-E0224	zugeben → ansetzen → entnehmen
P928-O0035	P928-F17	P915-C011	f55v	HERBAL	1	3	O>OK>O	P917-I0152|P917-I0153|P917-I0153	P912-E0237..P912-E0237|P912-E0238..P912-E0238|P912-E0238..P912-E0238	ausführen → ansetzen → ausführen
P928-O0036	P928-F23	P915-C011	f55v	HERBAL	10	12	K>OK>CH	P917-I0159|P917-I0160|P917-I0161	P912-E0247..P912-E0249|P912-E0250..P912-E0251|P912-E0252..P912-E0252	zugeben → ansetzen → entnehmen
P928-O0037	P928-F24	P915-C011	f55v	HERBAL	4	6	K>S>OK	P917-I0154|P917-I0154|P917-I0155	P912-E0239..P912-E0239|P912-E0239..P912-E0239|P912-E0240..P912-E0240	zugeben → auswählen → ansetzen
P928-O0038	P928-F01	P915-C013	f55v	HERBAL	26	28	OK>OK>OK	P917-I0190|P917-I0191|P917-I0192	P912-E0295..P912-E0295|P912-E0296..P912-E0296|P912-E0297..P912-E0301	ansetzen → ansetzen → ansetzen
P928-O0039	P928-F08	P915-C013	f55v	HERBAL	27	29	OK>OK>K	P917-I0191|P917-I0192|P917-I0193	P912-E0296..P912-E0296|P912-E0297..P912-E0301|P912-E0302..P912-E0302	ansetzen → ansetzen → zugeben
P928-O0040	P928-F11	P915-C013	f55v	HERBAL	25	27	K>OK>OK	P917-I0189|P917-I0190|P917-I0191	P912-E0293..P912-E0294|P912-E0295..P912-E0295|P912-E0296..P912-E0296	zugeben → ansetzen → ansetzen
P928-O0041	P928-F16	P915-C013	f55v	HERBAL	18	20	CHD>OK>OK	P917-I0184|P917-I0185|P917-I0186	P912-E0284..P912-E0284|P912-E0285..P912-E0285|P912-E0286..P912-E0286	umsetzen → ansetzen → ansetzen
P928-O0042	P928-F28	P915-C013	f55v	HERBAL	25	28	K>OK>OK>OK	P917-I0189|P917-I0190|P917-I0191|P917-I0192	P912-E0293..P912-E0294|P912-E0295..P912-E0295|P912-E0296..P912-E0296|P912-E0297..P912-E0301	zugeben → ansetzen → ansetzen → ansetzen
P928-O0043	P928-F01	P915-C016	f56r	HERBAL	17	19	OK>OK>OK	P917-I0225|P917-I0226|P917-I0227	P912-E0356..P912-E0356|P912-E0357..P912-E0357|P912-E0358..P912-E0358	ansetzen → ansetzen → ansetzen
P928-O0044	P928-F06	P915-C016	f56r	HERBAL	7	9	CH>K>CH	P917-I0218|P917-I0219|P917-I0219	P912-E0344..P912-E0345|P912-E0346..P912-E0348|P912-E0346..P912-E0348	entnehmen → zugeben → entnehmen
P928-O0045	P928-F06	P915-C016	f56r	HERBAL	10	12	CH>K>CH	P917-I0220|P917-I0220|P917-I0221	P912-E0349..P912-E0349|P912-E0349..P912-E0349|P912-E0350..P912-E0350	entnehmen → zugeben → entnehmen
P928-O0046	P928-F06	P915-C016	f56r	HERBAL	27	29	CH>K>CH	P917-I0234|P917-I0235|P917-I0235	P912-E0367..P912-E0367|P912-E0368..P912-E0371|P912-E0368..P912-E0371	entnehmen → zugeben → entnehmen
P928-O0047	P928-F07	P915-C016	f56r	HERBAL	36	38	CH>OK>OK	P917-I0240|P917-I0241|P917-I0242	P912-E0379..P912-E0379|P912-E0380..P912-E0380|P912-E0381..P912-E0384	entnehmen → ansetzen → ansetzen
P928-O0048	P928-F08	P915-C016	f56r	HERBAL	14	16	OK>OK>K	P917-I0222|P917-I0223|P917-I0224	P912-E0351..P912-E0351|P912-E0352..P912-E0353|P912-E0354..P912-E0355	ansetzen → ansetzen → zugeben
P928-O0049	P928-F11	P915-C016	f56r	HERBAL	16	18	K>OK>OK	P917-I0224|P917-I0225|P917-I0226	P912-E0354..P912-E0355|P912-E0356..P912-E0356|P912-E0357..P912-E0357	zugeben → ansetzen → ansetzen
P928-O0050	P928-F12	P915-C016	f56r	HERBAL	37	39	OK>OK>CH	P917-I0241|P917-I0242|P917-I0243	P912-E0380..P912-E0380|P912-E0381..P912-E0384|P912-E0385..P912-E0385	ansetzen → ansetzen → entnehmen
P928-O0051	P928-F19	P915-C016	f56r	HERBAL	38	40	OK>CH>O	P917-I0242|P917-I0243|P917-I0243	P912-E0381..P912-E0384|P912-E0385..P912-E0385|P912-E0385..P912-E0385	ansetzen → entnehmen → ausführen
P928-O0052	P928-F28	P915-C016	f56r	HERBAL	16	19	K>OK>OK>OK	P917-I0224|P917-I0225|P917-I0226|P917-I0227	P912-E0354..P912-E0355|P912-E0356..P912-E0356|P912-E0357..P912-E0357|P912-E0358..P912-E0358	zugeben → ansetzen → ansetzen → ansetzen
P928-O0053	P928-F04	P915-C017	f56r	HERBAL	34	36	T>CH>O	P917-I0268|P917-I0268|P917-I0268	P912-E0416..P912-E0417|P912-E0416..P912-E0417|P912-E0416..P912-E0417	einstellen → entnehmen → ausführen
P928-O0054	P928-F06	P915-C017	f56r	HERBAL	54	56	CH>K>CH	P917-I0279|P917-I0280|P917-I0280	P912-E0434..P912-E0434|P912-E0435..P912-E0435|P912-E0435..P912-E0435	entnehmen → zugeben → entnehmen
P928-O0055	P928-F07	P915-C017	f56r	HERBAL	24	26	CH>OK>OK	P917-I0261|P917-I0262|P917-I0262	P912-E0407..P912-E0408|P912-E0409..P912-E0409|P912-E0409..P912-E0409	entnehmen → ansetzen → ansetzen
P928-O0056	P928-F07	P915-C017	f56r	HERBAL	27	29	CH>OK>OK	P917-I0262|P917-I0263|P917-I0264	P912-E0409..P912-E0409|P912-E0410..P912-E0410|P912-E0411..P912-E0411	entnehmen → ansetzen → ansetzen
P928-O0057	P928-F07	P915-C017	f56r	HERBAL	45	47	CH>OK>OK	P917-I0274|P917-I0275|P917-I0276	P912-E0425..P912-E0426|P912-E0427..P912-E0427|P912-E0428..P912-E0428	entnehmen → ansetzen → ansetzen
P928-O0058	P928-F08	P915-C017	f56r	HERBAL	28	30	OK>OK>K	P917-I0263|P917-I0264|P917-I0265	P912-E0410..P912-E0410|P912-E0411..P912-E0411|P912-E0412..P912-E0412	ansetzen → ansetzen → zugeben
P928-O0059	P928-F10	P915-C017	f56r	HERBAL	33	35	CH>T>CH	P917-I0267|P917-I0268|P917-I0268	P912-E0414..P912-E0415|P912-E0416..P912-E0417|P912-E0416..P912-E0417	entnehmen → einstellen → entnehmen
P928-O0060	P928-F12	P915-C017	f56r	HERBAL	25	27	OK>OK>CH	P917-I0262|P917-I0262|P917-I0262	P912-E0409..P912-E0409|P912-E0409..P912-E0409|P912-E0409..P912-E0409	ansetzen → ansetzen → entnehmen
P928-O0061	P928-F12	P915-C017	f56r	HERBAL	46	48	OK>OK>CH	P917-I0275|P917-I0276|P917-I0276	P912-E0427..P912-E0427|P912-E0428..P912-E0428|P912-E0428..P912-E0428	ansetzen → ansetzen → entnehmen
P928-O0062	P928-F13	P915-C017	f56r	HERBAL	21	23	OK>SH>K	P917-I0259|P917-I0260|P917-I0261	P912-E0405..P912-E0405|P912-E0406..P912-E0406|P912-E0407..P912-E0408	ansetzen → halten → zugeben
P928-O0063	P928-F14	P915-C017	f56r	HERBAL	39	41	CH>O>CTH	P917-I0271|P917-I0271|P917-I0272	P912-E0421..P912-E0422|P912-E0421..P912-E0422|P912-E0423..P912-E0423	entnehmen → ausführen → bereitstellen
P928-O0064	P928-F20	P915-C017	f56r	HERBAL	14	16	OK>K>CH	P917-I0255|P917-I0256|P917-I0256	P912-E0399..P912-E0399|P912-E0400..P912-E0401|P912-E0400..P912-E0401	ansetzen → zugeben → entnehmen
P928-O0065	P928-F20	P915-C017	f56r	HERBAL	29	31	OK>K>CH	P917-I0264|P917-I0265|P917-I0265	P912-E0411..P912-E0411|P912-E0412..P912-E0412|P912-E0412..P912-E0412	ansetzen → zugeben → entnehmen
P928-O0066	P928-F27	P915-C017	f56r	HERBAL	33	36	CH>T>CH>O	P917-I0267|P917-I0268|P917-I0268|P917-I0268	P912-E0414..P912-E0415|P912-E0416..P912-E0417|P912-E0416..P912-E0417|P912-E0416..P912-E0417	entnehmen → einstellen → entnehmen → ausführen
P928-O0067	P928-F08	P915-C018	f75r	BIOLOGICAL	4	6	OK>OK>K	P917-I0285|P917-I0286|P917-I0287	P912-E0441..P912-E0441|P912-E0442..P912-E0442|P912-E0443..P912-E0443	ansetzen → ansetzen → zugeben
P928-O0068	P928-F11	P915-C018	f75r	BIOLOGICAL	3	5	K>OK>OK	P917-I0284|P917-I0285|P917-I0286	P912-E0440..P912-E0440|P912-E0441..P912-E0441|P912-E0442..P912-E0442	zugeben → ansetzen → ansetzen
P928-O0069	P928-F03	P915-C021	f75r	BIOLOGICAL	15	17	OK>SH>OK	P917-I0307|P917-I0308|P917-I0309	P912-E0471..P912-E0471|P912-E0472..P912-E0472|P912-E0473..P912-E0473	ansetzen → halten → ansetzen
P928-O0070	P928-F25	P915-C021	f75r	BIOLOGICAL	14	17	SH>OK>SH>OK	P917-I0306|P917-I0307|P917-I0308|P917-I0309	P912-E0469..P912-E0470|P912-E0471..P912-E0471|P912-E0472..P912-E0472|P912-E0473..P912-E0473	halten → ansetzen → halten → ansetzen
P928-O0071	P928-F12	P915-C023	f75r	BIOLOGICAL	6	8	OK>OK>CH	P917-I0318|P917-I0319|P917-I0320	P912-E0486..P912-E0487|P912-E0488..P912-E0488|P912-E0489..P912-E0489	ansetzen → ansetzen → entnehmen
P928-O0072	P928-F03	P915-C055	f75r	BIOLOGICAL	2	4	OK>SH>OK	P917-I0408|P917-I0409|P917-I0410	P912-E0608..P912-E0608|P912-E0609..P912-E0609|P912-E0610..P912-E0611	ansetzen → halten → ansetzen
P928-O0073	P928-F16	P915-C055	f75r	BIOLOGICAL	28	30	CHD>OK>OK	P917-I0431|P917-I0431|P917-I0432	P912-E0644..P912-E0645|P912-E0644..P912-E0645|P912-E0646..P912-E0646	umsetzen → ansetzen → ansetzen
P928-O0074	P928-F18	P915-C055	f75r	BIOLOGICAL	7	9	O>SH>OK	P917-I0413|P917-I0414|P917-I0415	P912-E0615..P912-E0618|P912-E0619..P912-E0620|P912-E0621..P912-E0621	ausführen → halten → ansetzen
P928-O0075	P928-F18	P915-C055	f75r	BIOLOGICAL	13	15	O>SH>OK	P917-I0418|P917-I0419|P917-I0420	P912-E0627..P912-E0630|P912-E0631..P912-E0631|P912-E0632..P912-E0632	ausführen → halten → ansetzen
P928-O0076	P928-F21	P915-C055	f75r	BIOLOGICAL	17	19	SH>K>CHD	P917-I0422|P917-I0423|P917-I0424	P912-E0634..P912-E0635|P912-E0636..P912-E0636|P912-E0637..P912-E0637	halten → zugeben → umsetzen
P928-O0077	P928-F25	P915-C055	f75r	BIOLOGICAL	1	4	SH>OK>SH>OK	P917-I0407|P917-I0408|P917-I0409|P917-I0410	P912-E0606..P912-E0607|P912-E0608..P912-E0608|P912-E0609..P912-E0609|P912-E0610..P912-E0611	halten → ansetzen → halten → ansetzen
P928-O0078	P928-F11	P915-C065	f75r	BIOLOGICAL	3	5	K>OK>OK	P917-I0460|P917-I0461|P917-I0462	P912-E0695..P912-E0695|P912-E0696..P912-E0697|P912-E0698..P912-E0700	zugeben → ansetzen → ansetzen
P928-O0079	P928-F08	P915-C080	f75r	BIOLOGICAL	1	3	OK>OK>K	P917-I0500|P917-I0501|P917-I0502	P912-E0748..P912-E0748|P912-E0749..P912-E0751|P912-E0752..P912-E0754	ansetzen → ansetzen → zugeben
P928-O0080	P928-F01	P915-C125	f75r	BIOLOGICAL	1	3	OK>OK>OK	P917-I0566|P917-I0567|P917-I0568	P912-E0838..P912-E0838|P912-E0839..P912-E0839|P912-E0840..P912-E0840	ansetzen → ansetzen → ansetzen
P928-O0081	P928-F21	P915-C134	f81v	BIOLOGICAL	2	4	SH>K>CHD	P917-I0593|P917-I0593|P917-I0594	P912-E0886..P912-E0886|P912-E0886..P912-E0886|P912-E0887..P912-E0887	halten → zugeben → umsetzen
P928-O0082	P928-F01	P915-C136	f81v	BIOLOGICAL	3	5	OK>OK>OK	P917-I0605|P917-I0606|P917-I0607	P912-E0907..P912-E0908|P912-E0909..P912-E0909|P912-E0910..P912-E0910	ansetzen → ansetzen → ansetzen
P928-O0083	P928-F11	P915-C136	f81v	BIOLOGICAL	2	4	K>OK>OK	P917-I0604|P917-I0605|P917-I0606	P912-E0906..P912-E0906|P912-E0907..P912-E0908|P912-E0909..P912-E0909	zugeben → ansetzen → ansetzen
P928-O0084	P928-F24	P915-C136	f81v	BIOLOGICAL	7	9	K>S>OK	P917-I0609|P917-I0610|P917-I0611	P912-E0913..P912-E0914|P912-E0915..P912-E0916|P912-E0917..P912-E0918	zugeben → auswählen → ansetzen
P928-O0085	P928-F28	P915-C136	f81v	BIOLOGICAL	2	5	K>OK>OK>OK	P917-I0604|P917-I0605|P917-I0606|P917-I0607	P912-E0906..P912-E0906|P912-E0907..P912-E0908|P912-E0909..P912-E0909|P912-E0910..P912-E0910	zugeben → ansetzen → ansetzen → ansetzen
P928-O0086	P928-F23	P915-C142	f81v	BIOLOGICAL	1	3	K>OK>CH	P917-I0623|P917-I0624|P917-I0625	P912-E0938..P912-E0940|P912-E0941..P912-E0941|P912-E0942..P912-E0944	zugeben → ansetzen → entnehmen
P928-O0087	P928-F01	P915-C146	f81v	BIOLOGICAL	2	4	OK>OK>OK	P917-I0634|P917-I0635|P917-I0636	P912-E0955..P912-E0955|P912-E0956..P912-E0956|P912-E0957..P912-E0957	ansetzen → ansetzen → ansetzen
P928-O0088	P928-F08	P915-C146	f81v	BIOLOGICAL	3	5	OK>OK>K	P917-I0635|P917-I0636|P917-I0637	P912-E0956..P912-E0956|P912-E0957..P912-E0957|P912-E0958..P912-E0958	ansetzen → ansetzen → zugeben
P928-O0089	P928-F08	P915-C146	f81v	BIOLOGICAL	6	8	OK>OK>K	P917-I0638|P917-I0639|P917-I0640	P912-E0959..P912-E0959|P912-E0960..P912-E0960|P912-E0961..P912-E0961	ansetzen → ansetzen → zugeben
P928-O0090	P928-F11	P915-C146	f81v	BIOLOGICAL	5	7	K>OK>OK	P917-I0637|P917-I0638|P917-I0639	P912-E0958..P912-E0958|P912-E0959..P912-E0959|P912-E0960..P912-E0960	zugeben → ansetzen → ansetzen
P928-O0091	P928-F20	P915-C146	f81v	BIOLOGICAL	7	9	OK>K>CH	P917-I0639|P917-I0640|P917-I0641	P912-E0960..P912-E0960|P912-E0961..P912-E0961|P912-E0962..P912-E0962	ansetzen → zugeben → entnehmen
P928-O0092	P928-F21	P915-C158	f81v	BIOLOGICAL	4	6	SH>K>CHD	P917-I0679|P917-I0679|P917-I0679	P912-E1010..P912-E1010|P912-E1010..P912-E1010|P912-E1010..P912-E1010	halten → zugeben → umsetzen
P928-O0093	P928-F12	P915-C175	f81v	BIOLOGICAL	1	3	OK>OK>CH	P917-I0729|P917-I0730|P917-I0731	P912-E1075..P912-E1075|P912-E1076..P912-E1076|P912-E1077..P912-E1078	ansetzen → ansetzen → entnehmen
P928-O0094	P928-F03	P915-C183	f82r	BIOLOGICAL	3	5	OK>SH>OK	P917-I0757|P917-I0758|P917-I0759	P912-E1114..P912-E1114|P912-E1115..P912-E1116|P912-E1117..P912-E1117	ansetzen → halten → ansetzen
P928-O0095	P928-F18	P915-C183	f82r	BIOLOGICAL	1	3	O>SH>OK	P917-I0756|P917-I0756|P917-I0757	P912-E1113..P912-E1113|P912-E1113..P912-E1113|P912-E1114..P912-E1114	ausführen → halten → ansetzen
P928-O0096	P928-F25	P915-C183	f82r	BIOLOGICAL	2	5	SH>OK>SH>OK	P917-I0756|P917-I0757|P917-I0758|P917-I0759	P912-E1113..P912-E1113|P912-E1114..P912-E1114|P912-E1115..P912-E1116|P912-E1117..P912-E1117	halten → ansetzen → halten → ansetzen
P928-O0097	P928-F03	P915-C187	f82r	BIOLOGICAL	1	3	OK>SH>OK	P917-I0777|P917-I0778|P917-I0779	P912-E1139..P912-E1140|P912-E1141..P912-E1141|P912-E1142..P912-E1142	ansetzen → halten → ansetzen
P928-O0098	P928-F13	P915-C190	f82r	BIOLOGICAL	3	5	OK>SH>K	P917-I0791|P917-I0792|P917-I0792	P912-E1156..P912-E1156|P912-E1157..P912-E1157|P912-E1157..P912-E1157	ansetzen → halten → zugeben
P928-O0099	P928-F21	P915-C190	f82r	BIOLOGICAL	4	6	SH>K>CHD	P917-I0792|P917-I0792|P917-I0793	P912-E1157..P912-E1157|P912-E1157..P912-E1157|P912-E1158..P912-E1159	halten → zugeben → umsetzen
P928-O0100	P928-F13	P915-C193	f82r	BIOLOGICAL	2	4	OK>SH>K	P917-I0800|P917-I0801|P917-I0802	P912-E1166..P912-E1166|P912-E1167..P912-E1168|P912-E1169..P912-E1169	ansetzen → halten → zugeben
P928-O0101	P928-F02	P915-C197	f82r	BIOLOGICAL	1	3	O>P>CH	P917-I0818|P917-I0818|P917-I0819	P912-E1188..P912-E1188|P912-E1188..P912-E1188|P912-E1189..P912-E1190	ausführen → einsetzen → entnehmen
P928-O0102	P928-F05	P915-C198	f82r	BIOLOGICAL	3	5	O>CH>O	P917-I0824|P917-I0825|P917-I0825	P912-E1196..P912-E1196|P912-E1197..P912-E1198|P912-E1197..P912-E1198	ausführen → entnehmen → ausführen
P928-O0103	P928-F15	P915-C198	f82r	BIOLOGICAL	4	6	CH>O>OK	P917-I0825|P917-I0825|P917-I0826	P912-E1197..P912-E1198|P912-E1197..P912-E1198|P912-E1199..P912-E1200	entnehmen → ausführen → ansetzen
P928-O0104	P928-F01	P915-C201	f82r	BIOLOGICAL	6	8	OK>OK>OK	P917-I0837|P917-I0838|P917-I0839	P912-E1212..P912-E1212|P912-E1213..P912-E1214|P912-E1215..P912-E1216	ansetzen → ansetzen → ansetzen
P928-O0105	P928-F01	P915-C201	f82r	BIOLOGICAL	7	9	OK>OK>OK	P917-I0838|P917-I0839|P917-I0840	P912-E1213..P912-E1214|P912-E1215..P912-E1216|P912-E1217..P912-E1217	ansetzen → ansetzen → ansetzen
P928-O0106	P928-F07	P915-C201	f82r	BIOLOGICAL	5	7	CH>OK>OK	P917-I0836|P917-I0837|P917-I0838	P912-E1211..P912-E1211|P912-E1212..P912-E1212|P912-E1213..P912-E1214	entnehmen → ansetzen → ansetzen
P928-O0107	P928-F16	P915-C210	f82r	BIOLOGICAL	1	3	CHD>OK>OK	P917-I0857|P917-I0858|P917-I0859	P912-E1242..P912-E1243|P912-E1244..P912-E1244|P912-E1245..P912-E1245	umsetzen → ansetzen → ansetzen
P928-O0108	P928-F01	P915-C214	f82r	BIOLOGICAL	5	7	OK>OK>OK	P917-I0870|P917-I0871|P917-I0872	P912-E1259..P912-E1261|P912-E1262..P912-E1263|P912-E1264..P912-E1264	ansetzen → ansetzen → ansetzen
P928-O0109	P928-F24	P915-C214	f82r	BIOLOGICAL	3	5	K>S>OK	P917-I0868|P917-I0869|P917-I0870	P912-E1256..P912-E1256|P912-E1257..P912-E1258|P912-E1259..P912-E1261	zugeben → auswählen → ansetzen
P928-O0110	P928-F13	P915-C219	f82r	BIOLOGICAL	8	10	OK>SH>K	P917-I0890|P917-I0891|P917-I0892	P912-E1288..P912-E1288|P912-E1289..P912-E1289|P912-E1290..P912-E1291	ansetzen → halten → zugeben
