visible_surface	master_card_id	master_form	renderer_gesture	family_class	semantic_atoms	short_default_de
okal	MC040	okal	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AL	ansetzen+Ziel
qokal	MC040	okal	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AL	ansetzen+Ziel
okchol	MC041	okchol	ZERO	SINGLE_REGISTERED_FORM	OK+OL	ansetzen+weiter
cheedar	MC042	cheedar	ZERO	SINGLE_REGISTERED_FORM	CHD+AR	umsetzen+Quelle
shecthedchy	MC043	shecthedchy	ZERO	SINGLE_REGISTERED_FORM	CTH+CHD+Y	bereit+umsetzen+Posten
qokar	MC044	qokar	ZERO	SINGLE_REGISTERED_FORM	OK+AR	ansetzen+Quelle
olkeedy	MC045	olkeedy	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	SOLK+EE+CLOSE	sammeln+länger+Schluss
solkeedy	MC045	olkeedy	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	SOLK+EE+CLOSE	sammeln+länger+Schluss
raly	MC046	raly	ZERO	SINGLE_REGISTERED_FORM	AL+Y	Ziel+Posten
ykain	MC047	ykain	ZERO	SINGLE_REGISTERED_FORM	Y+AIN	Posten+Anteil
kaiiin	MC048	kaiiin	ZERO	SINGLE_REGISTERED_FORM	IIN	Stufe
schoal	MC049	schoal	ZERO	SINGLE_REGISTERED_FORM	HO+AL	Zutat+Ziel
solkey	MC050	solkey	ZERO	SINGLE_REGISTERED_FORM	SOLK+E+Y	sammeln+kurz+Posten
lchedal	MC051	lchedal	ZERO	SINGLE_REGISTERED_FORM	L+CHD+AL	abführen+umsetzen+Ziel
qekey	MC052	qekey	ZERO	SINGLE_REGISTERED_FORM	KCH+E+Y	bearbeiten+kurz+Posten
otol	MC053	otol	ZERO	SINGLE_REGISTERED_FORM	OT+OL	danach+weiter
qokaly	MC054	qokaly	ZERO	SINGLE_REGISTERED_FORM	OK+AL+Y	ansetzen+Ziel+Posten
char	MC055	char	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	AR	Quelle
dar	MC055	char	D_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	AR	Quelle
sar	MC055	char	S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	AR	Quelle
ral	MC056	ral	ZERO	SINGLE_REGISTERED_FORM	AL	Ziel
otchedy	MC057	otchedy	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OT+CHD+CLOSE	danach+umsetzen+Schluss
qotchedy	MC057	otchedy	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OT+CHD+CLOSE	danach+umsetzen+Schluss
sheckhal	MC058	sheckhal	ZERO	SINGLE_REGISTERED_FORM	CKH+E+AL	Durchlass+kurz+Ziel
dain	MC059	dain	ZERO	SINGLE_REGISTERED_FORM	DAIN	Tuch
otaiin	MC060	otaiin	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OT+AIIN	danach+Sollmaß
sotaiin	MC060	otaiin	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OT+AIIN	danach+Sollmaß
sshkchdy	MC061	sshkchdy	ZERO	SINGLE_REGISTERED_FORM	SH+KCH+CHD+CLOSE	halten+bearbeiten+umsetzen+Schluss
shoyty	MC062	shoyty	ZERO	SINGLE_REGISTERED_FORM	HO+Y+TY	Zutat+Posten+Teil
oteey	MC063	oteey	ZERO	SINGLE_REGISTERED_FORM	OT+EE+Y	danach+länger+Posten
chedchy	MC064	chedchy	ZERO	SINGLE_REGISTERED_FORM	CHD+Y	umsetzen+Posten
ls	MC065	ls	ZERO	SINGLE_REGISTERED_FORM	L	abführen
lcheey	MC066	lcheey	ZERO	SINGLE_REGISTERED_FORM	L+CHEEY	abführen+Ergebnis
otchdy	MC067	otchdy	ZERO	SINGLE_REGISTERED_FORM	OT+CHD+CLOSE	danach+umsetzen+Schluss
sotodan	MC068	sotodan	ZERO	SINGLE_REGISTERED_FORM	OT+DAN	danach+anwenden
otytchol	MC069	otytchol	ZERO	SINGLE_REGISTERED_FORM	OT+TY+OL	danach+Teil+weiter
pchedy	MC070	pchedy	ZERO	SINGLE_REGISTERED_FORM	P+CHD+CLOSE	zuführen+umsetzen+Schluss
dchey	MC071	dchey	ZERO	SINGLE_REGISTERED_FORM	DCHE+Y	Wurzel+Posten
orain	MC072	orain	ZERO	SINGLE_REGISTERED_FORM	OR+AIN	Ansatz+Anteil
qcthey	MC073	qcthey	Q_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CTH+E+Y	bereit+kurz+Posten
shcthey	MC073	qcthey	SH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CTH+E+Y	bereit+kurz+Posten
chdy	MC074	chdy	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHD+Y	umsetzen+Posten
chedy	MC074	chdy	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHD+Y	umsetzen+Posten
ycheor	MC075	ycheor	ZERO	SINGLE_REGISTERED_FORM	Y+CHEO+OR	Posten+Auszug+Ansatz
dsheol	MC076	dsheol	ZERO	SINGLE_REGISTERED_FORM	SH+E+OL	halten+kurz+weiter
kchal	MC077	kchal	ZERO	SINGLE_REGISTERED_FORM	KCH+AL	bearbeiten+Ziel
olsaly	MC078	olsaly	ZERO	SINGLE_REGISTERED_FORM	AL+Y	Ziel+Posten
daldy	MC079	daldy	ZERO	SINGLE_REGISTERED_FORM	AL+CLOSE	Ziel+Schluss
chor	MC080	chor	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OR	Ansatz
or	MC080	chor	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OR	Ansatz
shor	MC080	chor	SH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OR	Ansatz
sor	MC080	chor	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OR	Ansatz
okair	MC081	okair	ZERO	SINGLE_REGISTERED_FORM	OK+AIR	ansetzen+Lauf
qokeedy	MC082	qokeedy	ZERO	SINGLE_REGISTERED_FORM	OK+EE+CLOSE	ansetzen+länger+Schluss
qokedy	MC083	qokedy	ZERO	SINGLE_REGISTERED_FORM	OK+E+CLOSE	ansetzen+kurz+Schluss
rshedy	MC084	rshedy	ZERO	SINGLE_REGISTERED_FORM	WASH+CLOSE	waschen+Schluss
cheoar	MC085	cheoar	ZERO	SINGLE_REGISTERED_FORM	CHEO+AR	Auszug+Quelle
chety	MC086	chety	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	PARTITION+TY	teilen+Teil
chty	MC086	chety	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	PARTITION+TY	teilen+Teil
chodaiin	MC087	chodaiin	ZERO	SINGLE_REGISTERED_FORM	HO+AIIN	Zutat+Sollmaß
qokchdy	MC088	qokchdy	ZERO	SINGLE_REGISTERED_FORM	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss
skar	MC089	skar	ZERO	SINGLE_REGISTERED_FORM	SK+AR	ausgießen+Quelle
kchol	MC090	kchol	ZERO	SINGLE_REGISTERED_FORM	KCH+OL	bearbeiten+weiter
dairydy	MC091	dairydy	ZERO	SINGLE_REGISTERED_FORM	AIR+Y+CLOSE	Lauf+Posten+Schluss
lol	MC092	lol	ZERO	SINGLE_REGISTERED_FORM	L+OL	abführen+weiter
otal	MC093	otal	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OT+AL	danach+Ziel
qotal	MC093	otal	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OT+AL	danach+Ziel
cheeety	MC094	cheeety	ZERO	SINGLE_REGISTERED_FORM	EEE+TY	vollständig+Teil
sheey	MC095	sheey	ZERO	SINGLE_REGISTERED_FORM	SH+EE+Y	halten+länger+Posten
qokeedal	MC096	qokeedal	ZERO	SINGLE_REGISTERED_FORM	OK+EE+AL	ansetzen+länger+Ziel
olkain	MC097	olkain	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OL+AIN	weiter+Anteil
qolkain	MC097	olkain	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL+AIN	weiter+Anteil
tshol	MC098	tshol	ZERO	SINGLE_REGISTERED_FORM	HO+L	Zutat+abführen
cheeckhody	MC099	cheeckhody	ZERO	SINGLE_REGISTERED_FORM	EE+CKH+HO+CLOSE	länger+Durchlass+Zutat+Schluss
ody	MC100	ody	ZERO	SINGLE_REGISTERED_FORM	ODY	kühlen
ldalor	MC101	ldalor	ZERO	SINGLE_REGISTERED_FORM	AL	Ziel
rsheal	MC102	rsheal	ZERO	SINGLE_REGISTERED_FORM	SH+E+AL	halten+kurz+Ziel
chokchy	MC103	chokchy	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	ansetzen+Posten
okchy	MC103	chokchy	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	ansetzen+Posten
qokchy	MC103	chokchy	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	ansetzen+Posten
keol	MC104	keol	ZERO	SINGLE_REGISTERED_FORM	E+OL	kurz+weiter
chkain	MC105	chkain	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AIN	Anteil
kain	MC105	chkain	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	AIN	Anteil
teol	MC106	teol	ZERO	SINGLE_REGISTERED_FORM	E+OL	kurz+weiter
qotchy	MC107	qotchy	ZERO	SINGLE_REGISTERED_FORM	OT+Y	danach+Posten
etyd	MC108	etyd	ZERO	SINGLE_REGISTERED_FORM	E+TY	kurz+Teil
ytey	MC109	ytey	ZERO	SINGLE_REGISTERED_FORM	Y+E+TY	Posten+kurz+Teil
chkeedy	MC110	chkeedy	ZERO	SINGLE_REGISTERED_FORM	CHK+EE+CLOSE	wärmen+länger+Schluss
shfydaiin	MC111	shfydaiin	ZERO	SINGLE_REGISTERED_FORM	SH+AIIN	halten+Sollmaß
octheol	MC112	octheol	ZERO	SINGLE_REGISTERED_FORM	CTH+OL	bereit+weiter
shedal	MC113	shedal	ZERO	SINGLE_REGISTERED_FORM	SHED+AL	absetzen+Ziel
sh	MC114	sh	ZERO	SINGLE_REGISTERED_FORM	SH	halten
qoctholy	MC115	qoctholy	ZERO	SINGLE_REGISTERED_FORM	CTH+OL+Y	bereit+weiter+Posten
schedair	MC116	schedair	ZERO	SINGLE_REGISTERED_FORM	AIR	Lauf
kchy	MC117	kchy	ZERO	SINGLE_REGISTERED_FORM	KCH+Y	bearbeiten+Posten
ly	MC118	ly	ZERO	SINGLE_REGISTERED_FORM	L+Y	abführen+Posten
cheey	MC119	cheey	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHEEY	Ergebnis
shey	MC119	cheey	SH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHEEY	Ergebnis
okaiin	MC120	okaiin	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AIIN	ansetzen+Sollmaß
qokaiin	MC120	okaiin	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AIIN	ansetzen+Sollmaß
otar	MC121	otar	ZERO	SINGLE_REGISTERED_FORM	OT+AR	danach+Quelle
kchey	MC122	kchey	ZERO	SINGLE_REGISTERED_FORM	KCH+E+Y	bearbeiten+kurz+Posten
chey	MC123	chey	CH_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	Posten
chy	MC123	chey	CH_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	Posten
dy	MC123	chey	D_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	Posten
shy	MC123	chey	SH_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	Posten
sy	MC123	chey	S_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	Posten
y	MC123	chey	ZERO	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	Posten
lkedy	MC124	lkedy	ZERO	SINGLE_REGISTERED_FORM	L+E+CLOSE	abführen+kurz+Schluss
chochor	MC125	chochor	ZERO	SINGLE_REGISTERED_FORM	HO+OR	Zutat+Ansatz
pchedal	MC126	pchedal	ZERO	SINGLE_REGISTERED_FORM	P+CHD+AL	zuführen+umsetzen+Ziel
lched	MC127	lched	ZERO	SINGLE_REGISTERED_FORM	L+CHD	abführen+umsetzen
cheedy	MC128	cheedy	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	SHED+E+CLOSE	absetzen+kurz+Schluss
shedy	MC128	cheedy	SH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	SHED+E+CLOSE	absetzen+kurz+Schluss
tedy	MC128	cheedy	T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	SHED+E+CLOSE	absetzen+kurz+Schluss
cfhy	MC129	cfhy	ZERO	SINGLE_REGISTERED_FORM	CFH+Y	auswringen+Posten
lsho	MC130	lsho	ZERO	SINGLE_REGISTERED_FORM	WASH	waschen
choy	MC131	choy	ZERO	SINGLE_REGISTERED_FORM	HO+Y	Zutat+Posten
sheckhy	MC132	sheckhy	ZERO	SINGLE_REGISTERED_FORM	CKH+E+Y	Durchlass+kurz+Posten
lcheckhedy	MC133	lcheckhedy	ZERO	SINGLE_REGISTERED_FORM	L+CKHE+CLOSE	abführen+trennen+Schluss
qolky	MC134	qolky	ZERO	SINGLE_REGISTERED_FORM	OL	weiter
otedy	MC135	otedy	ZERO	SINGLE_REGISTERED_FORM	OT+E+CLOSE	danach+kurz+Schluss
kchoar	MC136	kchoar	ZERO	SINGLE_REGISTERED_FORM	CHEO+AR	Auszug+Quelle
shecthy	MC137	shecthy	ZERO	SINGLE_REGISTERED_FORM	CTH+E+Y	bereit+kurz+Posten
dshedy	MC138	dshedy	ZERO	SINGLE_REGISTERED_FORM	SHED+E+CLOSE	absetzen+kurz+Schluss
dchdy	MC139	dchdy	ZERO	SINGLE_REGISTERED_FORM	CHD+CLOSE	umsetzen+Schluss
qokeeedy	MC140	qokeeedy	ZERO	SINGLE_REGISTERED_FORM	OK+EEE+CLOSE	ansetzen+vollständig+Schluss
tshey	MC141	tshey	ZERO	SINGLE_REGISTERED_FORM	CHEEY	Ergebnis
dchol	MC142	dchol	D_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	DCHOL	vorher
schol	MC142	dchol	S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	DCHOL	vorher
shckhedy	MC143	shckhedy	ZERO	SINGLE_REGISTERED_FORM	CKHE+CLOSE	trennen+Schluss
chldaiin	MC144	chldaiin	ZERO	SINGLE_REGISTERED_FORM	SHED+AIIN	absetzen+Sollmaß
chedain	MC145	chedain	ZERO	SINGLE_REGISTERED_FORM	CHD+AIN	umsetzen+Anteil
chealror	MC146	chealror	ZERO	SINGLE_REGISTERED_FORM	AL+OR	Ziel+Ansatz
cheky	MC147	cheky	ZERO	SINGLE_REGISTERED_FORM	CHK+E+Y	wärmen+kurz+Posten
ykan	MC148	ykan	ZERO	SINGLE_REGISTERED_FORM	Y+AIN	Posten+Anteil
solshedy	MC149	solshedy	ZERO	SINGLE_REGISTERED_FORM	OL+SHED+CLOSE	weiter+absetzen+Schluss
okeeol	MC150	okeeol	ZERO	SINGLE_REGISTERED_FORM	OK+EE+OL	ansetzen+länger+weiter
qokshedy	MC151	qokshedy	ZERO	SINGLE_REGISTERED_FORM	OK+SHED+CLOSE	ansetzen+absetzen+Schluss
ches	MC152	ches	ZERO	SINGLE_REGISTERED_FORM	PARTITION	teilen
cheol	MC153	cheol	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL	weiter
chol	MC153	cheol	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL	weiter
ol	MC153	cheol	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OL	weiter
qol	MC153	cheol	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL	weiter
sol	MC153	cheol	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL	weiter
tol	MC153	cheol	T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL	weiter
al	MC154	al	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	AL	Ziel
chal	MC154	al	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AL	Ziel
cheal	MC154	al	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AL	Ziel
dal	MC154	al	D_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AL	Ziel
sal	MC154	al	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AL	Ziel
tal	MC154	al	T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AL	Ziel
lchedy	MC155	lchedy	ZERO	SINGLE_REGISTERED_FORM	L+CHD+CLOSE	abführen+umsetzen+Schluss
cphy	MC156	cphy	ZERO	SINGLE_REGISTERED_FORM	CPH+Y	nachseihen+Posten
cholor	MC157	cholor	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL+OR	weiter+Ansatz
olor	MC157	cholor	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OL+OR	weiter+Ansatz
cthoor	MC158	cthoor	ZERO	SINGLE_REGISTERED_FORM	CTH+OR	bereit+Ansatz
os	MC159	os	ZERO	SINGLE_REGISTERED_FORM	OS	Gefäß
talam	MC160	talam	ZERO	SINGLE_REGISTERED_FORM	AL+AM	Ziel+verwahren
checthy	MC161	checthy	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	CTH+Y	bereit+Posten
cthy	MC161	checthy	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	CTH+Y	bereit+Posten
shcthy	MC161	checthy	SH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	CTH+Y	bereit+Posten
qolchey	MC162	qolchey	ZERO	SINGLE_REGISTERED_FORM	OL+Y	weiter+Posten
qotchol	MC163	qotchol	ZERO	SINGLE_REGISTERED_FORM	OT+OL	danach+weiter
qokylddy	MC164	qokylddy	ZERO	SINGLE_REGISTERED_FORM	OK+Y+LDDY	ansetzen+Posten+festbinden
qockhey	MC165	qockhey	ZERO	SINGLE_REGISTERED_FORM	OK+CKH+E+Y	ansetzen+Durchlass+kurz+Posten
chkeey	MC166	chkeey	ZERO	SINGLE_REGISTERED_FORM	CHK+EE+Y	wärmen+länger+Posten
lochedy	MC167	lochedy	ZERO	SINGLE_REGISTERED_FORM	L+CHD+CLOSE	abführen+umsetzen+Schluss
lcheckhy	MC168	lcheckhy	ZERO	SINGLE_REGISTERED_FORM	L+CKH+Y	abführen+Durchlass+Posten
cthaiin	MC169	cthaiin	ZERO	SINGLE_REGISTERED_FORM	CTH+AIIN	bereit+Sollmaß
ykaiin	MC170	ykaiin	ZERO	SINGLE_REGISTERED_FORM	Y+AIIN	Posten+Sollmaß
otchey	MC171	otchey	ZERO	SINGLE_REGISTERED_FORM	OT+Y	danach+Posten
daiiin	MC172	daiiin	ZERO	SINGLE_REGISTERED_FORM	IIN	Stufe
qoteedy	MC173	qoteedy	ZERO	SINGLE_REGISTERED_FORM	OT+EE+CLOSE	danach+länger+Schluss
