statement_order	statement_id	record_unit_id	page	visible_surface_sequence	semantic_atom_program	owner_expanded_literal_statement_de	selected_content_layer	current_reading_de
11	H4-S002	H4	f55v	daiin chedy talam	AIIN | CHD+Y | AL+AM	Vorgang=umsetzen; Posten=Posten; Wert=Sollmaß. Vorgang=verwahren; Ziel=gesetzt.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
12	H4-S003	H4	f55v	ykaiin cheoar cheeky oldy	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	Vorgang=wärmen; Posten=Posten+Auszug; Quelle=gesetzt; Wert=Sollmaß; Grad=länger. Vorgang=weiterführen; Reihenfolge=weiter; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
13	H4-S004	H4	f55v	aiin okal oltchy or y orain	AIIN | OK+AL | OL+CTH+Y | OR | Y | OR+AIN	Vorgang=ansetzen; Ziel=gesetzt; Wert=Sollmaß. Vorgang=weiterführen→bereithalten; Reihenfolge=weiter; Posten=Posten+Ansatz; Wert=Anteil; Zustand=bereit.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
14	H5-S001	H5	f56r	chochor cho chodaly daiin sho kchol otchor choky dal	HO+OR | HO | HO+AL+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	Vorgang=zugeben→bearbeiten→weiterführen; Reihenfolge=weiter; Posten=Zutat+Ansatz+Posten; Ziel=gesetzt; Wert=Sollmaß. Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Ansatz+Posten; Ziel=gesetzt.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
15	H5-S002	H5	f56r	schol choy choky cheeckhody	DCHOL | HO+Y | OK+Y | EE+CKH+HO+CLOSE	Vorgang=zugeben→ansetzen; Reihenfolge=vorher; Posten=Vorposten+Zutat+Posten. Vorgang=durchleiten→zugeben; Posten=Zutat; Grad=länger; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
16	H5-S003	H5	f56r	sh cho kchey qokokchy	SH | HO | KCH+E+Y | OK+OK+Y	Vorgang=halten. Vorgang=zugeben→bearbeiten; Posten=Zutat+Posten; Grad=kurz. Vorgang=ansetzen; Posten=Posten.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.
17	H5-S004	H5	f56r	okchy chokcheo kchal	OK+Y | OK+CHEO | KCH+AL	Vorgang=ansetzen; Posten=Posten. Vorgang=ansetzen; Posten=Auszug. Vorgang=bearbeiten; Ziel=gesetzt.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.
18	H5-S005	H5	f56r	sho chokchy kchoar sotodan	HO | OK+Y | CHEO+AR | OT+DAN	Vorgang=zugeben→ansetzen; Posten=Zutat+Posten. Vorgang=folgen→anwenden; Reihenfolge=danach; Posten=Auszug; Quelle=gesetzt.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
19	H5-S006	H5	f56r	otchey keol daiin	OT+Y | E+OL | AIIN	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Posten; Wert=Sollmaß; Grad=kurz.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
20	B1-S001	B1	f81v	qokedy	OK+E+CLOSE	Vorgang=ansetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
21	B1-S002	B1	f81v	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | AIR | OK+AL | AR | OL | AIN | OL+AIN | AL | OL | OL | LOCAL_WHOLE | OL+OR | OL | CKH+E+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+CLOSE	Vorgang=ansetzen; Lauf=gesetzt; Wert=Sollmaß. Vorgang=ansetzen; Quelle=gesetzt; Ziel=gesetzt. Vorgang=weiterführen; Reihenfolge=weiter; Wert=Anteil. Vorgang=weiterführen; Reihenfolge=weiter; Ziel=gesetzt; Wert=Anteil. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=weiterführen; Reihenfolge=weiter; Posten=Zusatz+Ansatz. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=durchleiten; Ziel=gesetzt; Wert=Sollmaß; Grad=kurz. Vorgang=ansetzen; Ziel=gesetzt; Wert=Sollmaß; Grad=länger. Vorgang=durchleiten; Posten=Posten. Vorgang=umsetzen; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
22	B1-S003	B1	f81v	qol sshkchdy	OL | SH+KCH+CHD+CLOSE	Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=halten→bearbeiten→umsetzen; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe
23	B1-S004	B1	f81v	chedy ol shedy	CHD+Y | OL | SHED+E+CLOSE	Vorgang=umsetzen; Posten=Posten. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe
24	B1-S005	B1	f81v	qolchedy	OL+CHD+CLOSE	Vorgang=weiterführen→umsetzen; Reihenfolge=weiter; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe
25	B1-S006	B1	f81v	qokain shckhy dl ral	OK+AIN | CKH+Y | LOCAL_WHOLE | AL	Vorgang=ansetzen; Wert=Anteil. Vorgang=durchleiten; Posten=Posten+Zusatz; Ziel=gesetzt.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.
26	B1-S007	B1	f81v	qokchdy	OK+CHD+CLOSE	Vorgang=ansetzen→umsetzen; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe
27	B1-S008	B1	f81v	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+E+CLOSE	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Posten. Vorgang=wärmen; Posten=Posten; Grad=kurz. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
28	B1-S009	B1	f81v	qokedy	OK+E+CLOSE	Vorgang=ansetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
29	B1-S010	B1	f81v	qokedy	OK+E+CLOSE	Vorgang=ansetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
30	B1-S011	B1	f81v	chckhy qoky	CKH+Y | OK+Y	Vorgang=durchleiten; Posten=Posten. Vorgang=ansetzen; Posten=Posten.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an
31	B1-S012	B1	f81v	lsho qokey lshedy	WASH | OK+E+Y | WASH+CLOSE	Vorgang=waschen. Vorgang=ansetzen; Posten=Posten; Grad=kurz. Vorgang=waschen; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe
32	B1-S013	B1	f81v	lshedy	WASH+CLOSE	Vorgang=waschen; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe
33	B1-S014	B1	f81v	chedy qolky lchedal qol otar	CHD+Y | OL | L+CHD+AL | OL | OT+AR	Vorgang=umsetzen; Posten=Posten. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=abführen→umsetzen; Ziel=gesetzt. Vorgang=weiterführen→folgen; Reihenfolge=weiter+danach; Quelle=gesetzt.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.
34	B1-S015	B1	f81v	ytey okchedy	Y+E+TY | OK+CHD+CLOSE	Vorgang=ansetzen→umsetzen; Posten=Posten+Teil; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe
35	B1-S016	B1	f81v	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+E+CLOSE	Vorgang=ansetzen; Ziel=gesetzt. Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe
36	B1-S017	B1	f81v	sal teol dchdy	AL | E+OL | CHD+CLOSE	Vorgang=weiterführen; Reihenfolge=weiter; Ziel=gesetzt; Grad=kurz. Vorgang=umsetzen; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.
37	B1-S018	B1	f81v	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | IIN | SOLK+EE+CLOSE	Vorgang=abführen; Posten=Posten. Vorgang=halten→weiterführen; Reihenfolge=weiter; Wert=Stufe; Grad=kurz. Vorgang=sammeln; Grad=länger; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.
38	B1-S019	B1	f81v	tedy	SHED+E+CLOSE	Vorgang=absetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe
39	B1-S020	B1	f81v	cheky shckhedy	CHK+E+Y | CKHE+CLOSE	Vorgang=wärmen; Posten=Posten; Grad=kurz. Vorgang=trennen; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe
40	B1-S021	B1	f81v	chal	AL	Vorgang=BILDBESITZER-AKTION; Ziel=gesetzt.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin
41	B2-S001	B2	f82r	dchedy	CHD+CLOSE	Vorgang=umsetzen; Schluss.	ZUBEREITUNG_SERVICE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.
42	B2-S002	B2	f82r	qolchedy	OL+CHD+CLOSE	Vorgang=weiterführen→umsetzen; Reihenfolge=weiter; Schluss.	ZUBEREITUNG_SERVICE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.
43	B2-S003	B2	f82r	qokain dy qokeedy	OK+AIN | Y | OK+EE+CLOSE	Vorgang=ansetzen; Posten=Posten; Wert=Anteil. Vorgang=ansetzen; Grad=länger; Schluss.	ZUBEREITUNG_SERVICE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.
44	B2-S004	B2	f82r	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKHE+CLOSE	Vorgang=ansetzen; Ziel=gesetzt. Vorgang=abführen→durchleiten; Posten=Posten. Vorgang=abführen→umsetzen. Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=abführen→trennen; Schluss.	ZUBEREITUNG_SERVICE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.
45	B2-S005	B2	f82r	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | CTH+OL | CHK+EE+Y | L+CLOSE	Vorgang=ansetzen; Posten=Posten; Ziel=gesetzt. Vorgang=sammeln; Wert=Sollmaß. Vorgang=durchleiten; Posten=Posten. Vorgang=ansetzen; Wert=Sollmaß. Vorgang=ansetzen; Wert=Sollmaß. Vorgang=bereithalten→weiterführen; Reihenfolge=weiter; Zustand=bereit. Vorgang=wärmen; Posten=Posten; Grad=länger. Vorgang=abführen; Schluss.	ZUBEREITUNG_SERVICE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.
46	B2-S006	B2	f82r	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | CKH+E+Y | OK+Y	Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Posten; Ziel=gesetzt; Grad=länger. Vorgang=durchleiten; Posten=Posten; Grad=kurz. Vorgang=ansetzen; Posten=Posten.	ZUBEREITUNG_SERVICE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.
47	B2-S007	B2	f82r	dshedy	SHED+E+CLOSE	Vorgang=absetzen; Grad=kurz; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe.
48	B2-S008	B2	f82r	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+E+CLOSE	Vorgang=folgen→ansetzen; Reihenfolge=danach; Quelle=gesetzt; Wert=Sollmaß. Vorgang=absetzen; Grad=kurz; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe.
49	B2-S009	B2	f82r	solshedy	OL+SHED+CLOSE	Vorgang=weiterführen→absetzen; Reihenfolge=weiter; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Lass weiter absetzen und schließe.
50	B2-S010	B2	f82r	qokeey qoky ls cheey	OK+EE+Y | OK+Y | L | CHEEY	Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=ansetzen; Posten=Posten. Vorgang=abführen; Posten=Ergebnis; Zustand=Ergebnis.	ZUBEREITUNG_SERVICE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.
51	B2-S011	B2	f82r	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+CLOSE	Am Besitzer Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken: Vorgang=ansetzen; Quelle=gesetzt; Wert=Anteil. Am Besitzer Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken: Vorgang=ansetzen; Wert=Anteil. Am Besitzer Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken: Vorgang=ansetzen; Grad=länger; Schluss.	KOERPER_BAD_ANWENDUNG	Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.
52	B2-S012	B2	f82r	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+Y | CHEEY | CTH+E+Y | OK+EE+Y | L+CHEEY | AIIN | Y | OK+EEE+CLOSE	Am Besitzer Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken: Vorgang=abführen; Posten=Posten. Vorgang=bereithalten; Posten=Ergebnis+Posten; Grad=kurz; Zustand=bereit+Ergebnis. Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=abführen; Posten=Ergebnis; Wert=Sollmaß; Zustand=Ergebnis. Vorgang=ansetzen; Posten=Posten; Grad=vollständig; Schluss.	KOERPER_BAD_ANWENDUNG	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.
53	B2-S013	B2	f82r	lchedy	L+CHD+CLOSE	Vorgang=abführen→umsetzen; Schluss.	KOERPER_BAD_ANWENDUNG	Für den Ansatz des grünen Mehrpersonenbeckens: Führe ab und schließe.
54	B2-S014	B2	f82r	lar	L+AR	Vorgang=abführen; Quelle=gesetzt.	KOERPER_BAD_ANWENDUNG	Für den Ansatz des grünen Mehrpersonenbeckens: Führe von dort ab.
55	B2-S015	B2	f82r	tshey qokeedy	CHEEY | OK+EE+CLOSE	Vorgang=ansetzen; Posten=Ergebnis; Grad=länger; Zustand=Ergebnis; Schluss.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.
56	B2-S016	B2	f82r	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | PARTITION | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+CLOSE	Vorgang=abführen→umsetzen; Quelle=gesetzt; Ziel=gesetzt. Vorgang=teilen; Wert=Sollmaß. Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Posten; Wert=Sollmaß; Grad=länger. Vorgang=ansetzen; Posten=Posten; Grad=kurz. Vorgang=zuführen→umsetzen; Schluss.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.
57	B2-S017	B2	f82r	rsheal daldy	SH+E+AL | AL+CLOSE	Vorgang=halten; Ziel=gesetzt; Grad=kurz; Schluss.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.
58	B2-S018	B2	f82r	qokeedy	OK+EE+CLOSE	Vorgang=ansetzen; Grad=länger; Schluss.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.
59	B2-S019	B2	f82r	rshedy	WASH+CLOSE	Vorgang=waschen; Schluss.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Waschgang aus und schließe.
60	B2-S020	B2	f82r	qoteedy	OT+EE+CLOSE	Vorgang=folgen; Reihenfolge=danach; Grad=länger; Schluss.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Nimm die lange Folge und schließe.
61	B2-S021	B2	f82r	qokeedy	OK+EE+CLOSE	Vorgang=ansetzen; Grad=länger; Schluss.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.
62	B2-S022	B2	f82r	lochedy	L+CHD+CLOSE	Vorgang=abführen→umsetzen; Schluss.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Rest ab und schließe.
63	B3-S001	B3	f83r	olkeedy	SOLK+EE+CLOSE	Vorgang=sammeln; Grad=länger; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge der oberen offenen Fächerstation: Sammle länger und schließe.
