writer_order	event_id	macro_item	local_macro	macro_phase	component_parse	procedure_primitive	reading_de
15	E015	W:H2-S001	PFLANZENANSATZ AUF SOLLMASS EINSTELLEN UND WEITERGEBEN	P1_ANSATZ_AKTIVIEREN	Y+CH+E+OR	SOURCE_DRAW	Aus dem Bildbesitzer kurz einen Pflanzenansatz abziehen.
16	E016	W:H2-S001	PFLANZENANSATZ AUF SOLLMASS EINSTELLEN UND WEITERGEBEN	P1_ANSATZ_AKTIVIEREN	CTH+Y	HOLD_STATE	Den Pflanzenansatz als bereit feststellen.
17	E017	W:H2-S001	PFLANZENANSATZ AUF SOLLMASS EINSTELLEN UND WEITERGEBEN	P1_ANSATZ_AKTIVIEREN	OR	ACTIVATE_CHARGE	Den bereiten Ansatz zum laufenden Arbeitsposten machen.
18	E018	W:H2-S001	PFLANZENANSATZ AUF SOLLMASS EINSTELLEN UND WEITERGEBEN	P2_SOLLWERT_EINSTELLEN	CTH+AIIN	METER_CHECK	Den Pflanzenansatz auf Sollmaß bereitstellen.
19	E019	W:H2-S001	PFLANZENANSATZ AUF SOLLMASS EINSTELLEN UND WEITERGEBEN	P2_SOLLWERT_EINSTELLEN	O+CTH+OL+Y	CONTINUE_USE	Den bereiten Pflanzenansatz weiterführen.
20	E020	W:H2-S001	PFLANZENANSATZ AUF SOLLMASS EINSTELLEN UND WEITERGEBEN	P3_WEITERGEBEN	Y	MOVE_PASS	Denselben Pflanzenansatz auf dem gelernten Weg führen.
21	E021	W:H2-S001	PFLANZENANSATZ AUF SOLLMASS EINSTELLEN UND WEITERGEBEN	P3_WEITERGEBEN	Y	CONTINUE_USE	Denselben Pflanzenansatz weiterführen.
22	E022	W:H2-S001	PFLANZENANSATZ AUF SOLLMASS EINSTELLEN UND WEITERGEBEN	P3_WEITERGEBEN	AIIN	METER_CHECK	Seinen Sollwert beim Weitergeben erneut setzen oder prüfen.
23	E023	W:H2-S001	PFLANZENANSATZ AUF SOLLMASS EINSTELLEN UND WEITERGEBEN	P3_WEITERGEBEN	Y	TARGET_HANDOFF	Denselben Pflanzenansatz an die gelernte Zielstelle weitergeben.
74	E074	W:H5-S001	PFLANZENZUSATZ DOSIEREN NACHBESCHICKEN UND EINSETZEN	P1_ERSTE_DOSIERTE_BESCHICKUNG	HO+CH+OR	ACTIVATE_CHARGE	Aus dem Bildbesitzer einen Zusatzansatz abziehen.
75	E075	W:H5-S001	PFLANZENZUSATZ DOSIEREN NACHBESCHICKEN UND EINSETZEN	P1_ERSTE_DOSIERTE_BESCHICKUNG	HO	ACTIVATE_CHARGE	Eine erste Pflanzenzutat nehmen.
76	E076	W:H5-S001	PFLANZENZUSATZ DOSIEREN NACHBESCHICKEN UND EINSETZEN	P1_ERSTE_DOSIERTE_BESCHICKUNG	HO+AL+Y	TARGET_HANDOFF	Diese Zutat an die gelernte Arbeitsstelle bringen.
77	E077	W:H5-S001	PFLANZENZUSATZ DOSIEREN NACHBESCHICKEN UND EINSETZEN	P1_ERSTE_DOSIERTE_BESCHICKUNG	AIIN	METER_CHECK	Die erste Beschickung auf Sollmaß setzen.
78	E078	W:H5-S001	PFLANZENZUSATZ DOSIEREN NACHBESCHICKEN UND EINSETZEN	P2_NACHBESCHICKEN	HO	ACTIVATE_CHARGE	Eine weitere Pflanzenzutat nehmen.
79	E079	W:H5-S001	PFLANZENZUSATZ DOSIEREN NACHBESCHICKEN UND EINSETZEN	P2_NACHBESCHICKEN	K+OL	MOVE_PASS	Diese weitere Zutat in denselben Arbeitsgang zuführen.
80	E080	W:H5-S001	PFLANZENZUSATZ DOSIEREN NACHBESCHICKEN UND EINSETZEN	P3_FOLGEANSATZ_EINSETZEN	OT+CH+OR	ACTIVATE_CHARGE	Danach den Folgeansatz abziehen oder bereitstellen.
81	E081	W:H5-S001	PFLANZENZUSATZ DOSIEREN NACHBESCHICKEN UND EINSETZEN	P3_FOLGEANSATZ_EINSETZEN	OK+Y	CONTINUE_USE	Diesen Folgeansatz einsetzen.
82	E082	W:H5-S001	PFLANZENZUSATZ DOSIEREN NACHBESCHICKEN UND EINSETZEN	P3_FOLGEANSATZ_EINSETZEN	AL	TARGET_HANDOFF	Den Folgeansatz an die gelernte Zielstelle bringen.
102	E102	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P1_ZULAUF_EINSTELLEN	OK+AIIN	METER_CHECK	Sollmaß für die Arbeitsflüssigkeit setzen.
103	E103	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P1_ZULAUF_EINSTELLEN	K+AIR	MOVE_PASS	Arbeitsflüssigkeit in den sichtbaren Lauf geben.
104	E104	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P1_ZULAUF_EINSTELLEN	OK+AL	TARGET_HANDOFF	Den Lauf auf das gemeinsame Becken richten.
105	E105	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P1_ZULAUF_EINSTELLEN	AR	SOURCE_DRAW	Aus der Arbeitsflüssigkeit speisen.
106	E106	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P1_ZULAUF_EINSTELLEN	OL	CONTINUE_USE	Den eingestellten Zulauf fortführen.
107	E107	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P2_DOPPELTE_PORTION	K+AIN	ACTIVATE_CHARGE	Erste Portion derselben Laufflüssigkeit abteilen.
108	E108	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P2_DOPPELTE_PORTION	OL+K+AIN	ACTIVATE_CHARGE	Zweite parallele Portion aus derselben Laufflüssigkeit abteilen.
109	E109	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P2_DOPPELTE_PORTION	AL	TARGET_HANDOFF	Beide Portionen an das gemeinsame Becken führen.
110	E110	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P2_DOPPELTE_PORTION	OL	CONTINUE_USE	Die Doppelportion fortführen.
111	E111	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P2_DOPPELTE_PORTION	R+OL	HOLD_STATE	Die Doppelportion weiter abkühlen oder temperieren.
112	E112	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P2_DOPPELTE_PORTION	L	MOVE_PASS	Die temperierte Doppelportion weiterführen.
113	E113	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P3_NACHANSATZ_HALTEGANG	OL+OR	ACTIVATE_CHARGE	Aus dem temperierten Vorrat den nächsten Ansatz setzen.
114	E114	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P3_NACHANSATZ_HALTEGANG	OL	CONTINUE_USE	Den Nachansatz fortführen.
115	E115	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P3_NACHANSATZ_HALTEGANG	SH+E+CKH+AL	HOLD_STATE	Kurz an der Durchgangsstelle halten.
116	E116	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P3_NACHANSATZ_HALTEGANG	AIIN	METER_CHECK	Den Sollwert am Durchgang prüfen oder setzen.
117	E117	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P3_NACHANSATZ_HALTEGANG	OK+EE+AL	HOLD_STATE	Länger am gemeinsamen Becken halten.
118	E118	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P3_NACHANSATZ_HALTEGANG	AIIN	METER_CHECK	Den Sollwert am Becken prüfen oder setzen.
119	E119	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P3_NACHANSATZ_HALTEGANG	CKH+Y	MOVE_PASS	Durch den lokalen Durchlass führen.
120	E120	W:B1-S002	BECKENZULAUF ZWEIFACH DOSIEREN UND TEMPERIEREN	P3_NACHANSATZ_HALTEGANG	CHD+DY	CLOSE	In den nächsten Zustand umsetzen und den Schritt schließen.
270	E270	W:B3-S021	UEBERGABE MIT DOPPELTER SOLLPRUEFUNG	P1_ERSTE_SOLLPRUEFUNG	OK+AIIN	METER_CHECK	Ersten Sollwert für den laufenden Stationsansatz setzen.
271	E271	W:B3-S021	UEBERGABE MIT DOPPELTER SOLLPRUEFUNG	P1_ERSTE_SOLLPRUEFUNG	CTH+Y	HOLD_STATE	Den Ansatz als bereit feststellen.
272	E272	W:B3-S021	UEBERGABE MIT DOPPELTER SOLLPRUEFUNG	P1_ERSTE_SOLLPRUEFUNG	AL	TARGET_HANDOFF	Den ungezeichneten Übergabepunkt adressieren.
273	E273	W:B3-S021	UEBERGABE MIT DOPPELTER SOLLPRUEFUNG	P1_ERSTE_SOLLPRUEFUNG	Y	CONTINUE_USE	Denselben Stationsansatz weiterführen.
274	E274	W:B3-S021	UEBERGABE MIT DOPPELTER SOLLPRUEFUNG	P2_ABSETZEN_UND_ZWEITPRUEFEN	AIIN	METER_CHECK	Den Sollwert am Übergabepunkt erneut setzen.
275	E275	W:B3-S021	UEBERGABE MIT DOPPELTER SOLLPRUEFUNG	P2_ABSETZEN_UND_ZWEITPRUEFEN	SHED+AL	HOLD_STATE	Den Ansatz am Übergabepunkt absetzen.
276	E276	W:B3-S021	UEBERGABE MIT DOPPELTER SOLLPRUEFUNG	P2_ABSETZEN_UND_ZWEITPRUEFEN	SH+E+CTH+Y	HOLD_STATE	Den Ansatz dort kurz im bereiten Zustand halten.
277	E277	W:B3-S021	UEBERGABE MIT DOPPELTER SOLLPRUEFUNG	P3_UEBERGEBEN	Y	CONTINUE_USE	Denselben Stationsansatz wieder aufnehmen.
278	E278	W:B3-S021	UEBERGABE MIT DOPPELTER SOLLPRUEFUNG	P3_UEBERGEBEN	AL	TARGET_HANDOFF	Den Übergabepunkt erneut adressieren.
279	E279	W:B3-S021	UEBERGABE MIT DOPPELTER SOLLPRUEFUNG	P3_UEBERGEBEN	CTH+Y	HOLD_STATE	Bereitschaft unmittelbar vor der Übergabe feststellen.
280	E280	W:B3-S021	UEBERGABE MIT DOPPELTER SOLLPRUEFUNG	P3_UEBERGEBEN	AL+CHD+DY	CLOSE	Den Ansatz am Übergabepunkt überführen und den Schritt schließen.
