edge_stem_id	edge	surface_stem	component_recipe	literal_working_value_de	running_extension_type_count	running_matching_type_count	running_type_precision	running_matching_event_count	running_matching_pages	learned_label_hit_count	learned_label_pages	learned_label_surfaces	working_rule_de	claim_status
G460-E12	SUFFIX	alor	AL+OR	ZIELORT · EINHEIT	4	4	1.000000	4	f76r|f77r|f83r	1	f71v	opalor	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E13	SUFFIX	cphy	CH+P+Y	NEHMEN · EINSETZEN · POSTEN	4	4	1.000000	5	f24v|f56r|f76r|f81r|f89r	1	f71v	alcphy	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E14	SUFFIX	cthy	CH+T+Y	NEHMEN · EINSTELLEN · POSTEN	12	12	1.000000	37	f10r|f17r|f18r|f1r|f24v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	1	f88v	cheocthy	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E15	SUFFIX	oiin	O+IIN	AUSFÜHRUNG · STUFE	6	6	1.000000	8	f10r|f13r|f1r|f67r2|f81r|f82r|f89r|f95v	1	f89r	opchoroiin	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E16	SUFFIX	ain	AIN	ANTEIL	53	53	1.000000	214	f10r|f11r|f17r|f18r|f1r|f24v|f55v|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	3	f89r	oporain|otorain|yorain	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E17	SUFFIX	aly	AL+Y	ZIELORT · POSTEN	20	20	1.000000	26	f1r|f56r|f67r2|f71v|f72r|f76r|f77r|f81r|f82r|f83r|f88r|f88v|f89r|f95v	4	f71v|f72r	ainaly|alaly|chfaly|eeesaly	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E18	SUFFIX	dal	AL	ZIELORT	22	20	0.909091	27	f13r|f1r|f24v|f71v|f72r|f76r|f81v|f83r|f88v|f89r|f95v	2	f72r|f88v	daramdal|otchdal	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E19	SUFFIX	oly	OL+Y	FORTSETZEN · POSTEN	14	13	0.928571	19	f10r|f13r|f56r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81r|f82r|f89r	1	f89r	doly	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E20	SUFFIX	ory	OR+Y	EINHEIT · POSTEN	5	5	1.000000	5	f13r|f1r|f76r|f88r	1	f89r	odory	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E21	SUFFIX	shy	Y	POSTEN	15	15	1.000000	19	f11r|f13r|f17r|f1r|f75r|f76r|f81v|f82r|f88v|f95v	1	f72r	otchoshy	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E22	SUFFIX	ydy	Y+DY	POSTEN · SCHLUSS	4	4	1.000000	4	f17r|f67r2|f83r|f95v	1	f72r	fydy	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E23	SUFFIX	al	AL	ZIELORT	81	78	0.962963	215	f10r|f11r|f13r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	11	f72r|f77r|f88v|f89r	daramdal|ofakal|okeal|oletal|olfsheoral|opalal|oraiiral|otchdal|ralal|soral|ytairal	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E24	SUFFIX	am	AM_ADDR	HIER	26	25	0.961538	40	f17r|f1r|f24v|f55v|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	12	f72r|f88v|f89r	okaircham|okalam|okaram|okarcham|oldam|opchosam|oraiinam|oralkam|otolam|otoram|saldam|sharam	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E25	SUFFIX	ar	AR	AUSGANG	86	84	0.976744	243	f10r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	7	f71v|f72r|f77r	chosar|darchdar|ofaralar|okealar|okolar|opalar|ytoar	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E26	SUFFIX	ol	OL	FORTSETZEN	111	102	0.918919	338	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	5	f72r|f88v|f89r	otokol|otolarol|qkol|saloiinsheol|ykolairol	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E27	SUFFIX	or	OR	EINHEIT	101	94	0.930693	183	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	2	f71v|f88v	cpheor|opalor	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
