edge_id	batch_id	span_id	page	physical_folio	locus	ol_ordinal	field_start_ordinal	field_end_ordinal	written_span_eva	registered_fused_form	head_id	body_surface	selection_rule	score_eligible	component_export_credit
G777-E014	GDT777_REGISTERED_WHOLE	G777-S014	f77v	f77	f77v.41	9	10	10	ol raiin	raiin	H3	aiin	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E015	GDT777_REGISTERED_SPLIT	G777-S015	f78r	f78	f78r.37	2	3	4	ol s aiin	saiin	H2	aiin	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E016	GDT777_REGISTERED_WHOLE	G777-S016	f79r	f79	f79r.23	4	5	5	ol lkain	lkain	H4	kain	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E017	GDT777_REGISTERED_WHOLE	G777-S017	f80r	f80	f80r.36	10	11	11	ol lom	lom	H4	om	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E018	GDT777_REGISTERED_WHOLE	G777-S018	f81v	f81	f81v.1	7	8	8	ol pchedy	pchedy	H1	chedy	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E019	GDT777_REGISTERED_WHOLE	G777-S019	f81v	f81	f81v.2	10	11	11	ol rol	rol	H3	ol	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E020	GDT777_REGISTERED_WHOLE	G777-S020	f82r	f82	f82r.31	2	3	3	ol rsheedy	rsheedy	H3	sheedy	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E021	GDT777_REGISTERED_SPLIT	G777-S021	f85r1	f85	f85r1.13	7	8	9	ol s aiin	saiin	H2	aiin	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E022	GDT777_REGISTERED_WHOLE	G777-S022	f85r2	f85	f85r2.23	1	2	2	ol lcheol	lcheol	H4	cheol	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E023	GDT777_REGISTERED_SPLIT	G777-S023	f94v	f94	f94v.9	8	9	10	ol s aiin	saiin	H2	aiin	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
