global_teaching_order	hierarchy_level	entry_id	surface_symbol_or_pattern	minimal_dictionary_value_de	dictionary_status	original_layer_function	concrete_content_source
41	L2_LEARNED_NOMENCLATOR	S01_DAIN	dain	Tuch|Portion	LEARNED_WHOLE_CARD_VALUE	Prosa: Tuch / Astro: Portion	learned workshop convention and local owner
42	L2_LEARNED_NOMENCLATOR	S02_ODY	ody	kühlen|markieren	LEARNED_WHOLE_CARD_VALUE	Prosa: kühlen / Astro: markieren	learned workshop convention and local owner
43	L2_LEARNED_NOMENCLATOR	S03_OS	os	Gefäß|Feld	LEARNED_WHOLE_CARD_VALUE	Prosa: Gefäß / Astro: Feld	learned workshop convention and local owner
44	L2B_SIMULATED_MASTER_SUPPLEMENT	M01	[M01]	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	wärmen	the spoken master lesson
45	L2B_SIMULATED_MASTER_SUPPLEMENT	M02	[M02]	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	trennen	the spoken master lesson
46	L2B_SIMULATED_MASTER_SUPPLEMENT	M03	[M03]	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	kurz schluss	the spoken master lesson
47	L2B_SIMULATED_MASTER_SUPPLEMENT	M04	[M04]	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	laenger schluss	the spoken master lesson
48	L3_SILENT_MEMORY_REGISTER	MEM_OWNER	<OWNER>	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	welches Bildobjekt oder welche lokale Station die stillen Substantive liefert	linke Randmarke oder Finger am Bild
49	L3_SILENT_MEMORY_REGISTER	MEM_ACTIVE	<ACTIVE>	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	der gerade bearbeitete Posten oder Ansatz	ein verschiebbarer Stein oder Wachstafelstrich
50	L3_SILENT_MEMORY_REGISTER	MEM_TARGET	<TARGET>	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	die örtlich bezeichnete Zielstelle, Öffnung, Schale oder Tabellenzelle	zweite Randkerbe oder Zeigefinger auf der Zielstation
51	L3_SILENT_MEMORY_REGISTER	MEM_PREVIOUS	<PREVIOUS>	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	genau den unmittelbar zuvor abgelegten oder verdrängten Posten	eine einzelne Kerbe; keine Liste früherer Posten
52	L4_PROCESS_MACRO	MAC_M01	CONTINUE>CONTINUE>CONTINUE	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	denselben Gang über drei Teilposten fortführen	the sequence of independently read cards and memory state
53	L4_PROCESS_MACRO	MAC_M02	SET>CONTINUE>SETTLE	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	ansetzen, im selben Gang weiterführen und absetzen lassen	the sequence of independently read cards and memory state
54	L4_PROCESS_MACRO	MAC_M03	TRANSFER>CONTINUE>LEAD_OUT	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	umsetzen, weiterführen und am Ende abführen	the sequence of independently read cards and memory state
55	L4_PROCESS_MACRO	MAC_M04	READY>DIVIDE	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	bereitstellen und einen Teil abtrennen	the sequence of independently read cards and memory state
56	L4_PROCESS_MACRO	MAC_M05	CONTINUE>SET	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	weiterführen und den nächsten Posten ansetzen	the sequence of independently read cards and memory state
57	L4_PROCESS_MACRO	MAC_M06	SET>CONTINUE	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	ansetzen und im selben Gang weiterführen	the sequence of independently read cards and memory state
58	L4_PROCESS_MACRO	MAC_M07	SET>PASSAGE	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	ansetzen und durch den örtlichen Gang führen	the sequence of independently read cards and memory state
59	L4_PROCESS_MACRO	MAC_M08	PASSAGE>SET	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	durchleiten und am folgenden Posten ansetzen	the sequence of independently read cards and memory state
60	L4_PROCESS_MACRO	MAC_M09	SET>READY	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	ansetzen und bereitstellen	the sequence of independently read cards and memory state
61	L4_PROCESS_MACRO	MAC_M10	SET>SETTLE	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	ansetzen und absetzen lassen	the sequence of independently read cards and memory state
62	L4_PROCESS_MACRO	MAC_M11	CONTINUE>SETTLE	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	weiterführen und absetzen lassen	the sequence of independently read cards and memory state
63	L4_PROCESS_MACRO	MAC_M12	READY>SET	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	den bereitgestellten Posten ansetzen	the sequence of independently read cards and memory state
64	L4_PROCESS_MACRO	MAC_M13	TRANSFER>SET	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	umsetzen und neu ansetzen	the sequence of independently read cards and memory state
65	L4_PROCESS_MACRO	MAC_M14	SET>TRANSFER	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	ansetzen und umsetzen	the sequence of independently read cards and memory state
66	L4_PROCESS_MACRO	MAC_M15	TRANSFER>CONTINUE	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	umsetzen und weiterführen	the sequence of independently read cards and memory state
67	L4_PROCESS_MACRO	MAC_M16	CONTINUE>LEAD_OUT	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	weiterführen und abführen	the sequence of independently read cards and memory state
68	L4_PROCESS_MACRO	MAC_M17	CONTINUE>TRANSFER	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	weiterführen und umsetzen	the sequence of independently read cards and memory state
69	L4_PROCESS_MACRO	MAC_M18	WARM>CONTINUE	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	erwärmen und im selben Gang weiterführen	the sequence of independently read cards and memory state
70	L4_PROCESS_MACRO	MAC_M19	SET>SET	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	zwei aufeinanderfolgende Setzungen ausführen	the sequence of independently read cards and memory state
71	L4_PROCESS_MACRO	MAC_M20	CONTINUE>CONTINUE	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	denselben Gang über zwei Teilposten fortführen	the sequence of independently read cards and memory state
72	L5_VISIBLE_OWNER	OWNER_BASIN_STATION	BASIN_STATION	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	die aktuelle Beckencharge	the visible plant, basin, cloth, diagram, or current workpiece
73	L5_VISIBLE_OWNER	OWNER_CELESTIAL_TABLE	CELESTIAL_TABLE	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	der aktuelle Tabellenwert	the visible plant, basin, cloth, diagram, or current workpiece
74	L5_VISIBLE_OWNER	OWNER_CLOTH_FILTER	CLOTH_FILTER	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	der aktuelle Tuchposten	the visible plant, basin, cloth, diagram, or current workpiece
75	L5_VISIBLE_OWNER	OWNER_GENERIC_WORKPIECE	GENERIC_WORKPIECE	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	das aktuelle Werkstück	the visible plant, basin, cloth, diagram, or current workpiece
76	L5_VISIBLE_OWNER	OWNER_PLANT_BATCH	PLANT_BATCH	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	der aktuelle Pflanzenposten	the visible plant, basin, cloth, diagram, or current workpiece
77	L6_ASTRO_LOCAL_MODULE	F67_RIGHT_WHEEL_NS	RIGHT_CELESTIAL_WHEEL	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere eine einzelne Bedingungs- oder Vergleichsangabe für den Arbeitsfall.	the drawn panel, wheel, star locus, or local master key
78	L6_ASTRO_LOCAL_MODULE	F67_LEFT_WHEEL_NS	LEFT_CELESTIAL_WHEEL	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere eine einzelne Bedingungs- oder Vergleichsangabe für den Arbeitsfall.	the drawn panel, wheel, star locus, or local master key
79	L6_ASTRO_LOCAL_MODULE	F67_PAIRED_LEGEND_QUARANTINE_NS	UNRESOLVED_PAGE_LEGEND	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere eine einzelne Bedingungs- oder Vergleichsangabe für den Arbeitsfall.	the drawn panel, wheel, star locus, or local master key
80	L6_ASTRO_LOCAL_MODULE	F68_LEFT_PANEL_HEADER_NS	LEFT_PANEL_HEADER	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere Stationsklasse und Bedingungswert, ohne die 28 Sterne zu einer Folge zu zwingen.	the drawn panel, wheel, star locus, or local master key
81	L6_ASTRO_LOCAL_MODULE	F68_MIDDLE_PANEL_HEADER_NS	MIDDLE_PANEL_HEADER	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere Stationsklasse und Bedingungswert, ohne die 28 Sterne zu einer Folge zu zwingen.	the drawn panel, wheel, star locus, or local master key
82	L6_ASTRO_LOCAL_MODULE	F68_RIGHT_PANEL_HEADER_NS	RIGHT_PANEL_HEADER	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere Stationsklasse und Bedingungswert, ohne die 28 Sterne zu einer Folge zu zwingen.	the drawn panel, wheel, star locus, or local master key
83	L6_ASTRO_LOCAL_MODULE	F68_MULTIPANEL_HEADER_QUARANTINE_NS	UNRESOLVED_MULTIPANEL_HEADER	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere Stationsklasse und Bedingungswert, ohne die 28 Sterne zu einer Folge zu zwingen.	the drawn panel, wheel, star locus, or local master key
84	L6_ASTRO_LOCAL_MODULE	F68_CENTRE_KEY_QUARANTINE_NS	UNRESOLVED_FACE_CENTRE_KEY	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere Stationsklasse und Bedingungswert, ohne die 28 Sterne zu einer Folge zu zwingen.	the drawn panel, wheel, star locus, or local master key
85	L6_ASTRO_LOCAL_MODULE	F68_LOCAL_STAR_SLOT_NS	LOCAL_STAR_SLOT_POOL	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere Stationsklasse und Bedingungswert, ohne die 28 Sterne zu einer Folge zu zwingen.	the drawn panel, wheel, star locus, or local master key
86	L6_ASTRO_LOCAL_MODULE	F68_CENTRAL_LEGEND_QUARANTINE_NS	UNRESOLVED_CENTRAL_LEGEND	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere Stationsklasse und Bedingungswert, ohne die 28 Sterne zu einer Folge zu zwingen.	the drawn panel, wheel, star locus, or local master key
87	L6_ASTRO_LOCAL_MODULE	F69_LEFT_WHEEL_NS	LEFT_WHEEL_WITH_28_UNORDERED_SLOTS	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere bis zu drei getrennte Werte, wenn der Meister sie für denselben Auftrag zusammenstellt.	the drawn panel, wheel, star locus, or local master key
88	L6_ASTRO_LOCAL_MODULE	F69_MIDDLE_WHEEL_NS	MIDDLE_WAVE_OR_CLOUD_WHEEL	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere bis zu drei getrennte Werte, wenn der Meister sie für denselben Auftrag zusammenstellt.	the drawn panel, wheel, star locus, or local master key
89	L6_ASTRO_LOCAL_MODULE	F69_RIGHT_WHEEL_NS	RIGHT_FACE_RAY_WHEEL	—	NOT_A_WORD__WORKSHOP_CONTEXT_LAYER	Notiere bis zu drei getrennte Werte, wenn der Meister sie für denselben Auftrag zusammenstellt.	the drawn panel, wheel, star locus, or local master key
