unit_id	page	owner	group_count	surface_sequence	minimal_card_sequence_de	clause_shape_sequence	owner_augmented_minimal_reading_de	rich_master_reading_de
H4-S002	f55v	der ganzen breitblättrigen rispigen Bildpflanze	3	daiin chedy talam	Sollwert; umsetzen + dies; am Ziel verwahren	C10>C07>C01	Bei der ganzen breitblättrigen rispigen Bildpflanze: Sollwert; umsetzen + dies; am Ziel verwahren.	Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.
H4-S003	f55v	der ganzen breitblättrigen rispigen Bildpflanze	4	ykaiin cheoar cheeky oldy	dies + Sollwert; Auszug + Quelle; wärmen + länger + dies; weiter + Ende	C10>C09>C03>C02	Bei der ganzen breitblättrigen rispigen Bildpflanze: dies + Sollwert; Auszug + Quelle; wärmen + länger + dies; weiter + Ende.	Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.
H4-S004	f55v	der ganzen breitblättrigen rispigen Bildpflanze	6	aiin okal oltchy or y orain	Sollwert; ansetzen + Ziel; weiter + bereit + dies; Ansatz; dies; Ansatz + Anteil	C10>C04>C02>C09>C12>C09	Bei der ganzen breitblättrigen rispigen Bildpflanze: Sollwert; ansetzen + Ziel; weiter + bereit + dies; Ansatz; dies; Ansatz + Anteil.	Nimm ein örtliches Maß der zurückbehaltenen Blätter. Lege sie an die bezeichnete äußere Stelle. Erwärme sie gelinde. Führe sie als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.
H5-S001	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	9	chochor cho chodaly daiin sho kchol otchor choky dal	Zutatenansatz; Eingangsposten oder Zutat; diese Zutat zur Stelle bringen; Sollwert; Zutat; bearbeiten + weiter; danach + Ansatz; ansetzen + dies; Ziel	C01>C01>C01>C10>C01>C02>C02>C07>C11	Bei der ganzen mehrköpfigen stacheligen Bildpflanze: Zutatenansatz; Eingangsposten oder Zutat; diese Zutat zur Stelle bringen; Sollwert; Zutat; bearbeiten + weiter; danach + Ansatz; ansetzen + dies; Ziel.	Von der abgebildeten, unbenannten Pflanze. Sammle das ganze oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter. Lege sie als Auflage auf. Auf eine einzelne Warze oder ein Hühnerauge. Lass die Auflage nur kurz einwirken. An der örtlich bezeichneten Hautstelle.
H5-S002	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	4	schol choy choky cheeckhody	vorher + weiter; diese Zutat; ansetzen + dies; länger auftragen; Schluss	C02>C01>C07>C01	Bei der ganzen mehrköpfigen stacheligen Bildpflanze: vorher + weiter; diese Zutat; ansetzen + dies; länger auftragen; Schluss.	Nimm die Auflage wieder ab. Wasche die Stelle mit Wasser. Wiederhole den Gebrauch nur, wenn er vertragen wird. Beende die äußere Anwendung.
H5-S003	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	4	sh cho kchey qokokchy	halten; Eingangsposten oder Zutat; bearbeiten + kurz + dies; ansetzen + ansetzen + dies	C08>C01>C03>C07	Bei der ganzen mehrköpfigen stacheligen Bildpflanze: halten; Eingangsposten oder Zutat; bearbeiten + kurz + dies; ansetzen + ansetzen + dies.	Nimm vom übrigen Kraut die blühenden Stiele. Trockne sie im Schatten. Zerreibe sie grob. Verwahre sie trocken.
H5-S004	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	3	okchy chokcheo kchal	ansetzen + dies; ansetzen + Auszug; bearbeiten + Ziel	C07>C05>C04	Bei der ganzen mehrköpfigen stacheligen Bildpflanze: ansetzen + dies; ansetzen + Auszug; bearbeiten + Ziel.	Setze daraus einen schwachen Auszug an. Nimm milden Wein als Medium. Seihe ihn durch ein Tuch.
H5-S005	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	4	sho chokchy kchoar sotodan	Zutat; ansetzen + dies; Auszug + Quelle; danach + anwenden	C01>C07>C09>C02	Bei der ganzen mehrköpfigen stacheligen Bildpflanze: Zutat; ansetzen + dies; Auszug + Quelle; danach + anwenden.	Gib Honig hinzu. Erwärme gelinde. Gib den Auszug als Brusttrank. Gebrauche ihn bei trockenem Husten.
H5-S006	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	3	otchey keol daiin	danach + dies; kurz + weiter; Sollwert	C02>C02>C10	Bei der ganzen mehrköpfigen stacheligen Bildpflanze: danach + dies; kurz + weiter; Sollwert.	Führe den ausgewählten Trankanteil als Gabe. Je Gabe. Nimm ein kleines örtliches Maß.
B1-S001	f81v	dem gemeinsamen zweireihigen Becken	1	qokedy	ansetzen + kurz + Ende	C03	Bei dem gemeinsamen zweireihigen Becken: ansetzen + kurz + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.
B1-S002	f81v	dem gemeinsamen zweireihigen Becken	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	ansetzen + Sollwert; Lauf; ansetzen + Ziel; Quelle; weiter; Anteil; weiter + Anteil; Ziel; weiter; weiter; Zusatz; weiter + Ansatz; weiter; Durchlass + kurz + Ziel; Sollwert; ansetzen + länger + Ziel; Sollwert; Durchlass + dies; umsetzen + Ende	C06>C09>C04>C09>C02>C10>C02>C11>C02>C02>C01>C02>C02>C03>C10>C03>C10>C07>C08	Bei dem gemeinsamen zweireihigen Becken: ansetzen + Sollwert; Lauf; ansetzen + Ziel; Quelle; weiter; Anteil; weiter + Anteil; Ziel; weiter; weiter; Zusatz; weiter + Ansatz; weiter; Durchlass + kurz + Ziel; Sollwert; ansetzen + länger + Ziel; Sollwert; Durchlass + dies; umsetzen + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der zurücklaufende Strom. Den aktiven Posten an der örtlich bezeichneten Station führen. Daraus, aus demselben Ansatz. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Ein abgemessener Anteil. Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bevor es abkühlt. Der vorbereitete Bade- oder Waschzusatz. Den vorigen recordlokalen Posten wieder aufnehmen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Eine mäßige Menge. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der eingetauchte Teil. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Durch die verbundenen Läufe. Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.
B1-S003	f81v	dem gemeinsamen zweireihigen Becken	2	qol sshkchdy	weiter; halten + bearbeiten + umsetzen + Ende	C02>C08	Bei dem gemeinsamen zweireihigen Becken: weiter; halten + bearbeiten + umsetzen + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Halte es warm und beende den Schritt.
B1-S004	f81v	dem gemeinsamen zweireihigen Becken	3	chedy ol shedy	umsetzen + dies; weiter; absetzen + kurz + Ende	C07>C02>C03	Bei dem gemeinsamen zweireihigen Becken: umsetzen + dies; weiter; absetzen + kurz + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.
B1-S005	f81v	dem gemeinsamen zweireihigen Becken	1	qolchedy	weiter + umsetzen + Ende	C02	Bei dem gemeinsamen zweireihigen Becken: weiter + umsetzen + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.
B1-S006	f81v	dem gemeinsamen zweireihigen Becken	4	qokain shckhy dl ral	ansetzen + Anteil; Durchlass + dies; Zusatz; Ziel	C06>C07>C01>C11	Bei dem gemeinsamen zweireihigen Becken: ansetzen + Anteil; Durchlass + dies; Zusatz; Ziel.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Gib einen abgemessenen Anteil in das Gefäß. Durch die verbundenen Läufe. Der vorbereitete Bade- oder Waschzusatz. Und lasse es abkühlen.
B1-S007	f81v	dem gemeinsamen zweireihigen Becken	1	qokchdy	ansetzen + umsetzen + Ende	C08	Bei dem gemeinsamen zweireihigen Becken: ansetzen + umsetzen + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Erwärme es einmal und beende den Schritt.
B1-S008	f81v	dem gemeinsamen zweireihigen Becken	5	chey ol cheky ol shedy	dies; weiter; wärmen + kurz + dies; weiter; absetzen + kurz + Ende	C12>C02>C03>C02>C03	Bei dem gemeinsamen zweireihigen Becken: dies; weiter; wärmen + kurz + dies; weiter; absetzen + kurz + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Diese aktive Portion. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bei sanfter Wärme. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.
B1-S009	f81v	dem gemeinsamen zweireihigen Becken	1	qokedy	ansetzen + kurz + Ende	C03	Bei dem gemeinsamen zweireihigen Becken: ansetzen + kurz + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.
B1-S010	f81v	dem gemeinsamen zweireihigen Becken	1	qokedy	ansetzen + kurz + Ende	C03	Bei dem gemeinsamen zweireihigen Becken: ansetzen + kurz + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.
B1-S011	f81v	dem gemeinsamen zweireihigen Becken	2	chckhy qoky	Durchlass + dies; ansetzen + dies	C07>C07	Bei dem gemeinsamen zweireihigen Becken: Durchlass + dies; ansetzen + dies.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Durch die verbundenen Läufe. Die Badecharge am vorgesehenen Waschplatz gebrauchen.
B1-S012	f81v	dem gemeinsamen zweireihigen Becken	3	lsho qokey lshedy	Waschgang beginnen; ansetzen + kurz + dies; waschen + Ende	C01>C03>C08	Bei dem gemeinsamen zweireihigen Becken: Waschgang beginnen; ansetzen + kurz + dies; waschen + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Beginne die Spülung. Warmes Wasser. Wasche einmal und beende diesen Durchgang.
B1-S013	f81v	dem gemeinsamen zweireihigen Becken	1	lshedy	waschen + Ende	C08	Bei dem gemeinsamen zweireihigen Becken: waschen + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Wasche einmal und beende diesen Durchgang.
B1-S014	f81v	dem gemeinsamen zweireihigen Becken	5	chedy qolky lchedal qol otar	umsetzen + dies; weiter; zur Ablaufstelle führen; weiter; danach + Quelle	C07>C02>C01>C02>C02	Bei dem gemeinsamen zweireihigen Becken: umsetzen + dies; weiter; zur Ablaufstelle führen; weiter; danach + Quelle.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Die betroffene Stelle. Das untere Becken. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Benutze danach den unteren Ablauf.
B1-S015	f81v	dem gemeinsamen zweireihigen Becken	2	ytey okchedy	dies + kurz + Teil; ansetzen + umsetzen + Ende	C10>C08	Bei dem gemeinsamen zweireihigen Becken: dies + kurz + Teil; ansetzen + umsetzen + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Lasse es abkühlen und beende den Schritt.
B1-S016	f81v	dem gemeinsamen zweireihigen Becken	4	qokal okeey qol cheedy	ansetzen + Ziel; ansetzen + länger + dies; weiter; absetzen + kurz + Ende	C04>C03>C02>C03	Bei dem gemeinsamen zweireihigen Becken: ansetzen + Ziel; ansetzen + länger + dies; weiter; absetzen + kurz + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die Charge für den vorgesehenen Gebrauch temperieren. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.
B1-S017	f81v	dem gemeinsamen zweireihigen Becken	3	sal teol dchdy	Ziel; kurz + weiter; umsetzen + Ende	C11>C02>C08	Bei dem gemeinsamen zweireihigen Becken: Ziel; kurz + weiter; umsetzen + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die erste Öffnung. Seihe es klar und beende den Schritt.
B1-S018	f81v	dem gemeinsamen zweireihigen Becken	4	ly dsheol oiiin olkeedy	aktuellen Posten abführen; halten + kurz + weiter; Stufe; sammeln + länger + Ende	C01>C02>C10>C03	Bei dem gemeinsamen zweireihigen Becken: aktuellen Posten abführen; halten + kurz + weiter; Stufe; sammeln + länger + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Wende es an der markierten Stelle an. Bis es klar ist. Lasse die Flüssigkeit sich setzen und beende den Schritt.
B1-S019	f81v	dem gemeinsamen zweireihigen Becken	1	tedy	absetzen + kurz + Ende	C03	Bei dem gemeinsamen zweireihigen Becken: absetzen + kurz + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.
B1-S020	f81v	dem gemeinsamen zweireihigen Becken	2	cheky shckhedy	wärmen + kurz + dies; trennen + Ende	C03>C08	Bei dem gemeinsamen zweireihigen Becken: wärmen + kurz + dies; trennen + Ende.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Bei sanfter Wärme. Seihe es einmal durch ein Tuch und beende den Schritt.
B1-S021	f81v	dem gemeinsamen zweireihigen Becken	1	chal	Ziel	C11	Bei dem gemeinsamen zweireihigen Becken: Ziel.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen.
B2-S001	f82r	den oberen Paarbecken mit Zylinder	1	dchedy	umsetzen + Ende	C08	Bei den oberen Paarbecken mit Zylinder: umsetzen + Ende.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.
B2-S002	f82r	den oberen Paarbecken mit Zylinder	1	qolchedy	weiter + umsetzen + Ende	C02	Bei den oberen Paarbecken mit Zylinder: weiter + umsetzen + Ende.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.
B2-S003	f82r	den oberen Paarbecken mit Zylinder	3	qokain dy qokeedy	ansetzen + Anteil; dies; ansetzen + länger + Ende	C06>C12>C03	Bei den oberen Paarbecken mit Zylinder: ansetzen + Anteil; dies; ansetzen + länger + Ende.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Gib einen abgemessenen Anteil in das Gefäß. Diese aktive Portion. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.
B2-S004	f82r	den oberen Paarbecken mit Zylinder	5	qokal lcheckhy lched qokeey lcheckhedy	ansetzen + Ziel; Ausgangsdurchlass; abführen; ansetzen + länger + dies; abseihen; Schluss	C04>C01>C01>C03>C01	Bei den oberen Paarbecken mit Zylinder: ansetzen + Ziel; Ausgangsdurchlass; abführen; ansetzen + länger + dies; abseihen; Schluss.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die zweite Öffnung. Und gehe zum nächsten Becken weiter. Die Charge für den vorgesehenen Gebrauch temperieren. Seihe es klar und beende den Schritt.
B2-S005	f82r	den oberen Paarbecken mit Zylinder	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	ansetzen + Ziel + dies; sammeln + Sollwert; Durchlass + dies; ansetzen + Sollwert; ansetzen + Sollwert; bereit + weiter; wärmen + länger + dies; abziehen; Ende	C04>C06>C07>C06>C06>C02>C03>C01	Bei den oberen Paarbecken mit Zylinder: ansetzen + Ziel + dies; sammeln + Sollwert; Durchlass + dies; ansetzen + Sollwert; ansetzen + Sollwert; bereit + weiter; wärmen + länger + dies; abziehen; Ende.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.
B2-S006	f82r	den oberen Paarbecken mit Zylinder	4	oteey qokal sheckhy qoky	danach + länger + dies; ansetzen + Ziel; Durchlass + kurz + dies; ansetzen + dies	C02>C04>C03>C07	Bei den oberen Paarbecken mit Zylinder: danach + länger + dies; ansetzen + Ziel; Durchlass + kurz + dies; ansetzen + dies.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen.
B2-S007	f82r	der mittleren linken Vorrichtung mit Zwischenknoten	1	dshedy	absetzen + kurz + Ende	C03	Bei der mittleren linken Vorrichtung mit Zwischenknoten: absetzen + kurz + Ende.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Gib sauberes Wasser hinzu und beende den Schritt.
B2-S008	f82r	der mittleren linken Vorrichtung mit Zwischenknoten	3	sotaiin qokar shedy	danach + Sollwert; ansetzen + Quelle; absetzen + kurz + Ende	C02>C05>C03	Bei der mittleren linken Vorrichtung mit Zwischenknoten: danach + Sollwert; ansetzen + Quelle; absetzen + kurz + Ende.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Für dieselbe Dauer wie zuvor. Über der örtlich bezeichneten Stelle. Lasse es bis zur Bereitschaft stehen und beende den Schritt.
B2-S009	f82r	der mittleren linken Vorrichtung mit Zwischenknoten	1	solshedy	weiter + absetzen + Ende	C02	Bei der mittleren linken Vorrichtung mit Zwischenknoten: weiter + absetzen + Ende.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Halte es warm und beende den Schritt.
B2-S010	f82r	der mittleren linken Vorrichtung mit Zwischenknoten	4	qokeey qoky ls cheey	ansetzen + länger + dies; ansetzen + dies; Durchlassöffnung; klarer Auszug	C03>C07>C01>C01	Bei der mittleren linken Vorrichtung mit Zwischenknoten: ansetzen + länger + dies; ansetzen + dies; Durchlassöffnung; klarer Auszug.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Die Charge für den vorgesehenen Gebrauch temperieren. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen. Die erste Öffnung. Den örtlichen Prüfzustand der Charge feststellen.
B2-S011	f82r	der mittleren rechten Station	4	okain char okain qokeedy	ansetzen + Anteil; Quelle; ansetzen + Anteil; ansetzen + länger + Ende	C06>C09>C06>C03	Bei der mittleren rechten Station: ansetzen + Anteil; Quelle; ansetzen + Anteil; ansetzen + länger + Ende.	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Gib einen abgemessenen Anteil in das Gefäß. Daraus, aus demselben Ansatz. Gib einen abgemessenen Anteil in das Gefäß. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.
B2-S012	f82r	dem unteren grünen Mehrfigurenbecken	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	abziehen; klarer Auszug; bereit + kurz + dies; ansetzen + länger + dies; Klarlauf abfuehren; Sollwert; dies; ansetzen + vollständig + Ende	C01>C01>C03>C03>C01>C10>C12>C03	Bei dem unteren grünen Mehrfigurenbecken: abziehen; klarer Auszug; bereit + kurz + dies; ansetzen + länger + dies; Klarlauf abfuehren; Sollwert; dies; ansetzen + vollständig + Ende.	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Ziehe die klare Flüssigkeit ab. [[STATIONSWECHSEL: ungelöste mittlere rechte Linie-/Liegepodeststation -> unteres grünes Mehrfigurenfeld; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Den örtlichen Prüfzustand der Charge feststellen. Unter derselben Einstellung. Die Charge für den vorgesehenen Gebrauch temperieren. Der benetzte Körperbereich. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Benetze den bezeichneten Körperbereich vollständig und beende den Schritt.
