sample_id	locus	ordinal	stratum	preferred_output	acceptable_rival	reason_de	page	physical_folio	written_line_eva	automatic_rule_id	automatic_default_de	automatic_preferred_match	automatic_acceptable_rival_match	hybrid_rule_id	hybrid_default_de	hybrid_preferred_match	hybrid_acceptable_rival_match	audit_is_independent_semantic_test	score_credit	confirmed_lexeme	component_export_credit
S11	f116r.20	3	CLOSE_LEFT_DIRECT	;	Ansatz-/Zubereitungsposten	keedy ol setzt ol direkt nach ein Abschlussfeld; ein Feldschnitt ist möglich, ein neuer nominaler Kopf bleibt Rivale.	f116r	f116	chol keedy ol cheey raiin y chedy otar o kal okain olar otedy qoty sfm	G774-D04	;	1	0	G774-D04	;	1	0	0	0	0	0
S12	f78v.3	8	CLOSE_LEFT_DIRECT	;	Menge:	qotedy ol dam: Abschluss liegt links, rechts steht ein bloßer Wertprior dam, aber keine GDT763-Mengenformel; deshalb Grenzlesung mit Mengenrival.	f78v	f78	qokedy chety qolshedy okedy dol eesolchey qotedy ol dam	G774-D04	;	1	0	G774-D04	;	1	0	0	0	0	0
S13	f81r.12	3	CLOSE_LEFT_PLUS_F15	;	und	tedy ol sheedy: lokaler Abschluss links hat Vorrang vor der breiteren Zustandsbrücke; beide Feldlesungen bleiben möglich.	f81r	f81	ychedy tedy ol sheedy qokeey loly	G774-D04	;	1	0	G774-D04	;	1	0	0	0	0	0
S14	f114r.14	5	CLOSE_RIGHT_DIRECT	Ansatz-/Zubereitungsposten	;	ol daldy: ein Abschluss-/Wertfeld rechts kann den nominalen Kopf modifizieren; ol darf nicht automatisch zu Satzzeichen verschwinden.	f114r	f114	solpchd oiin chcthdy qodair ol daldy qopdain opdaiin opdairody opdaildo ary	G774-D05	Ansatz-/Zubereitungsposten	1	0	G774-D05	Ansatz-/Zubereitungsposten	1	0	0	0	0	0
S15	f77v.29	8	CLOSE_RIGHT_DIRECT	Ansatz-/Zubereitungsposten	;	ol cheedy ist Kopf zu Abschluss, nicht Abschluss zu neuem Feld; nominal bleibt die bessere Defaultrichtung.	f77v	f77	tchadchy lshedy daly dal dsheedy pcheol lfol ol cheedy qoty	G774-D05	Ansatz-/Zubereitungsposten	1	0	G774-D05	Ansatz-/Zubereitungsposten	1	0	0	0	0	0
S16	f94v.2	1	LINE_FIRST_PLUS_CLOSE_RIGHT	Ansatz-/Zubereitungsposten	;	Zeilenanfang plus rechts folgender Abschluss spricht eher für einen Kopf; line-first und close-right lizenzieren keinen bloßen Trenner.	f94v	f94	ol teedy oteey qekeey oteey teedal ykeedy qotarain	G774-D05	Ansatz-/Zubereitungsposten	1	0	G774-D05	Ansatz-/Zubereitungsposten	1	0	0	0	0	0
S17	f3r.19	2	F15_STATE_FIELD_CHAIN	und	Ansatz-/Zubereitungsposten	F15 und F14 sowie direkte Trockenfeldnähe stützen Koordination statt bis oder Prozess.	f3r	f3	otchor ol cheor qoeor dair qoteol qosaiin chor cthy	G774-D06	und	1	0	G774-D00	und	1	0	0	0	0	0
S18	f102v1.13	2	F15_STATE_FIELD_CHAIN_NO_DIRECT_SIG	und	Ansatz-/Zubereitungsposten	Zweiseitige F15-Zustandsbrücke ohne enge Direktsignatur; brauchbarer Feldanschluss, aber hohe Ambiguität.	f102v1	f102	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	G774-D06	und	1	0	G774-D06	und	1	0	0	0	0	0
S19	f105v.4	6	F15_STATE_FIELD_CHAIN_NO_DIRECT_SIG	und	Ansatz-/Zubereitungsposten	F15 verbindet heiße und trockene Feldspender; keine gerichtete Mengen- oder Prozesskante.	f105v	f105	olkeeol orchsey qokeedy chdor olar ol keeol chedaiin	G774-D06	und	1	0	G774-D06	und	1	0	0	0	0	0
S20	f23r.5	8	REPEATED_OL_LEFT	Ansatz-/Zubereitungsposten	;	Erstes Token in ol ol; F14 allein genügt nicht, und keine der festen Kontextregeln feuert.	f23r	f23	ychor qokchol ytym chol dair chol ar ol ol dol dain	G774-D07	Ansatz-/Zubereitungsposten	1	0	G774-D07	Ansatz-/Zubereitungsposten	1	0	0	0	0	0
S21	f23r.5	9	REPEATED_OL_RIGHT	Ansatz-/Zubereitungsposten	;	Zweites Token in ol ol; getrennte Nominaldefaults bewahren die beobachtete Verdopplung statt zwei Satzzeichen zu erfinden.	f23r	f23	ychor qokchol ytym chol dair chol ar ol ol dol dain	G774-D07	Ansatz-/Zubereitungsposten	1	0	G774-D07	Ansatz-/Zubereitungsposten	1	0	0	0	0	0
S22	f107v.2	13	LINE_FINAL_ONLY	Ansatz-/Zubereitungsposten	;	Line-final ohne Direktsignatur; Endposition allein ist nach GDT773 kein Nachweis, dass das geschriebene Token Interpunktion ist.	f107v	f107	daiin dckhy ol daiin chkal qokedy otal chedy oteos aiin otar alkain ol	G774-D07	Ansatz-/Zubereitungsposten	1	0	G774-D07	Ansatz-/Zubereitungsposten	1	0	0	0	0	0
S23	f104r.23	1	LINE_FIRST_NO_SIGNATURE	Ansatz-/Zubereitungsposten	Ansatz:	Zeilenanfang ohne Mengen-, Prozess- oder Feldanker; nominaler Fallback trägt weniger Zusatzannahmen als ein Feldlabel.	f104r	f104	ol sheockhey chol kechdy okeedal lkain chol keeody otchor aiir chol kar alol	G774-D07	Ansatz-/Zubereitungsposten	1	0	G774-D07	Ansatz-/Zubereitungsposten	1	0	0	0	0	0
S24	f102v1.8	2	MIDDLE_NO_SIGNATURE_NO_F14	Ansatz-/Zubereitungsposten	und	Medial, aber weder Direktsignatur noch zweiseitige F14-Geometrie; jeder Operator wäre ungestützt.	f102v1	f102	dairn ol chey ctheol qokeor os aiin cheor qokey choky	G774-D07	Ansatz-/Zubereitungsposten	1	0	G774-D07	Ansatz-/Zubereitungsposten	1	0	0	0	0	0
