family_no	component_recipe	compact_reading_de	events	pages	records	distinct_pages	distinct_records	exact_cards	card_nos	surface_forms	surfaces	position_counts	prefix_counts	production_rule
F24	CHK+EE+Y	WAERMEN · LANG · DIES	3	f55v|f82r|f83r	B2|B4|H4	3	3	2	PROC046|PROC107	2	cheeky|chkeey	MIDDLE:3	OTHER_FORM:3	RECIPE_INVARIANT__LOCAL_CARD_AND_SURFACE_LOOKUP
F25	K+AIN	ZUDOSIEREN · PORTION	3	f81v|f83r	B1|B3|B4	2	3	1	PROC069	2	chkain|kain	MIDDLE:3	OTHER_FORM:3	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F26	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	3	f81v|f82r|f83r	B1|B2|B3	3	3	1	PROC079	2	olchedy|qolchedy	LAST:1;ONLY:2	Q_ENTRY_FORM:2;OTHER_FORM:1	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F27	OT+AIIN	DANACH · MASS	3	f82r|f83r	B2|B3	2	2	1	PROC112	2	otaiin|sotaiin	FIRST:1;MIDDLE:2	S_ENTRY_FORM:1;OTHER_FORM:2	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F28	OT+AL	DANACH · ZIEL	3	f83r	B3|B4	1	2	1	PROC131	2	otal|qotal	FIRST:1;MIDDLE:2	Q_ENTRY_FORM:2;OTHER_FORM:1	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F29	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	3	f83r	B3|B5	1	2	2	PROC145|PROC166	3	otchdy|otchedy|qotchedy	LAST:1;ONLY:2	Q_ENTRY_FORM:1;OTHER_FORM:2	RECIPE_INVARIANT__LOCAL_CARD_AND_SURFACE_LOOKUP
F30	OT+Y	DANACH · DIES	3	f11r|f56r|f83r	B4|H3|H5	3	3	2	PROC036|PROC065	2	otchey|qotchy	FIRST:2;MIDDLE:1	Q_ENTRY_FORM:1;OTHER_FORM:2	RECIPE_INVARIANT__LOCAL_CARD_AND_SURFACE_LOOKUP
F31	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	3	f81v|f83r	B1|B4	2	2	1	PROC099	1	shckhedy	LAST:1;ONLY:2	S_ENTRY_FORM:3	RECIPE_CARD_SURFACE_INVARIANT
F32	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	3	f81v|f83r	B1|B3	2	2	1	PROC098	2	olkeedy|solkeedy	LAST:2;ONLY:1	S_ENTRY_FORM:1;OTHER_FORM:2	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F33	AIN	PORTION	2	f83r	B4|B6	1	2	1	PROC156	1	dain	FIRST:1;MIDDLE:1	OTHER_FORM:2	RECIPE_CARD_SURFACE_INVARIANT
F34	CTH+E+Y	BEREIT · KURZ · DIES	2	f82r|f83r	B2|B3	2	2	1	PROC117	2	qcthey|shcthey	MIDDLE:2	Q_ENTRY_FORM:1;S_ENTRY_FORM:1	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F35	L	WEITERLEITEN	2	f81v	B1	1	1	1	PROC072	1	dl	MIDDLE:2	OTHER_FORM:2	RECIPE_CARD_SURFACE_INVARIANT
F36	L+DY	WEITERLEITEN · SCHLUSS	2	f82r|f83r	B2|B3	2	2	1	PROC108	1	ldy	LAST:1;ONLY:1	OTHER_FORM:2	RECIPE_CARD_SURFACE_INVARIANT
F37	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	2	f81v	B1	1	1	1	PROC086	1	lshedy	LAST:1;ONLY:1	OTHER_FORM:2	RECIPE_CARD_SURFACE_INVARIANT
F38	O+IIN	GANG · STUFE	2	f81v|f83r	B1|B3	2	2	1	PROC097	2	oiiin|soiiin	FIRST:1;MIDDLE:1	S_ENTRY_FORM:1;OTHER_FORM:1	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F39	OK+E+Y	ANSETZEN · KURZ · DIES	2	f81v|f82r	B1|B2	2	2	1	PROC085	2	okey|qokey	MIDDLE:2	Q_ENTRY_FORM:1;OTHER_FORM:1	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F40	OK+OL	ANSETZEN · FORTSETZEN	2	f11r|f83r	B4|H3	2	2	2	PROC037|PROC160	2	okchol|qokol	FIRST:1;MIDDLE:1	Q_ENTRY_FORM:1;OTHER_FORM:1	RECIPE_INVARIANT__LOCAL_CARD_AND_SURFACE_LOOKUP
F41	OL+DY	FORTSETZEN · SCHLUSS	2	f55v|f83r	B4|H4	2	2	1	PROC047	1	oldy	LAST:1;ONLY:1	OTHER_FORM:2	RECIPE_CARD_SURFACE_INVARIANT
F42	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	2	f81v|f83r	B1|B4	2	2	1	PROC070	2	olkain|qolkain	FIRST:1;MIDDLE:1	Q_ENTRY_FORM:1;OTHER_FORM:1	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F43	OL+OR	FORTSETZEN · ANSATZ	2	f10r|f81v	B1|H2	2	2	1	PROC022	2	cholor|olor	MIDDLE:2	OTHER_FORM:2	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F44	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	2	f10r|f56r	H2|H5	2	2	1	PROC020	2	otchor|qotchor	FIRST:1;MIDDLE:1	Q_ENTRY_FORM:1;OTHER_FORM:1	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F45	OT+E+DY	DANACH · KURZ · SCHLUSS	2	f83r	B3	1	1	1	PROC135	1	otedy	LAST:2	OTHER_FORM:2	RECIPE_CARD_SURFACE_INVARIANT
F46	OT+EE+DY	DANACH · LANG · SCHLUSS	2	f82r|f83r	B2|B3	2	2	1	PROC129	1	qoteedy	ONLY:2	Q_ENTRY_FORM:2	RECIPE_CARD_SURFACE_INVARIANT
F47	OT+EE+Y	DANACH · LANG · DIES	2	f82r	B2	1	1	1	PROC109	1	oteey	FIRST:1;MIDDLE:1	OTHER_FORM:2	RECIPE_CARD_SURFACE_INVARIANT
F48	RESUME_CARD	WIEDERAUFNEHMEN	2	f11r|f56r	H3|H5	2	2	1	PROC034	2	dchol|schol	FIRST:2	S_ENTRY_FORM:1;OTHER_FORM:1	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F49	SHED+AL	ABSETZEN · ZIEL	2	f83r	B3|B5	1	2	1	PROC142	1	shedal	FIRST:1;MIDDLE:1	S_ENTRY_FORM:2	RECIPE_CARD_SURFACE_INVARIANT
F50	T+Y	EINTRAGEN · DIES	2	f10r|f83r	B3|H1	2	2	1	PROC004	2	chety|chty	MIDDLE:2	OTHER_FORM:2	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
