action_frame_id	frame_id	frozen_frame	action_root	action_recipe	register_cell_count	observed_register_cell_count	observed_registers	composed_register_cell_count	observed_event_count	all_five_registers_readable	all_owner_value_cells_old
G498-AF061	G493-F07	@ACTION+CHD+Y	T	T+CHD+Y	5	2	HERBAL|BIOLOGICAL	3	5	YES	YES
G498-AF062	G493-F07	@ACTION+CHD+Y	R	R+CHD+Y	5	1	BIOLOGICAL	4	2	YES	YES
G498-AF063	G493-F07	@ACTION+CHD+Y	P	P+CHD+Y	5	1	BIOLOGICAL	4	1	YES	YES
G498-AF064	G493-F08	@ACTION+OL	OK	OK+OL	5	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	0	27	YES	YES
G498-AF065	G493-F08	@ACTION+OL	CH	CH+OL	5	0	NONE	5	0	YES	YES
G498-AF066	G493-F08	@ACTION+OL	SH	SH+OL	5	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL	1	18	YES	YES
G498-AF067	G493-F08	@ACTION+OL	K	K+OL	5	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL	1	7	YES	YES
G498-AF068	G493-F08	@ACTION+OL	S	S+OL	5	0	NONE	5	0	YES	YES
G498-AF069	G493-F08	@ACTION+OL	CHD	CHD+OL	5	1	BIOLOGICAL	4	2	YES	YES
G498-AF070	G493-F08	@ACTION+OL	T	T+OL	5	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	1	7	YES	YES
G498-AF071	G493-F08	@ACTION+OL	R	R+OL	5	1	BIOLOGICAL	4	4	YES	YES
G498-AF072	G493-F08	@ACTION+OL	P	P+OL	5	1	BIOLOGICAL	4	1	YES	YES
G498-AF073	G493-F09	@ACTION+OR+Y	OK	OK+OR+Y	5	0	NONE	5	0	YES	YES
G498-AF074	G493-F09	@ACTION+OR+Y	CH	CH+OR+Y	5	0	NONE	5	0	YES	YES
G498-AF075	G493-F09	@ACTION+OR+Y	SH	SH+OR+Y	5	1	SOURCE_SECTION_T	4	1	YES	YES
G498-AF076	G493-F09	@ACTION+OR+Y	K	K+OR+Y	5	0	NONE	5	0	YES	YES
G498-AF077	G493-F09	@ACTION+OR+Y	S	S+OR+Y	5	1	SOURCE_SECTION_T	4	1	YES	YES
G498-AF078	G493-F09	@ACTION+OR+Y	CHD	CHD+OR+Y	5	0	NONE	5	0	YES	YES
G498-AF079	G493-F09	@ACTION+OR+Y	T	T+OR+Y	5	1	HERBAL	4	1	YES	YES
G498-AF080	G493-F09	@ACTION+OR+Y	R	R+OR+Y	5	1	BIOLOGICAL	4	1	YES	YES
G498-AF081	G493-F09	@ACTION+OR+Y	P	P+OR+Y	5	0	NONE	5	0	YES	YES
G498-AF082	G493-F10	@ACTION+Y	OK	OK+Y	5	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	1	59	YES	YES
G498-AF083	G493-F10	@ACTION+Y	CH	CH+Y	5	0	NONE	5	0	YES	YES
G498-AF084	G493-F10	@ACTION+Y	SH	SH+Y	5	1	BIOLOGICAL	4	1	YES	YES
G498-AF085	G493-F10	@ACTION+Y	K	K+Y	5	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	1	7	YES	YES
G498-AF086	G493-F10	@ACTION+Y	S	S+Y	5	0	NONE	5	0	YES	YES
G498-AF087	G493-F10	@ACTION+Y	CHD	CHD+Y	5	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	0	107	YES	YES
G498-AF088	G493-F10	@ACTION+Y	T	T+Y	5	2	HERBAL|BIOLOGICAL	3	3	YES	YES
G498-AF089	G493-F10	@ACTION+Y	R	R+Y	5	1	BIOLOGICAL	4	2	YES	YES
G498-AF090	G493-F10	@ACTION+Y	P	P+Y	5	1	BIOLOGICAL	4	1	YES	YES
G498-AF091	G493-F11	CH+@ACTION	OK	CH+OK	5	0	NONE	5	0	YES	YES
G498-AF092	G493-F11	CH+@ACTION	CH	CH+CH	5	0	NONE	5	0	YES	YES
G498-AF093	G493-F11	CH+@ACTION	SH	CH+SH	5	0	NONE	5	0	YES	YES
G498-AF094	G493-F11	CH+@ACTION	K	CH+K	5	1	BIOLOGICAL	4	1	YES	YES
G498-AF095	G493-F11	CH+@ACTION	S	CH+S	5	1	CELESTIAL	4	1	YES	YES
G498-AF096	G493-F11	CH+@ACTION	CHD	CH+CHD	5	0	NONE	5	0	YES	YES
G498-AF097	G493-F11	CH+@ACTION	T	CH+T	5	1	HERBAL	4	1	YES	YES
G498-AF098	G493-F11	CH+@ACTION	R	CH+R	5	1	BIOLOGICAL	4	1	YES	YES
G498-AF099	G493-F11	CH+@ACTION	P	CH+P	5	0	NONE	5	0	YES	YES
