frame_register_id	frame_id	frozen_frame	register	action_cell_count	observed_action_head_count	observed_action_heads	composed_action_cell_count	observed_event_count	all_nine_actions_readable	all_owner_value_cells_old
G498-FR29	G493-F06	@ACTION+CH+E+Y	CELESTIAL	9	0	NONE	9	0	YES	YES
G498-FR30	G493-F06	@ACTION+CH+E+Y	PHARMA	9	0	NONE	9	0	YES	YES
G498-FR31	G493-F07	@ACTION+CHD+Y	SOURCE_SECTION_T	9	0	NONE	9	0	YES	YES
G498-FR32	G493-F07	@ACTION+CHD+Y	HERBAL	9	2	K|T	7	3	YES	YES
G498-FR33	G493-F07	@ACTION+CHD+Y	BIOLOGICAL	9	4	OK|T|R|P	5	11	YES	YES
G498-FR34	G493-F07	@ACTION+CHD+Y	CELESTIAL	9	0	NONE	9	0	YES	YES
G498-FR35	G493-F07	@ACTION+CHD+Y	PHARMA	9	0	NONE	9	0	YES	YES
G498-FR36	G493-F08	@ACTION+OL	SOURCE_SECTION_T	9	4	OK|SH|K|T	5	6	YES	YES
G498-FR37	G493-F08	@ACTION+OL	HERBAL	9	4	OK|SH|K|T	5	21	YES	YES
G498-FR38	G493-F08	@ACTION+OL	BIOLOGICAL	9	7	OK|SH|K|CHD|T|R|P	2	21	YES	YES
G498-FR39	G493-F08	@ACTION+OL	CELESTIAL	9	3	OK|SH|K	6	6	YES	YES
G498-FR40	G493-F08	@ACTION+OL	PHARMA	9	2	OK|T	7	12	YES	YES
G498-FR41	G493-F09	@ACTION+OR+Y	SOURCE_SECTION_T	9	2	SH|S	7	2	YES	YES
G498-FR42	G493-F09	@ACTION+OR+Y	HERBAL	9	1	T	8	1	YES	YES
G498-FR43	G493-F09	@ACTION+OR+Y	BIOLOGICAL	9	1	R	8	1	YES	YES
G498-FR44	G493-F09	@ACTION+OR+Y	CELESTIAL	9	0	NONE	9	0	YES	YES
G498-FR45	G493-F09	@ACTION+OR+Y	PHARMA	9	0	NONE	9	0	YES	YES
G498-FR46	G493-F10	@ACTION+Y	SOURCE_SECTION_T	9	3	OK|K|CHD	6	4	YES	YES
G498-FR47	G493-F10	@ACTION+Y	HERBAL	9	4	OK|K|CHD|T	5	29	YES	YES
G498-FR48	G493-F10	@ACTION+Y	BIOLOGICAL	9	7	OK|SH|K|CHD|T|R|P	2	136	YES	YES
G498-FR49	G493-F10	@ACTION+Y	CELESTIAL	9	1	CHD	8	2	YES	YES
G498-FR50	G493-F10	@ACTION+Y	PHARMA	9	3	OK|K|CHD	6	9	YES	YES
G498-FR51	G493-F11	CH+@ACTION	SOURCE_SECTION_T	9	0	NONE	9	0	YES	YES
G498-FR52	G493-F11	CH+@ACTION	HERBAL	9	1	T	8	1	YES	YES
G498-FR53	G493-F11	CH+@ACTION	BIOLOGICAL	9	2	K|R	7	2	YES	YES
G498-FR54	G493-F11	CH+@ACTION	CELESTIAL	9	1	S	8	1	YES	YES
G498-FR55	G493-F11	CH+@ACTION	PHARMA	9	0	NONE	9	0	YES	YES
