event_serial	page	locus	record	record_unit_id	field_id	field_ordinal_in_locus	event_index_in_locus	event_index_in_record	surface	joint_tuple_id	formal_formula_opaque	FORMAL_VALUE	terminal_status	strict_control_prompt	V59_R1_MNEMONIC	ATOMIC_OR_WHOLE_CARD_MNEMONIC	mnemonic_scope	LOCAL_IATROMEDICAL_EXPANSION	NONMEDICAL_RIVAL	UNKNOWN_EXEMPLAR_STATUS	source_lineage	V60_R2_WORD_CLASS	V60_R2_DECISION	V60_R2_CONFIDENCE
26	f10r	f10r.8	2	H2	F004	1	3	12	otol	497cbd9c7401810ff56b	FRAME_OT(OPAQUE_PAYLOAD)	FRAME_OT	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	eine Handvoll	ausziehen [lokaler H2-Musterbogenschritt 12/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
27	f10r	f10r.8	2	H2	F004	1	4	13	chol	dcda95c81a5460feb191	FRAME_O(LINK)	LINK_ACTIVE_STATE+FRAME_O	NONCLOSE	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	UNKNOWN	UNKNOWN	UNKNOWN	Mit der vorigen Zubereitung weiter	mit einem Träger verbinden [lokaler H2-Musterbogenschritt 13/24; keine Kartenbedeutung]	FORMAL_VALUE_ONLY;SOURCE_MEANING_UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
28	f10r	f10r.8	2	H2	F004	1	5	14	cholor	dec401773c1f0347793d	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	ZUVOR?	VORIGES?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Aus dem vorigen Ansatz entnehmen	mit einem Träger verbinden [lokaler H2-Musterbogenschritt 14/24; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_EXACT_CARD_COMPETITION	ANAPHORISCHES_PRONOMEN_ODER_SUBSTANTIVIERTES_ADJEKTIV	REVISE	.36
29	f10r	f10r.8	2	H2	F004	1	6	15	chol	dcda95c81a5460feb191	FRAME_O(LINK)	LINK_ACTIVE_STATE+FRAME_O	NONCLOSE	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	UNKNOWN	UNKNOWN	UNKNOWN	Mit der vorigen Zubereitung weiter	mit einem Träger verbinden [lokaler H2-Musterbogenschritt 15/24; keine Kartenbedeutung]	FORMAL_VALUE_ONLY;SOURCE_MEANING_UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
30	f10r	f10r.8	2	H2	F004	1	7	16	daiin	2f1c5e56e8f0ff459065	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	VORGABEPARAMETER?	MASS?	MASS?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Ein vorgeschriebenes Maß	mit einem Träger verbinden [lokaler H2-Musterbogenschritt 16/24; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_EXACT_CARD_COMPETITION	SUBSTANTIV_ODER_MASS_SIGLE	KEEP	.58
31	f10r	f10r.8	2	H2	F004	1	8	17	dar	4d4559019a961b834aa1	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	Daraus, aus demselben Ansatz	mit einem Träger verbinden [lokaler H2-Musterbogenschritt 17/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
32	f10r	f10r.9	2	H2	F005	1	1	18	oykchor	27d97af8c96eb056c2e6	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	wenn sich die Blüte geöffnet hat	mit einem Träger verbinden [lokaler H2-Musterbogenschritt 18/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
33	f10r	f10r.9	2	H2	F005	1	2	19	shor	7a4bb8136330ee4e6e56	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	BEREITUNG?	BEREITUNG?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Die bereitete Arbeitsflüssigkeit	zweite Charge buchen [lokaler H2-Musterbogenschritt 19/24; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_EXACT_CARD_COMPETITION	SACHNOMEN	KEEP	.42
34	f10r	f10r.9	2	H2	F005	1	3	20	chor	7a4bb8136330ee4e6e56	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	BEREITUNG?	BEREITUNG?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Die bereitete Arbeitsflüssigkeit	zweite Charge buchen [lokaler H2-Musterbogenschritt 20/24; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_EXACT_CARD_COMPETITION	SACHNOMEN	KEEP	.42
35	f10r	f10r.9	2	H2	F005	1	4	21	chy	b921a237be883a820352	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	Diese aktive Portion	zweite Charge buchen [lokaler H2-Musterbogenschritt 21/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
36	f10r	f10r.9	2	H2	F005	1	5	22	kaiiin	409de02322e7b2ca0c62	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	bis ein bitterer Geschmack bleibt	zweite Charge buchen [lokaler H2-Musterbogenschritt 22/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
37	f10r	f10r.9	2	H2	F005	1	6	23	dy	b921a237be883a820352	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	Diese aktive Portion	zweite Charge buchen [lokaler H2-Musterbogenschritt 23/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
38	f10r	f10r.9	2	H2	F005	1	7	24	chodaiin	834825c61d048a6b5628	FRAME_O(OPAQUE_PAYLOAD + <ARG_AIIN>)	FRAME_O	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	bewahre diesen Anteil unter Öl	zweite Charge buchen [lokaler H2-Musterbogenschritt 24/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
39	f11r	f11r.1	1	H3	F006	1	1	1	tshol	953ad19b79517fc8a211	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	sammle die Wurzel im Frühjahr	Blüten- oder Krautanteil übernehmen [lokaler H3-Musterbogenschritt 1/17; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
40	f11r	f11r.1	1	H3	F006	1	2	2	schoal	428a5e3662aa57b4b256	OPAQUE_PAYLOAD + <ARG_AL>	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	vom schattigen Waldort	Blüten- oder Krautanteil übernehmen [lokaler H3-Musterbogenschritt 2/17; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
41	f11r	f11r.1	1	H3	F006	1	3	3	cfhy	bdad9f9ea8b80f141496	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	bevor sich die Blütenkrone öffnet	Blüten- oder Krautanteil übernehmen [lokaler H3-Musterbogenschritt 3/17; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
