canonical_card	joint_tuple_id	selected_default_de	source_class	event_serial	page	register	locus	record	record_unit_id	record_event_position	record_event_count	field_id	field_position	field_event_position	field_event_count	terminal_status	surface_audit_only	formal_formula_audit_only	v59_mnemonic	v60_mnemonic	predecessor_event_serial	predecessor_joint_tuple_id	predecessor_canonical_card	predecessor_local_expansion	current_local_iatromedical_expansion	current_nonmedical_rival	successor_event_serial	successor_joint_tuple_id	successor_canonical_card	successor_local_expansion	whole_field_local_expansion	whole_field_nonmedical_rival	occurrence_pressure	card_context_pressure_summary	strongest_contradiction	binding_rule
OR	7a4bb8136330ee4e6e56	Zubereitung	Nomen	34	f10r	HERBAL	f10r.9	2	H2	20	24	F005	MIDDLE	3	7	NONCLOSE	chor	OPAQUE_PAYLOAD	BEREITUNG?	ZUBEREITUNG?	33	7a4bb8136330ee4e6e56	OR	Die bereitete Arbeitsflüssigkeit	Die bereitete Arbeitsflüssigkeit	zweite Charge buchen [lokaler H2-Musterbogenschritt 20/24; keine Kartenbedeutung]	35	b921a237be883a820352	OTHER_EXACT	Diese aktive Portion	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	mit einem Träger verbinden [Ganzfeldexemplar H2, Feld 3/3]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=7;TERMINAL=NONCLOSE;PREDECESSOR=OR;SUCCESSOR=OTHER_EXACT	7 Vorkommen auf 3 Seiten/4 Records; 5× MIDDLE, 2× FIRST, alle NONCLOSE; ein CTHY→OR-Anschluss und ein OR→OR-Doppel. Ein wiederaufnehmbares Arbeitsnomen passt.	Die direkte Doppelung ergibt bei wörtlicher Komposition ‚Zubereitung Zubereitung‘; zwei Bio-Vorkommen stehen zudem feldinitial ohne sichtbare Wiederaufnahme.	EXACT_JOINT_TUPLE_ID_ONLY
EY	b5df9126607030b95175	klar	Zustand	44	f11r	HERBAL	f11r.1	1	H3	6	17	F006	MIDDLE	6	7	NONCLOSE	shey	OPAQUE_PAYLOAD	KLAR?	KLAR?	43	deb377381ceaf55ea310	OTHER_EXACT	seihe die Flüssigkeit ein zweites Mal	Bis die Flüssigkeit klar abläuft	ausziehen [lokaler H3-Musterbogenschritt 6/17; keine Kartenbedeutung]	45	2e2027b1951d79911e24	OTHER_EXACT	lasse die geseihte Flüssigkeit offen abkühlen	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	Blüten- oder Krautanteil übernehmen [Ganzfeldexemplar H3, Feld 1/4]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=7;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	4 Vorkommen auf 3 Seiten/3 Records, verteilt auf FIRST/MIDDLE/LAST und stets NONCLOSE. Die fehlende Schlussbindung erlaubt einen echten Zwischenzustand.	Vier geerbte Lokalexpansionen unterscheiden Transparenz, Reinheit und Fertigsein nicht; es fehlt ein unabhängiges Kontrastpaar.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	51	f11r	HERBAL	f11r.4	1	H3	13	17	F008	LAST	5	5	NONCLOSE	daiin	OPAQUE_PAYLOAD	MASS?	MASS?	50	b921a237be883a820352	OTHER_EXACT	Diese aktive Portion	Ein vorgeschriebenes Maß	filtrieren [lokaler H3-Musterbogenschritt 13/17; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	filtrieren [Ganzfeldexemplar H3, Feld 3/4]	REGISTER=HERBAL;FIELD_POSITION=LAST;FIELD_LENGTH=5;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=BOUNDARY	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
CTHY	e0b630cb1b5df5e7105b	bereit	Zustand	54	f11r	HERBAL	f11r.7	1	H3	16	17	F009	MIDDLE	3	4	NONCLOSE	cthy	OPAQUE_PAYLOAD	BEREIT?	BEREIT?	53	322281bd391aa621f568	OTHER_EXACT	lege ihn warm auf	Sobald die Zubereitung gebrauchsfertig ist	getrennt verwahren [lokaler H3-Musterbogenschritt 16/17; keine Kartenbedeutung]	55	b921a237be883a820352	OTHER_EXACT	Diese aktive Portion	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	getrennt verwahren [Ganzfeldexemplar H3, Feld 4/4]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=4;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	7 Vorkommen auf 3 Seiten/4 Records; 6× MIDDLE und 1× LAST, alle NONCLOSE; je einmal vor OR und AL sowie einmal nach AL. Der Zustandswert ist lokal anschlussfähig.	Nur ein Vorkommen steht unmittelbar vor OR; das feldletzte offene Vorkommen kann auch bloß eine Abschnittsmarke oder ein anderer Zustand sein.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	57	f55v	HERBAL	f55v.5	1	H4	2	18	F010	MIDDLE	2	5	NONCLOSE	chaiin	OPAQUE_PAYLOAD	MASS?	MASS?	56	b5fcea1eaed06b2f2291	OTHER_EXACT	beginne den nächsten abgemessenen Posten	Ein vorgeschriebenes Maß	Blattflotte ansetzen [lokaler H4-Musterbogenschritt 2/18; keine Kartenbedeutung]	58	403c1592f918c8f23b88	OTHER_EXACT	koche das breite Blatt sanft	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	Blattflotte ansetzen [Ganzfeldexemplar H4, Feld 1/4]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=5;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	61	f55v	HERBAL	f55v.5	1	H4	6	18	F011	FIRST	1	3	NONCLOSE	daiin	OPAQUE_PAYLOAD	MASS?	MASS?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	Ein vorgeschriebenes Maß	weichen Rest abteilen [lokaler H4-Musterbogenschritt 6/18; keine Kartenbedeutung]	62	6f7ff8287eddf4da9fdb	OTHER_EXACT	rühre, bis alles gleichmäßig vermischt ist	Ein vorgeschriebenes Maß ; rühre, bis alles gleichmäßig vermischt ist ; wasche die wunde Stelle einmal	weichen Rest abteilen [Ganzfeldexemplar H4, Feld 2/4]	REGISTER=HERBAL;FIELD_POSITION=FIRST;FIELD_LENGTH=3;TERMINAL=NONCLOSE;PREDECESSOR=BOUNDARY;SUCCESSOR=OTHER_EXACT	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	68	f55v	HERBAL	f55v.11	1	H4	13	18	F013	FIRST	1	6	NONCLOSE	aiin	OPAQUE_PAYLOAD	MASS?	MASS?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	Ein vorgeschriebenes Maß	zwei Arbeitsfraktionen vergleichen [lokaler H4-Musterbogenschritt 13/18; keine Kartenbedeutung]	69	308e8ea2d5d190c498e8	OTHER_EXACT	mische beide Anteile zusammen	Ein vorgeschriebenes Maß ; mische beide Anteile zusammen ; bewahre es in einem bedeckten Gefäß ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; gebrauche die fertige Flüssigkeit frisch	Fraktionen buchen [Ganzfeldexemplar H4, Feld 4/4]	REGISTER=HERBAL;FIELD_POSITION=FIRST;FIELD_LENGTH=6;TERMINAL=NONCLOSE;PREDECESSOR=BOUNDARY;SUCCESSOR=OTHER_EXACT	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
OR	7a4bb8136330ee4e6e56	Zubereitung	Nomen	71	f55v	HERBAL	f55v.11	1	H4	16	18	F013	MIDDLE	4	6	NONCLOSE	or	OPAQUE_PAYLOAD	BEREITUNG?	ZUBEREITUNG?	70	204b04837409088c48f9	OTHER_EXACT	bewahre es in einem bedeckten Gefäß	Die bereitete Arbeitsflüssigkeit	Fraktionen buchen [lokaler H4-Musterbogenschritt 16/18; keine Kartenbedeutung]	72	b921a237be883a820352	OTHER_EXACT	Diese aktive Portion	Ein vorgeschriebenes Maß ; mische beide Anteile zusammen ; bewahre es in einem bedeckten Gefäß ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; gebrauche die fertige Flüssigkeit frisch	Fraktionen buchen [Ganzfeldexemplar H4, Feld 4/4]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=6;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	7 Vorkommen auf 3 Seiten/4 Records; 5× MIDDLE, 2× FIRST, alle NONCLOSE; ein CTHY→OR-Anschluss und ein OR→OR-Doppel. Ein wiederaufnehmbares Arbeitsnomen passt.	Die direkte Doppelung ergibt bei wörtlicher Komposition ‚Zubereitung Zubereitung‘; zwei Bio-Vorkommen stehen zudem feldinitial ohne sichtbare Wiederaufnahme.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	77	f56r	HERBAL	f56r.5	1	H5	4	27	F014	LAST	4	4	NONCLOSE	daiin	OPAQUE_PAYLOAD	MASS?	MASS?	76	0ec6a45e2950e8e7061d	OTHER_EXACT	die dünne untere Wurzel	Ein vorgeschriebenes Maß	klebriges Feuchtlandmaterial übernehmen [lokaler H5-Musterbogenschritt 4/27; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	sammle die Pflanze im Frühjahr ; nimm danach den folgenden Zusatz oder Pflanzenteil ; die dünne untere Wurzel ; Ein vorgeschriebenes Maß	klebriges Feuchtlandmaterial übernehmen [Ganzfeldexemplar H5, Feld 1/7]	REGISTER=HERBAL;FIELD_POSITION=LAST;FIELD_LENGTH=4;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=BOUNDARY	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
OKY	276a7c2d74d1143446f4	verwenden	Verb	81	f56r	HERBAL	f56r.7	1	H5	8	27	F015	MIDDLE	4	5	NONCLOSE	choky	OPAQUE_PAYLOAD	VERWENDEN?	VERWENDEN?	80	10488b911aae52b3b334	OTHER_EXACT	vor der Blüte gesammelt	Die aktive Portion verwenden	klein dosieren [lokaler H5-Musterbogenschritt 8/27; keine Kartenbedeutung]	82	dd0ecaf5e27d81befffc	AL	An die bezeichnete Zielstelle führen	nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen	klebriges Feuchtlandmaterial übernehmen [Ganzfeldexemplar H5, Feld 2/7]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=5;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=AL	10 Vorkommen auf 5 Seiten/6 Records; 6× MIDDLE, 2× LAST, 1× FIRST, 1× ONLY; zweimal OKEEY→OKY, zweimal OKY→AIIN und einmal OKY→AL. Das Tuple sitzt plausibel als ausführbarer Handlungspivot.	Ein isoliertes und drei feldabschließende Vorkommen lassen ebenso eine Fortsetzungs- oder Freigabefunktion zu; die technische Rivalprosa ist nicht einheitlich.	EXACT_JOINT_TUPLE_ID_ONLY
AL	dd0ecaf5e27d81befffc	dorthin	Relation	82	f56r	HERBAL	f56r.7	1	H5	9	27	F015	LAST	5	5	NONCLOSE	dal	OPAQUE_PAYLOAD	AN?	DORTHIN?	81	276a7c2d74d1143446f4	OKY	Die aktive Portion verwenden	An die bezeichnete Zielstelle führen	klein dosieren [lokaler H5-Musterbogenschritt 9/27; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen	klebriges Feuchtlandmaterial übernehmen [Ganzfeldexemplar H5, Feld 2/7]	REGISTER=HERBAL;FIELD_POSITION=LAST;FIELD_LENGTH=5;TERMINAL=NONCLOSE;PREDECESSOR=OKY;SUCCESSOR=BOUNDARY	10 Vorkommen auf 4 Seiten/6 Records; 4× FIRST, 3× MIDDLE, 2× LAST, 1× ONLY, alle NONCLOSE. Fünf Feldanfänge und Anschlüsse an OKY, CTHY und LCHE stützen eine Deixis.	Das Ziel ist in keinem der zehn Tuple-Ereignisse unabhängig identifiziert; besonders das ONLY-Feld kann ebenso eine selbständige Übergabeformel sein.	EXACT_JOINT_TUPLE_ID_ONLY
OKY	276a7c2d74d1143446f4	verwenden	Verb	85	f56r	HERBAL	f56r.8	1	H5	12	27	F016	MIDDLE	3	4	NONCLOSE	choky	OPAQUE_PAYLOAD	VERWENDEN?	VERWENDEN?	84	c10aec6d4dd877ec8bd8	OTHER_EXACT	die auf feuchter schattiger Heide wächst	Die aktive Portion verwenden	klein dosieren [lokaler H5-Musterbogenschritt 12/27; keine Kartenbedeutung]	86	95987d6f198d6d247511	OTHER_EXACT	lasse das Pflaster unbedeckt trocknen	von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen	klein dosieren [Ganzfeldexemplar H5, Feld 3/7]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=4;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	10 Vorkommen auf 5 Seiten/6 Records; 6× MIDDLE, 2× LAST, 1× FIRST, 1× ONLY; zweimal OKEEY→OKY, zweimal OKY→AIIN und einmal OKY→AL. Das Tuple sitzt plausibel als ausführbarer Handlungspivot.	Ein isoliertes und drei feldabschließende Vorkommen lassen ebenso eine Fortsetzungs- oder Freigabefunktion zu; die technische Rivalprosa ist nicht einheitlich.	EXACT_JOINT_TUPLE_ID_ONLY
OTCHEY	faf321940aed922846a9	Anteil	Nomen	98	f56r	HERBAL	f56r.19	1	H5	25	27	F020	FIRST	1	3	NONCLOSE	otchey	FRAME_OT(OPAQUE_PAYLOAD)	TEIL?	ANTEIL?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	Nimm den bezeichneten Anteil	trocknen und lagern [lokaler H5-Musterbogenschritt 25/27; keine Kartenbedeutung]	99	9bb7122b386ebbc6138f	OTHER_EXACT	die helle geöffnete Blüte	Nimm den bezeichneten Anteil ; die helle geöffnete Blüte ; Ein vorgeschriebenes Maß	trocknen und lagern [Ganzfeldexemplar H5, Feld 7/7]	REGISTER=HERBAL;FIELD_POSITION=FIRST;FIELD_LENGTH=3;TERMINAL=NONCLOSE;PREDECESSOR=BOUNDARY;SUCCESSOR=OTHER_EXACT	2 Vorkommen auf 2 Seiten/2 Registern; beide feldinitial und NONCLOSE. Danach folgen einmal ein konkreter Pflanzenteil und einmal OKEEY.	Zwei feldinitiale Fälle reichen nicht, um Anteil gegen Probe oder bloßen Abschnittsanfang zu trennen; die Auswahlhandlung ist unsichtbar.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	100	f56r	HERBAL	f56r.19	1	H5	27	27	F020	LAST	3	3	NONCLOSE	daiin	OPAQUE_PAYLOAD	MASS?	MASS?	99	9bb7122b386ebbc6138f	OTHER_EXACT	die helle geöffnete Blüte	Ein vorgeschriebenes Maß	trocknen und lagern [lokaler H5-Musterbogenschritt 27/27; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	Nimm den bezeichneten Anteil ; die helle geöffnete Blüte ; Ein vorgeschriebenes Maß	trocknen und lagern [Ganzfeldexemplar H5, Feld 7/7]	REGISTER=HERBAL;FIELD_POSITION=LAST;FIELD_LENGTH=3;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=BOUNDARY	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
OKE	7db18b2f0fb7ed0fcfd3	spülen	Verb	101	f81v	BIOLOGICAL	f81v.2	1	B1	1	66	F021	ONLY	1	1	TERMINAL	qokedy	CLOSE(OPAQUE_PAYLOAD)	SPÜLEN?	SPÜLEN?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	spüle die bezeichnete Stelle einmal und beende den Schritt	Hauptkreislauf beschicken [lokaler B1-Musterbogenschritt 1/66; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	spüle die bezeichnete Stelle einmal und beende den Schritt	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 1/24]	REGISTER=BIOLOGICAL;FIELD_POSITION=ONLY;FIELD_LENGTH=1;TERMINAL=TERMINAL;PREDECESSOR=BOUNDARY;SUCCESSOR=BOUNDARY	8 rein biologische Vorkommen auf 2 Seiten/3 Records; 3× ONLY, 5× LAST und 8× TERMINAL; zweimal OKEEY→OKE, einmal nach einer lokalen Erstspülung. Das Prozessmotiv ist kohärent.	Alle 8/8 Fälle sind vollständig mit CLOSE konfundiert; ‚beenden‘ erklärt die Position ohne jede Spülsemantik und ist formal sparsamer.	EXACT_JOINT_TUPLE_ID_ONLY
AL	dd0ecaf5e27d81befffc	dorthin	Relation	109	f81v	BIOLOGICAL	f81v.2	1	B1	9	66	F022	MIDDLE	8	11	NONCLOSE	al	OPAQUE_PAYLOAD	AN?	DORTHIN?	108	94df4847b7b16c98394a	OTHER_EXACT	das untere Becken	An die bezeichnete Zielstelle führen	Hauptkreislauf beschicken [lokaler B1-Musterbogenschritt 9/66; keine Kartenbedeutung]	110	dcda95c81a5460feb191	OTHER_EXACT	Mit der vorigen Zubereitung weiter	beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; das bereitete Öl	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 2/24]	REGISTER=BIOLOGICAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=11;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	10 Vorkommen auf 4 Seiten/6 Records; 4× FIRST, 3× MIDDLE, 2× LAST, 1× ONLY, alle NONCLOSE. Fünf Feldanfänge und Anschlüsse an OKY, CTHY und LCHE stützen eine Deixis.	Das Ziel ist in keinem der zehn Tuple-Ereignisse unabhängig identifiziert; besonders das ONLY-Feld kann ebenso eine selbständige Übergabeformel sein.	EXACT_JOINT_TUPLE_ID_ONLY
OLOR	dec401773c1f0347793d	vom Vorigen	Relation	113	f81v	BIOLOGICAL	f81v.7	1	B1	13	66	F023	FIRST	1	8	NONCLOSE	olor	OPAQUE_PAYLOAD	ZUVOR?	VOM VORIGEN?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	Aus dem vorigen Ansatz entnehmen	Hauptkreislauf beschicken [lokaler B1-Musterbogenschritt 13/66; keine Kartenbedeutung]	114	dcda95c81a5460feb191	OTHER_EXACT	Mit der vorigen Zubereitung weiter	Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 3/24]	REGISTER=BIOLOGICAL;FIELD_POSITION=FIRST;FIELD_LENGTH=8;TERMINAL=NONCLOSE;PREDECESSOR=BOUNDARY;SUCCESSOR=OTHER_EXACT	2 Vorkommen auf 2 Seiten/2 Registern; einmal MIDDLE, einmal FIRST, beide NONCLOSE; beide werden unmittelbar von einer lokalen Weiterführungsform gefolgt.	Nur zwei Fälle tragen die Entscheidung; ob die Relation anaphorisch, räumlich oder zeitlich ist, wird allein durch die kreative V59-Prosa unterschieden.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	116	f81v	BIOLOGICAL	f81v.7	1	B1	16	66	F023	MIDDLE	4	8	NONCLOSE	daiin	OPAQUE_PAYLOAD	MASS?	MASS?	115	4eab1841ed655c20a348	OTHER_EXACT	eine mäßige Menge	Ein vorgeschriebenes Maß	Hauptkreislauf beschicken [lokaler B1-Musterbogenschritt 16/66; keine Kartenbedeutung]	117	93f69c38fdedee1598e9	OTHER_EXACT	der eingetauchte Teil	Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 3/24]	REGISTER=BIOLOGICAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=8;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	118	f81v	BIOLOGICAL	f81v.7	1	B1	18	66	F023	MIDDLE	6	8	NONCLOSE	daiin	OPAQUE_PAYLOAD	MASS?	MASS?	117	93f69c38fdedee1598e9	OTHER_EXACT	der eingetauchte Teil	Ein vorgeschriebenes Maß	temperieren [lokaler B1-Musterbogenschritt 18/66; keine Kartenbedeutung]	119	2cc8bb3c2af19607888f	OTHER_EXACT	durch die verbundenen Läufe	Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 3/24]	REGISTER=BIOLOGICAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=8;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
OKE	7db18b2f0fb7ed0fcfd3	spülen	Verb	137	f81v	BIOLOGICAL	f81v.18	1	B1	37	66	F031	ONLY	1	1	TERMINAL	qokedy	CLOSE(OPAQUE_PAYLOAD)	SPÜLEN?	SPÜLEN?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	spüle die bezeichnete Stelle einmal und beende den Schritt	absetzen und klären [lokaler B1-Musterbogenschritt 37/66; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	spüle die bezeichnete Stelle einmal und beende den Schritt	temperieren [Ganzfeldexemplar B1, Feld 11/24]	REGISTER=BIOLOGICAL;FIELD_POSITION=ONLY;FIELD_LENGTH=1;TERMINAL=TERMINAL;PREDECESSOR=BOUNDARY;SUCCESSOR=BOUNDARY	8 rein biologische Vorkommen auf 2 Seiten/3 Records; 3× ONLY, 5× LAST und 8× TERMINAL; zweimal OKEEY→OKE, einmal nach einer lokalen Erstspülung. Das Prozessmotiv ist kohärent.	Alle 8/8 Fälle sind vollständig mit CLOSE konfundiert; ‚beenden‘ erklärt die Position ohne jede Spülsemantik und ist formal sparsamer.	EXACT_JOINT_TUPLE_ID_ONLY
