audit_serial	card	exact_joint_tuple_id	V60_R3_selected_technical_default	event_serial	page	locus	record_unit_id	field_id	field_position	field_length	physical_line_initial	terminal_status	strict_control_prompt	surface_display_only	previous_exact_id	previous_final_mnemonic	next_exact_id	next_final_mnemonic	LOCAL_IATROMEDICAL_EXPANSION	NONMEDICAL_RIVAL	source_class	process_state_effect	occurrence_fit	strongest_card_contradiction	confidence	binding_basis
11	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	118	f81v	f81v.7	B1	F023	MIDDLE	8	NO	NONCLOSE	VORGABEPARAMETER?	daiin	93f69c38fdedee1598e9	UNKNOWN_EXEMPLAR	2cc8bb3c2af19607888f	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	temperieren [lokaler B1-Musterbogenschritt 18/66; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
12	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	207	f82r	f82r.23	B2	F059	MIDDLE	7	NO	NONCLOSE	VORGABEPARAMETER?	daiin	5fca8fc3dee57e1d8c1f	UNKNOWN_EXEMPLAR	b921a237be883a820352	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	filtern und ablassen [lokaler B2-Musterbogenschritt 41/62; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
13	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	217	f82r	f82r.26	B2	F063	MIDDLE	7	NO	NONCLOSE	NONE	aiin	db729b598e89e11452e0	UNKNOWN_EXEMPLAR	5d5e0b288cf36864ed9d	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	nachfüllen und übergeben [lokaler B2-Musterbogenschritt 51/62; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
14	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	233	f83r	f83r.3	B3	F073	MIDDLE	4	NO	NONCLOSE	VORGABEPARAMETER?	daiin	b921a237be883a820352	UNKNOWN_EXEMPLAR	b921a237be883a820352	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	Mehrbeckenlauf ansetzen [lokaler B3-Musterbogenschritt 5/86; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
15	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	274	f83r	f83r.15	B3	F093	FIRST	7	YES	NONCLOSE	NONE	saiin	FIELD_START	FIELD_START	abb23e5e6936b4147f76	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	absetzen und klären [lokaler B3-Musterbogenschritt 46/86; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
16	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	299	f83r	f83r.20	B3	F103	LAST	2	NO	NONCLOSE	NONE	saiin	276a7c2d74d1143446f4	AUSFÜHREN?	FIELD_END	FIELD_END	Ein vorgeschriebenes Maß	Zyklus wiederholen [lokaler B3-Musterbogenschritt 71/86; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
17	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	332	f83r	f83r.28	B4	F117	FIRST	4	YES	NONCLOSE	NONE	saiin	FIELD_START	FIELD_START	2c1a5fd92b9e3c762242	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	Rückstand filtern [lokaler B4-Musterbogenschritt 18/47; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
18	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	338	f83r	f83r.35	B4	F120	FIRST	5	YES	NONCLOSE	NONE	saiin	FIELD_START	FIELD_START	d904bf7b044dd3922781	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	Rückstand filtern [lokaler B4-Musterbogenschritt 24/47; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
19	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	369	f83r	f83r.48	B5	F132	LAST	5	NO	NONCLOSE	NONE	aiin	00d8ebe3c68294eeac39	UNKNOWN_EXEMPLAR	FIELD_END	FIELD_END	Ein vorgeschriebenes Maß	für die Arbeitsfrist halten [lokaler B5-Musterbogenschritt 8/11; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
20	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	377	f83r	f83r.54	B6	F135	FIRST	5	YES	NONCLOSE	VORGABEPARAMETER?	daiin	FIELD_START	FIELD_START	dcda95c81a5460feb191	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	filtern [lokaler B6-Musterbogenschritt 5/9; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
21	OKY	276a7c2d74d1143446f4	AUSFÜHREN?	8	f10r	f10r.2	H1	F001	MIDDLE	10	NO	NONCLOSE	NONE	oky	62ff059766b21c7de083	UNKNOWN_EXEMPLAR	2f1c5e56e8f0ff459065	SOLLWERT?	Die aktive Portion verwenden	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 8/14; keine Kartenbedeutung]	ACTION_EXECUTION_CARD	execute(active_item); advance active_work_state	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	One occurrence is a complete one-card field, so both action and object must be inherited; no external action referent exists.	0.58	EXACT_JOINT_TUPLE_ID_ONLY
22	OKY	276a7c2d74d1143446f4	AUSFÜHREN?	81	f56r	f56r.7	H5	F015	MIDDLE	5	NO	NONCLOSE	NONE	choky	10488b911aae52b3b334	UNKNOWN_EXEMPLAR	dd0ecaf5e27d81befffc	ZIEL?	Die aktive Portion verwenden	klein dosieren [lokaler H5-Musterbogenschritt 8/27; keine Kartenbedeutung]	ACTION_EXECUTION_CARD	execute(active_item); advance active_work_state	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	One occurrence is a complete one-card field, so both action and object must be inherited; no external action referent exists.	0.58	EXACT_JOINT_TUPLE_ID_ONLY
23	OKY	276a7c2d74d1143446f4	AUSFÜHREN?	85	f56r	f56r.8	H5	F016	MIDDLE	4	NO	NONCLOSE	NONE	choky	c10aec6d4dd877ec8bd8	UNKNOWN_EXEMPLAR	95987d6f198d6d247511	UNKNOWN_EXEMPLAR	Die aktive Portion verwenden	klein dosieren [lokaler H5-Musterbogenschritt 12/27; keine Kartenbedeutung]	ACTION_EXECUTION_CARD	execute(active_item); advance active_work_state	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	One occurrence is a complete one-card field, so both action and object must be inherited; no external action referent exists.	0.58	EXACT_JOINT_TUPLE_ID_ONLY
24	OKY	276a7c2d74d1143446f4	AUSFÜHREN?	140	f81v	f81v.18	B1	F033	LAST	2	NO	NONCLOSE	NONE	qoky	2cc8bb3c2af19607888f	UNKNOWN_EXEMPLAR	FIELD_END	FIELD_END	Die aktive Portion verwenden	absetzen und klären [lokaler B1-Musterbogenschritt 40/66; keine Kartenbedeutung]	ACTION_EXECUTION_CARD	execute(active_item); advance active_work_state	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	One occurrence is a complete one-card field, so both action and object must be inherited; no external action referent exists.	0.58	EXACT_JOINT_TUPLE_ID_ONLY
25	OKY	276a7c2d74d1143446f4	AUSFÜHREN?	188	f82r	f82r.4	B2	F052	LAST	4	NO	NONCLOSE	NONE	qoky	c1913ec4ff84148da6d3	UNKNOWN_EXEMPLAR	FIELD_END	FIELD_END	Die aktive Portion verwenden	Fluss bewegen [lokaler B2-Musterbogenschritt 22/62; keine Kartenbedeutung]	ACTION_EXECUTION_CARD	execute(active_item); advance active_work_state	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	One occurrence is a complete one-card field, so both action and object must be inherited; no external action referent exists.	0.58	EXACT_JOINT_TUPLE_ID_ONLY
26	OKY	276a7c2d74d1143446f4	AUSFÜHREN?	195	f82r	f82r.7	B2	F056	MIDDLE	4	NO	NONCLOSE	NONE	qoky	0275fbf14e07935b0a45	TEMPERIEREN?	5eff216ba51fbfb21f22	UNKNOWN_EXEMPLAR	Die aktive Portion verwenden	Fluss bewegen [lokaler B2-Musterbogenschritt 29/62; keine Kartenbedeutung]	ACTION_EXECUTION_CARD	execute(active_item); advance active_work_state	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	One occurrence is a complete one-card field, so both action and object must be inherited; no external action referent exists.	0.58	EXACT_JOINT_TUPLE_ID_ONLY
27	OKY	276a7c2d74d1143446f4	AUSFÜHREN?	247	f83r	f83r.6	B3	F079	ONLY	1	NO	NONCLOSE	NONE	qoky	FIELD_START	FIELD_START	FIELD_END	FIELD_END	Die aktive Portion verwenden	Mehrbeckenlauf ansetzen [lokaler B3-Musterbogenschritt 19/86; keine Kartenbedeutung]	ACTION_EXECUTION_CARD	execute(active_item); advance active_work_state	ONE_CARD_INHERITED_ACTION_PRESSURE	One occurrence is a complete one-card field, so both action and object must be inherited; no external action referent exists.	0.58	EXACT_JOINT_TUPLE_ID_ONLY
28	OKY	276a7c2d74d1143446f4	AUSFÜHREN?	251	f83r	f83r.8	B3	F081	MIDDLE	4	NO	NONCLOSE	NONE	qoky	348e81ba084c5acdb32b	UNKNOWN_EXEMPLAR	6f7ff8287eddf4da9fdb	UNKNOWN_EXEMPLAR	Die aktive Portion verwenden	durch Stationen führen [lokaler B3-Musterbogenschritt 23/86; keine Kartenbedeutung]	ACTION_EXECUTION_CARD	execute(active_item); advance active_work_state	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	One occurrence is a complete one-card field, so both action and object must be inherited; no external action referent exists.	0.58	EXACT_JOINT_TUPLE_ID_ONLY
29	OKY	276a7c2d74d1143446f4	AUSFÜHREN?	298	f83r	f83r.20	B3	F103	FIRST	2	NO	NONCLOSE	NONE	qoky	FIELD_START	FIELD_START	2f1c5e56e8f0ff459065	SOLLWERT?	Die aktive Portion verwenden	Zyklus wiederholen [lokaler B3-Musterbogenschritt 70/86; keine Kartenbedeutung]	ACTION_EXECUTION_CARD	execute(active_item); advance active_work_state	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	One occurrence is a complete one-card field, so both action and object must be inherited; no external action referent exists.	0.58	EXACT_JOINT_TUPLE_ID_ONLY
30	OKY	276a7c2d74d1143446f4	AUSFÜHREN?	323	f83r	f83r.26	B4	F112	MIDDLE	5	NO	NONCLOSE	NONE	qoky	0275fbf14e07935b0a45	TEMPERIEREN?	dcda95c81a5460feb191	UNKNOWN_EXEMPLAR	Die aktive Portion verwenden	bezeichneten Lauf warm reinigen [lokaler B4-Musterbogenschritt 9/47; keine Kartenbedeutung]	ACTION_EXECUTION_CARD	execute(active_item); advance active_work_state	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	One occurrence is a complete one-card field, so both action and object must be inherited; no external action referent exists.	0.58	EXACT_JOINT_TUPLE_ID_ONLY
31	CTHY	e0b630cb1b5df5e7105b	FREIGABE?	14	f10r	f10r.5	H1	F002	LAST	4	NO	NONCLOSE	NONE	cthy	dcda95c81a5460feb191	UNKNOWN_EXEMPLAR	FIELD_END	FIELD_END	Sobald die Zubereitung gebrauchsfertig ist	Rest lagern [lokaler H1-Musterbogenschritt 14/14; keine Kartenbedeutung]	STATE_GATE_CARD	active_item.ready := true; permit next operation	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	Six of seven are medial and could be an ordinary connector or inherited stencil prompt rather than a stored readiness state.	0.61	EXACT_JOINT_TUPLE_ID_ONLY
32	CTHY	e0b630cb1b5df5e7105b	FREIGABE?	16	f10r	f10r.6	H2	F003	MIDDLE	9	NO	NONCLOSE	NONE	cthy	7249edc4df3419c26999	UNKNOWN_EXEMPLAR	7a4bb8136330ee4e6e56	ANSATZ?	Sobald die Zubereitung gebrauchsfertig ist	obere Pflanzenteile übernehmen [lokaler H2-Musterbogenschritt 2/24; keine Kartenbedeutung]	STATE_GATE_CARD	active_item.ready := true; permit next operation	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	Six of seven are medial and could be an ordinary connector or inherited stencil prompt rather than a stored readiness state.	0.61	EXACT_JOINT_TUPLE_ID_ONLY
33	CTHY	e0b630cb1b5df5e7105b	FREIGABE?	54	f11r	f11r.7	H3	F009	MIDDLE	4	NO	NONCLOSE	NONE	cthy	322281bd391aa621f568	UNKNOWN_EXEMPLAR	b921a237be883a820352	UNKNOWN_EXEMPLAR	Sobald die Zubereitung gebrauchsfertig ist	getrennt verwahren [lokaler H3-Musterbogenschritt 16/17; keine Kartenbedeutung]	STATE_GATE_CARD	active_item.ready := true; permit next operation	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	Six of seven are medial and could be an ordinary connector or inherited stencil prompt rather than a stored readiness state.	0.61	EXACT_JOINT_TUPLE_ID_ONLY
34	CTHY	e0b630cb1b5df5e7105b	FREIGABE?	271	f83r	f83r.14	B3	F092	MIDDLE	4	NO	NONCLOSE	NONE	shcthy	b5fcea1eaed06b2f2291	UNKNOWN_EXEMPLAR	dd0ecaf5e27d81befffc	ZIEL?	Sobald die Zubereitung gebrauchsfertig ist	durch Stationen führen [lokaler B3-Musterbogenschritt 43/86; keine Kartenbedeutung]	STATE_GATE_CARD	active_item.ready := true; permit next operation	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	Six of seven are medial and could be an ordinary connector or inherited stencil prompt rather than a stored readiness state.	0.61	EXACT_JOINT_TUPLE_ID_ONLY
35	CTHY	e0b630cb1b5df5e7105b	FREIGABE?	279	f83r	f83r.15	B3	F093	MIDDLE	7	NO	NONCLOSE	NONE	shcthy	dd0ecaf5e27d81befffc	ZIEL?	2bc2ed2630dbdaaa6b59	UNKNOWN_EXEMPLAR	Sobald die Zubereitung gebrauchsfertig ist	absetzen und klären [lokaler B3-Musterbogenschritt 51/86; keine Kartenbedeutung]	STATE_GATE_CARD	active_item.ready := true; permit next operation	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	Six of seven are medial and could be an ordinary connector or inherited stencil prompt rather than a stored readiness state.	0.61	EXACT_JOINT_TUPLE_ID_ONLY
36	CTHY	e0b630cb1b5df5e7105b	FREIGABE?	289	f83r	f83r.16	B3	F098	MIDDLE	6	NO	NONCLOSE	NONE	checthy	1645e612504fcef59ced	UNKNOWN_EXEMPLAR	d788d8d72d41b25a3c71	UNKNOWN_EXEMPLAR	Sobald die Zubereitung gebrauchsfertig ist	absetzen und klären [lokaler B3-Musterbogenschritt 61/86; keine Kartenbedeutung]	STATE_GATE_CARD	active_item.ready := true; permit next operation	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	Six of seven are medial and could be an ordinary connector or inherited stencil prompt rather than a stored readiness state.	0.61	EXACT_JOINT_TUPLE_ID_ONLY
37	CTHY	e0b630cb1b5df5e7105b	FREIGABE?	310	f83r	f83r.24	B3	F108	MIDDLE	6	NO	NONCLOSE	NONE	checthy	2c82523794dcb7d2b343	UNKNOWN_EXEMPLAR	80ebbbbf238eee9f0aef	UNKNOWN_EXEMPLAR	Sobald die Zubereitung gebrauchsfertig ist	Zyklus wiederholen [lokaler B3-Musterbogenschritt 82/86; keine Kartenbedeutung]	STATE_GATE_CARD	active_item.ready := true; permit next operation	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	Six of seven are medial and could be an ordinary connector or inherited stencil prompt rather than a stored readiness state.	0.61	EXACT_JOINT_TUPLE_ID_ONLY
38	OR	7a4bb8136330ee4e6e56	ANSATZ?	17	f10r	f10r.6	H2	F003	MIDDLE	9	NO	NONCLOSE	NONE	chor	e0b630cb1b5df5e7105b	FREIGABE?	f3c23f42baf625639e1e	UNKNOWN_EXEMPLAR	Die bereitete Arbeitsflüssigkeit	obere Pflanzenteile übernehmen [lokaler H2-Musterbogenschritt 3/24; keine Kartenbedeutung]	ACTIVE_BATCH_CARD	active_batch := prepared_working_lot	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	The exact card occurs twice consecutively in one field; identical adjacent loads may be copying cadence rather than two batches.	0.60	EXACT_JOINT_TUPLE_ID_ONLY
39	OR	7a4bb8136330ee4e6e56	ANSATZ?	25	f10r	f10r.8	H2	F004	MIDDLE	8	NO	NONCLOSE	NONE	chor	10488b911aae52b3b334	UNKNOWN_EXEMPLAR	497cbd9c7401810ff56b	UNKNOWN_EXEMPLAR	Die bereitete Arbeitsflüssigkeit	ausziehen [lokaler H2-Musterbogenschritt 11/24; keine Kartenbedeutung]	ACTIVE_BATCH_CARD	active_batch := prepared_working_lot	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	The exact card occurs twice consecutively in one field; identical adjacent loads may be copying cadence rather than two batches.	0.60	EXACT_JOINT_TUPLE_ID_ONLY
40	OR	7a4bb8136330ee4e6e56	ANSATZ?	33	f10r	f10r.9	H2	F005	MIDDLE	7	NO	NONCLOSE	NONE	shor	27d97af8c96eb056c2e6	UNKNOWN_EXEMPLAR	7a4bb8136330ee4e6e56	ANSATZ?	Die bereitete Arbeitsflüssigkeit	zweite Charge buchen [lokaler H2-Musterbogenschritt 19/24; keine Kartenbedeutung]	ACTIVE_BATCH_CARD	active_batch := prepared_working_lot	ADJACENT_IDENTICAL_CARD_PRESSURE	The exact card occurs twice consecutively in one field; identical adjacent loads may be copying cadence rather than two batches.	0.60	EXACT_JOINT_TUPLE_ID_ONLY
41	OR	7a4bb8136330ee4e6e56	ANSATZ?	34	f10r	f10r.9	H2	F005	MIDDLE	7	NO	NONCLOSE	NONE	chor	7a4bb8136330ee4e6e56	ANSATZ?	b921a237be883a820352	UNKNOWN_EXEMPLAR	Die bereitete Arbeitsflüssigkeit	zweite Charge buchen [lokaler H2-Musterbogenschritt 20/24; keine Kartenbedeutung]	ACTIVE_BATCH_CARD	active_batch := prepared_working_lot	ADJACENT_IDENTICAL_CARD_PRESSURE	The exact card occurs twice consecutively in one field; identical adjacent loads may be copying cadence rather than two batches.	0.60	EXACT_JOINT_TUPLE_ID_ONLY
