left_component	left_value_de	right_component	right_value_de	left_layer	right_layer	card_type_support	event_support	recipe_support	recipes	card_numbers
CHD	UMSETZEN	AL	ZIEL	OPERATION_SIGN	RELATION_ADDRESS_SIGN	3	3	3	CHD+AL|L+CHD+AL|P+CHD+AL	PROC088|PROC134|PROC168
CHD	UMSETZEN	AR	QUELLE	OPERATION_SIGN	RELATION_ADDRESS_SIGN	1	1	1	L+CHD+AR	PROC123
CHD	UMSETZEN	DY	SCHLUSS	OPERATION_SIGN	BOUND_ENDPOINT	12	28	9	AL+CHD+DY|CHD+DY|L+CHD+DY|L+O+CHD+DY|OK+CHD+DY|OL+CHD+DY|OT+CHD+DY|P+CHD+DY|SH+K+CHD+DY	PROC076|PROC077|PROC079|PROC082|PROC091|PROC094|PROC120|PROC125|PROC130|PROC144|PROC145|PROC166
CHD	UMSETZEN	Y	DIES	OPERATION_SIGN	DEICTIC_REFERENCE	3	13	2	CHD+Y|SH+E+CTH+CHD+Y	PROC042|PROC133|PROC136
CHK	WAERMEN	E	KURZ	OPERATION_SIGN	BOUND_GRADE	1	3	1	CHK+E+Y	PROC083
CHK	WAERMEN	EE	LANG	OPERATION_SIGN	BOUND_GRADE	3	4	2	CHK+EE+DY|CHK+EE+Y	PROC046|PROC107|PROC132
CKH	DURCHLASS	AL	ZIEL	STATE_OBJECT_SIGN	RELATION_ADDRESS_SIGN	2	2	2	CH+CKH+AL|SH+E+CKH+AL	PROC073|PROC163
CKH	DURCHLASS	E	KURZ	STATE_OBJECT_SIGN	BOUND_GRADE	3	5	3	L+CKH+E+DY|O+CKH+E+Y|SH+CKH+E+DY	PROC099|PROC103|PROC161
CKH	DURCHLASS	O	GANG	STATE_OBJECT_SIGN	STATE_OBJECT_SIGN	1	1	1	CH+EE+CKH+O+DY	PROC057
CKH	DURCHLASS	Y	DIES	STATE_OBJECT_SIGN	DEICTIC_REFERENCE	3	6	3	CKH+Y|L+CKH+Y|SH+E+CKH+Y	PROC075|PROC101|PROC110
CTH	BEREIT	AIIN	MASS	STATE_OBJECT_SIGN	MEASURE_STAGE_SIGN	1	1	1	CTH+AIIN	PROC017
CTH	BEREIT	CHD	UMSETZEN	STATE_OBJECT_SIGN	OPERATION_SIGN	1	1	1	SH+E+CTH+CHD+Y	PROC136
CTH	BEREIT	E	KURZ	STATE_OBJECT_SIGN	BOUND_GRADE	2	3	2	CTH+E+Y|O+CTH+E+OL	PROC106|PROC117
CTH	BEREIT	O	GANG	STATE_OBJECT_SIGN	STATE_OBJECT_SIGN	1	1	1	CTH+O+OR	PROC002
CTH	BEREIT	OL	FORTSETZEN	STATE_OBJECT_SIGN	RELATION_ADDRESS_SIGN	1	1	1	O+CTH+OL+Y	PROC018
CTH	BEREIT	Y	DIES	STATE_OBJECT_SIGN	DEICTIC_REFERENCE	2	8	2	CTH+Y|SH+E+CTH+Y	PROC014|PROC143
DA	ZWEIT	IIN	STUFE	MEASURE_STAGE_SIGN	MEASURE_STAGE_SIGN	1	1	1	DA+IIN	PROC169
E	KURZ	AIIN	MASS	BOUND_GRADE	MEASURE_STAGE_SIGN	1	1	1	OT+E+AIIN	PROC152
E	KURZ	AL	ZIEL	BOUND_GRADE	RELATION_ADDRESS_SIGN	1	1	1	R+SH+E+AL	PROC126
E	KURZ	CKH	DURCHLASS	BOUND_GRADE	STATE_OBJECT_SIGN	2	2	2	SH+E+CKH+AL|SH+E+CKH+Y	PROC073|PROC110
E	KURZ	CTH	BEREIT	BOUND_GRADE	STATE_OBJECT_SIGN	2	2	2	SH+E+CTH+CHD+Y|SH+E+CTH+Y	PROC136|PROC143
E	KURZ	DY	SCHLUSS	BOUND_GRADE	BOUND_ENDPOINT	9	20	9	L+CKH+E+DY|L+K+E+DY|LSH+E+DY|OK+E+DY|OK+SH+E+DY|OL+SH+E+DY|OT+E+DY|SH+CKH+E+DY|SH+E+DY	PROC067|PROC086|PROC099|PROC103|PROC111|PROC114|PROC135|PROC141|PROC159
E	KURZ	K	ZUDOSIEREN	BOUND_GRADE	OPERATION_SIGN	1	1	1	E+K+E+Y	PROC171
E	KURZ	O	GANG	BOUND_GRADE	STATE_OBJECT_SIGN	2	2	2	CH+E+O+AR|OK+CH+E+O	PROC045|PROC061
E	KURZ	OL	FORTSETZEN	BOUND_GRADE	RELATION_ADDRESS_SIGN	4	4	4	E+OL|K+E+OL|O+CTH+E+OL|SH+E+OL	PROC066|PROC093|PROC096|PROC106
E	KURZ	OR	ANSATZ	BOUND_GRADE	STATE_OBJECT_SIGN	1	1	1	Y+CH+E+OR	PROC015
E	KURZ	S	GETEILT	BOUND_GRADE	BOUND_RESULT_SIGN	1	1	1	CH+E+S	PROC124
E	KURZ	T	EINTRAGEN	BOUND_GRADE	OPERATION_SIGN	1	1	1	E+T+Y	PROC010
E	KURZ	Y	DIES	BOUND_GRADE	DEICTIC_REFERENCE	10	14	10	CH+E+Y|CHK+E+Y|CTH+E+Y|E+K+E+Y|K+E+Y|O+CKH+E+Y|OK+E+Y|SH+E+Y|SOLK+E+Y|T+E+Y	PROC001|PROC059|PROC083|PROC085|PROC090|PROC117|PROC122|PROC161|PROC164|PROC171
EE	LANG	AL	ZIEL	BOUND_GRADE	RELATION_ADDRESS_SIGN	1	1	1	OK+EE+AL	PROC074
EE	LANG	AR	QUELLE	BOUND_GRADE	RELATION_ADDRESS_SIGN	1	1	1	EE+AR	PROC146
EE	LANG	CKH	DURCHLASS	BOUND_GRADE	STATE_OBJECT_SIGN	1	1	1	CH+EE+CKH+O+DY	PROC057
EE	LANG	DY	SCHLUSS	BOUND_GRADE	BOUND_ENDPOINT	5	17	5	CHK+EE+DY|OK+EE+DY|OT+EE+DY|SH+EE+DY|SOLK+EE+DY	PROC098|PROC100|PROC129|PROC132|PROC139
EE	LANG	OL	FORTSETZEN	BOUND_GRADE	RELATION_ADDRESS_SIGN	1	1	1	OK+EE+OL	PROC158
EE	LANG	Y	DIES	BOUND_GRADE	DEICTIC_REFERENCE	8	19	6	CHK+EE+Y|L+EE+Y|OK+EE+Y|OT+EE+Y|SH+EE+Y|SOLK+EE+Y	PROC031|PROC046|PROC092|PROC107|PROC109|PROC118|PROC157|PROC170
EEE	VOLL	DY	SCHLUSS	BOUND_GRADE	BOUND_ENDPOINT	1	1	1	OK+EEE+DY	PROC119
EEE	VOLL	T	EINTRAGEN	BOUND_GRADE	OPERATION_SIGN	1	1	1	EEE+T+Y	PROC149
HO	ZUTAT	AL	ZIEL	STATE_OBJECT_SIGN	RELATION_ADDRESS_SIGN	1	1	1	HO+AL+Y	PROC053
HO	ZUTAT	AR	QUELLE	STATE_OBJECT_SIGN	RELATION_ADDRESS_SIGN	1	1	1	K+HO+AR	PROC063
HO	ZUTAT	CH	ABNEHMEN	STATE_OBJECT_SIGN	OPERATION_SIGN	1	1	1	HO+CH+OR	PROC051
HO	ZUTAT	Y	DIES	STATE_OBJECT_SIGN	DEICTIC_REFERENCE	1	1	1	HO+Y	PROC056
K	ZUDOSIEREN	AIIN	MASS	OPERATION_SIGN	MEASURE_STAGE_SIGN	1	1	1	Y+K+AIIN	PROC044
K	ZUDOSIEREN	AIN	PORTION	OPERATION_SIGN	MEASURE_STAGE_SIGN	3	6	3	K+AIN|OL+K+AIN|Y+K+AIN	PROC039|PROC069|PROC070
K	ZUDOSIEREN	AIR	LAUF	OPERATION_SIGN	STATE_OBJECT_SIGN	1	1	1	K+AIR	PROC068
K	ZUDOSIEREN	AL	ZIEL	OPERATION_SIGN	RELATION_ADDRESS_SIGN	1	1	1	K+AL	PROC062
K	ZUDOSIEREN	AN	NACHGABE	OPERATION_SIGN	MEASURE_STAGE_SIGN	1	1	1	Y+K+AN	PROC040
K	ZUDOSIEREN	AR	QUELLE	OPERATION_SIGN	RELATION_ADDRESS_SIGN	1	1	1	K+AR	PROC165
K	ZUDOSIEREN	CHD	UMSETZEN	OPERATION_SIGN	OPERATION_SIGN	1	1	1	SH+K+CHD+DY	PROC077
K	ZUDOSIEREN	E	KURZ	OPERATION_SIGN	BOUND_GRADE	4	4	4	E+K+E+Y|K+E+OL|K+E+Y|L+K+E+DY	PROC059|PROC066|PROC159|PROC171
K	ZUDOSIEREN	HO	ZUTAT	OPERATION_SIGN	STATE_OBJECT_SIGN	1	1	1	K+HO+AR	PROC063
K	ZUDOSIEREN	IIN	STUFE	OPERATION_SIGN	MEASURE_STAGE_SIGN	1	1	1	K+IIN	PROC024
K	ZUDOSIEREN	OL	FORTSETZEN	OPERATION_SIGN	RELATION_ADDRESS_SIGN	1	1	1	K+OL	PROC054
K	ZUDOSIEREN	OR	ANSATZ	OPERATION_SIGN	STATE_OBJECT_SIGN	1	1	1	O+Y+K+OR	PROC023
K	ZUDOSIEREN	Y	DIES	OPERATION_SIGN	DEICTIC_REFERENCE	1	1	1	K+Y	PROC035
L	WEITERLEITEN	AIIN	MASS	OPERATION_SIGN	MEASURE_STAGE_SIGN	1	1	1	L+AIIN	PROC147
L	WEITERLEITEN	AL	ZIEL	OPERATION_SIGN	RELATION_ADDRESS_SIGN	1	1	1	L+AL+OR	PROC173
L	WEITERLEITEN	AR	QUELLE	OPERATION_SIGN	RELATION_ADDRESS_SIGN	1	1	1	L+AR	PROC121
L	WEITERLEITEN	CH	ABNEHMEN	OPERATION_SIGN	OPERATION_SIGN	1	1	1	L+CH+Y	PROC116
L	WEITERLEITEN	CHD	UMSETZEN	OPERATION_SIGN	OPERATION_SIGN	4	11	4	L+CHD|L+CHD+AL|L+CHD+AR|L+CHD+DY	PROC088|PROC102|PROC120|PROC123
L	WEITERLEITEN	CKH	DURCHLASS	OPERATION_SIGN	STATE_OBJECT_SIGN	2	2	2	L+CKH+E+DY|L+CKH+Y	PROC101|PROC103
L	WEITERLEITEN	DY	SCHLUSS	OPERATION_SIGN	BOUND_ENDPOINT	1	2	1	L+DY	PROC108
L	WEITERLEITEN	EE	LANG	OPERATION_SIGN	BOUND_GRADE	1	1	1	L+EE+Y	PROC118
L	WEITERLEITEN	K	ZUDOSIEREN	OPERATION_SIGN	OPERATION_SIGN	1	1	1	L+K+E+DY	PROC159
L	WEITERLEITEN	O	GANG	OPERATION_SIGN	STATE_OBJECT_SIGN	2	2	2	L+O|L+O+CHD+DY	PROC130|PROC140
L	WEITERLEITEN	OL	FORTSETZEN	OPERATION_SIGN	RELATION_ADDRESS_SIGN	1	1	1	L+OL	PROC167
L	WEITERLEITEN	Y	DIES	OPERATION_SIGN	DEICTIC_REFERENCE	1	1	1	L+Y	PROC095
LD	BEFESTIGEN	DY	SCHLUSS	OPERATION_SIGN	BOUND_ENDPOINT	1	1	1	OK+Y+LD+DY	PROC155
LSH	WASCHEN	E	KURZ	OPERATION_SIGN	BOUND_GRADE	1	2	1	LSH+E+DY	PROC086
LSH	WASCHEN	O	GANG	OPERATION_SIGN	STATE_OBJECT_SIGN	1	1	1	LSH+O	PROC084
O	GANG	AIIN	MASS	STATE_OBJECT_SIGN	MEASURE_STAGE_SIGN	1	1	1	CH+O+AIIN	PROC025
O	GANG	AIN	PORTION	STATE_OBJECT_SIGN	MEASURE_STAGE_SIGN	1	1	1	OT+O+AIN	PROC064
O	GANG	AL	ZIEL	STATE_OBJECT_SIGN	RELATION_ADDRESS_SIGN	1	1	1	SH+O+AL	PROC027
O	GANG	AR	QUELLE	STATE_OBJECT_SIGN	RELATION_ADDRESS_SIGN	1	1	1	CH+E+O+AR	PROC045
O	GANG	CHD	UMSETZEN	STATE_OBJECT_SIGN	OPERATION_SIGN	1	1	1	L+O+CHD+DY	PROC130
O	GANG	CKH	DURCHLASS	STATE_OBJECT_SIGN	STATE_OBJECT_SIGN	1	1	1	O+CKH+E+Y	PROC161
O	GANG	CTH	BEREIT	STATE_OBJECT_SIGN	STATE_OBJECT_SIGN	2	2	2	O+CTH+E+OL|O+CTH+OL+Y	PROC018|PROC106
O	GANG	DY	SCHLUSS	STATE_OBJECT_SIGN	BOUND_ENDPOINT	3	3	3	CH+EE+CKH+O+DY|O+DY|T+CH+O+DY	PROC032|PROC041|PROC057
O	GANG	IIN	STUFE	STATE_OBJECT_SIGN	MEASURE_STAGE_SIGN	1	2	1	O+IIN	PROC097
O	GANG	OR	ANSATZ	STATE_OBJECT_SIGN	STATE_OBJECT_SIGN	1	1	1	CTH+O+OR	PROC002
O	GANG	Y	DIES	STATE_OBJECT_SIGN	DEICTIC_REFERENCE	2	2	2	O+Y+K+OR|SH+O+Y+T+Y	PROC023|PROC033
OK	ANSETZEN	AIIN	MASS	OPERATION_SIGN	MEASURE_STAGE_SIGN	1	9	1	OK+AIIN	PROC038
OK	ANSETZEN	AIN	PORTION	OPERATION_SIGN	MEASURE_STAGE_SIGN	1	7	1	OK+AIN	PROC080
OK	ANSETZEN	AIR	LAUF	OPERATION_SIGN	STATE_OBJECT_SIGN	1	1	1	OK+AIR	PROC138
OK	ANSETZEN	AL	ZIEL	OPERATION_SIGN	RELATION_ADDRESS_SIGN	2	7	2	OK+AL|OK+AL+Y	PROC048|PROC104
OK	ANSETZEN	AR	QUELLE	OPERATION_SIGN	RELATION_ADDRESS_SIGN	1	1	1	OK+AR	PROC113
OK	ANSETZEN	CH	ABNEHMEN	OPERATION_SIGN	OPERATION_SIGN	1	1	1	OK+CH+E+O	PROC061
OK	ANSETZEN	CHD	UMSETZEN	OPERATION_SIGN	OPERATION_SIGN	2	5	1	OK+CHD+DY	PROC082|PROC091
OK	ANSETZEN	E	KURZ	OPERATION_SIGN	BOUND_GRADE	2	10	2	OK+E+DY|OK+E+Y	PROC067|PROC085
OK	ANSETZEN	EE	LANG	OPERATION_SIGN	BOUND_GRADE	4	19	4	OK+EE+AL|OK+EE+DY|OK+EE+OL|OK+EE+Y	PROC074|PROC092|PROC100|PROC158
OK	ANSETZEN	EEE	VOLL	OPERATION_SIGN	BOUND_GRADE	1	1	1	OK+EEE+DY	PROC119
OK	ANSETZEN	OK	ANSETZEN	OPERATION_SIGN	OPERATION_SIGN	1	1	1	OK+OK+Y	PROC060
OK	ANSETZEN	OL	FORTSETZEN	OPERATION_SIGN	RELATION_ADDRESS_SIGN	2	2	1	OK+OL	PROC037|PROC160
OK	ANSETZEN	SH	HALTEN	OPERATION_SIGN	OPERATION_SIGN	1	1	1	OK+SH+E+DY	PROC141
OK	ANSETZEN	Y	DIES	OPERATION_SIGN	DEICTIC_REFERENCE	4	15	3	OK+OK+Y|OK+Y|OK+Y+LD+DY	PROC008|PROC011|PROC060|PROC155
OL	FORTSETZEN	AL	ZIEL	RELATION_ADDRESS_SIGN	RELATION_ADDRESS_SIGN	1	1	1	OL+AL+Y	PROC153
OL	FORTSETZEN	CHD	UMSETZEN	RELATION_ADDRESS_SIGN	OPERATION_SIGN	1	3	1	OL+CHD+DY	PROC079
OL	FORTSETZEN	DY	SCHLUSS	RELATION_ADDRESS_SIGN	BOUND_ENDPOINT	1	2	1	OL+DY	PROC047
OL	FORTSETZEN	K	ZUDOSIEREN	RELATION_ADDRESS_SIGN	OPERATION_SIGN	1	2	1	OL+K+AIN	PROC070
OL	FORTSETZEN	OR	ANSATZ	RELATION_ADDRESS_SIGN	STATE_OBJECT_SIGN	1	2	1	OL+OR	PROC022
OL	FORTSETZEN	SH	HALTEN	RELATION_ADDRESS_SIGN	OPERATION_SIGN	1	1	1	OL+SH+E+DY	PROC114
OL	FORTSETZEN	T	EINTRAGEN	RELATION_ADDRESS_SIGN	OPERATION_SIGN	1	1	1	OL+T+Y	PROC049
OL	FORTSETZEN	Y	DIES	RELATION_ADDRESS_SIGN	DEICTIC_REFERENCE	2	2	2	O+CTH+OL+Y|OL+Y	PROC018|PROC154
OR	ANSATZ	AIN	PORTION	STATE_OBJECT_SIGN	MEASURE_STAGE_SIGN	1	1	1	OR+AIN	PROC050
OT	DANACH	AIIN	MASS	RELATION_ADDRESS_SIGN	MEASURE_STAGE_SIGN	1	3	1	OT+AIIN	PROC112
OT	DANACH	AL	ZIEL	RELATION_ADDRESS_SIGN	RELATION_ADDRESS_SIGN	1	3	1	OT+AL	PROC131
OT	DANACH	AR	QUELLE	RELATION_ADDRESS_SIGN	RELATION_ADDRESS_SIGN	1	1	1	OT+AR	PROC089
OT	DANACH	CH	ABNEHMEN	RELATION_ADDRESS_SIGN	OPERATION_SIGN	2	3	2	OT+CH+OL|OT+CH+OR	PROC012|PROC020
OT	DANACH	CHD	UMSETZEN	RELATION_ADDRESS_SIGN	OPERATION_SIGN	2	3	1	OT+CHD+DY	PROC145|PROC166
OT	DANACH	E	KURZ	RELATION_ADDRESS_SIGN	BOUND_GRADE	2	3	2	OT+E+AIIN|OT+E+DY	PROC135|PROC152
OT	DANACH	EE	LANG	RELATION_ADDRESS_SIGN	BOUND_GRADE	2	4	2	OT+EE+DY|OT+EE+Y	PROC109|PROC129
OT	DANACH	O	GANG	RELATION_ADDRESS_SIGN	STATE_OBJECT_SIGN	1	1	1	OT+O+AIN	PROC064
OT	DANACH	OL	FORTSETZEN	RELATION_ADDRESS_SIGN	RELATION_ADDRESS_SIGN	1	1	1	OT+OL	PROC021
OT	DANACH	Y	DIES	RELATION_ADDRESS_SIGN	DEICTIC_REFERENCE	3	4	2	OT+Y|OT+Y+T+CH+OL	PROC007|PROC036|PROC065
P	EINFUELLEN	CHD	UMSETZEN	OPERATION_SIGN	OPERATION_SIGN	2	2	2	P+CHD+AL|P+CHD+DY	PROC125|PROC134
P	EINFUELLEN	Y	DIES	OPERATION_SIGN	DEICTIC_REFERENCE	1	1	1	P+Y	PROC030
R	KUEHLEN	AL	ZIEL	OPERATION_SIGN	RELATION_ADDRESS_SIGN	2	2	2	R+AL|R+AL+Y	PROC081|PROC172
R	KUEHLEN	OL	FORTSETZEN	OPERATION_SIGN	RELATION_ADDRESS_SIGN	1	1	1	R+OL	PROC071
R	KUEHLEN	OR	ANSATZ	OPERATION_SIGN	STATE_OBJECT_SIGN	1	1	1	AL+R+OR	PROC148
R	KUEHLEN	SH	HALTEN	OPERATION_SIGN	OPERATION_SIGN	1	1	1	R+SH+E+AL	PROC126
R	KUEHLEN	SHED	ABSETZEN	OPERATION_SIGN	OPERATION_SIGN	1	1	1	R+SHED+DY	PROC128
SH	HALTEN	CKH	DURCHLASS	OPERATION_SIGN	STATE_OBJECT_SIGN	1	3	1	SH+CKH+E+DY	PROC099
SH	HALTEN	E	KURZ	OPERATION_SIGN	BOUND_GRADE	10	10	10	OK+SH+E+DY|OL+SH+E+DY|R+SH+E+AL|SH+E+CKH+AL|SH+E+CKH+Y|SH+E+CTH+CHD+Y|SH+E+CTH+Y|SH+E+DY|SH+E+OL|SH+E+Y	PROC073|PROC096|PROC110|PROC111|PROC114|PROC122|PROC126|PROC136|PROC141|PROC143
SH	HALTEN	EE	LANG	OPERATION_SIGN	BOUND_GRADE	3	6	2	SH+EE+DY|SH+EE+Y	PROC031|PROC139|PROC157
SH	HALTEN	K	ZUDOSIEREN	OPERATION_SIGN	OPERATION_SIGN	1	1	1	SH+K+CHD+DY	PROC077
SH	HALTEN	O	GANG	OPERATION_SIGN	STATE_OBJECT_SIGN	2	2	2	SH+O+AL|SH+O+Y+T+Y	PROC027|PROC033
SH	HALTEN	OL	FORTSETZEN	OPERATION_SIGN	RELATION_ADDRESS_SIGN	1	1	1	T+SH+OL	PROC026
SH	HALTEN	Y	DIES	OPERATION_SIGN	DEICTIC_REFERENCE	1	1	1	SH+Y+AIIN	PROC029
SHED	ABSETZEN	AL	ZIEL	OPERATION_SIGN	RELATION_ADDRESS_SIGN	1	2	1	SHED+AL	PROC142
SHED	ABSETZEN	DY	SCHLUSS	OPERATION_SIGN	BOUND_ENDPOINT	2	13	2	R+SHED+DY|SHED+DY	PROC078|PROC128
SOLK	AUFFANGEN	AIIN	MASS	OPERATION_SIGN	MEASURE_STAGE_SIGN	1	1	1	SOLK+AIIN	PROC105
SOLK	AUFFANGEN	E	KURZ	OPERATION_SIGN	BOUND_GRADE	1	1	1	SOLK+E+Y	PROC164
SOLK	AUFFANGEN	EE	LANG	OPERATION_SIGN	BOUND_GRADE	2	4	2	SOLK+EE+DY|SOLK+EE+Y	PROC098|PROC170
SOLK	AUFFANGEN	Y	DIES	OPERATION_SIGN	DEICTIC_REFERENCE	1	1	1	SOLK+Y	PROC087
T	EINTRAGEN	CH	ABNEHMEN	OPERATION_SIGN	OPERATION_SIGN	2	2	2	OT+Y+T+CH+OL|T+CH+O+DY	PROC007|PROC032
T	EINTRAGEN	E	KURZ	OPERATION_SIGN	BOUND_GRADE	1	1	1	T+E+Y	PROC090
T	EINTRAGEN	SH	HALTEN	OPERATION_SIGN	OPERATION_SIGN	1	1	1	T+SH+OL	PROC026
T	EINTRAGEN	Y	DIES	OPERATION_SIGN	DEICTIC_REFERENCE	5	6	5	E+T+Y|EEE+T+Y|OL+T+Y|SH+O+Y+T+Y|T+Y	PROC004|PROC010|PROC033|PROC049|PROC149
Y	DIES	AIIN	MASS	DEICTIC_REFERENCE	MEASURE_STAGE_SIGN	1	1	1	SH+Y+AIIN	PROC029
Y	DIES	CH	ABNEHMEN	DEICTIC_REFERENCE	OPERATION_SIGN	1	1	1	Y+CH+E+OR	PROC015
Y	DIES	DY	SCHLUSS	DEICTIC_REFERENCE	BOUND_ENDPOINT	1	1	1	AIR+Y+DY	PROC162
Y	DIES	K	ZUDOSIEREN	DEICTIC_REFERENCE	OPERATION_SIGN	4	4	4	O+Y+K+OR|Y+K+AIIN|Y+K+AIN|Y+K+AN	PROC023|PROC039|PROC040|PROC044
Y	DIES	LD	BEFESTIGEN	DEICTIC_REFERENCE	OPERATION_SIGN	1	1	1	OK+Y+LD+DY	PROC155
Y	DIES	T	EINTRAGEN	DEICTIC_REFERENCE	OPERATION_SIGN	2	2	2	OT+Y+T+CH+OL|SH+O+Y+T+Y	PROC007|PROC033
