reference_id	locus	reference_ordinal	expected_surface	expected_gloss_de	decision	linked_edge_ids	source_ordinals	target_ordinals	scope_class	provenance	note
R014	f56r.6	1	ykcho	hieraus eine warme Trockenmischung bereiten	UNRESOLVED_LINE_INITIAL	NONE	NONE	1	MATERIAL_SOURCE	V68 line begins with the deictic card.	GDT677 licenses the anaphoric action but not a donor inside this line.
R015	f75r.3	4	qey	die vorstehende Mittelstufenportion anschließend nehmen	ADMITTED_STRONG_EDGE	C003	3	4	EXPLICIT_PRECEDING_PORTION	GDT679 exact whole-card occurrence.	The noun phrase names its immediate antecedent.
R016	f77v.7	3	qy	hiervon nehmen	HOLD_OBJECT_RIVAL	NONE	2|4	3	ACTION_RESULT_WITH_RIGHT_OBJECT	GDT678 offers a fluent whole passage, but qy has reader rivals and no unique occurrence donor tag.	Keep the result-source versus right-root composition visible.
R017	f77v.7	5	ycheedy	hiervon bis zur Endstufe trocknen	HOLD_OBJECT_RIVAL	NONE	4	5	MATERIAL_OBJECT	Immediate rr is plausible but remained open in GDT676 and has reader variants.	Adjacency alone is not promoted.
R018	f80v.35	4	y	Hierzu:	ADMITTED_STRONG_EDGE	C004	3	5	DESTINATION_REFERENCE	GDT676 occurrence audit plus GDT695 I003.	Only immediate qol 5 receives this introducer.
R019	f86v3.13	8	y	Hierzu:	STRUCTURAL_SEQUENCE_ONLY	NONE	7	9	STATE_ATTACHMENT	GDT695 I004 binds only following chedy.	No action object is present at the target.
R020	f86v5.2	10	ytol	kühle hiervon den Drogenstoff ab	HOLD_OBJECT_RIVAL	NONE	7|9	10	SOURCE_RIVAL	The taken powder from action 7 competes with immediately left Grundansatz 9.	GDT666 licenses ytol's backward reference, not this exclusive donor.
R021	f86v5.24	3	ykain	erhitze hiervon auf Stufe II	HOLD_OBJECT_RIVAL	NONE	1-2	3	QUANTIFIED_BLOCK_RIVAL	The two-token block is plausible but lacks an older exclusive occurrence binding.	Preserve the explicit hiervon without choosing the block.
R022	f86v5.4	1	ypchesy	hiervon Samenpulver bis zur Mittelstufe trocknen	UNRESOLVED_LINE_INITIAL	NONE	NONE	1	MATERIAL_SOURCE	V68 line begins with the deictic card.	The upstream root-powder rival also remains visible.
R023	f86v6.25	1	yteedy	hiervon bis zur Endstufe abkühlen	UNRESOLVED_LINE_INITIAL	NONE	NONE	1	MATERIAL_SOURCE	V68 line begins with the deictic card.	No previous-line carry.
R024	f86v6.25	5	ykaiin	erhitze hiervon auf Stufe III	ADMITTED_STRONG_EDGE	C006	4	5	MEASURED_SHARE_OUTPUT	GDT680 source line plus immediate written action output.	Occurrence-bound only.
R025	f86v6.25	10	araram	Drogenanteil I; davon ein Maß	SELF_CONTAINED_INTRATOKEN	NONE	10	10	INTRATOKEN_MEASURE	GDT694 preserves RF1b ar|aram apposition inside one frozen token gloss.	No cross-token edge needed.
R026	f86v6.5	5	daiin	drei Portionen davon	INHERITED_NOMINAL_BINDING	NONE	4	5	HEAD_VALUE_BINDING	GDT676 accepted olkar→daiin and GDT695 preserves the colon binding.	Already realized before GDT696.
R027	f88r.19	3	daiin	Qualitätsgrad III dieses heißen Absuds	EXACT_NOMINAL_REFERENCE	NONE	2	3	QUALITY_OF_HEAD	GDT680's complete f88r.19 reading keeps hot decoction and grade adjacent.	Nominal quality relation only.
