statement_id	record_unit_id	page	loci	owner_slot	event_count	surface_sequence	family_sequence_de	register_expansion_sequence_de	two_layer_statement_de	contains_revised_family	terminal_status
H4-S002	H4	f55v	f55v.5	abgebildete Pflanze auf f55v	3	daiin · chedy · talam	SOLLWERT; DIES_AKTUELLER_POSTEN + UEBERFUEHREN; verwahren; Schluss	Sollmaß; überführen; verwahren; Schluss	Beim Besitzer abgebildete Pflanze auf f55v: SOLLWERT => Sollmaß | DIES_AKTUELLER_POSTEN + UEBERFUEHREN => überführen | verwahren; Schluss => verwahren; Schluss	YES	CLOSED
H4-S003	H4	f55v	f55v.11	abgebildete Pflanze auf f55v	4	ykaiin · cheoar · cheeky · oldy	SOLLWERT; AUSZUG; GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN; WEITER_GLEICHER_LAUF + FESTSETZEN	Sollportion; Auszug aus der Quelle; länger bearbeiten; fertig; Arbeitsschritt festsetzen	Beim Besitzer abgebildete Pflanze auf f55v: SOLLWERT => Sollportion | AUSZUG => Auszug aus der Quelle | GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN => länger bearbeiten | WEITER_GLEICHER_LAUF + FESTSETZEN => fertig; Arbeitsschritt festsetzen	YES	CLOSED
H4-S004	H4	f55v	f55v.11	abgebildete Pflanze auf f55v	6	aiin · okal · oltchy · or · y · orain	SOLLWERT; EINSETZEN + ZU_ZIEL; WEITER_GLEICHER_LAUF + DIES_AKTUELLER_POSTEN + BEREITUNG; BEDINGUNGSANSATZ; DIES_AKTUELLER_POSTEN; PORTION	Sollmaß; dorthin einsetzen; die laufende Bereitung fortsetzen; Ansatz; dies; Bereitungsanteil	Beim Besitzer abgebildete Pflanze auf f55v: SOLLWERT => Sollmaß | EINSETZEN + ZU_ZIEL => dorthin einsetzen | WEITER_GLEICHER_LAUF + DIES_AKTUELLER_POSTEN + BEREITUNG => die laufende Bereitung fortsetzen | BEDINGUNGSANSATZ => Ansatz | DIES_AKTUELLER_POSTEN => dies | PORTION => Bereitungsanteil	NO	OPEN
H5-S001	H5	f56r	f56r.5|f56r.7	abgebildete Pflanze auf f56r	9	chochor · cho · chodaly · daiin · sho · kchol · otchor · choky · dal	BEDINGUNGSANSATZ + EINGABE; EINGABE; DIES_AKTUELLER_POSTEN + EINGABE; SOLLWERT; EINGABE; ARGUMENTBINDER; FOLGEPOSTEN + BEDINGUNGSANSATZ; EINSETZEN + DIES_AKTUELLER_POSTEN; ZU_ZIEL	Zugabeansatz; weitere Zutat; Zugabe am aktuellen Ziel; Sollmaß; weitere Zutat; weiter bearbeiten; Folgeansatz; einsetzen; dorthin	Beim Besitzer abgebildete Pflanze auf f56r: BEDINGUNGSANSATZ + EINGABE => Zugabeansatz | EINGABE => weitere Zutat | DIES_AKTUELLER_POSTEN + EINGABE => Zugabe am aktuellen Ziel | SOLLWERT => Sollmaß | EINGABE => weitere Zutat | ARGUMENTBINDER => weiter bearbeiten | FOLGEPOSTEN + BEDINGUNGSANSATZ => Folgeansatz | EINSETZEN + DIES_AKTUELLER_POSTEN => einsetzen | ZU_ZIEL => dorthin	YES	OPEN
H5-S002	H5	f56r	f56r.8	abgebildete Pflanze auf f56r	4	schol · choy · choky · cheeckhody	VORIGER; DIES_AKTUELLER_POSTEN + EINGABE; EINSETZEN + DIES_AKTUELLER_POSTEN; auftragen; Schluss	vom vorigen Arbeitsgang nehmen; aktuelle Zutat; einsetzen; auftragen; Schluss	Beim Besitzer abgebildete Pflanze auf f56r: VORIGER => vom vorigen Arbeitsgang nehmen | DIES_AKTUELLER_POSTEN + EINGABE => aktuelle Zutat | EINSETZEN + DIES_AKTUELLER_POSTEN => einsetzen | auftragen; Schluss => auftragen; Schluss	YES	CLOSED
H5-S003	H5	f56r	f56r.12	abgebildete Pflanze auf f56r	4	sh · cho · kchey · qokokchy	Stängel; EINGABE; DIES_AKTUELLER_POSTEN + ARGUMENTBINDER; EINSETZEN + DIES_AKTUELLER_POSTEN	Stängel; weitere Zutat; den laufenden Posten kurz bearbeiten; denselben Posten erneut einsetzen	Beim Besitzer abgebildete Pflanze auf f56r: Stängel => Stängel | EINGABE => weitere Zutat | DIES_AKTUELLER_POSTEN + ARGUMENTBINDER => den laufenden Posten kurz bearbeiten | EINSETZEN + DIES_AKTUELLER_POSTEN => denselben Posten erneut einsetzen	YES	OPEN
H5-S004	H5	f56r	f56r.13	abgebildete Pflanze auf f56r	3	okchy · chokcheo · kchal	EINSETZEN + DIES_AKTUELLER_POSTEN; EINSETZEN + AUSZUG; ARGUMENTBINDER	den laufenden Posten einsetzen und weiterbearbeiten; Auszug einsetzen; an der Zielstelle bearbeiten	Beim Besitzer abgebildete Pflanze auf f56r: EINSETZEN + DIES_AKTUELLER_POSTEN => den laufenden Posten einsetzen und weiterbearbeiten | EINSETZEN + AUSZUG => Auszug einsetzen | ARGUMENTBINDER => an der Zielstelle bearbeiten	NO	OPEN
H5-S005	H5	f56r	f56r.18	abgebildete Pflanze auf f56r	4	sho · chokchy · kchoar · sotodan	EINGABE; EINSETZEN + DIES_AKTUELLER_POSTEN; ARGUMENTBINDER; zur Folgeanwendung weiterführen	weitere Zutat; den laufenden Posten einsetzen und weiterbearbeiten; bearbeiteter Quellauszug; zur Folgeanwendung weiterführen	Beim Besitzer abgebildete Pflanze auf f56r: EINGABE => weitere Zutat | EINSETZEN + DIES_AKTUELLER_POSTEN => den laufenden Posten einsetzen und weiterbearbeiten | ARGUMENTBINDER => bearbeiteter Quellauszug | zur Folgeanwendung weiterführen => zur Folgeanwendung weiterführen	YES	OPEN
H5-S006	H5	f56r	f56r.19	abgebildete Pflanze auf f56r	3	otchey · keol · daiin	FOLGEPOSTEN + DIES_AKTUELLER_POSTEN; ARGUMENTBINDER; SOLLWERT	das nächste; kurz weiterbearbeiten; Sollmaß	Beim Besitzer abgebildete Pflanze auf f56r: FOLGEPOSTEN + DIES_AKTUELLER_POSTEN => das nächste | ARGUMENTBINDER => kurz weiterbearbeiten | SOLLWERT => Sollmaß	NO	OPEN
B1-S001	B1	f81v	f81v.2	gemeinsames Becken- und Figurenfeld auf f81v	1	qokedy	EINSETZEN + GRAD + FESTSETZEN	kurz einwirken; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + GRAD + FESTSETZEN => kurz einwirken; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S002	B1	f81v	f81v.2|f81v.7	gemeinsames Becken- und Figurenfeld auf f81v	19	okaiin · kair · okal · sar · ol · kain · olkain · al · ol · rol · dl · olor · ol · sheckhal · daiin · qokeedal · daiin · chckhy · schedy	EINSETZEN + SOLLWERT; LAUF_BAHN + ARGUMENTBINDER; EINSETZEN + ZU_ZIEL; VON_QUELLE; WEITER_GLEICHER_LAUF; PORTION; WEITER_GLEICHER_LAUF + PORTION; ZU_ZIEL; WEITER_GLEICHER_LAUF; WEITER_GLEICHER_LAUF; Zusatz; WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ; WEITER_GLEICHER_LAUF; ZU_ZIEL + GRAD + DURCHLASS; SOLLWERT; EINSETZEN + ZU_ZIEL + GRAD; SOLLWERT; DIES_AKTUELLER_POSTEN + DURCHLASS; UEBERFUEHREN	bemessen; Beckenlauf; dorthin einsetzen; davon; weiter; Portion; weiterer Anteil; dorthin; weiter; Anschluss; Zusatz; derselbe Ansatz; weiter; Kurze Zielpassage; Sollmaß; Langer Zieleinsatz; Sollmaß; durchleiten; überführen; Schluss	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + SOLLWERT => bemessen | LAUF_BAHN + ARGUMENTBINDER => Beckenlauf | EINSETZEN + ZU_ZIEL => dorthin einsetzen | VON_QUELLE => davon | WEITER_GLEICHER_LAUF => weiter | PORTION => Portion | WEITER_GLEICHER_LAUF + PORTION => weiterer Anteil | ZU_ZIEL => dorthin | WEITER_GLEICHER_LAUF => weiter | WEITER_GLEICHER_LAUF => Anschluss | Zusatz => Zusatz | WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ => derselbe Ansatz | WEITER_GLEICHER_LAUF => weiter | ZU_ZIEL + GRAD + DURCHLASS => Kurze Zielpassage | SOLLWERT => Sollmaß | EINSETZEN + ZU_ZIEL + GRAD => Langer Zieleinsatz | SOLLWERT => Sollmaß | DIES_AKTUELLER_POSTEN + DURCHLASS => durchleiten | UEBERFUEHREN => überführen; Schluss	YES	CLOSED
B1-S003	B1	f81v	f81v.7|f81v.17	gemeinsames Becken- und Figurenfeld auf f81v	2	qol · sshkchdy	WEITER_GLEICHER_LAUF; übertragen; Schluss	weiter; übertragen; Schluss	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: WEITER_GLEICHER_LAUF => weiter | übertragen; Schluss => übertragen; Schluss	YES	CLOSED
B1-S004	B1	f81v	f81v.17	gemeinsames Becken- und Figurenfeld auf f81v	3	chedy · ol · shedy	DIES_AKTUELLER_POSTEN + UEBERFUEHREN; WEITER_GLEICHER_LAUF; GRAD + FESTSETZEN + ABSETZEN	überführen; weiter; kurz absetzen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: DIES_AKTUELLER_POSTEN + UEBERFUEHREN => überführen | WEITER_GLEICHER_LAUF => weiter | GRAD + FESTSETZEN + ABSETZEN => kurz absetzen; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S005	B1	f81v	f81v.17	gemeinsames Becken- und Figurenfeld auf f81v	1	qolchedy	WEITER_GLEICHER_LAUF + FESTSETZEN + UEBERFUEHREN	weiterführen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: WEITER_GLEICHER_LAUF + FESTSETZEN + UEBERFUEHREN => weiterführen; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S006	B1	f81v	f81v.17	gemeinsames Becken- und Figurenfeld auf f81v	4	qokain · shckhy · dl · ral	EINSETZEN + PORTION; DIES_AKTUELLER_POSTEN + DURCHLASS; Zusatz; ZU_ZIEL	Anteil zugeben; durchleiten; Zusatz; Zielmarke	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + PORTION => Anteil zugeben | DIES_AKTUELLER_POSTEN + DURCHLASS => durchleiten | Zusatz => Zusatz | ZU_ZIEL => Zielmarke	NO	OPEN
B1-S007	B1	f81v	f81v.18	gemeinsames Becken- und Figurenfeld auf f81v	1	qokchdy	EINSETZEN + FESTSETZEN + UEBERFUEHREN	neuen Posten einsetzen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + FESTSETZEN + UEBERFUEHREN => neuen Posten einsetzen; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S008	B1	f81v	f81v.18	gemeinsames Becken- und Figurenfeld auf f81v	5	chey · ol · cheky · ol · shedy	DIES_AKTUELLER_POSTEN; WEITER_GLEICHER_LAUF; GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN; WEITER_GLEICHER_LAUF; GRAD + FESTSETZEN + ABSETZEN	dies; weiter; kurz wärmen; weiter; kurz absetzen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: DIES_AKTUELLER_POSTEN => dies | WEITER_GLEICHER_LAUF => weiter | GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN => kurz wärmen | WEITER_GLEICHER_LAUF => weiter | GRAD + FESTSETZEN + ABSETZEN => kurz absetzen; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S009	B1	f81v	f81v.18	gemeinsames Becken- und Figurenfeld auf f81v	1	qokedy	EINSETZEN + GRAD + FESTSETZEN	kurz einwirken; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + GRAD + FESTSETZEN => kurz einwirken; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S010	B1	f81v	f81v.18	gemeinsames Becken- und Figurenfeld auf f81v	1	qokedy	EINSETZEN + GRAD + FESTSETZEN	kurz einwirken; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + GRAD + FESTSETZEN => kurz einwirken; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S011	B1	f81v	f81v.18	gemeinsames Becken- und Figurenfeld auf f81v	2	chckhy · qoky	DIES_AKTUELLER_POSTEN + DURCHLASS; EINSETZEN + DIES_AKTUELLER_POSTEN	durchleiten; einsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: DIES_AKTUELLER_POSTEN + DURCHLASS => durchleiten | EINSETZEN + DIES_AKTUELLER_POSTEN => einsetzen	NO	OPEN
B1-S012	B1	f81v	f81v.21	gemeinsames Becken- und Figurenfeld auf f81v	3	lsho · qokey · lshedy	WASCHEN; EINSETZEN + GRAD + DIES_AKTUELLER_POSTEN; FESTSETZEN + WASCHEN	Waschgang; kurz einwirken lassen; Waschgang; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: WASCHEN => Waschgang | EINSETZEN + GRAD + DIES_AKTUELLER_POSTEN => kurz einwirken lassen | FESTSETZEN + WASCHEN => Waschgang; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S013	B1	f81v	f81v.21	gemeinsames Becken- und Figurenfeld auf f81v	1	lshedy	FESTSETZEN + WASCHEN	Waschgang; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: FESTSETZEN + WASCHEN => Waschgang; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S014	B1	f81v	f81v.21	gemeinsames Becken- und Figurenfeld auf f81v	5	chedy · qolky · lchedal · qol · otar	DIES_AKTUELLER_POSTEN + UEBERFUEHREN; WEITER_GLEICHER_LAUF; ZU_ZIEL + AB + UEBERFUEHREN; WEITER_GLEICHER_LAUF; FOLGEPOSTEN + VON_QUELLE	überführen; Weiterweg; Zielabführung; weiter; Folgequelle	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: DIES_AKTUELLER_POSTEN + UEBERFUEHREN => überführen | WEITER_GLEICHER_LAUF => Weiterweg | ZU_ZIEL + AB + UEBERFUEHREN => Zielabführung | WEITER_GLEICHER_LAUF => weiter | FOLGEPOSTEN + VON_QUELLE => Folgequelle	YES	OPEN
B1-S015	B1	f81v	f81v.24	gemeinsames Becken- und Figurenfeld auf f81v	2	ytey · okchedy	Kurzteil; EINSETZEN + FESTSETZEN + UEBERFUEHREN	Kurzteil; vorigen Posten überführen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: Kurzteil => Kurzteil | EINSETZEN + FESTSETZEN + UEBERFUEHREN => vorigen Posten überführen; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S016	B1	f81v	f81v.24	gemeinsames Becken- und Figurenfeld auf f81v	4	qokal · okeey · qol · cheedy	EINSETZEN + ZU_ZIEL; EINSETZEN + GRAD + DIES_AKTUELLER_POSTEN; WEITER_GLEICHER_LAUF; GRAD + FESTSETZEN + ABSETZEN	dorthin einsetzen; länger einwirken lassen; weiter; kurz absetzen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + ZU_ZIEL => dorthin einsetzen | EINSETZEN + GRAD + DIES_AKTUELLER_POSTEN => länger einwirken lassen | WEITER_GLEICHER_LAUF => weiter | GRAD + FESTSETZEN + ABSETZEN => kurz absetzen; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S017	B1	f81v	f81v.24	gemeinsames Becken- und Figurenfeld auf f81v	3	sal · teol · dchdy	ZU_ZIEL; WEITER_GLEICHER_LAUF + GRAD; FESTSETZEN + UEBERFUEHREN	dorthin; kurz weiterführen; Transfer; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: ZU_ZIEL => dorthin | WEITER_GLEICHER_LAUF + GRAD => kurz weiterführen | FESTSETZEN + UEBERFUEHREN => Transfer; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S018	B1	f81v	f81v.24|f81v.27	gemeinsames Becken- und Figurenfeld auf f81v	4	ly · dsheol · oiiin · olkeedy	Auffanggefäß; WEITER_GLEICHER_LAUF + GRAD; STUFE; GRAD + SAMMELN	Auffanggefäß; Kurzhalt; Arbeitsstufe; lange sammeln; Schluss	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: Auffanggefäß => Auffanggefäß | WEITER_GLEICHER_LAUF + GRAD => Kurzhalt | STUFE => Arbeitsstufe | GRAD + SAMMELN => lange sammeln; Schluss	YES	CLOSED
B1-S019	B1	f81v	f81v.27	gemeinsames Becken- und Figurenfeld auf f81v	1	tedy	GRAD + FESTSETZEN + ABSETZEN	kurz absetzen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: GRAD + FESTSETZEN + ABSETZEN => kurz absetzen; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B1-S020	B1	f81v	f81v.27	gemeinsames Becken- und Figurenfeld auf f81v	2	cheky · shckhedy	GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN; SEIHEN	kurz wärmen; durchlassen; Schluss	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN => kurz wärmen | SEIHEN => durchlassen; Schluss	YES	CLOSED
B1-S021	B1	f81v	f81v.27	gemeinsames Becken- und Figurenfeld auf f81v	1	chal	ZU_ZIEL	dorthin	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: ZU_ZIEL => dorthin	NO	OPEN
B2-S001	B2	f82r	f82r.2	aktuelle lokale Becken- oder Gerätestation auf f82r	1	dchedy	UEBERFUEHREN	überführen; Schluss	Beim Besitzer aktuelle lokale Becken- oder Gerätestation auf f82r: UEBERFUEHREN => überführen; Schluss	YES	CLOSED
B2-S002	B2	f82r	f82r.2	aktuelle lokale Becken- oder Gerätestation auf f82r	1	qolchedy	WEITER_GLEICHER_LAUF + FESTSETZEN + UEBERFUEHREN	weiterführen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer aktuelle lokale Becken- oder Gerätestation auf f82r: WEITER_GLEICHER_LAUF + FESTSETZEN + UEBERFUEHREN => weiterführen; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
B2-S003	B2	f82r	f82r.2	aktuelle lokale Becken- oder Gerätestation auf f82r	3	qokain · dy · qokeedy	EINSETZEN + PORTION; DIES_AKTUELLER_POSTEN; EINSETZEN + GRAD + FESTSETZEN	Anteil zugeben; dies; lange einwirken; Schluss; Arbeitsschritt festsetzen	Beim Besitzer aktuelle lokale Becken- oder Gerätestation auf f82r: EINSETZEN + PORTION => Anteil zugeben | DIES_AKTUELLER_POSTEN => dies | EINSETZEN + GRAD + FESTSETZEN => lange einwirken; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
