list_order	physical_page	source_page	locus	namespace	role_family	visible_name_or_owner_de	surfaces	recipes	classifier_trace_de	continuous_list_reading_de
11	f70v	f70v1	f70v1.13	ARIES_INNER_BAND	ZODIAC_INNER_FIGURE	aries inner figure 01	okoly	OK+OL+Y	AUSGEWÄHLTEN PLATZ AKTIV SETZEN	aries inner figure 01; AUSGEWÄHLTEN PLATZ AKTIV SETZEN
12	f70v	f70v1	f70v1.14	ARIES_INNER_BAND	ZODIAC_INNER_FIGURE	aries inner figure 02	otalaiin	OT+AL+AIIN	NUR ADRESS-/GRADKOMPONENTEN	aries inner figure 02; NUR ADRESS-/GRADKOMPONENTEN
13	f70v	f70v1	f70v1.15	ARIES_INNER_BAND	ZODIAC_INNER_FIGURE	aries inner figure 03	oteo · alals · araly	OT+E+O | AL+AL+S_ADDR | AR+AL+Y	REIHE ODER KREISGANG AUFRUFEN / NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN	aries inner figure 03; REIHE ODER KREISGANG AUFRUFEN / NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN
14	f70v	f70v1	f70v1.16	ARIES_INNER_BAND	ZODIAC_INNER_FIGURE	aries inner figure 04	oteoeey · otal · okealar	OT+E+O+EE+Y | OT+AL | OK+E+AL+AR	REIHE ODER KREISGANG AUFRUFEN / NUR ADRESS-/GRADKOMPONENTEN / AUSGEWÄHLTEN PLATZ AKTIV SETZEN	aries inner figure 04; REIHE ODER KREISGANG AUFRUFEN / NUR ADRESS-/GRADKOMPONENTEN / AUSGEWÄHLTEN PLATZ AKTIV SETZEN
15	f70v	f70v1	f70v1.17	ARIES_INNER_BAND	ZODIAC_INNER_FIGURE	aries inner figure 05	otear · araydy	OT+E+AR | AR+A_ADDR+Y+DY	NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN	aries inner figure 05; NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN
16	f70v	f70v2	f70v2.2	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 01	otalalg	OT+AL+AL+G_LABEL	NUR ADRESS-/GRADKOMPONENTEN	pisces outer figure 01; NUR ADRESS-/GRADKOMPONENTEN
17	f70v	f70v2	f70v2.3	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 02	ykary	Y+K+AR+Y	ZUGEORDNETER WERT ODER PLATZ	pisces outer figure 02; ZUGEORDNETER WERT ODER PLATZ
18	f70v	f70v2	f70v2.4	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 03	otar	OT+AR	NUR ADRESS-/GRADKOMPONENTEN	pisces outer figure 03; NUR ADRESS-/GRADKOMPONENTEN
19	f70v	f70v2	f70v2.5	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 04	oty	OT+Y	NUR ADRESS-/GRADKOMPONENTEN	pisces outer figure 04; NUR ADRESS-/GRADKOMPONENTEN
20	f70v	f70v2	f70v2.6	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 05	oky · ody	OK+Y | O+DY	AUSGEWÄHLTEN PLATZ AKTIV SETZEN / REIHE ODER KREISGANG AUFRUFEN	pisces outer figure 05; AUSGEWÄHLTEN PLATZ AKTIV SETZEN / REIHE ODER KREISGANG AUFRUFEN
21	f70v	f70v2	f70v2.7	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 06	oty · ar	OT+Y | AR	NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN	pisces outer figure 06; NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN
22	f70v	f70v2	f70v2.8	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 07	okala	OK+AL+A_ADDR	AUSGEWÄHLTEN PLATZ AKTIV SETZEN	pisces outer figure 07; AUSGEWÄHLTEN PLATZ AKTIV SETZEN
23	f70v	f70v2	f70v2.9	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 08	otody	OT+O+DY	REIHE ODER KREISGANG AUFRUFEN	pisces outer figure 08; REIHE ODER KREISGANG AUFRUFEN
24	f70v	f70v2	f70v2.10	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 09	otald	OT+AL+D_LABEL	NUR ADRESS-/GRADKOMPONENTEN	pisces outer figure 09; NUR ADRESS-/GRADKOMPONENTEN
25	f70v	f70v2	f70v2.11	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 10	otaldar	OT+AL+D_ADDR+AR	NUR ADRESS-/GRADKOMPONENTEN	pisces outer figure 10; NUR ADRESS-/GRADKOMPONENTEN
26	f70v	f70v2	f70v2.12	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 11	okody	OK+O+Y	AUSGEWÄHLTEN PLATZ AKTIV SETZEN; REIHE ODER KREISGANG AUFRUFEN	pisces outer figure 11; AUSGEWÄHLTEN PLATZ AKTIV SETZEN; REIHE ODER KREISGANG AUFRUFEN
27	f70v	f70v2	f70v2.13	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 12	opysam	O+P+Y+S_ADDR+AM_ADDR	REIHE ODER KREISGANG AUFRUFEN	pisces outer figure 12; REIHE ODER KREISGANG AUFRUFEN
28	f70v	f70v2	f70v2.14	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 13	chy	Y	NUR ADRESS-/GRADKOMPONENTEN	pisces outer figure 13; NUR ADRESS-/GRADKOMPONENTEN
29	f70v	f70v2	f70v2.15	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 14	otaly	OT+AL+Y	NUR ADRESS-/GRADKOMPONENTEN	pisces outer figure 14; NUR ADRESS-/GRADKOMPONENTEN
30	f70v	f70v2	f70v2.16	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 15	otal · arar	OT+AL | AR+AR	NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN	pisces outer figure 15; NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN
31	f70v	f70v2	f70v2.17	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 16	otaldy	OT+AL+DY	NUR ADRESS-/GRADKOMPONENTEN	pisces outer figure 16; NUR ADRESS-/GRADKOMPONENTEN
32	f70v	f70v2	f70v2.18	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 17	okeoly	OK+E+OL+Y	AUSGEWÄHLTEN PLATZ AKTIV SETZEN	pisces outer figure 17; AUSGEWÄHLTEN PLATZ AKTIV SETZEN
33	f70v	f70v2	f70v2.19	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 18	okydy	OK+Y+DY	AUSGEWÄHLTEN PLATZ AKTIV SETZEN	pisces outer figure 18; AUSGEWÄHLTEN PLATZ AKTIV SETZEN
34	f70v	f70v2	f70v2.20	PISCES_OUTER_BAND	ZODIAC_OUTER_FIGURE	pisces outer figure 19	okees	OK+EE+S_LABEL	AUSGEWÄHLTEN PLATZ AKTIV SETZEN	pisces outer figure 19; AUSGEWÄHLTEN PLATZ AKTIV SETZEN
35	f70v	f70v2	f70v2.22	PISCES_INNER_FIGURES	ZODIAC_INNER_FIGURE	pisces inner figure 01	otar · am	OT+AR | AM_ADDR	NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN	pisces inner figure 01; NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN
36	f70v	f70v2	f70v2.23	PISCES_INNER_FIGURES	ZODIAC_INNER_FIGURE	pisces inner figure 02	otar · al	OT+AR | AL	NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN	pisces inner figure 02; NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN
37	f70v	f70v2	f70v2.24	PISCES_INNER_FIGURES	ZODIAC_INNER_FIGURE	pisces inner figure 03	otalar	OT+AL+AR	NUR ADRESS-/GRADKOMPONENTEN	pisces inner figure 03; NUR ADRESS-/GRADKOMPONENTEN
38	f70v	f70v2	f70v2.25	PISCES_INNER_FIGURES	ZODIAC_INNER_FIGURE	pisces inner figure 04	otalam	OT+AL+AM_ADDR	NUR ADRESS-/GRADKOMPONENTEN	pisces inner figure 04; NUR ADRESS-/GRADKOMPONENTEN
39	f70v	f70v2	f70v2.26	PISCES_INNER_FIGURES	ZODIAC_INNER_FIGURE	pisces inner figure 05	dolaram	D_ADDR+OL+AR+AM_ADDR	NUR ADRESS-/GRADKOMPONENTEN	pisces inner figure 05; NUR ADRESS-/GRADKOMPONENTEN
40	f70v	f70v2	f70v2.27	PISCES_INNER_FIGURES	ZODIAC_INNER_FIGURE	pisces inner figure 06	okaram	OK+AR+AM_ADDR	AUSGEWÄHLTEN PLATZ AKTIV SETZEN	pisces inner figure 06; AUSGEWÄHLTEN PLATZ AKTIV SETZEN
41	f70v	f70v2	f70v2.28	PISCES_INNER_FIGURES	ZODIAC_INNER_FIGURE	pisces inner figure 07	oteosal	OT+E+O+S_ADDR+AL	REIHE ODER KREISGANG AUFRUFEN	pisces inner figure 07; REIHE ODER KREISGANG AUFRUFEN
42	f70v	f70v2	f70v2.29	PISCES_INNER_FIGURES	ZODIAC_INNER_FIGURE	pisces inner figure 08	salols	S_LABEL+AL+OL+S_LABEL	NUR ADRESS-/GRADKOMPONENTEN	pisces inner figure 08; NUR ADRESS-/GRADKOMPONENTEN
43	f70v	f70v2	f70v2.30	PISCES_INNER_FIGURES	ZODIAC_INNER_FIGURE	pisces inner figure 09	okaldal	OK+AL+AL	AUSGEWÄHLTEN PLATZ AKTIV SETZEN	pisces inner figure 09; AUSGEWÄHLTEN PLATZ AKTIV SETZEN
44	f70v	f70v2	f70v2.31	PISCES_INNER_FIGURES	ZODIAC_INNER_FIGURE	pisces inner figure 10	ykolaiin	Y+K+OL+AIIN	ZUGEORDNETER WERT ODER PLATZ	pisces inner figure 10; ZUGEORDNETER WERT ODER PLATZ
45	f70v	f70v2	f70v2.33	PISCES_CENTRE	ZODIAC_CENTRE	pisces central fish pair	otolal	OT+OL+AL	NUR ADRESS-/GRADKOMPONENTEN	pisces central fish pair; NUR ADRESS-/GRADKOMPONENTEN
46	f88r	f88r	f88r.1	oberes Zutatenfeld	UPPER_INGREDIENT_SLOT	Feine Faserwurzel A	otorchety	OT+OR+CH+E+T+Y	LOKALER EINTRAG ODER STOFFKLASSE; KENNUNGS- ODER ARTENFELD; MARKIERTER KLASSENPLATZ	Feine Faserwurzel A; LOKALER EINTRAG ODER STOFFKLASSE; KENNUNGS- ODER ARTENFELD; MARKIERTER KLASSENPLATZ
47	f88r	f88r	f88r.2	oberes Zutatenfeld	UPPER_INGREDIENT_SLOT	Dunkle Pfahlwurzel B	osal	O+S+AL	REIHE ODER KREISGANG AUFRUFEN; KLASSEN- ODER KONTEXTZEICHEN	Dunkle Pfahlwurzel B; REIHE ODER KREISGANG AUFRUFEN; KLASSEN- ODER KONTEXTZEICHEN
48	f88r	f88r	f88r.3	oberes Zutatenfeld	UPPER_INGREDIENT_SLOT	Gebuendelte Wurzel C	orald	OR+AL+D_ADDR	LOKALER EINTRAG ODER STOFFKLASSE	Gebuendelte Wurzel C; LOKALER EINTRAG ODER STOFFKLASSE
49	f88r	f88r	f88r.4	oberes Zutatenfeld	UPPER_INGREDIENT_SLOT	Doppelknolle D	oldar	OL+DA+R	NUR ADRESS-/GRADKOMPONENTEN	Doppelknolle D; NUR ADRESS-/GRADKOMPONENTEN
50	f88r	f88r	f88r.5	oberes Zutatenfeld	UPPER_INGREDIENT_SLOT	Knotenwurzel E	otoky	OT+OK+Y	AUSGEWÄHLTEN PLATZ AKTIV SETZEN	Knotenwurzel E; AUSGEWÄHLTEN PLATZ AKTIV SETZEN
51	f88r	f88r	f88r.6	oberes Zutatenfeld	UPPER_INGREDIENT_SLOT	Blattwurzel F	otaly	OT+AL+Y	NUR ADRESS-/GRADKOMPONENTEN	Blattwurzel F; NUR ADRESS-/GRADKOMPONENTEN
52	f88r	f88r	f88r.12	mittleres Zutatenfeld	MIDDLE_INGREDIENT_SLOT	Wurzelbuendel G	otaldy	OT+AL+DY	NUR ADRESS-/GRADKOMPONENTEN	Wurzelbuendel G; NUR ADRESS-/GRADKOMPONENTEN
53	f88r	f88r	f88r.13	mittleres Zutatenfeld	MIDDLE_INGREDIENT_SLOT	Gelappter Pflanzenteil H	oram	OR+A_ADDR+AM_ADDR	LOKALER EINTRAG ODER STOFFKLASSE	Gelappter Pflanzenteil H; LOKALER EINTRAG ODER STOFFKLASSE
54	f88r	f88r	f88r.14	mittleres Zutatenfeld	MIDDLE_INGREDIENT_SLOT	Schmale Wurzel I	dary	DA+R+Y	NUR ADRESS-/GRADKOMPONENTEN	Schmale Wurzel I; NUR ADRESS-/GRADKOMPONENTEN
55	f88r	f88r	f88r.15	mittleres Zutatenfeld	MIDDLE_INGREDIENT_SLOT	Senkrechter Pflanzenteil J	okol	OK+OL	AUSGEWÄHLTEN PLATZ AKTIV SETZEN	Senkrechter Pflanzenteil J; AUSGEWÄHLTEN PLATZ AKTIV SETZEN
56	f88r	f88r	f88r.16	mittleres Zutatenfeld	MIDDLE_INGREDIENT_SLOT	Gefleckter Koerper K	sorory	S+OR+OR+Y	KLASSEN- ODER KONTEXTZEICHEN; LOKALER EINTRAG ODER STOFFKLASSE; LOKALER EINTRAG ODER STOFFKLASSE	Gefleckter Koerper K; KLASSEN- ODER KONTEXTZEICHEN; LOKALER EINTRAG ODER STOFFKLASSE; LOKALER EINTRAG ODER STOFFKLASSE
57	f88r	f88r	f88r.17	mittleres Zutatenfeld	MIDDLE_INGREDIENT_SLOT	Blattzweig L	otyda	OT+Y+DA	NUR ADRESS-/GRADKOMPONENTEN	Blattzweig L; NUR ADRESS-/GRADKOMPONENTEN
58	f88r	f88r	f88r.23	unteres Zutatenfeld	LOWER_INGREDIENT_SLOT	Untere Wurzelmengung M	ofyskydal	O+LOCAL_CHAR_F+Y+S+K+Y+DA+L	REIHE ODER KREISGANG AUFRUFEN; KLASSEN- ODER KONTEXTZEICHEN; ZUGEORDNETER WERT ODER PLATZ	Untere Wurzelmengung M; REIHE ODER KREISGANG AUFRUFEN; KLASSEN- ODER KONTEXTZEICHEN; ZUGEORDNETER WERT ODER PLATZ
59	f88r	f88r	f88r.24	unteres Zutatenfeld	LOWER_INGREDIENT_SLOT	Kleinteil N | Kleinteil O	otor · am	OT+OR | AM_ADDR	LOKALER EINTRAG ODER STOFFKLASSE / NUR ADRESS-/GRADKOMPONENTEN	Kleinteil N | Kleinteil O; LOKALER EINTRAG ODER STOFFKLASSE / NUR ADRESS-/GRADKOMPONENTEN
60	f88r	f88r	f88r.25	unteres Zutatenfeld	LOWER_INGREDIENT_SLOT	Wurzelkoerper P	ofaldo	O+LOCAL_CHAR_F+AL+D_ADDR+O	REIHE ODER KREISGANG AUFRUFEN; REIHE ODER KREISGANG AUFRUFEN	Wurzelkoerper P; REIHE ODER KREISGANG AUFRUFEN; REIHE ODER KREISGANG AUFRUFEN
