statement_id	page	record	missing_components	extra_components	clean_instruction_de	reason_de
B1-S014	f81v	B1	NONE	SH	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und an der Sammelstelle halten; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
B2-S004	f82r	B2	NONE	OT	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
B2-S005	f82r	B2	NONE	SH	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
B2-S016	f82r	B2	OT	NONE	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz entnehmen und teilen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, fuellen, umsetzen und schliessen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
B3-S001	f83r	B3	NONE	SH	An der oberen offenen Faecherstation: Laenger an der Sammelstelle halten und den Schritt schliessen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
B3-S003	f83r	B3	NONE	OT	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
B3-S004	f83r	B3	NONE	OL	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
B3-S013	f83r	B3	NONE	SH	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
B3-S026	f83r	B3	NONE	SH	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger an der Sammelstelle halten und schliessen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
B3-S034	f83r	B3	NONE	SH	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Arbeitsstufe fuehren; den Posten bereitet halten und anwenden; danach nach Sollmass an der Zielstelle weiterfuehren, absetzen und schliessen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
B4-S014	f83r	B4	NONE	SH	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
B6-S001	f83r	B6	NONE	SH	An der rechten S-Lauf-Nebenstation: Den Posten laenger an der Sammelstelle halten, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
