statement_id	page	record	predicted_template	observed_template	clean_instruction_de	recoded_family_sequence	observed_component_sequence	repair_class
B2-S011	f82r	B2	T3	T2	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	AIN+OK+AR+AIN+OK+EE+OK+DY	OK+AIN+AR+OK+AIN+OK+EE+DY	LEARN_OPERATION_HEAD_PACKING
B2-S014	f82r	B2	T6	T5	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.	AR+L	L+AR	LEARN_OPERATION_HEAD_PACKING
B2-S017	f82r	B2	T3	T2	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.	AL+E+R+SH+AL+DY	R+SH+E+AL+AL+DY	LEARN_OPERATION_HEAD_PACKING
B3-S001	f83r	B3	T3	T4	An der oberen offenen Faecherstation: Laenger an der Sammelstelle halten und den Schritt schliessen.	EE+SOLK+SH+DY	SOLK+EE+DY	KEEP_CONTEXTUAL_ELLIPSIS
B3-S004	f83r	B3	T6	T5	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	AIIN+OK+OT+AL+AR+OL	OK+AIIN+OT+AL+AR	LEARN_OPERATION_HEAD_PACKING
B3-S007	f83r	B3	T3	T2	Am runden Mittelgefaess: Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.	AIIN+OK+Y+CHD+EE+OK+DY	OK+AIIN+CHD+Y+OK+EE+DY	LEARN_OPERATION_HEAD_PACKING
B3-S010	f83r	B3	T3	T2	Am unteren Korbgefaess: An der Zielstelle fuellen und umsetzen; danach den kurzen Folgeschritt schliessen.	AL+P+CHD+OT+E+DY	P+CHD+AL+OT+E+DY	LEARN_OPERATION_HEAD_PACKING
B3-S013	f83r	B3	T3	T2	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	AIIN+OK+AIN+K+E+Y+CTH+SH+E+OK+DY	OK+AIIN+K+AIN+CTH+E+Y+OK+E+DY	LEARN_OPERATION_HEAD_PACKING
B3-S021	f83r	B3	T3	T2	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	AIIN+OK+Y+CTH+SH+AL+AIIN+SHED+E+CTH+SH+Y+AL+CTH+SH+CHD+DY	OK+AIIN+CTH+Y+AL+Y+AIIN+SHED+AL+SH+E+CTH+Y+Y+AL+CTH+Y+AL+CHD+DY	LEARN_OPERATION_HEAD_PACKING
B3-S030	f83r	B3	T3	T2	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.	Y+AIIN+OK+AIR+CHD+OT+CHD+DY	OK+Y+AIIN+CHD+AIR+OT+CHD+DY	LEARN_OPERATION_HEAD_PACKING
B3-S032	f83r	B3	T3	T2	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.	AIN+Y+CHD+OT+E+AIIN+OT+AIIN+E+DY	CHD+AIN+CHD+Y+OT+E+AIIN+OT+AIIN+OT+E+DY	LEARN_OPERATION_HEAD_PACKING
B4-S006	f83r	B4	T3	T2	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	E+CKH+SH+DY	SH+CKH+E+DY	LEARN_OPERATION_HEAD_PACKING
B4-S007	f83r	B4	T3	T2	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	E+CKH+SH+DY	SH+CKH+E+DY	LEARN_OPERATION_HEAD_PACKING
B4-S014	f83r	B4	T3	T4	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.	OR+Y+E+O+CKH+SH+AIR+Y+DY	OR+Y+O+CKH+E+Y+AIR+Y+DY	KEEP_CONTEXTUAL_ELLIPSIS
B4-S015	f83r	B4	T3	T2	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz an der Sammelstelle halten, leiten, umsetzen und schliessen.	AIN+OK+Y+EE+SH+AIN+K+CKH+AL+CH+E+SOLK+SH+L+CHD+DY	OK+AIN+SH+EE+Y+K+AIN+CH+CKH+AL+SOLK+E+Y+L+CHD+DY	LEARN_OPERATION_HEAD_PACKING
B4-S016	f83r	B4	T3	T2	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, absetzen lassen und schliessen.	AIN+OL+K+AL+AR+SHED+DY	OL+K+AIN+AL+K+AR+SHED+DY	LEARN_OPERATION_HEAD_PACKING
B5-S003	f83r	B5	T6	T5	An der linken offenen Nebenstation: An der Zielstelle absetzen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, fuer den zweiten Durchgang bis zur Arbeitsstufe fuehren und den Posten umsetzen.	AL+SHED+OL+L+OL+AL+CHD+AIIN+OL+DA+IIN+Y+CHD	SHED+AL+AL+OL+L+OL+CHD+AL+AIIN+OL+DA+IIN+CHD+Y	LEARN_OPERATION_HEAD_PACKING
