statement_id	page	record	owner_noun_de	events	surface_sequence	component_sequence	sixth_grammar_literal_de	working_reading_de	fully_core33_events	remainder_events	revision_sources
H4-S002	f55v	H4	die breitblaettrige rispige Pflanze	3	daiin chedy talam	AIIN | CHD+Y | TALAM	SOLLMASS | UMSETZEN · DIES | BEISEITESTELLEN	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend beiseitestellen.	2	1	sidequest_semantic_talam_set_aside_eight_hundred_eighteenth
H4-S003	f55v	H4	die breitblaettrige rispige Pflanze	4	ykaiin cheoar cheeky oldy	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	DIES · ZUGEBEN · SOLLMASS | ENTNEHMEN · KURZ · VORGANG · QUELLE | WAERMEN · LANG · DIES | WEITER · SCHLUSS	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.	4	0	PASS739_UNCHANGED
H4-S004	f55v	H4	die breitblaettrige rispige Pflanze	6	aiin okal oltchy or y orain	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	SOLLMASS | ANSETZEN · ZIELSTELLE | WEITER · ANWENDEN · DIES | ANSATZ | DIES | ANSATZ · PORTION	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	6	0	PASS739_UNCHANGED
H5-S001	f56r	H5	die mehrkoepfige stachelige Pflanze	9	chochor cho chodaly daiin sho kchol otchor choky dal	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	ZUTAT · ENTNEHMEN · ANSATZ | ZUTAT | ZUTAT · ZIELSTELLE · DIES | SOLLMASS | ZUTAT | ZUGEBEN · WEITER | DANACH · ENTNEHMEN · ANSATZ | ANSETZEN · DIES | ZIELSTELLE	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.	9	0	PASS739_UNCHANGED
H5-S002	f56r	H5	die mehrkoepfige stachelige Pflanze	4	schol choy choky cheeckhody	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	DAVON | ZUTAT · DIES | ANSETZEN · DIES | ENTNEHMEN · LANG · DURCHLASS · VORGANG · SCHLUSS	Bei der mehrkoepfigen stacheligen Pflanze: Davon, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	3	1	sidequest_semantic_resume_davon_eight_hundred_seventeenth
H5-S003	f56r	H5	die mehrkoepfige stachelige Pflanze	4	sh cho kchey qokokchy	SH | HO | K+E+Y | OK+OK+Y	HALTEN | ZUTAT | ZUGEBEN · KURZ · DIES | ANSETZEN · ANSETZEN · DIES	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.	4	0	PASS739_UNCHANGED
H5-S004	f56r	H5	die mehrkoepfige stachelige Pflanze	3	okchy chokcheo kchal	OK+Y | OK+CH+E+O | K+AL	ANSETZEN · DIES | ANSETZEN · ENTNEHMEN · KURZ · VORGANG | ZUGEBEN · ZIELSTELLE	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.	3	0	PASS739_UNCHANGED
H5-S005	f56r	H5	die mehrkoepfige stachelige Pflanze	4	sho chokchy kchoar sotodan	HO | OK+Y | K+HO+AR | OT+O+AIN	ZUTAT | ANSETZEN · DIES | ZUGEBEN · ZUTAT · QUELLE | DANACH · VORGANG · PORTION	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.	4	0	PASS739_UNCHANGED
H5-S006	f56r	H5	die mehrkoepfige stachelige Pflanze	3	otchey keol daiin	OT+Y | K+E+OL | AIIN	DANACH · DIES | ZUGEBEN · KURZ · WEITER | SOLLMASS	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.	3	0	PASS739_UNCHANGED
B1-S001	f81v	B1	das gemeinsame zweireihige Becken	1	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	1	0	PASS739_UNCHANGED
B1-S002	f81v	B1	das gemeinsame zweireihige Becken	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	ANSETZEN · SOLLMASS | ZUGEBEN · WASSER | ANSETZEN · ZIELSTELLE | QUELLE | WEITER | ZUGEBEN · PORTION | WEITER · ZUGEBEN · PORTION | ZIELSTELLE | WEITER | KUEHLEN · WEITER | LEITEN | WEITER · ANSATZ | WEITER | HALTEN · KURZ · DURCHLASS · ZIELSTELLE | SOLLMASS | ANSETZEN · LANG · ZIELSTELLE | SOLLMASS | DURCHLASS · DIES | UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	19	0	PASS739_UNCHANGED
B1-S003	f81v	B1	das gemeinsame zweireihige Becken	2	qol sshkchdy	OL | SH+K+CHD+DY	WEITER | HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	2	0	PASS739_UNCHANGED
B1-S004	f81v	B1	das gemeinsame zweireihige Becken	3	chedy ol shedy	CHD+Y | OL | SHED+DY	UMSETZEN · DIES | WEITER | STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	3	0	sidequest_semantic_shed_state_eight_hundred_third
B1-S005	f81v	B1	das gemeinsame zweireihige Becken	1	qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	1	0	PASS739_UNCHANGED
B1-S006	f81v	B1	das gemeinsame zweireihige Becken	4	qokain shckhy dl ral	OK+AIN | CKH+Y | L | R+AL	ANSETZEN · PORTION | DURCHLASS · DIES | LEITEN | KUEHLEN · ZIELSTELLE	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	4	0	PASS739_UNCHANGED
B1-S007	f81v	B1	das gemeinsame zweireihige Becken	1	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	1	0	PASS739_UNCHANGED
B1-S008	f81v	B1	das gemeinsame zweireihige Becken	5	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+DY	DIES | WEITER | WAERMEN · KURZ · DIES | WEITER | STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen.	5	0	sidequest_semantic_shed_state_eight_hundred_third
B1-S009	f81v	B1	das gemeinsame zweireihige Becken	1	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	1	0	PASS739_UNCHANGED
B1-S010	f81v	B1	das gemeinsame zweireihige Becken	1	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	1	0	PASS739_UNCHANGED
B1-S011	f81v	B1	das gemeinsame zweireihige Becken	2	chckhy qoky	CKH+Y | OK+Y	DURCHLASS · DIES | ANSETZEN · DIES	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	2	0	PASS739_UNCHANGED
B1-S012	f81v	B1	das gemeinsame zweireihige Becken	3	lsho qokey lshedy	LSH+O | OK+E+Y | LSH+E+DY	SPUELEN · VORGANG | ANSETZEN · KURZ · DIES | SPUELEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Einen Spuelvorgang ausfuehren, den Posten kurz ansetzen, nochmals kurz spuelen und den Schritt schliessen.	3	0	sidequest_semantic_lsh_rinse_eight_hundred_fifth
B1-S013	f81v	B1	das gemeinsame zweireihige Becken	1	lshedy	LSH+E+DY	SPUELEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz spuelen und den Schritt schliessen.	1	0	sidequest_semantic_lsh_rinse_eight_hundred_fifth
B1-S014	f81v	B1	das gemeinsame zweireihige Becken	5	chedy qolky lchedal qol otar	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	UMSETZEN · DIES | SAMMELSTELLE · DIES | LEITEN · UMSETZEN · ZIELSTELLE | WEITER | DANACH · QUELLE	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und an der Sammelstelle halten; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.	5	0	PASS739_UNCHANGED
B1-S015	f81v	B1	das gemeinsame zweireihige Becken	2	ytey okchedy	T+E+Y | OK+CHD+DY	ANWENDEN · KURZ · DIES | ANSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten anwenden; dann ansetzen und umsetzen; den Schritt schliessen.	2	0	PASS739_UNCHANGED
B1-S016	f81v	B1	das gemeinsame zweireihige Becken	4	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+DY	ANSETZEN · ZIELSTELLE | ANSETZEN · LANG · DIES | WEITER | STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	4	0	sidequest_semantic_shed_state_eight_hundred_third
B1-S017	f81v	B1	das gemeinsame zweireihige Becken	3	sal teol dchdy	AL | E+OL | CHD+DY	ZIELSTELLE | KURZ · WEITER | UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.	3	0	PASS739_UNCHANGED
B1-S018	f81v	B1	das gemeinsame zweireihige Becken	4	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	LEITEN · DIES | HALTEN · KURZ · WEITER | VORGANG · STUFE | SAMMELSTELLE · LANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger an der Sammelstelle halten; den Schritt schliessen.	4	0	PASS739_UNCHANGED
B1-S019	f81v	B1	das gemeinsame zweireihige Becken	1	tedy	SHED+DY	STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Stehen lassen; den Schritt schliessen.	1	0	sidequest_semantic_shed_state_eight_hundred_third
B1-S020	f81v	B1	das gemeinsame zweireihige Becken	2	cheky shckhedy	CHK+E+Y | SH+CKH+E+DY	WAERMEN · KURZ · DIES | HALTEN · DURCHLASS · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	2	0	PASS739_UNCHANGED
B1-S021	f81v	B1	das gemeinsame zweireihige Becken	1	chal	AL	ZIELSTELLE	Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.	1	0	PASS739_UNCHANGED
B2-S001	f82r	B2	die oberen Paarbecken mit Zylinder	1	dchedy	CHD+DY	UMSETZEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	1	0	PASS739_UNCHANGED
B2-S002	f82r	B2	die oberen Paarbecken mit Zylinder	1	qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	1	0	PASS739_UNCHANGED
B2-S003	f82r	B2	die oberen Paarbecken mit Zylinder	3	qokain dy qokeedy	OK+AIN | Y | OK+EE+DY	ANSETZEN · PORTION | DIES | ANSETZEN · LANG · SCHLUSS	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	3	0	PASS739_UNCHANGED
B2-S004	f82r	B2	die oberen Paarbecken mit Zylinder	5	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	ANSETZEN · ZIELSTELLE | LEITEN · DURCHLASS · DIES | LEITEN · UMSETZEN | ANSETZEN · LANG · DIES | LEITEN · DURCHLASS · KURZ · SCHLUSS	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	5	0	PASS739_UNCHANGED
B2-S005	f82r	B2	die oberen Paarbecken mit Zylinder	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	ANSETZEN · ZIELSTELLE · DIES | SAMMELSTELLE · SOLLMASS | DURCHLASS · DIES | ANSETZEN · SOLLMASS | ANSETZEN · SOLLMASS | VORGANG · BEREITEN · KURZ · WEITER | WAERMEN · LANG · DIES | LEITEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	8	0	PASS739_UNCHANGED
B2-S006	f82r	B2	die oberen Paarbecken mit Zylinder	4	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	DANACH · LANG · DIES | ANSETZEN · ZIELSTELLE | HALTEN · KURZ · DURCHLASS · DIES | ANSETZEN · DIES	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	4	0	PASS739_UNCHANGED
B2-S007	f82r	B2	die linke Mittelstation mit Zwischenknoten	1	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	1	0	PASS739_UNCHANGED
B2-S008	f82r	B2	die linke Mittelstation mit Zwischenknoten	3	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+DY	DANACH · SOLLMASS | ANSETZEN · QUELLE | STEHENLASSEN · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.	3	0	sidequest_semantic_shed_state_eight_hundred_third
B2-S009	f82r	B2	die linke Mittelstation mit Zwischenknoten	1	solshedy	OL+SH+E+DY	WEITER · HALTEN · KURZ · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	1	0	PASS739_UNCHANGED
B2-S010	f82r	B2	die linke Mittelstation mit Zwischenknoten	4	qokeey qoky ls cheey	OK+EE+Y | OK+Y | OL | SH+EE+Y	ANSETZEN · LANG · DIES | ANSETZEN · DIES | WEITER | HALTEN · LANG · DIES	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.	4	0	PASS739_UNCHANGED
B2-S011	f82r	B2	die rechte unklare Mittelstation	4	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+DY	ANSETZEN · PORTION | QUELLE | ANSETZEN · PORTION | ANSETZEN · LANG · SCHLUSS	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	4	0	PASS739_UNCHANGED
B2-S012	f82r	B2	die rechte unklare Mittelstation und das untere gruene Figurenbecken	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	LEITEN · ENTNEHMEN · DIES | HALTEN · LANG · DIES | BEREITEN · KURZ · DIES | ANSETZEN · LANG · DIES | LEITEN · LANG · DIES | SOLLMASS | DIES | ANSETZEN · VOLL · SCHLUSS	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	8	0	PASS739_UNCHANGED
B2-S013	f82r	B2	das untere gruene Figurenbecken	1	lchedy	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen.	1	0	PASS739_UNCHANGED
B2-S014	f82r	B2	das untere gruene Figurenbecken	1	lar	L+AR	LEITEN · QUELLE	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.	1	0	PASS739_UNCHANGED
B2-S015	f82r	B2	die Randstationen des unteren Beckens	2	tshey qokeedy	SH+E+Y | OK+EE+DY	HALTEN · KURZ · DIES | ANSETZEN · LANG · SCHLUSS	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	2	0	PASS739_UNCHANGED
B2-S016	f82r	B2	die Randstationen des unteren Beckens	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	ZIELSTELLE | LEITEN · UMSETZEN · QUELLE | ENTNEHMEN · KURZ · PROBE | SOLLMASS | DANACH · LANG · DIES | ANSETZEN · SOLLMASS | ANSETZEN · KURZ · DIES | EINFUELLEN · UMSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einfuellen, umsetzen und schliessen.	8	0	sidequest_semantic_p_recipient_eight_hundred_fourth,sidequest_semantic_s_sample_eight_hundred_twelfth
B2-S017	f82r	B2	die Randstationen des unteren Beckens	2	rsheal daldy	R+SH+E+AL | AL+DY	KUEHLEN · HALTEN · KURZ · ZIELSTELLE | ZIELSTELLE · SCHLUSS	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.	2	0	PASS739_UNCHANGED
B2-S018	f82r	B2	die Randstationen des unteren Beckens	1	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	1	0	PASS739_UNCHANGED
B2-S019	f82r	B2	die Randstationen des unteren Beckens	1	rshedy	R+SHED+DY	KUEHLEN · STEHENLASSEN · SCHLUSS	An den Randstationen des unteren Beckens: Kuehlen und stehen lassen; den Schritt schliessen.	1	0	sidequest_semantic_shed_state_eight_hundred_third
B2-S020	f82r	B2	die Randstationen des unteren Beckens	1	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.	1	0	PASS739_UNCHANGED
B2-S021	f82r	B2	die Randstationen des unteren Beckens	1	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	1	0	PASS739_UNCHANGED
B2-S022	f82r	B2	die Randstationen des unteren Beckens	1	lochedy	L+O+CHD+DY	LEITEN · VORGANG · UMSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.	1	0	PASS739_UNCHANGED
B3-S001	f83r	B3	die obere offene Faecherstation	1	olkeedy	SOLK+EE+DY	SAMMELSTELLE · LANG · SCHLUSS	An der oberen offenen Faecherstation: Laenger an der Sammelstelle halten und den Schritt schliessen.	1	0	PASS739_UNCHANGED
B3-S002	f83r	B3	die obere offene Faecherstation	2	qotal chkeedy	OT+AL | CHK+EE+DY	DANACH · ZIELSTELLE | WAERMEN · LANG · SCHLUSS	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	2	0	PASS739_UNCHANGED
B3-S003	f83r	B3	die obere offene Faecherstation	4	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+DY	DIES | SOLLMASS | DIES | LEITEN · UMSETZEN · SCHLUSS	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.	4	0	PASS739_UNCHANGED
B3-S004	f83r	B3	die obere offene Faecherstation	3	qokaiin qotal dar	OK+AIIN | OT+AL | AR	ANSETZEN · SOLLMASS | DANACH · ZIELSTELLE | QUELLE	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	3	0	PASS739_UNCHANGED
