order	event_id	locus	statement_id	surface	card_no	drawer	small_value_de
27	E127	f81v.17	B1-S006	qokain	B1C22	PORTABLE_RECURRENT_WHOLE_CARD	eine Portion zugeben
28	E128	f81v.17	B1-S006	shckhy	B1C16	PRODUCTIVE_COMPOSITION	durchführen
29	E129	f81v.17	B1-S006	dl	B1C11	POOL_LOCAL_LEARNED_CARD	Zusatz
30	E130	f81v.17	B1-S006	ral	B1C23	POOL_LOCAL_LEARNED_CARD	abkühlen
31	E131	f81v.18	B1-S007	qokchdy	B1C24	PORTABLE_RECURRENT_WHOLE_CARD	Ansatz umsetzen; Schluss
32	E132	f81v.18	B1-S008	chey	B1C25	PRODUCTIVE_COMPOSITION	dies
33	E133	f81v.18	B1-S008	ol	B1C06	PRODUCTIVE_COMPOSITION	fortsetzen
34	E134	f81v.18	B1-S008	cheky	B1C26	PRODUCTIVE_COMPOSITION	kurz wärmen
35	E135	f81v.18	B1-S008	ol	B1C06	PRODUCTIVE_COMPOSITION	fortsetzen
36	E136	f81v.18	B1-S008	shedy	B1C20	PRODUCTIVE_COMPOSITION	kurz absetzen; Schluss
37	E137	f81v.18	B1-S009	qokedy	B1C01	PRODUCTIVE_COMPOSITION	kurz ansetzen; Schluss
38	E138	f81v.18	B1-S010	qokedy	B1C01	PRODUCTIVE_COMPOSITION	kurz ansetzen; Schluss
39	E139	f81v.18	B1-S011	chckhy	B1C16	PRODUCTIVE_COMPOSITION	durchführen
40	E140	f81v.18	B1-S011	qoky	B1C27	PRODUCTIVE_COMPOSITION	verwende dies
41	E141	f81v.21	B1-S012	lsho	B1C28	POOL_LOCAL_LEARNED_CARD	Waschgang
42	E142	f81v.21	B1-S012	qokey	B1C29	PRODUCTIVE_COMPOSITION	kurz ansetzen
43	E143	f81v.21	B1-S012	lshedy	B1C30	POOL_LOCAL_LEARNED_CARD	waschen; Schluss
44	E144	f81v.21	B1-S013	lshedy	B1C30	POOL_LOCAL_LEARNED_CARD	waschen; Schluss
45	E145	f81v.21	B1-S014	chedy	B1C19	PRODUCTIVE_COMPOSITION	dies umsetzen
46	E146	f81v.21	B1-S014	qolky	B1C31	POOL_LOCAL_LEARNED_CARD	Arbeitsstelle
47	E147	f81v.21	B1-S014	lchedal	B1C32	PRODUCTIVE_COMPOSITION	zum Auslass führen
48	E148	f81v.21	B1-S014	qol	B1C06	PRODUCTIVE_COMPOSITION	fortsetzen
49	E149	f81v.21	B1-S014	otar	B1C33	PRODUCTIVE_COMPOSITION	danach von dort
50	E150	f81v.24	B1-S015	ytey	B1C34	POOL_LOCAL_LEARNED_CARD	füllen
51	E151	f81v.24	B1-S015	okchedy	B1C35	PORTABLE_RECURRENT_WHOLE_CARD	Ansatz umsetzen; Schluss
52	E152	f81v.24	B1-S016	qokal	B1C04	PRODUCTIVE_COMPOSITION	an die Stelle setzen
53	E153	f81v.24	B1-S016	okeey	B1C36	PRODUCTIVE_COMPOSITION	länger ansetzen
54	E154	f81v.24	B1-S016	qol	B1C06	PRODUCTIVE_COMPOSITION	fortsetzen
55	E155	f81v.24	B1-S016	cheedy	B1C20	PRODUCTIVE_COMPOSITION	kurz absetzen; Schluss
56	E156	f81v.24	B1-S017	sal	B1C09	PRODUCTIVE_COMPOSITION	Stelle
57	E157	f81v.24	B1-S017	teol	B1C37	POOL_LOCAL_LEARNED_CARD	erste Öffnung
58	E158	f81v.24	B1-S017	dchdy	B1C38	POOL_LOCAL_LEARNED_CARD	umsetzen; Schluss
59	E159	f81v.24	B1-S018	ly	B1C39	POOL_LOCAL_LEARNED_CARD	Empfangsgefäß
60	E160	f81v.27	B1-S018	dsheol	B1C40	PRODUCTIVE_COMPOSITION	kurz halten
61	E161	f81v.27	B1-S018	oiiin	B1C41	PRODUCTIVE_COMPOSITION	Sollstand
62	E162	f81v.27	B1-S018	olkeedy	B1C42	PRODUCTIVE_COMPOSITION	länger auffangen; Schluss
63	E163	f81v.27	B1-S019	tedy	B1C20	PRODUCTIVE_COMPOSITION	kurz absetzen; Schluss
64	E164	f81v.27	B1-S020	cheky	B1C26	PRODUCTIVE_COMPOSITION	kurz wärmen
65	E165	f81v.27	B1-S020	shckhedy	B1C43	PRODUCTIVE_COMPOSITION	seihen; Schluss
66	E166	f81v.27	B1-S021	chal	B1C09	PRODUCTIVE_COMPOSITION	Stelle
